DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,427.80,429.80,433.90,425.00,430.05,429.95,429.67,70947,2177,50854,71.68
03-Aug-2016,429.95,429.90,433.00,419.10,428.00,426.10,424.77,31492,1903,20729,65.82
04-Aug-2016,426.10,431.95,433.00,418.00,424.20,423.00,427.82,63851,1967,40439,63.33
05-Aug-2016,423.00,423.00,430.00,423.00,425.45,426.90,427.50,59683,1720,37999,63.67
08-Aug-2016,426.90,433.00,455.00,433.00,448.00,447.70,448.17,275754,6054,188589,68.39
09-Aug-2016,447.70,452.00,452.00,430.95,439.80,440.60,440.95,132153,3399,70733,53.52
10-Aug-2016,440.60,440.80,446.80,434.10,442.00,441.05,441.05,148259,3361,116293,78.44
11-Aug-2016,441.05,442.05,442.20,435.45,439.95,438.65,438.76,43747,1765,28991,66.27
12-Aug-2016,438.65,452.00,454.00,421.00,427.00,425.55,441.61,345631,9553,140047,40.52
16-Aug-2016,425.55,426.80,435.80,422.45,434.00,433.70,431.56,326177,7623,304947,93.49
17-Aug-2016,433.70,444.00,447.70,433.00,447.00,446.55,442.18,236821,4141,170284,71.90
18-Aug-2016,446.55,447.70,451.00,430.00,444.45,444.95,442.27,146349,5366,111529,76.21
19-Aug-2016,444.95,445.70,447.20,436.15,437.00,438.30,441.74,69293,1676,55109,79.53
22-Aug-2016,438.30,439.85,441.95,430.00,430.10,431.15,433.72,45924,1648,27006,58.81
23-Aug-2016,431.15,431.15,443.80,431.15,440.90,441.10,440.26,168380,3318,126513,75.14
24-Aug-2016,441.10,442.00,454.00,436.55,453.75,452.25,448.40,156834,2832,111251,70.94
25-Aug-2016,452.25,455.70,456.50,446.50,450.50,449.25,451.55,75804,1928,49722,65.59
26-Aug-2016,449.25,449.00,454.80,445.15,451.90,453.30,451.78,36694,1291,27993,76.29
29-Aug-2016,453.30,451.05,454.80,446.05,453.30,452.80,452.07,44266,2020,31223,70.53
30-Aug-2016,452.80,453.30,465.80,449.60,452.05,453.40,459.39,235036,5687,127292,54.16
31-Aug-2016,453.40,457.45,462.50,450.05,450.05,452.00,458.60,227450,2833,194829,85.66
01-Sep-2016,452.00,448.90,459.80,448.00,458.10,458.50,458.46,316976,2087,298462,94.16
02-Sep-2016,458.50,456.00,463.95,455.95,462.00,461.40,461.40,74825,4304,46232,61.79
06-Sep-2016,461.40,460.00,467.80,460.00,462.00,461.75,464.04,47904,2508,29574,61.74
07-Sep-2016,461.75,462.80,472.00,457.00,467.20,469.60,464.97,152949,3932,134879,88.19
08-Sep-2016,469.60,469.00,475.80,466.80,471.10,471.25,471.29,59425,1938,49155,82.72
09-Sep-2016,471.25,467.05,476.80,466.00,475.00,474.45,471.90,56073,1509,44310,79.02
12-Sep-2016,474.45,472.95,472.95,455.50,458.60,459.70,460.92,56146,3043,42681,76.02
14-Sep-2016,459.70,455.05,465.70,455.05,463.00,462.70,460.24,85534,2902,79288,92.70
15-Sep-2016,462.70,461.15,475.00,461.15,470.70,473.20,467.79,43485,1704,33338,76.67
16-Sep-2016,473.20,473.00,477.80,465.50,470.00,469.90,472.69,23906,1174,18220,76.22
19-Sep-2016,469.90,473.95,473.95,467.05,469.65,468.10,468.34,24392,723,21613,88.61
20-Sep-2016,468.10,469.45,469.50,463.00,465.00,465.70,465.23,42825,1057,34891,81.47
21-Sep-2016,465.70,465.00,474.90,465.00,470.00,470.00,469.78,44346,1684,36930,83.28
22-Sep-2016,470.00,475.00,476.00,469.95,473.05,471.70,470.84,41634,1299,34153,82.03
23-Sep-2016,471.70,475.50,484.80,472.55,482.45,482.15,481.46,100278,2874,61346,61.18
26-Sep-2016,482.15,483.00,487.80,470.10,486.40,484.45,482.60,58601,2291,40299,68.77
27-Sep-2016,484.45,487.95,505.40,476.15,489.30,489.75,495.26,220769,6475,115831,52.47
28-Sep-2016,489.75,492.90,505.00,491.00,496.60,496.95,498.33,109516,4680,55471,50.65
29-Sep-2016,496.95,502.50,502.75,480.15,490.00,490.10,486.75,128930,3618,104070,80.72
30-Sep-2016,490.10,486.00,505.00,478.00,500.80,499.25,497.73,73176,3495,42091,57.52
03-Oct-2016,499.25,501.95,502.85,494.05,497.45,495.75,499.08,171387,6111,155352,90.64
04-Oct-2016,495.75,502.90,504.40,493.30,496.00,495.40,496.87,37876,1298,27851,73.53
05-Oct-2016,495.40,498.60,511.80,497.65,510.50,509.55,507.02,102550,2733,64758,63.15
06-Oct-2016,509.55,509.70,513.00,503.05,509.45,507.60,509.00,28615,1591,18011,62.94
07-Oct-2016,507.60,509.00,511.00,499.90,504.15,504.65,506.86,30029,1039,20375,67.85
10-Oct-2016,504.65,503.00,512.00,495.05,496.00,497.05,505.00,35967,1656,24710,68.70
13-Oct-2016,497.05,499.60,503.00,478.05,481.20,481.05,482.99,68122,2294,54204,79.57
14-Oct-2016,481.05,485.80,495.00,483.00,492.50,491.65,489.31,57431,1577,44768,77.95
17-Oct-2016,491.65,492.90,492.90,482.50,483.25,483.80,486.18,131226,3216,123238,93.91
18-Oct-2016,483.80,486.35,492.80,485.60,489.95,490.25,490.19,16501,1122,11399,69.08
19-Oct-2016,490.25,494.95,494.95,480.10,486.05,484.60,487.80,53967,2049,33736,62.51
20-Oct-2016,484.60,485.50,509.80,485.50,509.05,507.45,500.14,126510,3151,100137,79.15
21-Oct-2016,507.45,512.00,512.00,494.20,499.00,498.65,503.58,63905,3535,39401,61.66
24-Oct-2016,498.65,499.80,510.90,499.80,506.55,506.15,506.65,37183,3701,22276,59.91
25-Oct-2016,506.15,506.00,509.00,494.05,500.00,500.45,502.20,51467,3303,36418,70.76
26-Oct-2016,500.45,502.00,502.00,485.10,486.45,488.45,494.35,50442,1545,37416,74.18
27-Oct-2016,488.45,500.00,507.90,475.80,480.75,481.10,488.46,167469,5209,87809,52.43
28-Oct-2016,481.10,491.00,491.00,481.85,489.50,486.90,486.17,40540,2273,27816,68.61
30-Oct-2016,486.90,493.95,498.00,490.25,495.00,494.80,495.06,13088,635,8474,64.75
01-Nov-2016,494.80,493.00,498.80,491.00,496.55,496.60,495.77,43377,1039,37620,86.73
02-Nov-2016,496.60,492.80,494.90,480.05,482.00,481.70,484.31,21743,1338,12683,58.33
03-Nov-2016,481.70,481.00,487.45,474.05,475.00,479.75,479.94,247397,2351,231514,93.58
04-Nov-2016,479.75,472.05,476.85,453.55,466.30,467.40,466.12,48965,2016,34908,71.29
07-Nov-2016,467.40,467.40,483.45,463.20,466.50,466.45,475.36,55808,4194,37487,67.17
08-Nov-2016,466.45,468.85,475.00,462.00,467.00,465.55,469.00,40617,2677,28811,70.93
09-Nov-2016,465.55,416.55,446.55,402.05,445.05,439.70,431.63,250157,4461,218042,87.16
10-Nov-2016,439.70,448.65,465.70,445.40,448.65,446.80,456.15,49476,1532,39565,79.97
11-Nov-2016,446.80,446.00,446.00,407.15,409.00,414.90,421.22,95927,2986,59664,62.20
15-Nov-2016,414.90,401.20,409.80,360.15,385.80,381.70,378.81,267418,18210,195551,73.13
16-Nov-2016,381.70,383.05,393.35,371.10,380.00,378.85,379.52,49980,1387,39820,79.67
17-Nov-2016,378.85,370.00,381.05,358.00,361.20,361.25,364.94,214424,11757,186549,87.00
18-Nov-2016,361.25,362.40,378.90,339.60,354.50,350.05,350.11,167817,13129,116153,69.21
21-Nov-2016,350.05,352.20,356.90,330.50,350.10,345.00,338.06,150652,17498,94809,62.93
22-Nov-2016,345.00,350.15,353.60,336.25,350.00,346.95,342.33,73772,4197,48711,66.03
23-Nov-2016,346.95,355.00,376.35,349.45,375.00,370.00,364.21,66034,2850,25144,38.08
24-Nov-2016,370.00,370.00,375.90,358.20,360.00,362.10,363.41,207732,14237,165564,79.70
25-Nov-2016,362.10,360.00,372.65,359.30,371.90,370.95,362.80,175923,4123,143658,81.66
28-Nov-2016,370.95,367.00,387.00,365.00,378.00,378.60,378.02,55420,2098,32760,59.11
29-Nov-2016,378.60,383.10,386.55,371.05,374.15,375.05,378.89,80809,1967,62071,76.81
30-Nov-2016,375.05,370.00,432.00,369.40,409.90,412.95,400.63,190496,14371,86658,45.49
01-Dec-2016,412.95,407.50,409.95,380.50,385.00,384.90,390.45,691550,8345,613296,88.68
02-Dec-2016,384.90,382.00,390.00,369.00,369.00,374.60,380.81,71802,2732,36249,50.48
05-Dec-2016,374.60,371.90,378.15,363.85,373.15,373.65,365.75,850220,2922,804128,94.58
06-Dec-2016,373.65,378.90,386.90,375.55,381.50,379.75,383.41,138161,3215,112104,81.14
07-Dec-2016,379.75,381.60,383.00,373.30,380.00,378.60,377.88,30405,1826,19080,62.75
08-Dec-2016,378.60,382.00,383.95,377.45,382.00,380.95,380.91,113132,1511,100751,89.06
09-Dec-2016,380.95,383.90,387.55,377.00,378.75,378.60,384.12,58607,1238,49427,84.34
12-Dec-2016,378.60,380.00,380.00,363.80,364.10,367.45,372.72,41816,1185,30112,72.01
13-Dec-2016,367.45,367.80,367.80,358.10,359.30,359.65,363.33,36085,1423,28226,78.22
14-Dec-2016,359.65,362.70,367.90,354.00,356.95,356.90,359.74,83840,1699,68143,81.28
15-Dec-2016,356.90,350.00,354.00,349.00,353.00,351.95,351.01,101440,3700,82114,80.95
16-Dec-2016,351.95,353.30,353.55,329.30,340.80,338.75,349.20,612881,3519,584366,95.35
19-Dec-2016,338.75,341.20,350.00,330.10,333.50,335.95,341.33,89364,4656,49758,55.68
20-Dec-2016,335.95,335.00,342.35,331.85,338.05,338.05,333.84,175320,2198,155327,88.60
21-Dec-2016,338.05,338.40,343.00,335.15,342.00,340.35,340.46,37765,1155,24557,65.03
