DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,67.55,69.00,71.05,66.25,66.65,67.00,68.16,2831088,13431,1079088,38.12
03-Aug-2016,67.00,66.85,69.80,62.55,67.20,67.35,66.44,3380582,14376,1265545,37.44
04-Aug-2016,67.35,68.00,69.40,64.90,67.00,66.60,67.27,2137927,9468,578185,27.04
05-Aug-2016,66.60,67.25,71.10,66.70,69.90,69.70,69.23,2948118,11934,936679,31.77
08-Aug-2016,69.70,70.45,70.80,67.20,67.90,67.90,68.58,1622651,7803,773625,47.68
09-Aug-2016,67.90,68.80,68.80,65.40,67.25,66.80,66.54,1066989,5153,286438,26.85
10-Aug-2016,66.80,66.80,67.70,64.55,66.85,67.10,66.02,1764464,5855,893592,50.64
11-Aug-2016,67.10,67.75,67.75,64.95,65.05,65.40,66.04,1973324,13035,840910,42.61
12-Aug-2016,65.40,65.70,67.45,65.00,66.40,66.35,66.41,934417,8082,368454,39.43
16-Aug-2016,66.35,65.50,68.10,65.25,67.25,67.35,67.02,1160313,8288,510223,43.97
17-Aug-2016,67.35,67.20,68.25,66.25,66.65,66.95,67.26,969338,7464,391522,40.39
18-Aug-2016,66.95,67.20,67.70,66.15,66.50,66.60,66.80,925725,6683,485482,52.44
19-Aug-2016,66.60,66.50,69.25,66.05,67.45,67.40,67.88,2484179,11921,1246863,50.19
22-Aug-2016,67.40,67.50,68.65,66.90,67.40,67.25,67.57,974826,5281,430355,44.15
23-Aug-2016,67.25,67.50,70.00,67.25,67.85,68.00,68.76,2104481,10103,1126658,53.54
24-Aug-2016,68.00,68.20,68.85,67.25,67.80,67.75,68.14,886259,8604,267822,30.22
25-Aug-2016,67.75,68.10,68.70,65.65,66.00,66.15,67.23,709586,3066,324480,45.73
26-Aug-2016,66.15,66.10,66.85,64.60,64.85,64.85,65.49,441333,2365,232575,52.70
29-Aug-2016,64.85,65.00,66.50,64.75,66.10,66.05,65.73,684131,3632,303628,44.38
30-Aug-2016,66.05,66.00,67.30,66.00,66.90,66.80,66.86,632116,2755,367177,58.09
31-Aug-2016,66.80,67.00,67.30,66.00,66.20,66.40,66.58,710775,2956,501809,70.60
01-Sep-2016,66.40,67.30,67.50,65.00,65.25,65.30,66.01,974538,6542,455706,46.76
02-Sep-2016,65.30,65.50,68.45,65.15,66.90,66.90,67.03,1436464,6915,698326,48.61
06-Sep-2016,66.90,67.45,67.55,66.35,66.75,66.85,66.93,648929,2855,384602,59.27
07-Sep-2016,66.85,67.50,69.40,66.50,68.75,68.60,68.21,1505799,7827,673155,44.70
08-Sep-2016,68.60,69.00,73.00,68.20,71.60,71.40,71.51,2677790,11476,1175896,43.91
09-Sep-2016,71.40,71.95,71.95,68.50,68.95,68.75,69.45,914510,5890,528240,57.76
12-Sep-2016,68.75,67.00,67.55,65.45,65.50,66.00,66.45,659482,2940,399796,60.62
14-Sep-2016,66.00,66.40,66.75,65.45,66.20,66.10,66.15,370825,1849,170651,46.02
15-Sep-2016,66.10,66.20,66.90,65.40,66.00,65.75,66.06,332768,1747,142452,42.81
16-Sep-2016,65.75,66.30,67.25,65.15,66.35,66.00,66.19,615728,2204,357208,58.01
19-Sep-2016,66.00,66.35,66.75,65.15,65.45,65.50,65.68,247030,1340,133651,54.10
20-Sep-2016,65.50,66.60,66.70,65.30,65.90,65.80,65.89,656418,3858,315951,48.13
