DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,6.00,6.00,6.00,5.85,5.90,5.85,5.91,1243144,1177,655707,52.75
03-Aug-2016,5.85,5.90,5.90,5.65,5.75,5.70,5.74,1398139,1121,726691,51.98
04-Aug-2016,5.70,5.75,5.90,5.70,5.75,5.75,5.75,970693,894,428684,44.16
05-Aug-2016,5.75,5.85,5.85,5.65,5.70,5.70,5.74,998482,1001,514069,51.49
08-Aug-2016,5.70,5.75,5.85,5.40,5.75,5.80,5.62,3568216,2693,1498603,42.00
09-Aug-2016,5.80,5.70,5.75,5.50,5.60,5.60,5.63,1283428,1159,678589,52.87
10-Aug-2016,5.60,5.60,5.65,5.40,5.45,5.40,5.48,1215890,1084,747760,61.50
11-Aug-2016,5.40,5.45,5.65,5.35,5.50,5.50,5.48,1436169,1242,588783,41.00
12-Aug-2016,5.50,5.55,5.55,5.35,5.40,5.40,5.44,669093,735,388793,58.11
16-Aug-2016,5.40,5.35,5.40,5.05,5.10,5.15,5.17,1453776,1260,882091,60.68
17-Aug-2016,5.15,5.20,5.20,4.55,4.65,4.70,4.84,5519411,3180,3283117,59.48
18-Aug-2016,4.70,4.70,4.95,4.55,4.90,4.85,4.71,3891492,2405,1550724,39.85
19-Aug-2016,4.85,4.90,5.05,4.80,4.90,4.90,4.90,1563323,1331,924974,59.17
22-Aug-2016,4.90,4.95,4.95,4.80,4.85,4.90,4.88,1018465,770,535295,52.56
23-Aug-2016,4.90,4.85,5.25,4.85,5.10,5.10,5.06,2380257,1652,892691,37.50
24-Aug-2016,5.10,5.10,5.15,5.00,5.00,5.00,5.07,1280979,1228,744366,58.11
25-Aug-2016,5.00,5.00,5.10,4.90,4.95,4.95,4.99,1339439,1124,829493,61.93
26-Aug-2016,4.95,5.00,5.00,4.75,4.90,4.85,4.85,1239599,1027,638298,51.49
29-Aug-2016,4.85,4.85,5.00,4.75,4.90,4.95,4.87,823179,708,386575,46.96
30-Aug-2016,4.95,4.95,5.05,4.90,5.00,4.95,4.96,965545,771,521214,53.98
31-Aug-2016,4.95,5.00,5.05,4.85,4.95,4.95,4.97,2406493,1231,1324577,55.04
01-Sep-2016,4.95,4.95,5.00,4.85,4.90,4.90,4.91,1281319,894,672820,52.51
02-Sep-2016,4.90,4.85,4.95,4.80,4.85,4.85,4.88,1086716,770,711538,65.48
06-Sep-2016,4.85,4.90,5.00,4.85,4.85,4.90,4.90,947372,892,704405,74.35
07-Sep-2016,4.90,4.90,5.05,4.90,5.00,4.95,4.99,3073650,1446,1720702,55.98
08-Sep-2016,4.95,5.00,5.05,4.95,5.00,5.00,5.00,2387744,1878,1623428,67.99
09-Sep-2016,5.00,5.00,5.05,4.90,5.00,4.95,4.97,1879436,1321,1057880,56.29
12-Sep-2016,4.95,4.95,4.95,4.70,4.85,4.80,4.84,1851409,1204,1342111,72.49
14-Sep-2016,4.80,4.90,4.90,4.80,4.90,4.85,4.84,1091394,1433,815197,74.69
15-Sep-2016,4.85,4.90,4.90,4.80,4.85,4.80,4.83,793457,630,590127,74.37
16-Sep-2016,4.80,4.85,4.85,4.30,4.50,4.40,4.53,10867347,5137,8380896,77.12
19-Sep-2016,4.40,4.40,4.60,4.35,4.55,4.50,4.52,2041324,1806,1505232,73.74
20-Sep-2016,4.50,4.50,4.65,4.45,4.50,4.50,4.54,1458360,1365,942157,64.60
21-Sep-2016,4.50,4.50,4.60,4.40,4.55,4.50,4.48,1923497,1090,1264829,65.76
22-Sep-2016,4.50,4.50,4.65,4.45,4.45,4.50,4.51,2265991,1198,1596016,70.43
23-Sep-2016,4.50,4.50,4.50,4.40,4.40,4.45,4.47,1706705,973,1449031,84.90
26-Sep-2016,4.45,4.45,4.50,4.25,4.35,4.35,4.37,2884911,1423,1557124,53.97
27-Sep-2016,4.35,4.35,4.40,4.30,4.30,4.35,4.37,1296829,859,799162,61.62
28-Sep-2016,4.35,4.35,4.40,4.30,4.35,4.35,4.38,798849,637,491403,61.51
29-Sep-2016,4.35,4.40,4.40,4.05,4.10,4.10,4.26,6231408,2502,3107584,49.87
30-Sep-2016,4.10,4.10,4.20,4.00,4.20,4.15,4.15,2114117,1109,1026710,48.56
03-Oct-2016,4.15,4.20,4.30,4.10,4.20,4.20,4.20,2014025,1360,1182909,58.73
04-Oct-2016,4.20,4.20,4.20,4.15,4.20,4.20,4.19,825683,780,698925,84.65
05-Oct-2016,4.20,4.20,4.20,4.05,4.10,4.10,4.14,2758745,1319,1778068,64.45
06-Oct-2016,4.10,4.20,4.70,4.20,4.60,4.55,4.56,9447175,5097,3923822,41.53
07-Oct-2016,4.55,4.85,4.90,4.65,4.70,4.65,4.74,4348530,2686,2225486,51.18
10-Oct-2016,4.65,4.70,4.70,4.45,4.50,4.50,4.54,2568484,1614,1185905,46.17
13-Oct-2016,4.50,4.45,4.50,4.35,4.45,4.40,4.41,1712256,1070,838596,48.98
14-Oct-2016,4.40,4.45,4.50,4.30,4.40,4.35,4.37,1803194,933,876119,48.59
17-Oct-2016,4.35,4.35,4.45,4.30,4.35,4.40,4.38,2205432,1083,656577,29.77
18-Oct-2016,4.40,4.40,4.60,4.40,4.50,4.45,4.48,1736594,973,628349,36.18
19-Oct-2016,4.45,4.45,4.50,4.40,4.40,4.40,4.44,775947,618,376732,48.55
20-Oct-2016,4.40,4.40,4.55,4.40,4.55,4.50,4.48,1359765,892,639707,47.05
21-Oct-2016,4.50,4.55,4.55,4.40,4.50,4.50,4.47,1120990,806,613806,54.76
24-Oct-2016,4.50,4.55,4.75,4.50,4.60,4.60,4.64,2471717,1286,966236,39.09
25-Oct-2016,4.60,4.65,4.70,4.50,4.60,4.60,4.61,1454666,741,649957,44.68
26-Oct-2016,4.60,4.60,4.65,4.45,4.60,4.55,4.57,2391156,921,890271,37.23
27-Oct-2016,4.55,4.55,4.60,4.45,4.55,4.50,4.52,1239526,710,557407,44.97
28-Oct-2016,4.50,4.55,4.55,4.50,4.55,4.55,4.53,784925,495,349730,44.56
30-Oct-2016,4.55,4.60,4.65,4.55,4.60,4.60,4.62,437400,399,286519,65.51
01-Nov-2016,4.60,4.60,4.70,4.45,4.50,4.50,4.56,1662754,829,611327,36.77
02-Nov-2016,4.50,4.60,4.60,4.40,4.45,4.40,4.44,1412663,880,596622,42.23
03-Nov-2016,4.40,4.40,4.50,4.30,4.35,4.35,4.38,2433912,913,1140445,46.86
04-Nov-2016,4.35,4.35,4.35,4.15,4.15,4.20,4.23,2759915,1677,1175687,42.60
07-Nov-2016,4.20,4.30,4.45,4.25,4.30,4.30,4.36,1447815,823,660187,45.60
08-Nov-2016,4.30,4.35,4.35,4.25,4.30,4.30,4.30,772479,564,430955,55.79
09-Nov-2016,4.30,4.20,4.20,3.45,4.20,4.10,3.96,3584172,2603,2055945,57.36
10-Nov-2016,4.10,4.25,4.30,4.20,4.25,4.20,4.23,936920,680,542798,57.93
11-Nov-2016,4.20,4.15,4.20,4.05,4.10,4.05,4.11,907406,747,613878,67.65
15-Nov-2016,4.05,4.10,4.20,3.95,4.00,4.00,4.04,1425096,1089,851405,59.74
16-Nov-2016,4.00,4.05,4.15,3.90,3.95,4.00,3.99,1528852,728,594856,38.91
17-Nov-2016,4.00,3.95,4.05,3.95,4.05,4.00,3.98,539145,574,341710,63.38
18-Nov-2016,4.00,4.00,4.10,3.95,4.10,4.05,4.02,1179109,665,601415,51.01
21-Nov-2016,4.05,4.05,4.10,3.85,3.95,3.90,3.95,1270157,1115,583835,45.97
22-Nov-2016,3.90,4.00,4.00,3.75,4.00,3.95,3.87,2049753,962,552090,26.93
23-Nov-2016,3.95,4.00,4.05,3.80,4.00,4.00,3.91,939423,615,250732,26.69
24-Nov-2016,4.00,4.05,4.05,3.90,3.90,3.90,3.94,704111,507,390810,55.50
25-Nov-2016,3.90,4.00,4.00,3.90,4.00,4.00,3.97,997629,618,599667,60.11
28-Nov-2016,4.00,4.00,4.05,3.95,4.05,4.00,4.00,727150,670,374614,51.52
