DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,23.25,24.00,25.10,23.00,23.70,23.60,24.16,2037454,5534,938106,46.04
03-Aug-2016,23.60,23.70,24.20,22.05,22.20,22.35,22.97,1446226,3528,763736,52.81
04-Aug-2016,22.35,22.50,23.70,22.35,23.40,23.45,23.21,1054508,2735,434105,41.17
05-Aug-2016,23.45,23.75,25.75,23.10,25.15,25.10,24.90,3008443,8455,1055531,35.09
08-Aug-2016,25.10,25.40,26.50,24.20,25.50,25.75,25.68,1913731,4433,736589,38.49
09-Aug-2016,25.75,25.70,26.70,25.40,25.80,25.75,26.04,1615728,4340,690460,42.73
10-Aug-2016,25.75,25.90,26.75,25.10,25.95,26.15,26.02,1655447,3533,654910,39.56
11-Aug-2016,26.15,26.20,28.15,25.80,26.95,27.40,27.44,3538111,7183,1796527,50.78
12-Aug-2016,27.40,27.45,28.45,24.70,25.40,25.55,26.44,2329811,8146,933337,40.06
16-Aug-2016,25.55,25.70,25.70,24.25,25.00,25.00,25.10,800451,1843,334364,41.77
17-Aug-2016,25.00,25.05,25.40,24.50,24.80,24.75,24.87,476718,1355,160364,33.64
18-Aug-2016,24.75,25.20,25.25,24.80,25.00,24.95,24.99,364761,850,243945,66.88
19-Aug-2016,24.95,25.00,25.50,24.65,25.10,25.15,25.01,450331,1389,259447,57.61
22-Aug-2016,25.15,25.75,25.75,24.55,25.15,25.25,25.02,337546,1269,160636,47.59
23-Aug-2016,25.25,25.25,25.30,24.70,24.90,24.95,24.90,189512,1176,74328,39.22
24-Aug-2016,24.95,25.00,25.75,24.70,24.90,25.05,25.08,353009,1085,192082,54.41
25-Aug-2016,25.05,24.95,25.60,24.55,24.90,24.80,25.00,458452,1866,208255,45.43
26-Aug-2016,24.80,25.00,25.25,23.05,23.20,23.20,23.93,440739,1152,276678,62.78
29-Aug-2016,23.20,23.20,24.30,22.55,24.00,23.60,23.38,294415,1018,161683,54.92
30-Aug-2016,23.60,24.25,24.35,23.20,23.70,23.50,23.78,177794,687,103821,58.39
31-Aug-2016,23.50,23.80,24.40,23.20,23.60,23.50,23.78,225484,609,162077,71.88
01-Sep-2016,23.50,23.75,23.95,23.25,23.45,23.40,23.62,87668,343,60176,68.64
02-Sep-2016,23.40,23.75,23.90,23.25,23.40,23.35,23.47,95141,361,67876,71.34
