DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,56.75,58.10,65.00,58.00,62.40,63.10,63.10,1889574,14159,473039,25.03
03-Aug-2016,63.10,62.20,70.40,62.20,66.00,66.30,66.96,1628254,15264,410859,25.23
04-Aug-2016,66.30,67.10,68.45,66.30,66.65,66.75,67.29,451815,2226,224727,49.74
05-Aug-2016,66.75,67.55,70.90,66.75,67.00,67.90,68.66,722491,4760,343548,47.55
08-Aug-2016,67.90,67.80,74.40,66.40,72.00,70.85,71.26,833153,6194,383611,46.04
09-Aug-2016,70.85,71.95,75.40,69.10,71.00,71.00,72.58,1047826,7768,358399,34.20
10-Aug-2016,71.00,71.55,76.60,69.80,74.00,73.25,73.46,1040654,6381,291046,27.97
11-Aug-2016,73.25,73.50,75.80,72.60,74.20,74.50,74.62,597426,7857,260381,43.58
12-Aug-2016,74.50,75.05,76.35,68.25,72.10,71.00,72.30,932601,3963,476405,51.08
16-Aug-2016,71.00,71.15,80.10,71.15,76.70,76.55,76.68,1576192,13635,569709,36.14
17-Aug-2016,76.55,76.90,82.60,75.80,78.00,78.45,79.37,1439127,8572,478417,33.24
18-Aug-2016,78.45,78.20,81.00,77.50,79.00,78.40,79.42,870661,3743,466426,53.57
19-Aug-2016,78.40,78.75,81.00,77.25,80.70,80.65,79.83,745875,5679,322341,43.22
22-Aug-2016,80.65,81.00,83.50,80.65,83.00,83.00,82.55,718761,5308,298765,41.57
23-Aug-2016,83.00,83.20,83.50,77.30,79.00,79.15,80.62,449940,2604,224066,49.80
24-Aug-2016,79.15,79.75,80.60,77.85,78.00,78.25,79.12,491510,1846,226490,46.08
25-Aug-2016,78.25,79.20,81.10,77.70,78.05,78.00,78.92,393647,3733,263636,66.97
26-Aug-2016,78.00,78.75,80.00,75.25,77.25,76.85,77.04,277917,1503,141059,50.76
29-Aug-2016,76.85,77.15,77.65,72.60,74.80,74.85,74.99,224713,2838,109953,48.93
30-Aug-2016,74.85,75.75,78.65,75.00,76.00,76.05,77.00,472733,2542,306582,64.85
31-Aug-2016,76.05,76.45,77.75,76.10,77.00,77.05,77.25,315877,2623,175253,55.48
01-Sep-2016,77.05,77.45,79.25,76.25,77.50,76.85,77.94,258093,1954,154979,60.05
02-Sep-2016,76.85,77.25,77.95,75.35,77.00,76.45,76.99,280989,1586,165145,58.77
06-Sep-2016,76.45,76.55,82.80,75.20,75.75,75.60,78.10,438524,3509,187812,42.83
07-Sep-2016,75.60,76.05,80.00,75.95,78.85,78.75,77.66,341573,3109,187623,54.93
08-Sep-2016,78.75,79.20,81.40,78.65,80.00,80.10,80.23,475307,5489,200881,42.26
09-Sep-2016,80.10,80.50,80.50,78.50,80.10,79.85,79.61,244303,2320,128552,52.62
12-Sep-2016,79.85,76.00,82.70,75.55,76.00,76.20,78.96,612521,7281,237184,38.72
14-Sep-2016,76.20,76.10,77.40,71.60,75.50,75.65,75.68,415525,2832,240150,57.79
15-Sep-2016,75.65,75.95,77.20,73.60,75.35,75.45,75.77,692320,2030,472527,68.25
16-Sep-2016,75.45,76.05,76.50,74.35,75.25,74.75,75.60,73352,674,37476,51.09
19-Sep-2016,74.75,75.15,76.30,74.05,74.80,74.85,75.20,81033,567,37183,45.89
20-Sep-2016,74.85,74.20,79.85,73.25,74.10,73.85,74.81,144276,1323,68187,47.26
21-Sep-2016,73.85,75.60,75.60,72.85,73.30,73.30,73.97,117954,974,61399,52.05
22-Sep-2016,73.30,74.45,75.50,73.20,74.95,74.80,74.51,164752,1003,51097,31.01
23-Sep-2016,74.80,74.15,78.50,74.15,77.55,77.30,76.58,462198,7780,197497,42.73
26-Sep-2016,77.30,77.25,77.25,74.00,74.85,74.55,74.78,379071,1725,277623,73.24
27-Sep-2016,74.55,74.70,77.00,74.60,75.25,74.75,75.53,119883,740,60743,50.67
28-Sep-2016,74.75,75.25,82.90,75.00,81.00,81.45,80.14,870803,6968,279811,32.13
29-Sep-2016,81.45,81.00,81.75,74.70,75.90,76.30,78.56,371960,3703,229580,61.72
30-Sep-2016,76.30,77.00,77.80,72.25,74.50,74.60,75.01,399032,2916,158839,39.81
