DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1265.05,1267.80,1298.80,1258.00,1277.00,1276.05,1284.26,721444,27186,229882,31.86
03-Aug-2016,1276.05,1283.85,1288.00,1196.00,1200.00,1204.20,1227.42,569644,19623,199214,34.97
04-Aug-2016,1204.20,1216.00,1230.00,1150.00,1180.00,1178.15,1177.62,753491,25489,200253,26.58
05-Aug-2016,1178.15,1187.00,1194.95,1138.20,1162.00,1172.00,1162.44,676739,23241,143507,21.21
08-Aug-2016,1172.00,1177.95,1219.90,1163.45,1208.90,1206.40,1199.69,460008,12353,72640,15.79
09-Aug-2016,1206.40,1214.60,1217.65,1177.70,1188.00,1189.70,1190.31,376385,16360,62953,16.73
10-Aug-2016,1189.70,1193.60,1199.20,1168.70,1174.00,1173.85,1183.37,406645,15308,72728,17.88
11-Aug-2016,1173.85,1174.90,1192.00,1156.55,1170.00,1171.45,1175.27,344192,11604,46346,13.47
12-Aug-2016,1171.45,1172.00,1206.00,1172.00,1183.05,1184.65,1190.99,409753,16219,79903,19.50
16-Aug-2016,1184.65,1192.55,1227.00,1185.70,1223.90,1218.15,1215.63,626125,33441,188746,30.15
17-Aug-2016,1218.15,1219.90,1248.80,1209.60,1247.00,1243.40,1236.58,677038,18639,230567,34.06
18-Aug-2016,1243.40,1250.00,1260.00,1210.50,1213.45,1216.00,1228.50,384830,12501,69963,18.18
19-Aug-2016,1216.00,1220.00,1235.00,1208.60,1227.00,1226.05,1224.01,269953,8038,35442,13.13
22-Aug-2016,1226.05,1225.00,1247.40,1220.45,1235.00,1235.00,1235.99,200967,7796,29308,14.58
23-Aug-2016,1235.00,1234.00,1236.65,1211.25,1227.15,1230.25,1223.04,191525,6097,16861,8.80
24-Aug-2016,1230.25,1230.80,1245.00,1220.20,1228.05,1232.95,1235.61,229799,7586,24304,10.58
25-Aug-2016,1232.95,1235.40,1238.00,1211.10,1230.50,1231.50,1228.48,287552,11825,103851,36.12
26-Aug-2016,1231.50,1232.25,1257.65,1200.00,1207.00,1205.90,1220.84,406352,12722,79849,19.65
29-Aug-2016,1205.90,1214.90,1219.50,1181.10,1196.00,1194.35,1191.67,341450,13115,91128,26.69
30-Aug-2016,1194.35,1200.70,1207.85,1173.25,1180.15,1182.00,1186.60,366667,13648,94134,25.67
31-Aug-2016,1182.00,1190.00,1192.10,1166.35,1170.05,1174.35,1174.33,564341,14672,155274,27.51
01-Sep-2016,1174.35,1174.20,1175.90,1145.20,1154.10,1154.75,1163.55,360398,19442,109821,30.47
02-Sep-2016,1154.75,1158.00,1195.00,1138.00,1182.50,1183.10,1170.89,549878,21794,109234,19.87
06-Sep-2016,1183.10,1110.00,1123.75,1058.25,1068.25,1067.90,1081.13,3314856,98476,571355,17.24
07-Sep-2016,1067.90,1060.00,1092.50,1046.00,1092.00,1087.45,1075.27,1253502,35206,262241,20.92
08-Sep-2016,1087.45,1091.70,1095.00,1074.50,1082.45,1081.30,1082.05,449172,16166,172574,38.42
09-Sep-2016,1081.30,1071.00,1089.45,1064.40,1070.10,1075.25,1074.55,409129,15173,61824,15.11
12-Sep-2016,1075.25,1058.00,1064.15,1028.60,1047.60,1049.30,1050.60,401229,13877,92248,22.99
14-Sep-2016,1049.30,1060.00,1067.35,1043.40,1048.70,1048.40,1054.12,448674,23345,167378,37.31
15-Sep-2016,1048.40,1050.00,1061.00,1037.00,1045.00,1043.50,1045.76,330732,12091,72131,21.81
16-Sep-2016,1043.50,1048.00,1057.00,1034.00,1042.05,1042.85,1045.36,519730,20866,217292,41.81
19-Sep-2016,1042.85,1045.00,1060.00,1001.00,1004.20,1005.60,1015.73,891397,28741,417376,46.82
20-Sep-2016,1005.60,950.00,951.30,923.05,945.00,943.75,938.31,5346852,119568,1583625,29.62
