DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,286.45,287.05,289.30,283.90,284.00,284.80,285.50,170675,1080,152721,89.48
03-Aug-2016,284.80,286.05,288.90,282.70,286.25,287.85,285.84,37459,1292,26996,72.07
04-Aug-2016,287.85,289.05,289.70,283.50,285.25,284.90,284.90,123975,5171,113176,91.29
05-Aug-2016,284.90,287.20,290.90,285.50,288.65,289.40,288.52,38792,1156,23578,60.78
08-Aug-2016,289.40,290.00,293.60,286.85,289.20,288.05,288.53,53417,1758,40920,76.60
09-Aug-2016,288.05,288.90,289.75,284.55,284.55,284.95,285.79,51753,2400,41416,80.03
10-Aug-2016,284.95,285.00,289.00,284.00,287.25,287.05,286.36,36719,783,21060,57.35
11-Aug-2016,287.05,288.00,293.50,283.05,284.10,284.90,287.83,542418,13747,156246,28.81
12-Aug-2016,284.90,288.70,293.00,284.00,285.00,284.80,288.00,226503,5335,158724,70.08
16-Aug-2016,284.80,286.75,286.75,282.60,283.50,283.20,284.57,133534,7230,118613,88.83
17-Aug-2016,283.20,284.70,289.70,283.50,284.00,284.20,284.19,185582,1345,170071,91.64
18-Aug-2016,284.20,285.50,285.50,283.25,284.75,284.35,284.78,269290,2061,244461,90.78
19-Aug-2016,284.35,284.00,285.30,281.50,284.00,283.75,284.16,183527,1841,161128,87.80
22-Aug-2016,283.75,285.00,288.50,284.00,284.70,285.15,286.08,184781,4833,157836,85.42
23-Aug-2016,285.15,286.30,294.00,284.25,292.00,290.55,285.94,668525,8090,613871,91.82
24-Aug-2016,290.55,292.90,299.50,291.05,294.80,295.00,295.03,137169,3121,88407,64.45
25-Aug-2016,295.00,295.00,299.50,293.40,296.00,297.45,296.02,142543,5019,110217,77.32
26-Aug-2016,297.45,296.85,299.90,294.10,296.90,296.90,296.75,142984,5779,113498,79.38
29-Aug-2016,296.90,297.25,308.60,297.25,307.40,306.30,304.22,561729,8020,478286,85.15
30-Aug-2016,306.30,305.00,312.10,305.00,310.45,310.60,310.35,118600,5455,83771,70.63
31-Aug-2016,310.60,309.00,316.75,306.00,309.95,308.55,311.40,104850,8940,70553,67.29
01-Sep-2016,308.55,309.30,317.00,308.75,314.00,313.40,311.88,97451,3063,65799,67.52
02-Sep-2016,313.40,314.95,322.55,312.10,321.00,319.00,317.21,164613,6689,114744,69.71
06-Sep-2016,319.00,319.95,327.00,315.00,318.50,318.75,319.38,163491,12349,118479,72.47
07-Sep-2016,318.75,318.70,323.90,317.00,322.00,320.05,319.15,148030,9274,120867,81.65
08-Sep-2016,320.05,323.00,327.65,317.45,323.50,324.05,323.97,138039,4091,83624,60.58
09-Sep-2016,324.05,324.05,331.00,319.95,325.00,325.15,326.77,154619,9345,84856,54.88
12-Sep-2016,325.15,324.30,324.30,315.10,320.00,321.65,320.03,62329,3766,44816,71.90
14-Sep-2016,321.65,321.65,333.50,320.00,326.00,324.80,324.48,50920,2258,31151,61.18
15-Sep-2016,324.80,323.00,325.65,319.10,323.00,321.85,320.64,896955,3207,860800,95.97
16-Sep-2016,321.85,327.65,346.95,321.50,334.50,337.30,339.06,340371,10713,125772,36.95
19-Sep-2016,337.30,334.25,340.95,328.05,332.70,335.00,333.12,135729,7563,64720,47.68
20-Sep-2016,335.00,337.80,354.50,337.25,348.50,349.05,348.65,481973,10676,126786,26.31
21-Sep-2016,349.05,349.15,355.00,341.95,346.45,348.40,350.42,227344,6529,115640,50.87
22-Sep-2016,348.40,351.00,354.10,346.00,347.50,349.45,348.77,88783,1975,40627,45.76
23-Sep-2016,349.45,349.45,352.80,340.70,341.20,342.70,344.73,147715,6807,97952,66.31
26-Sep-2016,342.70,342.90,346.90,339.00,346.00,344.25,342.74,66615,2554,41477,62.26
27-Sep-2016,344.25,345.25,347.65,340.15,340.40,341.60,342.43,282054,3517,220924,78.33
28-Sep-2016,341.60,343.00,351.90,341.40,348.00,345.25,346.40,62916,2233,24662,39.20
29-Sep-2016,345.25,348.00,359.90,330.85,342.00,336.30,347.40,246087,7079,131981,53.63
30-Sep-2016,336.30,336.30,346.90,332.00,346.50,344.70,342.78,45883,1918,22752,49.59
03-Oct-2016,344.70,349.85,369.00,342.55,363.00,359.70,355.63,110160,3894,70766,64.24
04-Oct-2016,359.70,360.00,364.00,353.25,362.00,360.45,358.78,71983,2027,37139,51.59
05-Oct-2016,360.45,360.00,368.00,356.30,367.00,363.20,359.95,60021,1405,39749,66.23
06-Oct-2016,363.20,363.50,370.30,362.05,370.00,368.80,367.27,68440,1844,36269,52.99
07-Oct-2016,368.80,369.00,370.45,364.70,368.25,369.15,368.18,64542,1556,40343,62.51
10-Oct-2016,369.15,369.00,370.00,355.00,360.35,358.25,361.41,66077,1092,54293,82.17
13-Oct-2016,358.25,358.45,360.25,353.70,357.00,357.65,356.86,86281,2355,72669,84.22
14-Oct-2016,357.65,355.00,361.60,351.25,361.00,356.55,354.56,29081,856,16572,56.99
17-Oct-2016,356.55,357.05,362.45,353.00,361.00,358.70,357.46,57460,3882,37474,65.22
18-Oct-2016,358.70,364.80,368.70,358.00,359.00,359.45,361.31,51646,3760,29943,57.98
19-Oct-2016,359.45,360.00,360.00,353.15,354.10,356.10,356.86,39113,1362,27535,70.40
20-Oct-2016,356.10,358.00,358.00,352.00,352.05,352.90,353.25,59580,792,48922,82.11
21-Oct-2016,352.90,353.85,362.00,349.40,353.65,355.80,354.15,54922,3112,31551,57.45
24-Oct-2016,355.80,358.70,364.00,352.70,364.00,360.05,357.75,40118,1649,27615,68.83
25-Oct-2016,360.05,361.00,366.90,351.85,355.00,356.90,357.32,90074,2536,28263,31.38
26-Oct-2016,356.90,357.00,364.00,351.20,360.00,354.50,356.73,79540,2722,27742,34.88
27-Oct-2016,354.50,354.65,360.20,347.40,359.05,359.05,356.79,30498,991,17596,57.70
28-Oct-2016,359.05,355.10,362.00,352.50,357.20,358.50,356.48,39420,1890,20960,53.17
30-Oct-2016,358.50,361.95,361.95,358.05,358.30,359.40,359.34,6565,273,4000,60.93
01-Nov-2016,359.40,362.00,362.00,357.65,360.00,359.50,359.42,34909,1251,25304,72.49
02-Nov-2016,359.50,355.00,357.00,351.25,353.00,354.20,354.68,70594,1036,60513,85.72
03-Nov-2016,354.20,353.00,361.60,340.10,357.10,354.80,351.42,81811,2645,57931,70.81
04-Nov-2016,354.80,358.85,358.85,345.00,348.55,349.10,347.08,93177,1480,78286,84.02
07-Nov-2016,349.10,350.70,362.00,348.10,358.00,359.80,353.72,43837,6025,28707,65.49
08-Nov-2016,359.80,360.00,368.00,355.40,357.50,359.85,359.98,115159,4738,57162,49.64
09-Nov-2016,359.85,345.00,363.90,333.30,362.45,359.35,345.83,45715,1615,28283,61.87
10-Nov-2016,359.35,363.05,376.00,360.00,367.95,368.30,368.63,127253,4429,70276,55.23
11-Nov-2016,368.30,358.85,367.00,351.05,359.70,357.25,357.57,90904,2977,71269,78.40
15-Nov-2016,357.25,353.00,355.85,316.65,320.00,321.30,336.62,387681,7248,360556,93.00
16-Nov-2016,321.30,325.10,355.00,323.80,347.00,347.70,340.73,131828,8958,86012,65.25
17-Nov-2016,347.70,345.95,350.00,338.10,348.10,347.30,344.02,180071,2114,168763,93.72
18-Nov-2016,347.30,346.75,361.15,342.80,348.60,349.40,346.92,63463,1601,52061,82.03
21-Nov-2016,349.40,345.25,349.95,331.95,336.00,335.85,339.14,260156,2468,247422,95.11
22-Nov-2016,335.85,332.20,345.00,324.00,344.00,336.35,329.37,199472,9222,175431,87.95
23-Nov-2016,336.35,338.00,345.95,338.00,340.00,340.10,340.22,421664,9053,405478,96.16
24-Nov-2016,340.10,341.00,346.95,333.05,346.45,340.10,337.65,94176,4261,73904,78.47
25-Nov-2016,340.10,347.00,350.00,340.20,343.55,345.30,345.10,61491,2001,48381,78.68
28-Nov-2016,345.30,340.00,346.50,334.35,334.35,339.60,341.50,42907,2312,37154,86.59
29-Nov-2016,339.60,335.70,346.00,335.70,341.00,344.00,341.21,154897,3227,146500,94.58
30-Nov-2016,344.00,343.00,354.00,338.85,351.50,350.15,347.00,34289,1862,27343,79.74
01-Dec-2016,350.15,348.00,357.90,348.00,356.50,355.10,349.84,218259,1150,212333,97.28
02-Dec-2016,355.10,355.00,377.00,350.00,368.05,363.60,365.52,207002,7937,120855,58.38
05-Dec-2016,363.60,370.00,380.95,366.00,367.95,369.80,370.03,94788,3474,60574,63.90
06-Dec-2016,369.80,370.50,375.75,366.05,368.00,369.65,370.57,56193,3155,38499,68.51
07-Dec-2016,369.65,368.20,372.95,360.45,369.00,369.40,368.41,32812,2688,22819,69.54
08-Dec-2016,369.40,373.00,376.00,363.00,373.00,371.90,369.56,29404,2159,20017,68.08
09-Dec-2016,371.90,376.70,379.00,367.70,368.00,370.15,371.52,57719,1479,30868,53.48
12-Dec-2016,370.15,369.60,372.95,362.20,363.10,368.30,368.52,19945,897,15002,75.22
13-Dec-2016,368.30,363.10,371.85,360.00,365.10,370.15,367.01,34299,4682,23497,68.51
14-Dec-2016,370.15,376.00,377.00,358.30,359.10,362.70,363.31,73812,6440,58599,79.39
15-Dec-2016,362.70,363.00,370.25,354.55,359.90,360.40,360.32,39004,1422,27402,70.25
16-Dec-2016,360.40,359.40,368.00,355.45,361.00,362.45,361.09,19775,1362,11373,57.51
19-Dec-2016,362.45,362.45,363.55,355.55,357.00,358.35,360.61,21748,825,17811,81.90
20-Dec-2016,358.35,359.95,361.90,343.00,344.00,345.40,352.62,40169,1346,26004,64.74
21-Dec-2016,345.40,349.00,350.00,342.50,343.30,344.85,345.61,50127,1486,41166,82.12
22-Dec-2016,344.85,344.00,345.90,335.00,336.00,335.95,338.68,39909,1691,29308,73.44
23-Dec-2016,335.95,330.90,333.40,326.70,330.00,329.05,329.14,63017,2623,50072,79.46
26-Dec-2016,329.05,329.80,336.00,321.00,335.00,328.20,325.62,13349,1645,7579,56.78
27-Dec-2016,328.20,328.00,360.00,322.00,343.00,327.80,326.69,73913,3034,50916,68.89
28-Dec-2016,327.80,337.60,344.00,331.00,339.05,340.35,340.34,180261,5478,147608,81.89
29-Dec-2016,340.35,338.00,340.70,324.15,328.60,328.75,331.79,158353,4413,135034,85.27
30-Dec-2016,328.75,329.95,340.60,329.10,336.80,338.75,336.33,78439,4535,50218,64.02
02-Jan-2017,338.75,336.10,343.65,332.35,335.80,339.05,337.46,22981,975,13438,58.47
03-Jan-2017,339.05,337.05,339.85,331.60,335.00,336.15,335.57,199371,837,188487,94.54
04-Jan-2017,336.15,336.75,339.10,332.10,333.30,335.00,336.56,65975,1652,57491,87.14
05-Jan-2017,335.00,335.70,337.00,333.10,334.10,334.35,335.60,26909,1195,17035,63.31
06-Jan-2017,334.35,333.25,336.55,332.00,332.25,332.90,333.10,77407,3680,65858,85.08
09-Jan-2017,332.90,332.00,334.80,328.50,330.00,330.15,331.33,248304,3233,240436,96.83
10-Jan-2017,330.15,333.30,333.30,327.50,330.00,330.05,330.95,126031,3907,115499,91.64
11-Jan-2017,330.05,331.85,334.50,330.00,330.30,332.40,332.55,137257,6239,124445,90.67
12-Jan-2017,332.40,332.00,336.85,332.00,335.90,335.60,333.34,43773,678,39504,90.25
13-Jan-2017,335.60,336.00,342.00,333.00,337.50,339.20,335.76,91516,1352,78708,86.00
16-Jan-2017,339.20,339.50,345.35,337.00,341.10,341.85,340.04,63822,1341,53760,84.23
17-Jan-2017,341.85,341.10,348.85,341.10,344.70,346.60,344.91,26666,845,18572,69.65
18-Jan-2017,346.60,345.05,351.90,343.00,348.00,349.30,346.40,27335,944,20184,73.84
19-Jan-2017,349.30,345.10,350.00,344.20,346.25,348.65,346.56,25089,783,18997,75.72
20-Jan-2017,348.65,345.10,348.85,343.50,344.40,345.15,345.09,102570,2443,36195,35.29
23-Jan-2017,345.15,346.00,355.45,344.05,351.05,350.55,348.26,24757,1124,14184,57.29
24-Jan-2017,350.55,352.85,359.50,350.00,350.50,352.30,354.23,112209,1358,97788,87.15
25-Jan-2017,352.30,351.05,357.65,351.05,354.00,354.35,354.88,126345,971,117500,93.00
27-Jan-2017,354.35,356.95,360.00,350.80,355.00,356.75,354.85,26673,1054,17570,65.87
30-Jan-2017,356.75,357.10,358.00,353.55,355.00,355.40,354.38,35333,469,31906,90.30
31-Jan-2017,355.40,351.00,353.40,344.80,348.05,348.65,348.64,36803,1982,24186,65.72
01-Feb-2017,348.65,346.10,354.95,343.65,351.95,353.30,349.39,20501,814,13579,66.24
02-Feb-2017,353.30,354.35,354.35,345.90,347.20,348.25,348.14,20795,532,14791,71.13
03-Feb-2017,348.25,349.80,353.50,343.90,352.00,349.10,346.97,29295,1005,19549,66.73
06-Feb-2017,349.10,350.15,354.90,345.45,346.00,346.70,348.56,24763,835,17245,69.64
07-Feb-2017,346.70,345.10,350.80,343.65,350.00,348.50,345.46,73631,993,50567,68.68
08-Feb-2017,348.50,350.80,353.50,346.20,349.05,351.50,349.46,49121,1396,11722,23.86
09-Feb-2017,351.50,349.10,358.40,349.10,357.45,356.20,355.20,69548,3075,33669,48.41
10-Feb-2017,356.20,357.45,362.80,353.15,353.15,357.15,357.94,72809,1834,33228,45.64
13-Feb-2017,357.15,360.00,360.00,347.25,348.80,351.10,351.71,39998,1035,28185,70.47
14-Feb-2017,351.10,348.75,354.50,347.05,350.55,350.50,349.90,12928,562,7565,58.52
15-Feb-2017,350.50,353.30,358.50,344.00,356.00,356.25,350.49,39799,1385,21693,54.51
16-Feb-2017,356.25,356.95,365.00,351.05,361.80,362.70,356.91,1125520,3558,529174,47.02
17-Feb-2017,362.70,358.80,367.00,352.05,359.00,359.05,359.50,31271,1365,10282,32.88
20-Feb-2017,359.05,358.95,364.00,354.85,357.05,358.05,357.46,28069,743,11056,39.39
21-Feb-2017,358.05,357.00,359.85,354.00,354.00,356.25,356.28,20733,622,8929,43.07
22-Feb-2017,356.25,354.50,355.85,352.00,352.00,353.25,353.49,14980,608,9314,62.18
23-Feb-2017,353.25,355.95,382.90,355.95,374.30,375.30,373.86,285287,12619,92522,32.43
27-Feb-2017,375.30,377.90,377.90,370.05,375.00,374.00,372.79,45900,2110,21803,47.50
28-Feb-2017,374.00,374.05,377.85,370.10,374.85,374.65,372.40,83074,1119,66159,79.64
01-Mar-2017,374.65,378.50,378.50,370.05,377.00,373.05,374.15,60415,1135,50977,84.38
02-Mar-2017,373.05,374.65,375.00,360.25,365.70,366.25,368.86,53430,1261,40840,76.44
03-Mar-2017,366.25,370.00,370.00,358.40,370.00,364.00,362.40,34421,1216,22587,65.62
06-Mar-2017,364.00,363.70,375.00,363.00,368.15,369.55,370.55,39100,1582,16375,41.88
07-Mar-2017,369.55,367.00,372.00,366.10,369.90,367.65,367.98,23844,863,8570,35.94
08-Mar-2017,367.65,368.10,372.90,366.45,369.00,370.00,369.96,114824,847,99226,86.42
09-Mar-2017,370.00,368.35,375.10,368.35,375.00,374.30,372.76,25124,891,12064,48.02
10-Mar-2017,374.30,374.95,375.95,370.00,374.40,373.75,374.02,29995,839,18791,62.65
14-Mar-2017,373.75,378.00,378.45,368.10,370.05,371.30,371.80,25803,966,15580,60.38
15-Mar-2017,371.30,372.05,374.65,368.60,370.00,371.25,370.76,20063,868,14272,71.14
16-Mar-2017,371.25,370.55,372.45,366.65,367.70,369.05,369.55,36392,852,10980,30.17
17-Mar-2017,369.05,370.85,370.85,360.50,360.50,362.30,363.29,37226,2659,25366,68.14
20-Mar-2017,362.30,366.25,366.25,346.85,351.95,349.50,353.64,2393714,2912,2356107,98.43
21-Mar-2017,349.50,349.10,358.70,349.10,356.35,356.50,355.73,40668,1351,16580,40.77
22-Mar-2017,356.50,353.80,361.95,351.70,355.10,356.10,357.37,24996,1181,11084,44.34
23-Mar-2017,356.10,356.05,359.00,349.10,354.05,354.25,354.67,18452,649,10673,57.84
24-Mar-2017,354.25,355.00,359.30,352.15,353.50,353.90,355.43,25910,1421,13429,51.83
27-Mar-2017,353.90,352.30,355.85,345.00,346.05,348.95,350.27,72110,3889,50491,70.02
28-Mar-2017,348.95,349.00,350.40,345.00,347.75,349.45,348.79,118482,2740,100190,84.56
29-Mar-2017,349.45,354.55,357.25,341.30,346.00,346.75,347.69,139082,3002,92602,66.58
30-Mar-2017,346.75,346.10,359.25,345.50,348.50,348.95,350.55,517603,8961,472386,91.26
31-Mar-2017,348.95,349.05,360.70,348.95,349.00,352.65,353.10,213123,8480,166824,78.28
03-Apr-2017,352.65,352.80,352.80,342.50,343.00,343.70,345.88,74434,1800,54866,73.71
05-Apr-2017,343.70,343.70,347.50,341.10,342.25,342.10,344.28,33934,1494,22088,65.09
06-Apr-2017,342.10,342.90,351.50,340.45,351.25,349.85,346.18,51494,1479,35082,68.13
07-Apr-2017,349.85,350.00,350.80,337.00,338.50,340.15,348.47,275224,2448,242174,87.99
10-Apr-2017,340.15,342.80,345.40,341.00,342.90,342.70,343.56,172761,2548,158001,91.46
11-Apr-2017,342.70,342.05,368.00,341.90,362.00,362.00,354.76,283678,6893,181046,63.82
12-Apr-2017,362.00,363.95,368.00,356.10,357.80,357.60,361.36,91454,3263,55513,60.70
13-Apr-2017,357.60,355.00,371.00,355.00,370.00,370.15,366.91,105402,3812,68271,64.77
17-Apr-2017,370.15,376.20,427.00,375.95,399.50,399.05,406.48,959616,28306,246932,25.73
18-Apr-2017,399.05,402.10,416.00,389.50,392.70,391.40,404.16,195113,5361,74670,38.27
19-Apr-2017,391.40,390.00,399.80,380.10,385.15,388.15,389.10,69039,3289,24555,35.57
20-Apr-2017,388.15,388.15,401.95,388.15,394.00,394.35,394.44,67973,3048,26973,39.68
21-Apr-2017,394.35,395.00,401.90,378.10,396.60,395.45,390.28,183655,6027,100754,54.86
24-Apr-2017,395.45,396.50,398.40,383.50,390.05,391.90,390.88,65453,3855,34132,52.15
25-Apr-2017,391.90,392.80,403.00,386.50,395.60,398.65,396.95,72017,3219,24107,33.47
26-Apr-2017,398.65,397.30,422.20,394.10,412.00,411.80,410.34,281201,9586,137195,48.79
27-Apr-2017,411.80,414.95,424.95,408.15,410.00,412.60,416.31,164777,3895,117341,71.21
28-Apr-2017,412.60,412.00,414.75,392.35,398.10,400.00,401.19,73376,3262,35479,48.35
02-May-2017,400.00,401.00,404.05,389.50,390.70,392.20,393.06,41912,1792,22058,52.63
03-May-2017,392.20,392.20,392.20,375.05,375.15,376.15,382.16,100312,5631,64464,64.26
04-May-2017,376.15,379.55,387.90,375.25,381.00,380.20,381.30,54835,3236,33875,61.78
05-May-2017,380.20,380.20,383.25,375.00,376.70,377.00,378.57,89063,3020,70634,79.31
08-May-2017,377.00,379.90,379.90,369.05,371.00,370.70,370.79,709229,5620,569098,80.24
09-May-2017,370.70,374.00,378.00,369.65,370.55,371.25,371.17,557498,2281,529932,95.06
10-May-2017,371.25,374.00,384.30,372.85,376.20,378.15,379.76,111946,5898,55716,49.77
11-May-2017,378.15,375.05,381.80,375.05,377.00,377.70,378.62,24726,1157,13573,54.89
12-May-2017,377.70,377.65,381.95,365.00,367.00,366.85,373.77,107876,6806,68529,63.53
15-May-2017,366.85,367.10,392.00,367.10,389.80,384.90,377.75,91255,3846,55349,60.65
16-May-2017,384.90,387.00,387.95,376.10,377.30,377.70,379.60,32768,2215,19478,59.44
17-May-2017,377.70,381.80,383.80,375.30,379.00,382.00,378.92,39964,1698,20705,51.81
18-May-2017,382.00,378.00,397.95,374.10,375.50,377.15,385.87,197453,5820,58094,29.42
19-May-2017,377.15,381.00,388.00,370.00,371.40,372.95,378.14,90123,3251,33581,37.26
22-May-2017,372.95,372.95,378.35,371.95,373.35,373.25,374.01,34153,1172,14258,41.75
23-May-2017,373.25,375.00,378.00,366.20,378.00,373.75,373.00,58205,2727,32768,56.30
24-May-2017,373.75,375.00,378.00,370.45,373.90,372.65,374.10,41255,1514,24890,60.33
25-May-2017,372.65,374.00,375.00,368.00,368.00,369.10,370.51,36280,2024,22560,62.18
26-May-2017,369.10,369.20,376.30,367.70,369.60,370.05,371.40,26080,2416,15564,59.68
29-May-2017,370.05,371.55,373.30,365.00,365.40,367.55,368.60,24377,751,14712,60.35
30-May-2017,367.55,366.90,370.00,358.50,366.00,365.80,365.80,53053,4687,36533,68.86
31-May-2017,365.80,365.90,369.00,362.15,364.80,365.10,365.24,49046,3469,33543,68.39
01-Jun-2017,365.10,365.20,372.85,365.00,368.50,368.30,369.88,330034,4337,315835,95.70
02-Jun-2017,368.30,371.00,372.00,365.10,365.70,365.95,367.66,29338,2658,19077,65.02
05-Jun-2017,365.95,366.00,372.65,357.40,369.00,367.70,366.23,349514,2190,319704,91.47
06-Jun-2017,367.70,368.30,384.45,367.75,372.00,372.50,371.85,817036,9149,602642,73.76
07-Jun-2017,372.50,373.90,379.00,370.15,374.70,375.75,375.26,67223,3437,24996,37.18
08-Jun-2017,375.75,378.70,389.90,374.50,382.05,380.80,381.32,99229,3023,52816,53.23
09-Jun-2017,380.80,382.00,387.40,381.05,385.20,386.10,385.57,116263,3773,84288,72.50
12-Jun-2017,386.10,383.10,386.00,380.05,382.45,382.45,383.61,35495,1315,16177,45.58
13-Jun-2017,382.45,383.65,386.00,380.70,385.00,384.55,384.59,47422,1260,35261,74.36
14-Jun-2017,384.55,382.00,389.75,376.40,377.60,378.80,383.93,45703,3407,21700,47.48
15-Jun-2017,378.80,376.15,386.00,374.00,374.30,375.75,380.26,183313,1900,160738,87.68
16-Jun-2017,375.75,378.90,378.90,373.60,378.00,375.75,375.80,35980,1461,18973,52.73
19-Jun-2017,375.75,378.00,381.95,370.20,378.50,378.70,377.70,123241,2371,99143,80.45
20-Jun-2017,378.70,381.00,385.00,379.20,382.50,381.75,382.56,58697,2496,27949,47.62
21-Jun-2017,381.75,381.85,388.60,378.10,387.50,385.00,383.48,80394,2106,57840,71.95
22-Jun-2017,385.00,387.00,387.05,375.70,377.25,378.10,382.69,76258,1632,66662,87.42
23-Jun-2017,378.10,377.15,378.90,365.00,367.95,366.75,370.00,52294,2003,38547,73.71
27-Jun-2017,366.75,367.15,367.40,351.05,356.75,356.00,359.74,95661,5363,50705,53.00
28-Jun-2017,356.00,356.50,357.15,351.00,352.00,352.50,352.56,214573,10654,180125,83.95
29-Jun-2017,352.50,352.05,356.35,342.30,352.40,351.50,348.31,445448,6768,375342,84.26
30-Jun-2017,351.50,353.70,360.40,348.05,356.05,355.90,355.60,82038,4668,37679,45.93
03-Jul-2017,355.90,351.90,359.00,350.50,351.95,353.25,354.53,68735,3171,36304,52.82
04-Jul-2017,353.25,356.30,358.00,352.00,355.00,354.45,354.30,106221,5139,66469,62.58
05-Jul-2017,354.45,353.75,362.80,353.75,360.70,360.95,358.83,65429,1706,35390,54.09
