DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1271.65,1271.65,1278.95,1250.00,1268.80,1265.00,1264.44,23706,2439,14264,60.17
03-Aug-2016,1265.00,1269.90,1280.00,1250.00,1252.00,1255.10,1265.41,112170,8115,21925,19.55
04-Aug-2016,1255.10,1262.40,1265.35,1236.20,1251.00,1243.15,1252.05,40286,7954,22300,55.35
05-Aug-2016,1243.15,1252.65,1280.00,1246.00,1254.80,1251.55,1257.96,50653,2753,23628,46.65
08-Aug-2016,1251.55,1251.55,1272.60,1220.05,1232.90,1235.85,1239.20,45673,4443,21570,47.23
09-Aug-2016,1235.85,1240.00,1254.95,1226.05,1242.85,1248.65,1244.48,11198,1110,6435,57.47
10-Aug-2016,1248.65,1256.80,1256.80,1221.10,1245.00,1238.00,1230.87,25286,2102,14503,57.36
11-Aug-2016,1238.00,1239.00,1258.40,1225.00,1258.40,1252.65,1246.39,16992,2123,9765,57.47
12-Aug-2016,1252.65,1255.00,1269.70,1242.00,1258.00,1258.90,1259.42,17867,1822,11052,61.86
16-Aug-2016,1258.90,1266.90,1266.90,1249.85,1264.90,1258.65,1259.46,12696,3534,11114,87.54
17-Aug-2016,1258.65,1241.40,1260.00,1240.00,1248.00,1247.65,1246.66,13664,1665,8560,62.65
18-Aug-2016,1247.65,1248.25,1272.60,1248.00,1267.50,1266.55,1260.01,14900,2065,10254,68.82
19-Aug-2016,1266.55,1267.65,1275.00,1257.20,1273.80,1273.55,1269.69,11337,1139,7952,70.14
22-Aug-2016,1273.55,1273.55,1278.95,1245.25,1268.00,1271.20,1271.94,39746,1764,24915,62.69
23-Aug-2016,1271.20,1261.10,1284.15,1261.10,1276.20,1280.40,1276.57,35265,1358,25553,72.46
24-Aug-2016,1280.40,1280.40,1283.90,1273.25,1279.00,1277.55,1278.37,11583,1264,7772,67.10
25-Aug-2016,1277.55,1280.05,1282.00,1240.00,1281.90,1279.50,1267.68,15874,1386,7596,47.85
26-Aug-2016,1279.50,1276.95,1282.00,1268.00,1276.60,1275.15,1276.86,20573,1558,15019,73.00
29-Aug-2016,1275.15,1275.15,1289.90,1263.55,1274.90,1275.85,1279.50,83424,3193,71941,86.24
30-Aug-2016,1275.85,1275.00,1277.35,1268.00,1270.00,1269.75,1273.74,77767,3975,69137,88.90
31-Aug-2016,1269.75,1269.75,1278.50,1246.85,1262.10,1261.40,1258.76,35388,4479,27241,76.98
01-Sep-2016,1261.40,1265.00,1289.80,1265.00,1285.70,1284.75,1282.04,16939,1707,11280,66.59
02-Sep-2016,1284.75,1293.90,1293.90,1265.10,1286.00,1282.75,1282.62,13169,977,7857,59.66
06-Sep-2016,1282.75,1294.10,1305.00,1275.00,1300.00,1299.70,1292.28,29378,2259,20286,69.05
07-Sep-2016,1299.70,1304.15,1349.90,1300.00,1348.35,1345.95,1332.90,40865,4595,18492,45.25
08-Sep-2016,1345.95,1351.00,1374.90,1335.90,1353.00,1351.10,1366.06,49811,3573,28477,57.17
09-Sep-2016,1351.10,1345.00,1374.90,1340.15,1349.80,1352.80,1361.85,15755,1469,8930,56.68
12-Sep-2016,1352.80,1338.90,1344.00,1310.00,1324.30,1325.50,1324.28,25056,2484,17491,69.81
14-Sep-2016,1325.50,1310.10,1377.30,1310.10,1367.00,1363.35,1352.40,33641,3236,26942,80.09
15-Sep-2016,1363.35,1378.00,1378.00,1302.05,1322.00,1328.10,1337.96,35134,1789,25230,71.81
16-Sep-2016,1328.10,1328.10,1376.85,1290.00,1294.70,1303.25,1329.38,86890,6976,54336,62.53
19-Sep-2016,1303.25,1307.00,1360.00,1302.85,1338.00,1340.10,1341.33,57966,6109,26448,45.63
20-Sep-2016,1340.10,1349.00,1350.00,1301.05,1315.00,1313.20,1323.65,38943,2419,22764,58.45
21-Sep-2016,1313.20,1322.00,1374.00,1309.10,1331.00,1329.00,1337.29,82988,4501,67109,80.87
22-Sep-2016,1329.00,1355.60,1359.90,1326.00,1342.00,1339.35,1338.11,66699,2783,55143,82.67
23-Sep-2016,1339.35,1340.00,1351.00,1321.35,1340.00,1341.35,1345.12,51781,3817,34613,66.84
26-Sep-2016,1341.35,1351.00,1359.85,1340.00,1350.00,1352.20,1351.24,13659,1408,7848,57.46
27-Sep-2016,1352.20,1358.75,1369.90,1341.00,1344.95,1347.60,1361.61,44735,3779,26578,59.41
28-Sep-2016,1347.60,1354.90,1399.00,1348.00,1399.00,1390.00,1379.52,141308,2537,109068,77.18
29-Sep-2016,1390.00,1390.40,1427.00,1381.55,1415.70,1403.60,1410.90,207947,5519,89297,42.94
30-Sep-2016,1403.60,1395.00,1410.20,1373.60,1388.00,1389.15,1394.82,54576,5114,36768,67.37
03-Oct-2016,1389.15,1399.00,1409.90,1382.50,1397.00,1398.55,1399.97,84388,4054,73455,87.04
04-Oct-2016,1398.55,700.25,724.90,696.00,700.00,699.35,707.60,107866,5991,69936,64.84
05-Oct-2016,699.35,700.00,710.00,700.00,707.10,708.95,707.34,40972,4949,29530,72.07
06-Oct-2016,708.95,709.00,710.00,702.00,702.30,707.30,706.24,20850,2106,16433,78.82
07-Oct-2016,707.30,707.30,710.15,698.20,706.00,709.35,701.32,282807,1384,272707,96.43
10-Oct-2016,709.35,718.00,718.00,695.00,706.40,710.70,706.82,26114,3347,16475,63.09
13-Oct-2016,710.70,709.00,714.75,700.00,711.00,710.15,704.58,99558,4634,83309,83.68
14-Oct-2016,710.15,709.95,730.10,709.95,724.00,724.10,716.80,94118,2430,85164,90.49
17-Oct-2016,724.10,728.60,730.00,724.00,728.00,729.05,727.83,94556,3078,72302,76.46
18-Oct-2016,729.05,735.00,739.90,725.00,734.00,734.80,733.26,92777,4032,58378,62.92
19-Oct-2016,734.80,738.00,742.00,724.00,724.95,727.85,734.53,138062,4119,120236,87.09
20-Oct-2016,727.85,731.90,739.85,642.10,653.00,659.70,683.58,1399812,43893,594185,42.45
21-Oct-2016,659.70,662.00,670.00,610.00,613.20,615.15,620.37,1759954,48621,1078408,61.27
24-Oct-2016,615.15,619.00,629.80,617.00,621.85,619.85,622.22,352427,10593,238297,67.62
25-Oct-2016,619.85,620.90,623.00,595.00,596.30,596.40,602.33,333677,11018,218615,65.52
