DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,270.00,268.80,271.00,262.00,262.05,266.15,266.90,86010,1304,78575,91.36
03-Aug-2016,266.15,265.05,265.60,257.00,257.20,258.30,260.38,25370,596,18980,74.81
04-Aug-2016,258.30,259.20,264.50,252.00,257.00,256.05,257.97,16488,649,8581,52.04
05-Aug-2016,256.05,259.00,262.60,258.00,258.40,258.70,259.83,11144,375,8280,74.30
08-Aug-2016,258.70,261.20,266.25,257.00,265.00,265.05,262.30,39752,1369,25114,63.18
09-Aug-2016,265.05,266.60,268.90,261.55,268.50,268.10,266.72,31537,1362,21295,67.52
10-Aug-2016,268.10,269.95,269.95,260.35,262.95,262.60,263.38,12686,586,9202,72.54
11-Aug-2016,262.60,262.60,264.95,258.50,264.00,261.85,261.50,22996,735,15810,68.75
12-Aug-2016,261.85,264.90,264.90,258.00,261.00,260.40,260.76,74993,1402,69676,92.91
16-Aug-2016,260.40,262.90,265.00,256.00,258.00,257.85,260.88,127388,2618,84917,66.66
17-Aug-2016,257.85,258.00,265.00,258.00,263.00,262.25,263.37,35224,1735,21941,62.29
18-Aug-2016,262.25,264.85,265.20,259.80,261.00,260.95,261.26,20264,1165,13523,66.73
19-Aug-2016,260.95,264.00,264.00,255.10,257.50,256.30,258.05,30932,1030,22683,73.33
22-Aug-2016,256.30,259.90,259.90,251.00,251.00,251.25,252.97,21823,664,13735,62.94
23-Aug-2016,251.25,251.25,262.00,251.25,260.00,259.20,258.50,55032,1542,35216,63.99
24-Aug-2016,259.20,260.00,260.00,254.25,257.90,257.15,255.72,29123,472,19410,66.65
25-Aug-2016,257.15,257.35,260.00,257.00,259.15,258.10,258.62,13491,394,5891,43.67
26-Aug-2016,258.10,258.35,258.95,254.00,254.25,255.55,256.62,7252,267,4830,66.60
29-Aug-2016,255.55,254.00,260.40,254.00,258.05,257.75,258.14,19051,1872,13935,73.15
30-Aug-2016,257.75,258.70,286.00,256.65,262.70,263.10,271.41,711525,11814,177322,24.92
31-Aug-2016,263.10,265.25,265.25,258.00,261.60,261.25,261.96,137261,2524,94359,68.74
01-Sep-2016,261.25,262.30,262.65,255.20,256.50,256.40,259.95,40543,905,21066,51.96
02-Sep-2016,256.40,256.40,258.00,253.00,256.80,256.05,255.36,53719,1277,38405,71.49
06-Sep-2016,256.05,260.00,265.00,260.00,261.50,260.60,262.46,71618,5188,50500,70.51
07-Sep-2016,260.60,264.00,264.00,257.85,262.05,261.30,260.78,51701,1533,32361,62.59
08-Sep-2016,261.30,263.00,266.85,260.90,266.00,266.00,264.74,57576,3675,46663,81.05
09-Sep-2016,266.00,267.25,267.85,258.90,260.05,262.35,263.64,69970,1651,38086,54.43
12-Sep-2016,262.35,255.05,261.20,255.05,260.00,259.90,259.14,29636,1479,21646,73.04
14-Sep-2016,259.90,260.30,260.50,255.15,260.20,259.20,257.05,240084,1194,230454,95.99
15-Sep-2016,259.20,263.90,270.90,259.20,263.55,260.90,264.86,116333,4428,79725,68.53
16-Sep-2016,260.90,264.00,276.50,261.00,270.00,267.70,266.66,121671,3190,99125,81.47
19-Sep-2016,267.70,270.00,270.00,262.00,262.10,262.35,263.96,58423,734,50763,86.89
20-Sep-2016,262.35,264.05,276.50,260.00,267.00,269.65,270.63,75649,2151,25745,34.03
21-Sep-2016,269.65,266.10,269.00,263.00,263.05,263.75,266.55,92152,935,81755,88.72
22-Sep-2016,263.75,268.45,270.00,259.65,261.75,261.00,263.71,76959,917,61680,80.15
23-Sep-2016,261.00,265.30,267.70,261.65,264.00,264.90,263.24,241760,1034,211940,87.67
26-Sep-2016,264.90,264.80,264.80,261.25,261.50,261.85,262.08,17352,457,11997,69.14
27-Sep-2016,261.85,263.90,264.40,260.50,262.00,261.55,262.00,27547,488,22938,83.27
28-Sep-2016,261.55,261.30,267.90,261.00,267.90,265.60,263.85,18349,816,15895,86.63
29-Sep-2016,265.60,266.85,268.85,240.05,254.10,256.05,256.18,204514,1818,174570,85.36
30-Sep-2016,256.05,254.70,263.40,250.40,261.90,260.50,258.18,86484,1321,60939,70.46
03-Oct-2016,260.50,261.65,277.45,258.00,259.05,259.85,263.62,229915,6844,111653,48.56
04-Oct-2016,259.85,259.00,262.40,253.00,254.35,253.95,256.86,60730,1461,32866,54.12
05-Oct-2016,253.95,255.45,255.95,252.00,252.05,252.30,253.54,75610,1984,63363,83.80
