DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,472.90,473.90,475.00,464.10,464.90,466.40,468.10,142737,3740,82942,58.11
03-Aug-2016,466.40,468.90,478.00,457.10,475.15,475.15,466.60,259751,7956,153532,59.11
04-Aug-2016,475.15,479.90,489.85,473.20,486.00,486.40,483.75,223726,14724,130769,58.45
05-Aug-2016,486.40,487.00,492.60,486.00,490.00,488.85,489.49,107612,2834,61575,57.22
08-Aug-2016,488.85,490.00,496.00,489.95,491.00,492.20,493.43,114908,2977,65465,56.97
09-Aug-2016,492.20,494.40,499.00,491.00,493.60,494.30,495.68,153712,7505,86929,56.55
10-Aug-2016,494.30,493.90,496.45,484.35,486.00,485.65,489.12,54331,1489,26902,49.52
11-Aug-2016,485.65,487.90,487.90,479.00,482.90,480.50,481.69,109501,11166,80218,73.26
12-Aug-2016,480.50,484.90,489.00,482.20,483.00,484.20,485.69,67814,3402,36569,53.93
16-Aug-2016,484.20,482.30,491.00,482.30,488.00,488.00,488.37,87817,5896,64782,73.77
17-Aug-2016,488.00,487.10,489.35,482.00,486.00,485.65,485.75,79379,1516,55637,70.09
18-Aug-2016,485.65,485.80,500.00,485.80,497.50,498.40,495.64,172368,6189,112358,65.18
19-Aug-2016,498.40,500.25,504.45,497.10,502.55,501.70,501.66,102938,3078,64833,62.98
22-Aug-2016,501.70,500.10,507.25,499.50,503.05,504.05,502.98,64666,1684,38808,60.01
23-Aug-2016,504.05,507.00,507.80,501.90,506.00,505.80,505.22,63868,1633,46699,73.12
24-Aug-2016,505.80,505.00,508.80,504.95,506.00,507.30,507.39,76908,2392,54046,70.27
25-Aug-2016,507.30,505.25,510.90,502.50,504.95,503.40,506.10,93273,4781,63272,67.84
26-Aug-2016,503.40,507.75,507.90,496.25,497.00,497.75,499.72,64217,1592,47246,73.57
29-Aug-2016,497.75,496.00,501.20,490.50,495.00,497.55,496.72,82289,3897,49024,59.58
30-Aug-2016,497.55,499.00,501.00,478.00,484.50,483.80,490.31,486625,11218,224534,46.14
31-Aug-2016,483.80,488.80,490.00,480.00,480.00,482.10,485.31,164764,3480,126158,76.57
01-Sep-2016,482.10,482.90,484.95,478.10,480.00,479.75,480.12,92021,3889,67818,73.70
02-Sep-2016,479.75,480.90,483.95,478.00,478.75,478.80,479.91,122733,4157,92251,75.16
06-Sep-2016,478.80,478.85,485.00,478.85,478.90,479.60,480.08,149332,3916,122297,81.90
07-Sep-2016,479.60,482.90,496.00,473.00,474.65,477.15,484.40,474735,9828,316627,66.70
08-Sep-2016,477.15,479.65,483.05,477.30,478.70,478.65,480.01,243340,4124,202068,83.04
09-Sep-2016,478.65,482.50,484.05,467.00,468.05,470.50,474.84,258716,6563,219181,84.72
12-Sep-2016,470.50,467.90,475.00,460.00,463.00,462.85,465.47,318660,14656,203675,63.92
14-Sep-2016,462.85,465.80,474.80,465.00,471.00,469.85,470.89,143010,4858,85469,59.76
15-Sep-2016,469.85,471.05,482.40,471.05,481.00,480.65,477.63,127434,4635,89066,69.89
16-Sep-2016,480.65,486.90,486.90,465.00,467.90,467.30,473.79,317175,11549,215542,67.96
19-Sep-2016,467.30,470.90,479.50,470.90,477.70,476.10,476.36,144146,4481,91772,63.67
20-Sep-2016,476.10,481.50,485.00,478.15,482.00,482.05,482.32,273923,9689,131361,47.96
21-Sep-2016,482.05,483.75,487.60,482.45,484.80,484.75,485.60,171483,4182,112803,65.78
22-Sep-2016,484.75,485.40,488.35,477.95,478.95,480.25,483.69,182906,6770,125470,68.60
23-Sep-2016,480.25,482.50,482.50,475.50,476.50,476.40,478.11,118479,2828,83554,70.52
26-Sep-2016,476.40,475.90,476.50,469.10,469.80,470.40,471.33,131379,3051,88597,67.44
27-Sep-2016,470.40,471.40,475.50,467.95,469.95,469.40,471.22,94104,2354,59174,62.88
28-Sep-2016,469.40,473.70,480.90,472.95,474.00,474.85,475.24,599475,6575,446398,74.46
29-Sep-2016,474.85,479.45,480.00,460.55,467.30,465.00,472.28,249691,5097,161977,64.87
30-Sep-2016,465.00,469.90,471.60,459.80,470.00,469.45,464.28,166849,4776,93565,56.08
03-Oct-2016,469.45,474.45,481.50,470.60,481.10,480.50,477.31,133492,3378,98865,74.06
04-Oct-2016,480.50,484.60,484.60,476.00,479.50,479.95,479.79,85151,3677,53687,63.05
05-Oct-2016,479.95,481.00,483.90,474.00,475.00,475.25,478.47,303561,3814,261652,86.19
06-Oct-2016,475.25,477.55,481.00,474.00,475.50,476.10,477.15,97147,2011,62758,64.60
07-Oct-2016,476.10,478.30,479.00,474.40,477.00,477.05,476.62,55211,1908,35020,63.43
10-Oct-2016,477.05,478.40,478.95,474.65,477.10,477.40,477.02,52282,2234,35492,67.89
13-Oct-2016,477.40,479.95,479.95,468.05,470.85,470.20,472.20,112828,5418,79265,70.25
14-Oct-2016,470.20,470.05,474.00,464.80,465.00,465.40,467.85,119624,4002,84739,70.84
17-Oct-2016,465.40,466.90,479.00,466.10,478.90,477.50,473.30,255315,4294,208652,81.72
18-Oct-2016,477.50,476.90,482.00,475.30,479.30,479.90,479.49,77278,3456,46279,59.89
19-Oct-2016,479.90,481.90,482.90,476.80,478.35,477.90,478.97,186994,3309,151965,81.27
20-Oct-2016,477.90,480.00,487.90,478.30,486.90,486.55,482.84,533727,7423,473487,88.71
21-Oct-2016,486.55,487.50,512.90,483.60,496.10,497.95,499.23,500411,12448,301753,60.30
24-Oct-2016,497.95,503.00,505.00,497.00,499.70,499.65,500.56,212878,6617,160276,75.29
25-Oct-2016,499.65,503.90,503.90,497.10,499.80,500.00,500.77,214960,4619,166378,77.40
26-Oct-2016,500.00,502.80,502.80,496.00,498.00,497.25,497.44,73610,2343,50307,68.34
27-Oct-2016,497.25,495.00,500.00,471.00,472.50,472.85,478.84,854018,16058,453957,53.16
28-Oct-2016,472.85,473.50,481.00,471.10,481.00,478.90,476.48,115527,3762,67734,58.63
30-Oct-2016,478.90,482.85,485.90,481.00,485.00,483.25,483.67,42163,1353,29331,69.57
01-Nov-2016,483.25,486.00,487.80,481.05,483.00,482.80,484.40,131613,3933,95791,72.78
02-Nov-2016,482.80,481.15,481.95,471.95,475.00,474.50,474.83,251062,4338,211011,84.05
03-Nov-2016,474.50,472.05,478.40,467.80,470.90,470.75,472.25,192076,7779,147043,76.55
04-Nov-2016,470.75,472.90,475.00,465.30,470.00,470.00,469.51,264719,3343,229469,86.68
07-Nov-2016,470.00,473.50,475.00,465.60,466.00,467.70,469.74,250905,5581,226827,90.40
08-Nov-2016,467.70,470.00,472.00,464.10,465.20,466.85,466.13,175142,4867,151357,86.42
09-Nov-2016,466.85,448.90,459.60,434.10,455.80,455.40,447.17,557773,12797,325582,58.37
10-Nov-2016,455.40,460.40,470.30,460.40,463.90,466.15,467.02,311923,6955,202713,64.99
11-Nov-2016,466.15,465.00,470.35,462.15,464.50,464.10,464.99,179452,6037,128813,71.78
15-Nov-2016,464.10,464.10,465.95,454.10,459.75,459.90,460.06,336912,13223,249027,73.91
16-Nov-2016,459.90,464.00,464.50,454.05,455.30,455.15,456.39,205121,6827,148884,72.58
17-Nov-2016,455.15,92.35,94.80,90.50,90.90,90.90,92.04,775704,8569,456699,58.88
18-Nov-2016,90.90,90.90,91.90,90.30,91.00,90.95,90.97,424305,3823,326725,77.00
21-Nov-2016,90.95,91.80,91.80,87.50,87.90,87.90,88.79,757123,6617,579367,76.52
22-Nov-2016,87.90,88.90,88.90,81.15,83.80,83.90,84.28,1181873,13977,802188,67.87
