DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
01-Mar-2017,12.00,12.60,12.60,12.60,12.60,12.60,12.60,25,1,25,100.00
16-Mar-2017,12.60,13.20,13.20,13.20,13.20,13.20,13.20,25,1,25,100.00
27-Mar-2017,13.20,13.85,13.85,13.85,13.85,13.85,13.85,50,1,50,100.00
31-Mar-2017,13.85,14.50,14.50,14.50,14.50,14.50,14.50,131700,10,131700,100.00
03-Apr-2017,14.50,15.20,15.20,15.20,15.20,15.20,15.20,1,1,1,100.00
11-Apr-2017,15.20,15.95,15.95,15.95,15.95,15.95,15.95,1,1,1,100.00
13-Apr-2017,15.95,16.70,16.70,16.70,16.70,16.70,16.70,2,1,2,100.00
18-Apr-2017,16.70,17.50,17.50,17.50,17.50,17.50,17.50,2,1,2,100.00
20-Apr-2017,17.50,18.35,18.35,18.35,18.35,18.35,18.35,3,1,3,100.00
21-Apr-2017,18.35,19.25,19.25,19.25,19.25,19.25,19.25,2,1,2,100.00
24-Apr-2017,19.25,20.20,20.20,20.20,20.20,20.20,20.20,75,1,75,100.00
26-Apr-2017,20.20,21.20,21.20,21.20,21.20,21.20,21.20,2001,3,2001,100.00
27-Apr-2017,21.20,22.25,22.25,22.25,22.25,22.25,22.25,100,1,100,100.00
28-Apr-2017,22.25,23.35,23.35,23.35,23.35,23.35,23.35,21000,1,21000,100.00
02-May-2017,23.35,24.50,24.50,24.50,24.50,24.50,24.50,3,1,3,100.00
03-May-2017,24.50,25.70,25.70,25.70,25.70,25.70,25.70,2,2,2,100.00
05-May-2017,25.70,26.95,26.95,26.95,26.95,26.95,26.95,2,1,2,100.00
09-May-2017,26.95,28.25,28.25,28.25,28.25,28.25,28.25,2,1,2,100.00
12-May-2017,28.25,29.65,29.65,29.65,29.65,29.65,29.65,5,1,5,100.00
18-May-2017,29.65,31.10,31.10,31.10,31.10,31.10,31.10,1,1,1,100.00
19-May-2017,31.10,32.65,32.65,32.65,32.65,32.65,32.65,10,1,10,100.00
22-May-2017,32.65,34.25,34.25,34.25,34.25,34.25,34.25,1,1,1,100.00
23-May-2017,34.25,35.95,35.95,35.95,35.95,35.95,35.95,1,1,1,100.00
24-May-2017,35.95,37.70,37.70,37.70,37.70,37.70,37.70,100,1,100,100.00
25-May-2017,37.70,39.55,39.55,39.55,39.55,39.55,39.55,1,1,1,100.00
26-May-2017,39.55,41.50,41.50,41.50,41.50,41.50,41.50,1,1,1,100.00
29-May-2017,41.50,43.55,43.55,43.55,43.55,43.55,43.55,1545,12,1545,100.00
30-May-2017,43.55,45.70,45.70,45.70,45.70,45.70,45.70,53223,52,43022,80.83
31-May-2017,45.70,47.95,47.95,47.95,47.95,47.95,47.95,1,1,1,100.00
01-Jun-2017,47.95,50.30,50.30,50.30,50.30,50.30,50.30,5002,4,5001,99.98
02-Jun-2017,50.30,52.80,52.80,52.80,52.80,52.80,52.80,1,1,1,100.00
05-Jun-2017,52.80,55.40,55.40,55.40,55.40,55.40,55.40,1,1,1,100.00
06-Jun-2017,55.40,58.15,58.15,58.15,58.15,58.15,58.15,1,1,1,100.00
07-Jun-2017,58.15,61.05,61.05,61.05,61.05,61.05,61.05,1,1,1,100.00
08-Jun-2017,61.05,64.10,64.10,64.10,64.10,64.10,64.10,2503,9,2500,99.88
09-Jun-2017,64.10,67.30,67.30,67.30,67.30,67.30,67.30,100,1,100,100.00
12-Jun-2017,67.30,70.65,70.65,70.65,70.65,70.65,70.65,5258,4,5258,100.00
13-Jun-2017,70.65,74.15,74.15,74.15,74.15,74.15,74.15,1,1,1,100.00
14-Jun-2017,74.15,77.85,77.85,77.85,77.85,77.85,77.85,5350,4,5350,100.00
15-Jun-2017,77.85,81.70,81.70,81.70,81.70,81.70,81.70,1,1,1,100.00
16-Jun-2017,81.70,85.75,85.75,85.75,85.75,85.75,85.75,1250,3,1250,100.00
19-Jun-2017,85.75,90.00,90.00,81.50,90.00,90.00,84.62,144872,602,102719,70.90
20-Jun-2017,90.00,94.50,94.50,88.10,94.50,94.50,93.87,35598,219,22881,64.28
21-Jun-2017,94.50,99.20,99.20,99.20,99.20,99.20,99.20,19612,137,18974,96.75
22-Jun-2017,99.20,104.15,104.15,99.55,104.15,104.15,103.71,46961,458,36869,78.51
23-Jun-2017,104.15,109.35,109.35,99.00,100.00,99.60,105.51,67971,735,49261,72.47
27-Jun-2017,99.60,95.60,103.80,94.65,94.65,94.65,96.97,8390,117,6304,75.14
28-Jun-2017,94.65,89.95,89.95,89.95,89.95,89.95,89.95,6648,50,5507,82.84
29-Jun-2017,89.95,85.50,89.50,85.50,85.50,85.50,86.03,21685,204,12804,59.05
30-Jun-2017,85.50,81.25,81.25,81.25,81.25,81.25,81.25,4334,40,4334,100.00
03-Jul-2017,81.25,77.20,85.30,77.20,84.00,85.00,81.40,31570,332,16761,53.09
04-Jul-2017,85.00,85.20,89.25,85.20,89.25,88.50,88.81,32497,273,29577,91.01
05-Jul-2017,88.50,92.85,92.85,84.10,89.60,88.40,89.64,15954,186,11813,74.04
06-Jul-2017,88.40,92.45,92.45,85.25,90.90,89.40,87.81,19048,162,16636,87.34
07-Jul-2017,89.40,86.35,90.40,86.35,86.45,86.60,87.89,18930,164,16226,85.72
10-Jul-2017,86.60,85.00,89.50,82.50,84.05,84.55,85.80,2813,57,1367,48.60
11-Jul-2017,84.55,85.40,87.90,80.35,82.00,81.10,81.76,29060,214,13972,48.08
12-Jul-2017,81.10,80.00,82.40,77.40,77.40,77.80,78.43,12230,126,11627,95.07
13-Jul-2017,77.80,74.50,79.85,74.15,79.75,78.85,76.26,9228,110,7067,76.58
14-Jul-2017,78.85,78.00,82.00,75.75,78.50,77.85,78.07,4234,68,3347,79.05
17-Jul-2017,77.85,79.10,80.40,78.10,80.40,79.10,79.02,12517,41,12011,95.96
18-Jul-2017,79.10,81.95,82.70,75.15,75.15,75.40,78.14,15466,113,13217,85.46
19-Jul-2017,75.40,78.80,78.80,71.65,72.00,72.70,72.71,12875,195,7320,56.85
20-Jul-2017,72.70,75.30,75.30,72.00,73.40,72.50,73.42,6210,63,5379,86.62
21-Jul-2017,72.50,72.50,74.00,69.60,74.00,73.80,72.20,3457,60,2071,59.91
24-Jul-2017,73.80,76.50,76.50,72.55,76.45,75.30,74.63,4023,67,2573,63.96
25-Jul-2017,75.30,73.30,74.85,72.80,74.65,73.55,73.29,1152,32,1030,89.41
26-Jul-2017,73.55,74.95,74.95,71.60,73.70,72.05,72.71,813,16,688,84.62
27-Jul-2017,72.05,72.10,73.95,70.15,73.30,72.30,73.24,1367,37,1227,89.76
