DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,595.25,597.00,618.75,596.25,604.00,600.95,601.33,10873,358,9240,84.98
03-Aug-2016,600.95,600.00,605.00,576.05,580.00,586.15,589.36,5716,428,3356,58.71
04-Aug-2016,586.15,586.50,609.00,580.00,597.00,592.25,589.95,5055,345,4231,83.70
05-Aug-2016,592.25,593.00,604.00,578.95,600.00,598.20,592.88,11907,660,7916,66.48
08-Aug-2016,598.20,590.00,630.00,585.00,612.00,618.95,614.37,30941,1655,12648,40.88
09-Aug-2016,618.95,623.00,623.00,605.10,612.00,609.80,611.98,14749,1192,9825,66.61
10-Aug-2016,609.80,605.00,618.00,594.15,615.00,611.10,610.22,16986,1199,12925,76.09
11-Aug-2016,611.10,592.80,619.50,585.00,619.50,603.05,603.03,103307,468,102602,99.32
12-Aug-2016,603.05,620.00,629.80,611.00,618.20,620.85,615.32,96915,729,94362,97.37
16-Aug-2016,620.85,630.00,645.00,626.00,640.75,640.85,637.86,33180,1457,17884,53.90
17-Aug-2016,640.85,645.00,725.00,644.00,692.00,694.65,694.99,134486,9130,49089,36.50
18-Aug-2016,694.65,695.00,720.00,692.00,717.00,714.00,707.50,35239,3196,17740,50.34
19-Aug-2016,714.00,711.00,720.90,693.15,694.60,697.65,705.84,13789,792,8044,58.34
22-Aug-2016,697.65,697.00,704.90,679.00,695.60,697.15,689.83,13739,1391,7484,54.47
23-Aug-2016,697.15,705.00,705.00,680.60,680.60,684.40,688.06,6027,528,3733,61.94
24-Aug-2016,684.40,698.00,708.00,681.00,700.00,700.50,699.51,11788,827,6812,57.79
25-Aug-2016,700.50,707.00,710.00,701.10,705.50,706.15,705.44,16800,425,14839,88.33
26-Aug-2016,706.15,704.90,710.90,698.20,700.05,700.00,700.45,27794,955,24946,89.75
29-Aug-2016,700.00,703.80,708.00,687.15,704.00,701.20,700.45,2932,417,2105,71.79
30-Aug-2016,701.20,700.00,706.00,688.70,698.00,700.00,699.20,6501,709,4386,67.47
31-Aug-2016,700.00,710.00,725.00,695.50,720.00,718.20,714.37,22731,1104,14521,63.88
01-Sep-2016,718.20,717.80,730.00,692.50,698.00,704.20,713.49,10807,597,5926,54.83
02-Sep-2016,704.20,710.90,718.00,695.00,705.00,700.00,700.43,7289,487,4712,64.65
06-Sep-2016,700.00,707.00,721.00,695.25,700.00,700.00,703.08,9275,491,5515,59.46
07-Sep-2016,700.00,700.10,716.00,699.00,711.00,710.10,706.85,4312,299,3086,71.57
08-Sep-2016,710.10,710.05,716.00,705.55,710.00,709.80,711.42,2725,275,1806,66.28
09-Sep-2016,709.80,708.00,712.00,696.00,699.00,700.45,703.71,5956,263,4182,70.21
12-Sep-2016,700.45,695.00,710.00,665.05,702.00,694.95,694.56,61422,1051,56940,92.70
14-Sep-2016,694.95,708.90,711.55,696.05,703.50,705.40,707.68,3805,303,3078,80.89
15-Sep-2016,705.40,695.90,709.95,695.90,704.00,705.65,705.26,1200,140,839,69.92
16-Sep-2016,705.65,702.60,715.00,698.85,699.00,699.95,705.15,13026,432,7083,54.38
19-Sep-2016,699.95,699.10,708.20,699.00,704.00,700.95,701.50,6982,328,5677,81.31
20-Sep-2016,700.95,704.00,705.00,700.00,700.00,701.05,700.70,3206,207,2703,84.31
21-Sep-2016,701.05,702.05,706.00,700.00,700.05,700.45,700.81,8436,284,6333,75.07
22-Sep-2016,700.45,702.35,707.00,700.00,700.60,703.25,702.16,52729,238,51015,96.75
23-Sep-2016,703.25,705.55,743.90,705.50,727.50,728.75,730.97,20870,1858,11318,54.23
26-Sep-2016,728.75,745.00,770.00,745.00,763.05,763.10,760.60,36440,2632,16282,44.68
27-Sep-2016,763.10,771.80,788.45,755.00,766.00,770.70,768.58,18348,1478,7400,40.33
28-Sep-2016,770.70,770.00,774.90,758.10,765.00,768.35,765.43,7542,547,5043,66.87
29-Sep-2016,768.35,768.00,779.95,690.00,735.00,729.70,734.29,16352,1032,10394,63.56
30-Sep-2016,729.70,715.05,770.00,708.00,758.00,757.95,744.73,17800,1367,5382,30.24
03-Oct-2016,757.95,746.60,775.00,746.60,756.10,757.80,758.76,5553,760,2964,53.38
04-Oct-2016,757.80,770.00,770.00,746.10,746.10,748.35,751.80,6411,576,4307,67.18
05-Oct-2016,748.35,750.35,778.00,750.00,768.10,774.15,767.53,16658,973,10970,65.85
06-Oct-2016,774.15,770.25,795.00,770.20,790.00,785.05,782.03,12177,995,9618,78.98
07-Oct-2016,785.05,789.95,794.90,782.45,790.00,788.60,789.56,16387,548,14697,89.69
10-Oct-2016,788.60,798.15,798.15,774.50,792.00,791.10,788.97,2643,274,1817,68.75
13-Oct-2016,791.10,785.00,820.00,781.00,781.30,786.20,797.97,9571,821,6622,69.19
14-Oct-2016,786.20,791.00,794.00,775.50,793.00,789.50,783.23,4300,420,2646,61.53
