DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,133.55,133.10,134.40,129.00,130.00,129.80,131.36,25547,608,16735,65.51
03-Aug-2016,129.80,129.25,131.40,125.50,126.50,127.00,127.62,50920,865,35031,68.80
04-Aug-2016,127.00,127.00,129.00,125.20,127.80,126.95,127.04,36545,826,21823,59.72
05-Aug-2016,126.95,127.95,133.80,127.65,130.50,130.25,131.18,67838,1083,34180,50.38
08-Aug-2016,130.25,130.45,133.80,130.20,131.90,131.40,132.17,48860,874,26459,54.15
09-Aug-2016,131.40,130.85,132.45,130.85,131.95,131.75,131.52,18767,314,10659,56.80
10-Aug-2016,131.75,131.10,132.70,127.05,131.55,130.30,130.82,20899,431,10815,51.75
11-Aug-2016,130.30,130.20,131.40,128.95,129.70,129.55,129.93,11640,265,6743,57.93
12-Aug-2016,129.55,130.20,131.00,126.25,127.25,127.20,128.88,17880,318,11919,66.66
16-Aug-2016,127.20,127.60,128.25,120.20,122.35,121.40,123.79,104949,1074,85262,81.24
17-Aug-2016,121.40,121.00,122.40,115.00,117.00,115.95,118.31,126221,2645,84444,66.90
18-Aug-2016,115.95,116.10,121.00,116.00,120.20,120.05,119.94,60938,2509,25223,41.39
19-Aug-2016,120.05,120.40,122.00,118.50,119.00,119.20,120.16,46185,1348,28683,62.10
22-Aug-2016,119.20,119.45,120.95,119.10,119.20,119.70,119.94,23970,1102,11828,49.35
23-Aug-2016,119.70,119.90,122.75,119.20,120.70,120.55,121.04,37969,1050,22177,58.41
24-Aug-2016,120.55,120.20,121.45,119.20,120.25,120.05,120.05,34534,1008,22785,65.98
25-Aug-2016,120.05,120.40,123.70,120.05,121.70,121.50,122.19,59680,2321,34841,58.38
26-Aug-2016,121.50,120.55,122.30,116.60,117.00,117.20,119.01,39293,1044,28209,71.79
29-Aug-2016,117.20,117.40,119.80,116.50,118.00,117.90,118.32,33647,811,22143,65.81
30-Aug-2016,117.90,118.05,120.60,117.30,118.20,118.60,118.61,46060,1428,30228,65.63
31-Aug-2016,118.60,118.60,123.00,118.00,119.00,119.00,120.64,89869,2132,44327,49.32
01-Sep-2016,119.00,118.70,127.90,118.70,124.90,123.75,124.65,221101,4061,63145,28.56
02-Sep-2016,123.75,123.75,126.90,123.00,123.10,123.80,125.02,69742,984,36517,52.36
06-Sep-2016,123.80,124.00,133.70,122.10,127.75,127.70,129.53,1100733,14603,123965,11.26
07-Sep-2016,127.70,128.85,130.30,124.20,124.95,124.70,126.19,113398,3832,54502,48.06
08-Sep-2016,124.70,124.45,131.80,123.80,128.00,127.65,128.42,209445,4066,70201,33.52
09-Sep-2016,127.65,127.35,127.80,124.15,126.60,126.45,126.15,94572,1206,45732,48.36
12-Sep-2016,126.45,123.90,124.00,118.00,119.35,120.20,120.78,104140,3766,71615,68.77
14-Sep-2016,120.20,119.10,122.70,119.00,120.80,121.15,121.37,29675,1358,12000,40.44
15-Sep-2016,121.15,121.45,122.30,120.00,120.70,120.60,121.03,22898,335,14947,65.28
16-Sep-2016,120.60,122.00,123.00,119.00,120.10,120.00,121.00,38027,1626,27875,73.30
19-Sep-2016,120.00,121.40,123.00,118.00,120.70,121.00,120.70,65314,2524,30962,47.40
20-Sep-2016,121.00,120.75,134.40,119.55,128.70,129.15,130.24,1332289,15728,144811,10.87
21-Sep-2016,129.15,129.00,130.75,125.55,126.55,126.65,128.13,124869,2274,44690,35.79
22-Sep-2016,126.65,128.20,129.25,125.10,126.45,125.80,126.89,61684,1208,25375,41.14
23-Sep-2016,125.80,126.30,128.90,124.15,125.90,125.85,126.68,63769,1275,26475,41.52
26-Sep-2016,125.85,126.50,126.60,121.20,123.00,122.80,123.33,54095,959,30290,55.99
27-Sep-2016,122.80,123.70,125.25,122.75,124.80,124.35,123.95,30225,539,17828,58.98
28-Sep-2016,124.35,124.30,132.40,124.15,129.05,129.15,129.39,167410,2537,68786,41.09
29-Sep-2016,129.15,129.60,130.90,120.50,121.30,121.40,124.74,102812,1589,61047,59.38
30-Sep-2016,121.40,135.00,135.00,121.65,126.55,125.60,125.34,75144,1699,30931,41.16
03-Oct-2016,125.60,125.00,128.50,125.00,126.25,126.65,127.13,33165,638,19016,57.34
04-Oct-2016,126.65,126.50,128.65,124.70,126.45,126.25,126.36,21925,512,13687,62.43
05-Oct-2016,126.25,126.00,128.00,123.75,124.25,124.40,125.17,41751,758,27026,64.73
06-Oct-2016,124.40,125.60,129.90,125.00,126.00,126.05,127.34,58792,1063,24896,42.35
07-Oct-2016,126.05,126.20,127.00,124.15,126.00,125.70,125.57,15472,417,9963,64.39
10-Oct-2016,125.70,125.50,130.50,125.50,128.75,128.80,129.01,55012,849,36953,67.17
13-Oct-2016,128.80,127.35,130.25,123.50,126.90,126.45,126.95,40092,1037,23081,57.57
14-Oct-2016,126.45,126.40,129.00,125.55,127.45,127.50,127.21,31842,500,20886,65.59
17-Oct-2016,127.50,126.50,129.00,126.50,127.05,126.90,127.37,25468,408,14715,57.78
18-Oct-2016,126.90,127.55,132.75,126.00,130.55,130.70,130.85,158539,1918,77436,48.84
19-Oct-2016,130.70,132.00,132.70,128.00,128.90,128.65,130.43,34612,889,18615,53.78
20-Oct-2016,128.65,129.35,136.00,129.35,132.00,131.80,133.99,315942,3831,101148,32.01
21-Oct-2016,131.80,132.50,133.70,128.30,129.30,130.00,130.57,47927,1271,20768,43.33
24-Oct-2016,130.00,129.75,131.95,129.05,129.60,129.90,130.71,47048,553,35960,76.43
25-Oct-2016,129.90,130.35,131.10,127.00,128.00,128.05,128.44,35484,679,19044,53.67
26-Oct-2016,128.05,128.00,131.00,127.10,127.80,127.65,128.87,30629,670,13294,43.40
27-Oct-2016,127.65,127.55,128.90,125.15,127.40,126.55,126.76,40479,648,30758,75.99
28-Oct-2016,126.55,126.80,128.00,124.60,126.90,126.90,126.86,25484,516,16281,63.89
30-Oct-2016,126.90,128.00,129.80,127.80,129.30,128.80,128.91,14614,416,9922,67.89
01-Nov-2016,128.80,128.05,132.65,127.20,130.10,130.10,130.94,32117,737,16960,52.81
02-Nov-2016,130.10,128.05,131.40,126.55,126.65,127.00,128.38,36984,626,20162,54.52
03-Nov-2016,127.00,127.75,129.30,123.50,124.00,124.55,125.69,25803,851,15340,59.45
04-Nov-2016,124.55,124.60,125.00,120.30,122.60,122.55,122.45,38788,691,26873,69.28
07-Nov-2016,122.55,126.90,126.90,122.35,123.00,122.50,123.27,42412,915,32746,77.21
08-Nov-2016,122.50,122.25,124.30,121.05,121.30,121.40,122.00,35103,1321,21997,62.66
09-Nov-2016,121.40,107.00,111.00,97.15,107.30,108.20,107.62,93687,1654,54121,57.77
10-Nov-2016,108.20,110.55,117.80,107.00,107.50,107.70,110.05,140672,2793,75985,54.02
11-Nov-2016,107.70,106.80,106.80,98.00,101.80,99.70,102.61,148897,3127,111363,74.79
15-Nov-2016,99.70,100.00,100.00,84.90,92.00,91.20,90.37,117049,2844,62360,53.28
16-Nov-2016,91.20,95.75,99.40,91.10,96.25,95.75,95.26,57292,951,36458,63.64
17-Nov-2016,95.75,95.75,96.00,90.35,90.95,91.05,93.11,33406,820,19193,57.45
18-Nov-2016,91.05,91.05,92.20,87.05,89.40,88.15,89.38,45012,721,25761,57.23
21-Nov-2016,88.15,88.25,95.00,87.15,88.05,88.90,91.03,81787,1769,31321,38.30
22-Nov-2016,88.90,89.60,91.00,86.60,89.00,88.55,88.67,29401,709,11975,40.73
23-Nov-2016,88.55,90.35,92.80,88.50,91.60,91.70,90.33,40146,773,22668,56.46
24-Nov-2016,91.70,90.15,94.85,89.55,93.25,93.60,92.39,19796,636,11506,58.12
25-Nov-2016,93.60,93.95,96.00,93.00,94.25,94.10,94.46,18137,500,10227,56.39
