DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,753.15,750.30,763.00,749.90,761.15,760.10,754.41,1495743,31476,1068813,71.46
03-Aug-2016,760.10,759.00,764.00,754.80,757.45,756.20,758.98,1344312,42905,944434,70.25
04-Aug-2016,756.20,759.75,761.30,751.00,755.95,756.40,756.48,1249512,48954,892259,71.41
05-Aug-2016,756.40,759.80,776.00,756.60,770.55,774.35,766.89,2365366,40272,1805551,76.33
08-Aug-2016,774.35,777.00,781.80,767.95,769.05,771.50,775.42,1659840,34548,1351400,81.42
09-Aug-2016,771.50,772.80,772.90,760.10,765.50,764.75,766.51,877535,29193,508675,57.97
10-Aug-2016,764.75,769.70,769.70,758.65,761.30,761.25,763.88,1093959,15036,744054,68.01
11-Aug-2016,761.25,761.00,768.95,759.15,766.60,764.65,764.60,1006546,37581,644177,64.00
12-Aug-2016,764.65,771.90,771.90,760.00,760.20,762.90,766.06,1128132,14772,761158,67.47
16-Aug-2016,762.90,766.50,775.90,762.15,771.75,772.80,770.06,1826143,31272,1410806,77.26
17-Aug-2016,772.80,771.00,771.60,761.10,766.00,765.65,765.44,814886,27352,533013,65.41
18-Aug-2016,765.65,766.90,785.95,766.85,784.00,784.40,779.89,1765760,38101,1115165,63.15
19-Aug-2016,784.40,785.95,785.95,774.00,780.00,778.75,779.20,996170,27262,624047,62.64
22-Aug-2016,778.75,780.00,782.00,768.80,773.90,772.85,773.15,612762,24897,373082,60.89
23-Aug-2016,772.85,773.35,780.00,771.05,779.10,778.35,774.83,572986,16348,373283,65.15
24-Aug-2016,778.35,779.00,781.90,772.10,776.60,777.00,776.68,1141719,22836,843425,73.87
25-Aug-2016,777.00,778.00,784.00,772.05,781.00,780.75,777.91,1477112,20473,899171,60.87
26-Aug-2016,780.75,782.50,789.00,772.85,781.00,780.80,780.54,853973,19467,410187,48.03
29-Aug-2016,780.80,780.70,788.90,775.15,780.00,781.40,783.74,762039,16621,417641,54.81
30-Aug-2016,781.40,781.90,787.05,780.20,784.60,786.15,785.13,799025,17075,465793,58.30
31-Aug-2016,786.15,795.00,814.95,793.15,809.00,806.90,805.82,3346444,59733,1745738,52.17
01-Sep-2016,806.90,813.00,817.45,807.50,812.50,810.70,811.68,1161928,35156,634861,54.64
02-Sep-2016,810.70,812.00,815.75,808.30,813.10,813.60,812.54,930759,22244,608985,65.43
06-Sep-2016,813.60,819.90,822.00,815.00,818.75,818.05,817.42,1027879,33864,722776,70.32
07-Sep-2016,818.05,818.85,823.00,802.45,804.75,804.10,807.69,1171053,17378,797175,68.07
08-Sep-2016,804.10,804.75,822.30,800.25,818.00,819.75,814.62,1724362,29935,980629,56.87
09-Sep-2016,819.75,819.70,825.40,808.60,818.10,818.85,817.52,1144933,61244,632554,55.25
12-Sep-2016,818.85,811.95,815.00,805.00,814.00,813.30,810.49,741529,19619,325344,43.87
14-Sep-2016,813.30,813.90,820.00,803.30,805.80,805.95,807.26,2041155,45021,1371327,67.18
15-Sep-2016,805.95,806.95,811.75,803.30,808.10,808.60,806.92,1182665,22044,847486,71.66
16-Sep-2016,808.60,810.90,819.95,804.70,805.90,806.60,809.00,4352409,66399,3736245,85.84
19-Sep-2016,806.60,808.40,812.20,799.10,802.00,802.85,803.91,2257955,32666,1614210,71.49
20-Sep-2016,802.85,802.00,803.30,791.50,792.50,792.75,794.63,1557067,42718,908910,58.37
21-Sep-2016,792.75,794.10,795.75,786.65,788.60,788.40,790.88,2317848,55912,1479276,63.82
22-Sep-2016,788.40,799.00,801.90,791.00,794.15,795.15,795.39,2111498,41128,1532390,72.57
23-Sep-2016,795.15,795.70,803.40,793.05,793.10,796.15,798.32,4190651,50877,3561014,84.98
26-Sep-2016,796.15,792.15,794.25,784.35,786.50,787.75,789.31,1117777,42722,804907,72.01
27-Sep-2016,787.75,785.25,798.25,782.50,785.75,784.45,790.74,1427314,32408,1028452,72.06
28-Sep-2016,784.45,783.00,791.80,778.50,782.50,782.30,782.25,1955271,35367,1612881,82.49
29-Sep-2016,782.30,787.50,799.45,769.25,778.70,772.60,782.59,55058370,78342,50367449,91.48
30-Sep-2016,772.60,772.00,782.30,766.10,780.20,777.00,773.14,2432078,45558,1636807,67.30
03-Oct-2016,777.00,788.95,792.70,783.15,789.45,788.05,788.16,982792,25048,537856,54.73
04-Oct-2016,788.05,790.90,796.60,782.30,790.35,791.70,792.32,1152157,24821,632448,54.89
05-Oct-2016,791.70,794.80,794.80,780.50,780.50,782.15,785.15,1007548,13596,626532,62.18
06-Oct-2016,782.15,782.00,790.00,777.50,780.70,783.00,786.19,1362633,32002,1014384,74.44
07-Oct-2016,783.00,782.60,785.00,775.15,782.55,782.65,782.18,740458,14263,386693,52.22
10-Oct-2016,782.65,784.90,785.50,779.00,780.25,780.20,781.50,749600,17423,455585,60.78
13-Oct-2016,780.20,778.00,778.15,765.30,775.50,772.35,771.69,1764056,42722,1035669,58.71
14-Oct-2016,772.35,776.00,783.95,770.60,780.00,781.75,778.37,1033080,17525,587957,56.91
17-Oct-2016,781.75,782.90,782.90,764.00,770.00,769.25,770.97,1920064,23754,1528848,79.62
18-Oct-2016,769.25,774.90,780.95,769.90,775.35,776.95,774.13,1627353,13892,1294788,79.56
19-Oct-2016,776.95,779.00,785.00,772.45,773.00,774.00,778.89,1057893,25967,608664,57.54
20-Oct-2016,774.00,781.90,783.00,770.55,774.00,772.35,774.79,1661867,27262,1193001,71.79
21-Oct-2016,772.35,770.05,783.15,768.95,778.00,781.50,774.06,1767446,10011,1360236,76.96
24-Oct-2016,781.50,781.90,789.55,777.50,787.60,787.35,784.39,939931,25103,644765,68.60
25-Oct-2016,787.35,789.95,793.00,780.55,785.00,786.55,787.75,3267465,32313,2096841,64.17
26-Oct-2016,786.55,783.00,821.00,781.10,811.95,811.50,810.95,4431744,86786,3034917,68.48
27-Oct-2016,811.50,812.00,812.00,801.00,806.00,806.60,804.76,1094848,35770,605245,55.28
28-Oct-2016,806.60,806.55,822.00,800.00,820.40,819.35,814.55,1441990,34823,994603,68.97
