DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1106.70,1123.95,1134.95,1063.70,1125.00,1112.90,1103.28,88684,1414,81901,92.35
03-Aug-2016,1112.90,1129.85,1129.85,1071.10,1075.20,1091.00,1089.34,9326,703,7123,76.38
04-Aug-2016,1091.00,1090.60,1102.00,1061.70,1090.00,1088.95,1082.24,5904,469,3734,63.25
05-Aug-2016,1088.95,1097.45,1118.40,1080.00,1104.00,1106.70,1100.94,7050,638,3968,56.28
08-Aug-2016,1106.70,1114.95,1138.00,1093.05,1118.20,1123.00,1115.17,8763,1062,5888,67.19
09-Aug-2016,1123.00,1134.95,1167.00,1110.80,1154.00,1153.05,1144.71,11811,1220,6816,57.71
10-Aug-2016,1153.05,1154.00,1160.00,1121.00,1121.00,1125.45,1131.10,10393,760,7517,72.33
11-Aug-2016,1125.45,1125.60,1162.00,1113.00,1151.00,1145.20,1134.42,6497,819,4323,66.54
12-Aug-2016,1145.20,1131.00,1155.70,1111.10,1121.00,1131.15,1130.09,10435,943,6750,64.69
16-Aug-2016,1131.15,1116.00,1144.00,1111.00,1140.00,1136.35,1131.04,4661,961,2877,61.72
17-Aug-2016,1136.35,1148.20,1148.20,1116.00,1145.00,1142.90,1138.43,4667,400,3318,71.09
18-Aug-2016,1142.90,1131.45,1162.00,1131.45,1157.55,1159.15,1153.04,3905,357,2983,76.39
19-Aug-2016,1159.15,1143.00,1169.00,1143.00,1160.00,1164.65,1161.59,4224,213,2602,61.60
22-Aug-2016,1164.65,1164.00,1167.95,1130.00,1134.95,1145.40,1147.32,8624,604,5782,67.05
23-Aug-2016,1145.40,1135.00,1145.00,1101.30,1106.05,1133.50,1132.77,11808,507,7797,66.03
24-Aug-2016,1133.50,1112.35,1140.90,1111.05,1131.00,1136.90,1126.63,12529,329,7157,57.12
25-Aug-2016,1136.90,1143.95,1172.00,1116.20,1140.00,1154.10,1156.03,24699,1007,20844,84.39
26-Aug-2016,1154.10,1150.00,1180.00,1140.45,1170.00,1165.80,1161.98,4963,271,4243,85.49
29-Aug-2016,1165.80,1179.90,1185.00,1141.75,1151.95,1150.65,1149.89,9281,697,6537,70.43
30-Aug-2016,1150.65,1160.00,1166.45,1116.55,1135.00,1126.50,1133.51,8406,552,6681,79.48
31-Aug-2016,1126.50,1125.00,1144.00,1125.00,1140.00,1138.90,1135.69,2928,204,2424,82.79
01-Sep-2016,1138.90,1140.25,1145.00,1121.50,1122.05,1136.50,1135.81,11529,536,9809,85.08
02-Sep-2016,1136.50,1116.20,1140.05,1114.40,1140.05,1129.50,1125.78,8891,401,6726,75.65
06-Sep-2016,1129.50,1150.00,1150.00,1092.15,1095.05,1099.25,1103.76,23215,1078,21446,92.38
07-Sep-2016,1099.25,1085.00,1114.00,1085.00,1113.90,1100.90,1100.73,33839,3389,27964,82.64
08-Sep-2016,1100.90,1119.10,1124.00,1084.50,1110.00,1100.65,1099.90,6885,481,4775,69.35
09-Sep-2016,1100.65,1118.95,1128.55,1079.10,1124.50,1115.40,1099.91,13901,1047,9797,70.48
12-Sep-2016,1115.40,1105.00,1107.00,1073.80,1096.00,1102.15,1092.25,13178,743,9165,69.55
14-Sep-2016,1102.15,1090.05,1129.80,1088.00,1103.00,1100.45,1101.85,23128,877,20382,88.13
15-Sep-2016,1100.45,1101.00,1134.00,1100.00,1125.00,1124.60,1122.61,9574,726,7542,78.78
16-Sep-2016,1124.60,1135.00,1173.60,1125.00,1165.50,1159.80,1146.62,19467,1189,17394,89.35
19-Sep-2016,1159.80,1150.00,1195.00,1150.00,1182.00,1183.75,1181.82,11193,653,9221,82.38
20-Sep-2016,1183.75,1205.00,1250.00,1191.20,1216.80,1209.75,1214.68,11955,1375,6694,55.99
21-Sep-2016,1209.75,1234.80,1234.80,1193.20,1210.00,1216.30,1215.55,7121,574,5584,78.42
22-Sep-2016,1216.30,1210.00,1234.65,1181.00,1230.00,1229.00,1211.38,24279,1344,20628,84.96
23-Sep-2016,1229.00,1225.25,1246.95,1215.25,1239.00,1235.80,1234.04,8200,589,5771,70.38
26-Sep-2016,1235.80,1239.95,1270.00,1211.20,1260.00,1257.05,1239.61,12904,751,9555,74.05
27-Sep-2016,1257.05,1235.00,1271.55,1234.00,1239.35,1244.65,1249.94,6374,869,4493,70.49
28-Sep-2016,1244.65,1239.00,1262.00,1231.35,1250.00,1246.95,1243.97,5633,585,3777,67.05
29-Sep-2016,1246.95,1232.00,1250.50,1120.00,1240.00,1210.85,1199.83,20412,1564,15171,74.32
30-Sep-2016,1210.85,1211.00,1230.00,1180.00,1226.00,1217.95,1204.86,5483,890,3681,67.13
03-Oct-2016,1217.95,1248.00,1248.00,1213.65,1220.00,1232.95,1232.09,19752,891,17677,89.49
04-Oct-2016,1232.95,1230.00,1232.95,1193.00,1200.00,1201.35,1203.97,16026,1361,14388,89.78
05-Oct-2016,1201.35,1210.10,1228.00,1165.00,1170.00,1173.40,1199.93,70713,5618,42625,60.28
06-Oct-2016,1173.40,1173.50,1185.90,1108.00,1110.00,1124.40,1133.25,26268,2295,18701,71.19
07-Oct-2016,1124.40,1124.90,1146.55,1105.00,1122.00,1129.90,1123.98,11782,1669,7694,65.30
10-Oct-2016,1129.90,1130.25,1130.25,1100.50,1105.00,1109.15,1112.75,10207,1810,7696,75.40
13-Oct-2016,1109.15,1103.70,1109.05,1011.00,1050.00,1048.05,1041.96,135348,7389,119290,88.14
14-Oct-2016,1048.05,1060.00,1080.35,1042.20,1052.50,1064.05,1062.67,29134,2956,22747,78.08
17-Oct-2016,1064.05,1075.25,1085.00,1025.00,1040.00,1041.20,1054.94,29236,5184,22654,77.49
18-Oct-2016,1041.20,1031.10,1110.00,1031.10,1101.25,1104.55,1081.87,74756,12500,42865,57.34
19-Oct-2016,1104.55,1113.70,1139.00,1100.50,1124.95,1129.85,1122.56,34609,4619,23158,66.91
20-Oct-2016,1129.85,1136.00,1139.00,1086.15,1138.00,1128.95,1117.68,18091,3048,10663,58.94
21-Oct-2016,1128.95,1136.50,1150.00,1117.35,1144.40,1143.75,1139.83,11537,908,7322,63.47
24-Oct-2016,1143.75,1128.00,1255.00,1128.00,1175.00,1189.10,1212.35,249751,14862,82206,32.92
25-Oct-2016,1189.10,1176.00,1200.00,1159.60,1176.00,1172.35,1177.99,18913,1854,9074,47.98
26-Oct-2016,1172.35,1163.05,1179.90,1146.95,1148.00,1156.55,1160.57,17850,1606,11080,62.07
27-Oct-2016,1156.55,1156.60,1166.00,1125.80,1144.00,1152.15,1146.20,15188,946,9340,61.50
28-Oct-2016,1152.15,1155.00,1215.00,1141.80,1200.00,1184.90,1170.97,13346,1589,10369,77.69
30-Oct-2016,1184.90,1198.50,1207.75,1172.00,1172.00,1181.30,1187.07,2646,331,1961,74.11
01-Nov-2016,1181.30,1175.00,1183.50,1137.00,1150.00,1147.95,1153.67,15981,1182,11299,70.70
02-Nov-2016,1147.95,1130.05,1159.75,1100.30,1125.00,1127.40,1122.53,14995,1487,9059,60.41
03-Nov-2016,1127.40,1131.00,1155.00,1106.55,1130.00,1126.40,1124.51,9981,1074,6055,60.67
04-Nov-2016,1126.40,1115.10,1132.95,1091.10,1129.00,1127.80,1114.82,7903,920,4482,56.71
07-Nov-2016,1127.80,1116.25,1166.00,1116.25,1156.85,1161.15,1151.60,69096,2018,65820,95.26
08-Nov-2016,1161.15,1173.90,1176.85,1133.25,1156.50,1156.80,1156.06,10462,989,4969,47.50
09-Nov-2016,1156.80,1080.00,1179.80,1043.00,1100.00,1098.10,1101.63,53147,7387,36217,68.14
10-Nov-2016,1098.10,1134.00,1164.30,1115.05,1137.00,1141.80,1142.11,30669,2159,26474,86.32
11-Nov-2016,1141.80,1125.00,1134.80,1086.00,1125.00,1102.05,1097.81,58326,4346,49424,84.74
15-Nov-2016,1102.05,1123.80,1123.80,1005.00,1062.05,1060.75,1050.98,16129,2243,9750,60.45
16-Nov-2016,1060.75,1061.00,1077.00,1018.30,1065.00,1061.00,1055.51,11499,2065,8181,71.15
17-Nov-2016,1061.00,1059.75,1074.95,1059.75,1071.00,1070.20,1068.62,4008,307,3409,85.05
18-Nov-2016,1070.20,1055.65,1092.85,1050.10,1082.00,1084.30,1071.35,5602,894,3801,67.85
21-Nov-2016,1084.30,1099.80,1099.80,1044.05,1089.50,1069.55,1062.39,7802,1295,6478,83.03
22-Nov-2016,1069.55,1098.85,1098.85,1074.95,1089.00,1081.85,1077.23,4707,278,4171,88.61
23-Nov-2016,1081.85,1080.00,1132.00,1060.00,1112.00,1122.25,1087.75,30016,566,27790,92.58
24-Nov-2016,1122.25,1139.95,1139.95,1089.50,1110.00,1102.05,1099.98,12977,1046,10624,81.87
25-Nov-2016,1102.05,1105.05,1149.90,1105.00,1140.00,1146.10,1134.16,5931,680,4654,78.47
28-Nov-2016,1146.10,1146.10,1147.95,1115.00,1122.00,1129.90,1128.73,5206,694,3752,72.07
29-Nov-2016,1129.90,575.00,615.00,565.00,605.00,603.35,591.13,33129,2152,19134,57.76
30-Nov-2016,603.35,619.90,628.00,595.05,598.00,599.75,610.89,226621,8036,108241,47.76
01-Dec-2016,599.75,601.30,620.00,576.20,577.10,585.60,589.20,38222,1427,29001,75.88
02-Dec-2016,585.60,575.00,598.00,568.05,584.85,581.20,577.38,19754,1119,11624,58.84
05-Dec-2016,581.20,582.00,600.00,575.00,587.00,590.85,586.69,17276,1480,10138,58.68
06-Dec-2016,590.85,598.00,601.00,585.00,587.05,590.20,592.37,13782,790,7915,57.43
07-Dec-2016,590.20,590.00,609.00,580.65,598.10,596.80,595.38,140419,3266,105088,74.84
08-Dec-2016,596.80,601.90,611.00,599.05,605.00,609.00,605.21,108589,4550,73045,67.27
09-Dec-2016,609.00,618.90,619.70,594.60,601.85,597.10,605.49,52903,2912,32771,61.95
12-Dec-2016,597.10,597.90,606.80,595.15,606.00,604.90,603.85,16809,984,11920,70.91
13-Dec-2016,604.90,607.95,609.00,602.00,609.00,607.95,606.27,9854,662,7935,80.53
14-Dec-2016,607.95,607.75,623.00,601.65,610.00,615.00,612.20,23146,1054,14306,61.81
15-Dec-2016,615.00,612.00,617.95,606.75,615.00,613.30,611.30,13558,742,10175,75.05
16-Dec-2016,613.30,613.50,620.00,610.10,613.00,616.30,614.89,6803,345,5419,79.66
19-Dec-2016,616.30,613.00,619.95,608.15,610.00,610.20,612.59,14625,788,12191,83.36
20-Dec-2016,610.20,604.55,610.05,602.00,602.15,606.80,607.16,44375,2588,37605,84.74
21-Dec-2016,606.80,602.35,609.20,602.35,608.00,607.75,607.36,11310,334,9201,81.35
22-Dec-2016,607.75,602.00,608.00,599.25,603.30,604.10,602.70,48054,895,37199,77.41
23-Dec-2016,604.10,604.10,608.00,602.95,606.00,607.05,606.70,9337,245,6922,74.14
26-Dec-2016,607.05,600.00,610.00,587.25,596.80,592.85,598.71,85308,1254,69476,81.44
27-Dec-2016,592.85,592.00,598.05,587.10,589.00,589.75,590.34,64637,1145,58465,90.45
28-Dec-2016,589.75,595.00,595.00,582.00,583.00,583.00,585.24,47808,999,40693,85.12
29-Dec-2016,583.00,569.80,572.00,562.10,565.00,564.90,565.84,29869,1399,20378,68.22
30-Dec-2016,564.90,565.10,575.00,565.05,566.00,570.00,570.38,41551,1308,34673,83.45
02-Jan-2017,570.00,568.00,574.35,559.40,562.00,568.05,569.32,15519,630,13493,86.95
03-Jan-2017,568.05,573.75,573.75,564.00,564.00,568.20,568.46,14075,732,9930,70.55
04-Jan-2017,568.20,567.00,569.05,566.20,567.85,568.25,568.33,7956,370,6769,85.08
05-Jan-2017,568.25,567.70,569.00,561.00,566.00,562.90,564.58,17211,577,12754,74.10
06-Jan-2017,562.90,563.80,570.00,562.50,566.00,566.45,567.75,20784,3088,14291,68.76
09-Jan-2017,566.45,573.85,573.90,562.50,569.00,571.05,567.54,7726,401,4966,64.28
10-Jan-2017,571.05,572.95,575.00,567.10,570.05,570.15,570.41,14375,1177,10303,71.67
