DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,149.55,149.95,150.80,147.35,147.80,147.95,148.83,1937196,15814,516174,26.65
03-Aug-2016,147.95,147.70,151.15,147.05,148.65,148.70,149.09,2377443,16999,546191,22.97
04-Aug-2016,148.70,149.20,150.60,147.50,150.00,149.75,149.18,1721079,12450,469838,27.30
05-Aug-2016,149.75,150.60,154.20,141.85,143.30,143.40,148.17,6622004,33877,1353281,20.44
08-Aug-2016,143.40,144.00,144.00,137.55,140.80,141.05,140.71,3348182,19343,863604,25.79
09-Aug-2016,141.05,140.50,143.30,140.20,142.70,142.65,142.27,2351710,11824,571766,24.31
10-Aug-2016,142.65,142.85,142.90,139.05,139.20,139.60,140.34,1692996,10151,343688,20.30
11-Aug-2016,139.60,140.90,141.50,138.70,139.00,139.40,139.89,3534598,11362,1602700,45.34
12-Aug-2016,139.40,140.00,142.80,140.00,142.30,142.25,141.30,1969779,11666,701866,35.63
16-Aug-2016,142.25,142.80,144.20,141.25,143.40,143.70,142.87,1959005,9124,945969,48.29
17-Aug-2016,143.70,146.90,146.90,140.95,141.60,141.25,142.61,1930644,10888,778683,40.33
18-Aug-2016,141.25,142.15,143.10,141.35,142.20,142.10,142.21,1492948,11902,833535,55.83
19-Aug-2016,142.10,142.50,154.90,142.40,152.90,153.10,148.61,6027166,29586,1408925,23.38
22-Aug-2016,153.10,153.90,160.25,151.35,156.50,156.90,156.79,9488056,51325,1676262,17.67
23-Aug-2016,156.90,156.80,157.50,153.25,155.50,155.60,155.56,3358465,22803,474533,14.13
24-Aug-2016,155.60,155.50,155.90,153.50,154.00,154.30,154.42,3682907,16456,1314235,35.68
25-Aug-2016,154.30,154.75,155.00,150.90,152.40,152.20,153.61,3254987,14292,899249,27.63
26-Aug-2016,152.20,152.75,152.85,147.25,148.75,148.50,149.15,2076707,13473,398357,19.18
29-Aug-2016,148.50,148.80,151.20,147.10,149.80,149.60,149.50,2959211,17183,450814,15.23
30-Aug-2016,149.60,150.60,154.20,149.55,153.25,153.45,151.46,2897018,14276,1043438,36.02
31-Aug-2016,153.45,153.95,155.35,150.45,151.00,151.50,153.04,2799259,14734,1015107,36.26
01-Sep-2016,151.50,151.10,153.30,149.65,150.90,150.35,151.21,2442459,16423,356362,14.59
02-Sep-2016,150.35,150.50,151.95,150.30,151.35,151.45,151.22,1473467,9369,328627,22.30
06-Sep-2016,151.45,152.40,156.70,152.10,155.90,156.00,155.05,3719865,18831,1044146,28.07
07-Sep-2016,156.00,157.85,162.25,155.25,158.00,157.90,159.38,6649635,40166,1525329,22.94
08-Sep-2016,157.90,156.70,161.40,156.70,158.85,159.10,159.58,3341985,21880,998390,29.87
09-Sep-2016,159.10,158.85,160.25,156.25,157.90,158.50,158.25,3742596,21814,458274,12.24
12-Sep-2016,158.50,153.50,155.90,151.15,151.75,151.70,153.66,1727995,14817,522702,30.25
14-Sep-2016,151.70,151.05,155.35,150.10,154.85,154.85,153.62,1609882,15402,248643,15.44
15-Sep-2016,154.85,154.65,155.20,152.20,152.60,152.75,153.10,930590,6402,247127,26.56
16-Sep-2016,152.75,153.50,156.55,151.30,152.50,152.60,154.29,1899067,15961,522752,27.53
19-Sep-2016,152.60,153.00,155.25,151.35,154.80,154.90,154.11,1857651,18863,386371,20.80
20-Sep-2016,154.90,155.40,155.60,153.45,153.90,154.15,154.48,1481701,14961,245087,16.54
21-Sep-2016,154.15,154.05,155.70,152.90,153.00,153.55,154.29,1171821,17366,314239,26.82
22-Sep-2016,153.55,155.00,156.50,154.15,155.30,155.65,155.39,1723597,19354,379978,22.05
