DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,104.65,105.30,107.15,104.05,105.45,105.40,105.32,409608,3619,182823,44.63
03-Aug-2016,105.40,105.20,109.40,103.40,107.10,107.10,106.89,730433,6926,269519,36.90
04-Aug-2016,107.10,107.45,109.15,105.50,107.15,107.40,107.51,325349,3052,118871,36.54
05-Aug-2016,107.40,107.40,109.45,106.80,107.55,108.15,108.33,536922,3671,217204,40.45
08-Aug-2016,108.15,108.45,110.20,107.60,108.05,108.00,108.72,307775,2541,120169,39.04
09-Aug-2016,108.00,108.65,109.25,106.05,107.00,106.90,107.50,325263,3121,125187,38.49
10-Aug-2016,106.90,107.00,107.45,104.50,106.15,106.30,106.07,319862,2683,161439,50.47
11-Aug-2016,106.30,106.35,111.45,105.25,110.65,110.30,109.12,743655,4990,491312,66.07
12-Aug-2016,110.30,111.00,116.25,110.95,115.80,115.45,114.03,1483644,9996,911172,61.41
16-Aug-2016,115.45,116.90,117.70,114.20,115.90,115.60,116.09,569556,4546,290216,50.95
17-Aug-2016,115.60,115.50,119.75,115.00,118.45,118.70,117.77,1194345,8793,484424,40.56
18-Aug-2016,118.70,118.75,122.00,117.15,121.50,121.10,120.16,1454491,9947,505290,34.74
19-Aug-2016,121.10,121.00,123.50,119.50,122.50,122.55,121.67,944354,5957,455324,48.22
22-Aug-2016,122.55,122.40,125.75,121.95,123.20,123.30,123.79,1146959,6283,658427,57.41
23-Aug-2016,123.30,123.20,125.70,118.40,121.90,122.20,123.06,1270538,8688,617447,48.60
24-Aug-2016,122.20,121.85,123.10,118.25,120.20,120.60,120.50,608012,4308,304242,50.04
25-Aug-2016,120.60,120.75,121.45,116.10,116.45,116.90,118.54,439658,3779,251223,57.14
26-Aug-2016,116.90,117.25,120.80,114.60,120.45,118.85,117.26,520191,3964,290947,55.93
29-Aug-2016,118.85,119.50,124.35,118.05,123.40,123.75,121.57,1098772,8510,480337,43.72
30-Aug-2016,123.75,124.60,125.35,121.40,122.80,123.55,123.45,589653,5110,264449,44.85
31-Aug-2016,123.55,123.25,124.35,119.55,119.80,120.50,121.82,477373,3772,211361,44.28
01-Sep-2016,120.50,120.00,121.40,117.55,119.20,118.45,119.40,393003,4639,193605,49.26
02-Sep-2016,118.45,118.80,124.25,118.65,122.25,121.90,122.18,668386,7318,233255,34.90
06-Sep-2016,121.90,121.65,128.70,121.00,127.75,127.70,126.02,1744398,9835,1001274,57.40
07-Sep-2016,127.70,128.35,129.80,126.75,127.25,127.60,128.23,1114415,7408,655821,58.85
08-Sep-2016,127.60,127.55,131.80,125.50,130.00,130.60,129.37,1605223,10286,644449,40.15
09-Sep-2016,130.60,131.00,131.80,124.65,125.75,125.35,127.18,1123319,7477,527818,46.99
12-Sep-2016,125.35,120.85,123.35,120.05,120.05,120.60,121.50,536796,5759,309396,57.64
14-Sep-2016,120.60,121.45,126.40,119.35,120.00,121.35,123.15,1891000,14662,548098,28.98
15-Sep-2016,121.35,121.75,124.55,120.35,121.50,121.60,122.29,920099,9632,307674,33.44
16-Sep-2016,121.60,122.40,123.30,118.85,119.40,120.20,121.50,701722,5143,349360,49.79
19-Sep-2016,120.20,121.00,121.50,118.80,119.00,119.20,120.26,371831,3241,221103,59.46
