DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,141.50,141.00,142.75,138.60,141.80,141.25,140.39,1053107,14295,564196,53.57
03-Aug-2016,141.25,139.00,147.50,139.00,145.50,145.85,143.91,2292400,15699,974102,42.49
04-Aug-2016,145.85,145.05,146.50,139.60,141.15,141.00,141.63,874838,8317,536204,61.29
05-Aug-2016,141.00,141.90,143.50,136.65,137.00,137.30,139.50,595702,4665,331698,55.68
08-Aug-2016,137.30,136.50,141.00,135.50,137.30,137.85,138.51,639129,6369,308881,48.33
09-Aug-2016,137.85,137.50,140.00,136.00,139.50,139.80,138.38,486765,4026,205837,42.29
10-Aug-2016,139.80,139.80,145.25,138.00,143.50,144.05,141.81,1061454,12156,724153,68.22
11-Aug-2016,144.05,143.85,148.30,141.80,146.00,146.90,146.04,1001873,5760,412076,41.13
12-Aug-2016,146.90,147.00,147.00,142.20,142.40,143.05,143.99,326897,2857,122184,37.38
16-Aug-2016,143.05,143.90,145.50,142.05,144.40,144.75,143.68,430078,1867,203328,47.28
17-Aug-2016,144.75,145.10,147.50,142.85,146.15,146.65,146.40,332405,1868,220815,66.43
18-Aug-2016,146.65,146.95,146.95,143.75,143.90,144.90,145.54,222717,2033,142294,63.89
19-Aug-2016,144.90,147.00,149.80,143.25,146.90,147.10,147.57,621955,5976,386503,62.14
22-Aug-2016,147.10,147.00,149.10,143.80,146.00,145.50,146.48,413682,3430,252025,60.92
23-Aug-2016,145.50,146.00,148.00,142.95,145.30,145.90,146.10,234336,2766,107429,45.84
24-Aug-2016,145.90,147.95,147.95,144.55,144.90,145.25,145.96,132957,1189,66297,49.86
25-Aug-2016,145.25,145.45,146.20,140.15,141.05,141.40,143.62,204482,2064,124713,60.99
26-Aug-2016,141.40,141.35,144.45,138.50,139.55,140.70,141.80,304482,5757,215543,70.79
29-Aug-2016,140.70,145.00,146.40,142.00,145.95,145.85,144.70,347158,2980,227348,65.49
30-Aug-2016,145.85,145.50,147.25,144.55,145.90,145.20,146.08,233183,1629,137868,59.12
31-Aug-2016,145.20,145.00,146.65,142.10,142.50,142.90,143.69,236287,1737,142381,60.26
01-Sep-2016,142.90,142.30,143.95,138.60,139.65,140.30,142.07,550376,2328,474269,86.17
02-Sep-2016,140.30,138.15,142.35,138.15,139.90,139.90,139.69,418669,1827,343816,82.12
06-Sep-2016,139.90,142.40,142.50,140.75,142.00,141.80,141.37,282290,1270,228297,80.87
07-Sep-2016,141.80,142.15,144.00,141.00,142.75,142.60,142.59,426605,1372,356923,83.67
08-Sep-2016,142.60,144.90,159.00,144.15,155.00,152.55,151.54,2793382,18793,1033982,37.02
09-Sep-2016,152.55,154.00,155.75,148.10,149.85,149.35,150.84,905840,4856,620360,68.48
12-Sep-2016,149.35,148.50,149.30,143.30,148.05,148.15,147.95,686776,3425,541612,78.86
14-Sep-2016,148.15,149.75,152.50,149.50,149.95,150.65,150.63,264558,2555,149977,56.69
15-Sep-2016,150.65,151.55,151.85,147.25,148.80,149.10,149.18,360559,1708,277902,77.08
16-Sep-2016,149.10,148.55,153.85,148.00,149.90,149.35,150.78,746131,3698,545766,73.15
19-Sep-2016,149.35,149.00,159.00,149.00,159.00,156.95,155.14,944025,10100,619152,65.59
20-Sep-2016,156.95,156.00,156.95,145.05,151.50,152.35,150.50,677387,3121,257488,38.01
21-Sep-2016,152.35,151.80,156.40,151.50,153.50,153.10,154.05,376674,3087,212435,56.40
22-Sep-2016,153.10,155.00,159.90,155.00,158.25,158.45,157.95,1665466,7438,952862,57.21
23-Sep-2016,158.45,158.50,165.80,155.10,156.90,157.60,159.53,1857100,8710,949431,51.12
26-Sep-2016,157.60,159.05,160.60,156.30,156.60,156.75,158.06,556559,2918,275772,49.55
27-Sep-2016,156.75,157.00,158.40,155.50,156.10,156.60,156.57,215371,1777,132117,61.34
28-Sep-2016,156.60,157.95,160.00,157.00,158.00,158.30,158.43,322904,2178,181335,56.16
29-Sep-2016,158.30,158.60,159.85,147.00,150.15,150.10,151.98,384206,2905,245766,63.97
30-Sep-2016,150.10,150.00,155.40,148.00,154.10,154.70,153.31,238275,2991,134159,56.30
03-Oct-2016,154.70,156.90,159.70,154.75,157.50,158.00,157.80,195234,1917,110422,56.56
04-Oct-2016,158.00,158.60,158.60,155.90,157.45,156.95,157.10,147539,1265,92571,62.74
05-Oct-2016,156.95,158.00,159.00,154.10,155.60,154.90,155.97,170005,1264,106682,62.75
06-Oct-2016,154.90,156.05,157.80,153.50,155.00,154.85,155.18,213234,1376,147713,69.27
07-Oct-2016,154.85,154.10,157.50,153.50,155.95,155.50,155.33,215264,2238,132187,61.41
10-Oct-2016,155.50,155.95,158.00,147.40,152.75,153.70,154.72,260271,3822,135567,52.09
13-Oct-2016,153.70,153.25,153.25,149.65,151.60,151.40,151.16,166331,1399,122643,73.73
14-Oct-2016,151.40,150.20,153.00,150.20,153.00,151.95,151.62,181677,1363,110668,60.91
