DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,974.10,975.00,981.00,950.15,955.00,955.55,967.40,23766,2474,8539,35.93
03-Aug-2016,955.55,955.95,960.50,929.60,935.15,933.85,942.36,17960,1972,9887,55.05
04-Aug-2016,933.85,935.00,955.85,925.00,931.90,930.60,939.11,8797,773,4100,46.61
05-Aug-2016,930.60,935.85,946.25,926.00,928.00,929.50,931.28,44206,1566,34829,78.79
08-Aug-2016,929.50,937.40,938.85,919.00,919.00,925.05,930.15,15525,1024,6669,42.96
09-Aug-2016,925.05,928.40,930.65,905.10,906.00,911.35,917.67,15071,1445,9531,63.24
10-Aug-2016,911.35,914.90,914.90,900.00,905.00,904.60,905.78,10044,648,5159,51.36
11-Aug-2016,904.60,903.50,910.00,897.35,910.00,908.30,904.92,12293,1568,4696,38.20
12-Aug-2016,908.30,910.75,940.00,907.00,935.00,933.25,928.00,25220,1711,13206,52.36
16-Aug-2016,933.25,938.00,945.30,915.05,920.00,920.95,932.81,9359,1426,4326,46.22
17-Aug-2016,920.95,948.00,948.00,902.00,916.00,917.10,926.11,22962,1977,8892,38.72
18-Aug-2016,917.10,929.00,935.00,920.00,928.00,926.15,928.63,25202,1562,18815,74.66
19-Aug-2016,926.15,926.20,942.00,926.20,931.00,930.95,933.89,12320,1155,5453,44.26
22-Aug-2016,930.95,930.00,940.00,921.00,933.55,927.75,931.00,6406,591,2125,33.17
23-Aug-2016,927.75,927.75,935.80,917.50,926.00,921.50,927.66,6411,810,2009,31.34
24-Aug-2016,921.50,921.50,957.90,921.50,934.00,932.40,927.98,270961,1580,254459,93.91
25-Aug-2016,932.40,932.00,949.00,929.00,931.00,935.25,938.15,11285,1160,5088,45.09
26-Aug-2016,935.25,923.30,935.00,913.10,918.00,921.80,922.85,24461,3090,8256,33.75
29-Aug-2016,921.80,919.45,933.00,919.45,924.00,925.50,925.90,7460,1103,3461,46.39
30-Aug-2016,925.50,935.00,1042.30,934.00,1002.00,1005.75,1001.16,429143,19075,139247,32.45
31-Aug-2016,1005.75,1008.00,1119.95,1004.45,1077.05,1081.75,1077.92,701966,30120,211801,30.17
01-Sep-2016,1081.75,1078.00,1085.00,1050.00,1060.00,1061.20,1065.27,152906,8367,68148,44.57
02-Sep-2016,1061.20,1060.00,1270.00,1051.10,1162.00,1161.30,1174.28,1466322,60380,235882,16.09
06-Sep-2016,1161.30,1174.70,1199.00,1114.00,1127.00,1127.00,1153.75,206837,11942,62140,30.04
07-Sep-2016,1127.00,1134.00,1160.00,1123.00,1137.00,1136.50,1140.03,143709,8123,51490,35.83
08-Sep-2016,1136.50,1136.50,1162.00,1118.00,1130.00,1126.95,1136.51,112278,5123,37273,33.20
09-Sep-2016,1126.95,1131.00,1197.00,1128.00,1140.00,1141.70,1159.94,254156,11745,57977,22.81
12-Sep-2016,1141.70,1125.00,1168.00,1110.10,1144.30,1150.05,1149.08,176566,9594,40015,22.66
