DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,3718.45,3731.95,3732.00,3675.00,3680.00,3685.10,3705.30,1469,234,1094,74.47
03-Aug-2016,3685.10,3685.00,3710.00,3660.00,3700.00,3698.20,3695.38,3695,246,3190,86.33
04-Aug-2016,3698.20,3698.00,3899.00,3698.00,3770.00,3775.35,3789.01,8065,1162,4585,56.85
05-Aug-2016,3775.35,3770.00,3832.05,3671.00,3676.10,3694.45,3727.38,17166,3010,3764,21.93
08-Aug-2016,3694.45,3745.00,3859.55,3685.10,3857.95,3839.10,3813.42,16176,1784,12708,78.56
09-Aug-2016,3839.10,3839.10,4009.95,3839.10,3882.10,3894.90,3945.45,30653,3593,21944,71.59
10-Aug-2016,3894.90,3905.00,3922.00,3811.00,3821.00,3822.20,3854.39,2940,866,2043,69.49
11-Aug-2016,3822.20,3772.00,3844.00,3772.00,3800.00,3799.05,3807.93,3120,403,2634,84.42
12-Aug-2016,3799.05,3801.15,3839.95,3664.00,3672.05,3701.60,3764.81,5561,970,3456,62.15
16-Aug-2016,3701.60,3701.00,3754.05,3696.00,3710.00,3706.70,3722.95,1768,340,1278,72.29
17-Aug-2016,3706.70,3725.00,3728.15,3690.10,3696.00,3700.30,3700.47,2430,596,1917,78.89
18-Aug-2016,3700.30,3743.50,4141.00,3702.10,3880.00,3888.00,3866.57,97433,7856,69715,71.55
19-Aug-2016,3888.00,3888.00,3989.40,3860.00,3875.00,3887.00,3891.78,14928,2240,9937,66.57
22-Aug-2016,3887.00,3860.00,3875.50,3836.10,3850.00,3849.75,3852.41,6284,704,5080,80.84
23-Aug-2016,3849.75,3845.00,3865.00,3803.65,3845.95,3846.70,3834.40,5962,740,4912,82.39
24-Aug-2016,3846.70,3851.05,3950.00,3851.05,3939.00,3938.50,3904.37,9106,1379,5831,64.03
25-Aug-2016,3938.50,3901.00,3980.00,3851.00,3857.95,3861.45,3905.17,7928,1877,4554,57.44
26-Aug-2016,3861.45,3889.95,3900.00,3852.00,3860.00,3856.15,3868.12,5306,793,2353,44.35
29-Aug-2016,3856.15,3904.00,4137.00,3835.00,4087.70,4087.50,3956.56,133703,10516,87995,65.81
30-Aug-2016,4087.50,4130.00,4220.00,4081.00,4151.05,4161.85,4140.83,45127,6232,18347,40.66
31-Aug-2016,4161.85,4166.15,4189.00,4058.90,4080.00,4084.15,4108.26,15453,2650,8930,57.79
01-Sep-2016,4084.15,4085.00,4139.00,4014.95,4033.00,4030.65,4078.74,8469,1645,5561,65.66
02-Sep-2016,4030.65,4031.50,4179.90,4010.00,4129.00,4097.85,4108.45,13174,2772,6450,48.96
06-Sep-2016,4097.85,4097.85,4304.00,4097.85,4239.00,4253.40,4226.09,24515,3498,11377,46.41
07-Sep-2016,4253.40,4250.00,4475.00,4215.00,4395.00,4392.40,4355.35,35690,5740,16344,45.79
08-Sep-2016,4392.40,4401.00,4434.40,4324.95,4342.00,4354.05,4375.23,10159,2092,5286,52.03
09-Sep-2016,4354.05,4355.70,4420.00,4256.05,4340.00,4304.05,4330.89,13314,2490,6750,50.70
12-Sep-2016,4304.05,4210.00,4285.00,4170.00,4180.25,4186.60,4235.94,9824,1420,6024,61.32
14-Sep-2016,4186.60,4194.30,4340.00,4194.25,4330.00,4303.10,4269.10,7898,1101,4727,59.85
15-Sep-2016,4303.10,4335.00,4465.00,4280.10,4357.00,4370.60,4381.92,18251,4245,9506,52.08
16-Sep-2016,4370.60,4395.05,4440.00,4290.00,4355.00,4337.15,4370.23,6790,1361,3382,49.81
19-Sep-2016,4337.15,4354.95,4385.00,4172.20,4325.00,4335.55,4323.70,5431,1187,2703,49.77
20-Sep-2016,4335.55,4335.50,4344.00,4251.00,4265.00,4256.30,4273.72,5258,823,3751,71.34
21-Sep-2016,4256.30,4278.95,4371.80,4278.95,4290.00,4295.75,4314.31,4047,1007,2034,50.26
22-Sep-2016,4295.75,4295.00,4400.05,4295.00,4400.00,4388.50,4368.91,7729,1312,4392,56.82
23-Sep-2016,4388.50,4401.00,4450.40,4329.00,4346.00,4342.00,4392.06,11920,1605,6516,54.66
26-Sep-2016,4342.00,4312.00,4395.45,4312.00,4320.00,4325.70,4359.08,2442,711,1464,59.95
27-Sep-2016,4325.70,4325.05,4360.30,4301.40,4307.00,4309.30,4330.95,4500,926,3233,71.84
