DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1493.70,1496.00,1513.80,1490.25,1504.00,1503.35,1504.32,1607276,50283,543060,33.79
03-Aug-2016,1503.35,1508.00,1517.15,1470.50,1479.50,1478.60,1487.85,1746439,61038,656298,37.58
04-Aug-2016,1478.60,1496.00,1496.00,1460.40,1471.90,1469.15,1473.51,1502891,50445,615530,40.96
05-Aug-2016,1469.15,1480.35,1516.75,1478.00,1506.05,1512.20,1501.32,1870419,68421,883497,47.24
08-Aug-2016,1512.20,1520.00,1524.65,1497.10,1505.20,1507.15,1506.52,935949,49291,361108,38.58
09-Aug-2016,1507.15,1509.90,1510.00,1487.40,1500.00,1500.95,1498.89,1243600,49024,597319,48.03
10-Aug-2016,1500.95,1501.35,1504.00,1476.35,1484.00,1483.20,1485.60,1122174,61709,539490,48.08
11-Aug-2016,1483.20,1475.05,1479.00,1462.85,1476.05,1474.70,1470.81,1493581,48325,861464,57.68
12-Aug-2016,1474.70,1479.00,1505.70,1478.50,1489.85,1491.90,1494.82,1106088,51023,466658,42.19
16-Aug-2016,1491.90,1493.95,1512.65,1472.00,1504.05,1506.35,1501.45,1740562,67083,915607,52.60
17-Aug-2016,1506.35,1503.75,1514.25,1491.00,1501.00,1502.50,1500.16,923102,47010,328344,35.57
18-Aug-2016,1502.50,1491.00,1498.70,1480.00,1481.00,1482.10,1488.01,1187155,43727,470443,39.63
19-Aug-2016,1482.10,1488.00,1497.00,1479.65,1495.00,1494.35,1491.04,928167,42945,403138,43.43
22-Aug-2016,1494.35,1495.00,1504.00,1479.00,1490.50,1492.65,1493.32,1225330,50157,511012,41.70
23-Aug-2016,1492.65,1492.65,1494.70,1463.20,1477.20,1477.15,1475.30,848993,35108,257788,30.36
24-Aug-2016,1477.15,1475.00,1488.45,1465.05,1471.50,1473.50,1472.61,820418,33983,293104,35.73
25-Aug-2016,1473.50,1476.10,1483.30,1450.50,1455.00,1454.65,1465.48,1744103,64551,836015,47.93
26-Aug-2016,1454.65,1455.00,1459.95,1420.40,1427.75,1427.20,1433.56,1859100,71702,759051,40.83
29-Aug-2016,1427.20,1432.00,1463.75,1419.20,1459.00,1459.50,1447.48,1396153,54550,482378,34.55
30-Aug-2016,1459.50,1468.00,1477.80,1457.85,1476.15,1475.65,1468.93,1732206,46288,845565,48.81
31-Aug-2016,1475.65,1475.00,1517.95,1470.30,1512.00,1512.95,1502.70,2768160,107538,1538643,55.58
01-Sep-2016,1512.95,1513.00,1517.55,1502.05,1506.35,1507.10,1508.51,1270511,50623,628791,49.49
02-Sep-2016,1507.10,1507.10,1512.50,1486.80,1504.75,1505.05,1500.13,1170337,46510,462732,39.54
06-Sep-2016,1505.05,1512.20,1524.25,1503.15,1513.90,1516.40,1515.59,1307240,64080,649481,49.68
07-Sep-2016,1516.40,1522.70,1541.45,1510.00,1517.50,1518.25,1526.96,1765509,68734,839753,47.56
08-Sep-2016,1518.25,1525.55,1545.95,1521.15,1539.00,1539.50,1538.09,1128123,47698,450363,39.92
09-Sep-2016,1539.50,1540.00,1541.10,1510.00,1514.90,1517.70,1525.04,1508622,62289,921266,61.07
12-Sep-2016,1517.70,1488.00,1491.60,1459.90,1463.00,1463.20,1470.93,1302381,77648,630961,48.45
14-Sep-2016,1463.20,1463.20,1482.00,1456.10,1474.00,1475.30,1469.11,1145836,52082,483504,42.20
