DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,686.90,685.05,690.00,682.50,683.50,683.65,685.07,268056,13630,208777,77.89
03-Aug-2016,683.65,685.00,688.00,677.70,680.00,680.00,682.33,116318,5951,67892,58.37
04-Aug-2016,680.00,682.05,684.00,679.10,681.50,681.05,681.28,134769,7920,95506,70.87
05-Aug-2016,681.05,681.95,715.00,681.50,696.10,697.65,702.53,593783,19320,232260,39.12
08-Aug-2016,697.65,700.00,708.00,696.30,699.10,700.90,703.11,347844,23924,177463,51.02
09-Aug-2016,700.90,703.20,711.00,696.30,697.40,698.30,703.79,341932,13797,185728,54.32
10-Aug-2016,698.30,699.90,700.95,690.00,690.40,690.25,693.81,84904,3476,43604,51.36
11-Aug-2016,690.25,691.00,697.00,682.50,685.00,684.05,688.17,96842,5096,49486,51.10
12-Aug-2016,684.05,686.65,691.10,683.00,684.00,685.20,686.29,74615,3148,42907,57.50
16-Aug-2016,685.20,685.20,688.00,681.30,681.50,681.95,683.65,64845,2772,39698,61.22
17-Aug-2016,681.95,682.10,691.50,677.20,678.00,678.95,683.23,90769,3325,44220,48.72
18-Aug-2016,678.95,679.80,681.85,674.00,674.90,674.95,678.00,152898,6665,76614,50.11
19-Aug-2016,674.95,675.00,679.90,662.65,663.10,664.60,668.34,222490,11461,152926,68.73
22-Aug-2016,664.60,665.95,667.00,655.00,657.00,656.05,660.14,132422,9592,90077,68.02
23-Aug-2016,656.05,655.10,661.90,644.00,645.00,645.95,652.89,221090,13422,151400,68.48
24-Aug-2016,645.95,646.00,649.45,638.35,639.75,639.85,642.56,188676,10272,133182,70.59
25-Aug-2016,639.85,640.05,664.80,640.05,654.00,653.90,651.52,283053,9341,121665,42.98
26-Aug-2016,653.90,655.05,659.90,646.60,648.00,647.80,652.55,86564,3210,50166,57.95
29-Aug-2016,647.80,644.50,647.45,639.80,640.00,640.90,642.54,66739,2906,45255,67.81
30-Aug-2016,640.90,644.00,659.85,641.50,653.00,651.75,651.61,141778,5394,56843,40.09
31-Aug-2016,651.75,648.55,660.00,648.55,652.00,652.90,655.82,182760,6528,121409,66.43
01-Sep-2016,652.90,654.00,655.00,644.05,646.00,645.60,649.65,75558,3123,50904,67.37
02-Sep-2016,645.60,647.00,652.10,640.05,643.85,643.95,645.27,90488,4200,53728,59.38
06-Sep-2016,643.95,645.95,663.00,645.00,651.25,651.55,653.66,186480,7134,93305,50.03
07-Sep-2016,651.55,653.90,664.00,652.10,655.50,655.20,657.46,142947,5873,80472,56.29
08-Sep-2016,655.20,657.00,657.00,645.00,651.50,650.30,650.60,112310,7142,69499,61.88
09-Sep-2016,650.30,650.30,651.95,640.80,642.85,643.05,645.26,148925,5962,96438,64.76
12-Sep-2016,643.05,638.60,651.00,638.60,639.85,639.75,643.22,122512,5076,70411,57.47
14-Sep-2016,639.75,641.00,648.70,635.00,636.00,636.95,640.42,135473,5933,92661,68.40
15-Sep-2016,636.95,637.00,641.95,635.00,635.30,635.65,637.91,69618,4617,42136,60.52
16-Sep-2016,635.65,637.95,639.95,634.00,635.45,635.00,636.96,76717,6131,49240,64.18
19-Sep-2016,635.00,637.85,648.00,635.00,640.15,640.30,641.52,96094,6265,42972,44.72
20-Sep-2016,640.30,641.90,646.30,637.40,639.05,639.00,641.10,69882,4353,30945,44.28
21-Sep-2016,639.00,641.80,642.00,638.05,638.05,639.35,640.02,41634,3533,24349,58.48
22-Sep-2016,639.35,632.55,646.80,632.55,638.20,638.50,640.98,102008,5215,54294,53.23
23-Sep-2016,638.50,640.00,648.50,637.00,639.00,638.55,642.37,136350,5913,57330,42.05
26-Sep-2016,638.55,638.50,640.00,636.00,639.95,638.20,638.49,44285,3696,26389,59.59
27-Sep-2016,638.20,639.95,640.10,635.00,639.25,637.75,637.75,40845,2852,24119,59.05
28-Sep-2016,637.75,637.00,644.50,635.00,637.75,638.35,639.27,55249,3666,30694,55.56
29-Sep-2016,638.35,638.00,639.95,613.00,614.85,614.65,624.38,176659,12946,129737,73.44
30-Sep-2016,614.65,615.00,622.00,613.50,617.80,617.95,618.91,86260,4264,60013,69.57
03-Oct-2016,617.95,619.95,627.95,619.95,621.85,622.90,622.83,48049,3130,28372,59.05
04-Oct-2016,622.90,623.90,625.40,617.00,617.80,618.25,620.75,60276,2983,43206,71.68
05-Oct-2016,618.25,619.20,625.40,614.50,614.50,615.55,618.68,115421,7039,65666,56.89
06-Oct-2016,615.55,617.80,619.95,614.05,614.05,614.75,617.13,53393,2725,36013,67.45
07-Oct-2016,614.75,615.95,618.70,611.10,611.50,612.35,613.59,44229,2611,28075,63.48
10-Oct-2016,612.35,611.10,615.55,610.00,613.00,611.30,612.67,54276,2821,32775,60.39
13-Oct-2016,611.30,610.50,613.90,604.00,606.55,605.05,608.09,88286,3712,60468,68.49
14-Oct-2016,605.05,605.05,611.95,605.05,609.50,609.05,608.30,116210,3830,94414,81.24
17-Oct-2016,609.05,605.30,623.70,605.30,620.00,618.80,617.87,71527,5063,41126,57.50
18-Oct-2016,618.80,619.95,623.00,618.15,623.00,621.65,620.85,58766,4415,37328,63.52
19-Oct-2016,621.65,622.05,626.35,620.50,622.70,622.30,623.57,56797,2764,39718,69.93
20-Oct-2016,622.30,622.30,627.00,622.30,625.25,624.20,624.78,34073,1669,22016,64.61
21-Oct-2016,624.20,622.20,626.00,622.05,623.00,623.60,623.48,43074,1956,32602,75.69
24-Oct-2016,623.60,623.95,628.70,621.05,628.40,626.45,625.16,32897,1691,22345,67.92
25-Oct-2016,626.45,627.90,656.00,622.50,648.90,649.25,644.71,154266,6092,78331,50.78
26-Oct-2016,649.25,649.80,655.00,648.00,650.10,650.25,651.29,78843,6980,54413,69.01
27-Oct-2016,650.25,650.00,650.00,643.50,648.50,647.05,646.33,40774,2930,31626,77.56
28-Oct-2016,647.05,646.50,653.50,645.50,648.90,647.65,648.15,51873,5815,36658,70.67
30-Oct-2016,647.65,648.80,649.95,645.00,648.50,647.30,647.29,11447,615,8757,76.50
01-Nov-2016,647.30,649.80,649.80,644.05,645.00,645.10,645.87,22450,2376,13889,61.87
02-Nov-2016,645.10,644.50,645.05,636.60,636.60,638.05,639.14,43871,3844,34560,78.78
03-Nov-2016,638.05,638.00,643.60,629.95,630.50,632.35,633.35,51299,3196,38331,74.72
04-Nov-2016,632.35,633.00,633.00,625.00,627.95,625.95,627.79,25061,2704,16185,64.58
07-Nov-2016,625.95,627.95,633.95,625.00,627.00,627.50,628.05,24451,2888,13562,55.47
08-Nov-2016,627.50,627.50,633.60,627.50,631.95,631.30,631.11,23470,2798,17166,73.14
09-Nov-2016,631.30,610.00,635.00,600.00,630.00,627.75,616.05,60189,5432,35944,59.72
10-Nov-2016,627.75,632.00,640.60,630.00,631.20,631.30,635.63,35377,2054,22991,64.99
11-Nov-2016,631.30,602.20,624.00,602.20,619.00,620.15,619.89,25009,1401,16157,64.60
15-Nov-2016,620.15,618.80,618.80,601.80,603.00,603.65,606.94,43648,2590,29472,67.52
16-Nov-2016,603.65,607.00,625.00,604.95,611.70,610.65,611.04,22818,2777,13506,59.19
17-Nov-2016,610.65,616.00,616.00,605.00,611.50,608.95,609.95,16698,1344,11302,67.68
18-Nov-2016,608.95,611.90,612.05,605.80,608.00,608.05,608.13,27527,1255,23295,84.63
21-Nov-2016,608.05,608.05,611.00,598.80,603.00,600.50,601.31,59932,6120,49292,82.25
22-Nov-2016,600.50,603.00,605.00,598.00,601.00,601.15,601.21,35265,3809,28901,81.95
23-Nov-2016,601.15,605.00,608.00,601.00,607.40,605.20,603.91,39071,3759,28154,72.06
24-Nov-2016,605.20,610.00,610.00,601.90,605.95,605.20,605.59,33135,4766,22697,68.50
25-Nov-2016,605.20,605.20,623.00,605.20,620.00,620.10,615.97,48951,3946,23736,48.49
28-Nov-2016,620.10,620.00,623.00,615.00,622.75,621.40,621.22,15063,2335,10481,69.58
29-Nov-2016,621.40,621.80,635.00,621.75,630.10,631.90,629.17,32418,1720,19983,61.64
30-Nov-2016,631.90,638.80,649.90,630.00,639.00,643.80,642.83,72517,7426,48675,67.12
01-Dec-2016,643.80,644.00,651.95,638.80,651.00,650.00,647.62,56649,4013,39286,69.35
02-Dec-2016,650.00,649.00,651.10,637.80,650.00,650.00,648.63,57125,3846,44621,78.11
05-Dec-2016,650.00,642.00,651.00,640.60,650.00,647.25,644.24,73799,5308,62800,85.10
06-Dec-2016,647.25,650.00,651.00,635.00,650.00,646.00,647.17,19963,2833,12143,60.83
07-Dec-2016,646.00,649.80,649.80,640.00,640.00,640.70,643.52,10140,1482,6339,62.51
08-Dec-2016,640.70,646.80,646.85,641.00,645.00,643.15,644.07,24397,3543,16711,68.50
09-Dec-2016,643.15,645.00,659.45,643.15,656.00,654.85,651.01,96947,2429,80030,82.55
12-Dec-2016,654.85,645.40,657.30,645.40,656.00,653.40,651.42,32850,2889,26562,80.86
13-Dec-2016,653.40,647.25,657.30,647.25,651.00,651.25,652.38,16398,1161,8915,54.37
