DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
23-Sep-2016,860.00,920.00,931.45,860.10,860.55,869.00,902.51,8014800,212628,2622573,32.72
26-Sep-2016,869.00,860.00,877.75,855.15,875.10,870.65,865.84,881599,35605,271601,30.81
27-Sep-2016,870.65,872.30,874.85,860.00,862.30,861.65,866.51,166160,7300,64521,38.83
28-Sep-2016,861.65,863.00,868.70,859.00,861.85,863.50,862.89,190573,6668,110322,57.89
29-Sep-2016,863.50,863.75,867.50,833.55,849.00,845.90,850.15,367348,13036,258896,70.48
30-Sep-2016,845.90,844.95,854.95,837.50,846.45,847.15,846.95,95427,5540,59385,62.23
03-Oct-2016,847.15,847.50,852.05,840.10,842.00,846.65,846.89,66731,3364,32425,48.59
04-Oct-2016,846.65,844.95,847.50,830.15,831.95,833.50,837.21,82996,3581,49302,59.40
05-Oct-2016,833.50,833.00,836.70,823.75,825.00,826.85,830.41,56541,3009,30776,54.43
06-Oct-2016,826.85,827.50,844.00,827.50,839.25,840.60,839.13,88139,4070,44871,50.91
07-Oct-2016,840.60,842.50,846.60,830.10,831.00,832.60,836.51,38794,1698,19288,49.72
10-Oct-2016,832.60,834.20,854.90,830.20,848.00,849.30,846.00,77295,6563,39854,51.56
13-Oct-2016,849.30,848.95,849.30,841.70,847.00,846.30,845.48,44221,2421,31640,71.55
14-Oct-2016,846.30,846.75,854.80,840.05,851.00,851.65,848.53,39648,2052,28883,72.85
17-Oct-2016,851.65,849.95,855.30,842.55,852.00,853.00,850.21,27319,2174,16471,60.29
18-Oct-2016,853.00,853.90,855.00,850.05,852.00,853.45,852.21,21776,1481,14874,68.30
19-Oct-2016,853.45,855.70,864.95,853.05,855.00,855.20,858.58,77476,6510,44019,56.82
