DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1724.35,1741.00,1745.00,1697.00,1704.00,1701.95,1712.35,620695,22129,222377,35.83
03-Aug-2016,1701.95,1713.95,1718.40,1673.60,1677.00,1679.85,1687.82,820971,53540,458783,55.88
04-Aug-2016,1679.85,1670.00,1678.65,1642.00,1661.00,1657.65,1658.24,947868,36542,420182,44.33
05-Aug-2016,1657.65,1665.50,1694.00,1661.55,1670.45,1674.65,1678.02,589782,28056,364959,61.88
08-Aug-2016,1674.65,1687.00,1712.00,1673.40,1695.00,1693.30,1695.94,648977,37126,334154,51.49
09-Aug-2016,1693.30,1708.95,1728.25,1598.00,1599.90,1607.25,1660.09,7455908,236419,2754726,36.95
10-Aug-2016,1607.25,1600.00,1606.95,1540.00,1543.60,1544.40,1566.16,3599720,131400,1479589,41.10
11-Aug-2016,1544.40,1560.40,1585.70,1551.05,1577.50,1580.50,1570.88,2287754,66870,1142393,49.94
12-Aug-2016,1580.50,1590.50,1595.00,1572.00,1573.05,1581.95,1586.63,996548,50388,518607,52.04
16-Aug-2016,1581.95,1597.00,1599.90,1577.05,1591.00,1591.05,1590.81,890909,57575,470432,52.80
17-Aug-2016,1591.05,1592.00,1605.00,1572.05,1593.05,1594.50,1595.45,783772,31943,284937,36.35
18-Aug-2016,1594.50,1600.00,1607.95,1585.20,1586.20,1588.40,1596.13,605628,22634,253883,41.92
19-Aug-2016,1588.40,1599.90,1602.00,1569.00,1570.00,1576.05,1580.53,445050,18271,213452,47.96
22-Aug-2016,1576.05,1564.00,1567.95,1540.00,1540.00,1544.45,1549.31,920241,52843,418993,45.53
23-Aug-2016,1544.45,1535.00,1558.60,1530.00,1553.70,1555.90,1548.38,1191811,62252,600596,50.39
24-Aug-2016,1555.90,1545.00,1551.15,1506.00,1520.00,1521.70,1521.57,1483246,90623,616358,41.55
25-Aug-2016,1521.70,1529.00,1534.50,1507.05,1526.00,1522.15,1525.21,1912866,60526,1108933,57.97
26-Aug-2016,1522.15,1535.00,1540.05,1510.00,1513.00,1512.10,1520.66,927460,48172,342264,36.90
29-Aug-2016,1512.10,1512.00,1512.00,1470.70,1480.00,1479.85,1485.99,1262694,103903,576494,45.66
30-Aug-2016,1479.85,1480.00,1512.00,1480.00,1508.90,1508.70,1499.60,835375,42909,375555,44.96
31-Aug-2016,1508.70,1508.70,1531.00,1478.55,1482.05,1482.20,1502.68,1489112,71319,832337,55.89
01-Sep-2016,1482.20,1482.20,1511.30,1481.20,1507.00,1501.75,1493.37,849359,43604,336749,39.65
02-Sep-2016,1501.75,1509.90,1525.00,1504.50,1516.50,1518.05,1517.95,1028961,39370,505236,49.10
06-Sep-2016,1518.05,1525.00,1539.00,1515.00,1536.00,1535.45,1530.87,894622,40309,500750,55.97
07-Sep-2016,1535.45,1550.00,1552.00,1537.90,1543.90,1543.40,1545.47,595016,27441,276391,46.45
08-Sep-2016,1543.40,1545.00,1588.40,1538.15,1581.00,1582.05,1565.75,1029854,37185,573645,55.70
09-Sep-2016,1582.05,1583.75,1587.90,1564.20,1569.00,1569.55,1578.16,874115,39493,297277,34.01
12-Sep-2016,1569.55,1555.00,1561.80,1527.50,1533.20,1533.40,1544.51,492173,29961,196306,39.89
14-Sep-2016,1533.40,1543.00,1549.45,1523.00,1532.00,1532.20,1536.79,560365,32522,218683,39.03
15-Sep-2016,1532.20,1532.00,1555.50,1530.00,1543.00,1546.65,1544.18,558667,33742,182283,32.63
16-Sep-2016,1546.65,1543.95,1555.20,1528.00,1531.55,1537.35,1543.01,935307,38164,506706,54.18
19-Sep-2016,1537.35,1531.40,1557.90,1530.00,1546.00,1547.40,1542.63,652749,25765,279054,42.75
