DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1470.15,1480.00,1488.70,1451.90,1454.05,1457.95,1472.37,749424,33130,429180,57.27
03-Aug-2016,1457.95,1461.70,1469.90,1440.60,1444.00,1446.50,1453.13,672513,21484,398082,59.19
04-Aug-2016,1446.50,1459.80,1464.80,1431.10,1439.05,1435.70,1442.96,680897,25357,407755,59.88
05-Aug-2016,1435.70,1444.50,1490.00,1444.00,1487.10,1484.00,1465.34,935388,27920,623328,66.64
08-Aug-2016,1484.00,1495.00,1505.25,1473.75,1495.30,1497.85,1492.30,1780007,40661,1203977,67.64
09-Aug-2016,1497.85,1507.00,1508.95,1467.90,1478.65,1480.75,1484.97,773418,23292,441552,57.09
10-Aug-2016,1480.75,1489.00,1494.00,1435.00,1446.70,1449.15,1460.37,3301028,91055,1156340,35.03
11-Aug-2016,1449.15,1445.20,1452.70,1411.00,1422.00,1421.60,1424.52,1672126,48611,937833,56.09
12-Aug-2016,1421.60,1428.00,1477.00,1424.05,1446.65,1450.85,1449.41,1924274,62666,834646,43.37
16-Aug-2016,1450.85,1452.25,1461.35,1431.35,1441.00,1443.65,1446.99,1508994,63714,1030927,68.32
17-Aug-2016,1443.65,1443.65,1456.45,1435.65,1449.80,1450.50,1449.86,590552,35825,356220,60.32
18-Aug-2016,1450.50,1456.10,1467.45,1452.75,1457.20,1460.25,1462.30,685983,28639,415108,60.51
19-Aug-2016,1460.25,1462.00,1468.40,1451.60,1453.55,1458.95,1460.28,763937,28505,507807,66.47
22-Aug-2016,1458.95,1460.40,1461.95,1435.05,1441.85,1443.55,1445.84,603975,21406,390441,64.65
23-Aug-2016,1443.55,1447.90,1448.75,1431.00,1438.00,1442.70,1440.66,450412,23556,234922,52.16
24-Aug-2016,1442.70,1442.85,1451.60,1432.20,1432.20,1434.85,1442.68,501519,14110,315777,62.96
25-Aug-2016,1434.85,1445.00,1445.00,1408.00,1412.00,1413.85,1427.35,982787,20635,573507,58.36
26-Aug-2016,1413.85,1418.90,1432.25,1415.20,1427.00,1424.85,1422.85,668050,49230,367963,55.08
29-Aug-2016,1424.85,1428.00,1428.80,1413.50,1421.95,1422.40,1421.73,556511,37462,387450,69.62
30-Aug-2016,1422.40,1427.95,1438.95,1425.00,1436.00,1436.00,1432.38,1360032,29064,1110807,81.68
31-Aug-2016,1436.00,1442.00,1448.35,1430.45,1440.65,1436.60,1440.15,1293769,60384,974791,75.35
01-Sep-2016,1436.60,1439.00,1465.00,1438.05,1458.00,1453.55,1455.59,1165665,42473,690144,59.21
02-Sep-2016,1453.55,1460.00,1476.00,1435.60,1469.00,1473.60,1461.78,1408316,37653,889636,63.17
06-Sep-2016,1473.60,1480.00,1495.00,1479.10,1490.00,1489.85,1488.85,1150021,54484,698341,60.72
07-Sep-2016,1489.85,1495.00,1500.00,1480.75,1489.25,1488.75,1491.88,970188,69960,659116,67.94
08-Sep-2016,1488.75,1494.00,1500.00,1482.55,1490.10,1492.10,1494.18,860713,50986,556911,64.70
09-Sep-2016,1492.10,1494.05,1497.00,1460.90,1475.00,1472.45,1473.65,649079,34173,380104,58.56
12-Sep-2016,1472.45,1456.50,1458.00,1416.00,1424.90,1425.95,1426.72,687478,52186,449237,65.35
14-Sep-2016,1425.95,1432.40,1432.40,1405.80,1414.35,1411.55,1417.57,1142061,47720,733812,64.25
15-Sep-2016,1411.55,1418.90,1423.10,1395.55,1405.70,1406.25,1405.94,682836,23740,417841,61.19
16-Sep-2016,1406.25,1412.00,1431.20,1401.05,1411.80,1406.65,1413.93,774423,28706,502195,64.85
19-Sep-2016,1406.65,1417.90,1429.50,1407.00,1418.00,1417.00,1420.68,553728,18582,304270,54.95
20-Sep-2016,1417.00,1423.00,1426.65,1405.50,1409.00,1409.85,1411.14,613237,25895,407208,66.40
21-Sep-2016,1409.85,1408.00,1425.95,1401.20,1404.00,1406.90,1413.83,1047587,40624,715489,68.30
22-Sep-2016,1406.90,1420.00,1422.50,1408.20,1415.00,1413.60,1414.41,968035,46736,641162,66.23
23-Sep-2016,1413.60,1418.90,1427.00,1407.05,1411.80,1410.10,1418.67,736383,29367,464719,63.11
26-Sep-2016,1410.10,1410.10,1410.10,1376.00,1377.75,1380.20,1386.50,890593,42088,593923,66.69
27-Sep-2016,1380.20,1380.00,1390.75,1368.65,1371.90,1371.70,1381.02,979381,57217,631696,64.50
28-Sep-2016,1371.70,1375.65,1389.90,1370.00,1384.50,1376.75,1376.03,1042651,25345,772980,74.14
29-Sep-2016,1376.75,1386.90,1415.95,1358.35,1374.00,1364.40,1384.35,2635103,65019,1364608,51.79
