DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,112.05,112.75,113.10,107.75,108.65,108.20,110.11,390817,2747,240532,61.55
03-Aug-2016,108.20,108.95,109.85,104.35,106.00,105.90,106.14,299635,3371,178072,59.43
04-Aug-2016,105.90,107.15,107.85,104.60,106.00,105.80,106.90,198164,3391,125127,63.14
05-Aug-2016,105.80,108.25,108.25,106.00,107.00,107.15,107.03,260468,1505,198045,76.03
08-Aug-2016,107.15,107.75,110.90,106.70,108.50,108.95,108.56,759462,8265,541728,71.33
09-Aug-2016,108.95,109.90,109.90,107.55,109.00,108.25,108.84,209256,3415,137788,65.85
10-Aug-2016,108.25,107.75,109.00,105.40,107.20,107.40,107.17,89976,798,61726,68.60
11-Aug-2016,107.40,106.70,109.30,105.00,106.10,106.30,106.74,148590,1293,81332,54.74
12-Aug-2016,106.30,107.40,109.10,106.75,108.00,108.00,108.11,304776,4897,214458,70.37
16-Aug-2016,108.00,104.00,106.45,99.00,101.70,101.60,102.96,375276,3823,253599,67.58
17-Aug-2016,101.60,102.95,104.50,101.35,103.90,103.60,102.90,283071,3333,198083,69.98
18-Aug-2016,103.60,104.80,104.80,102.40,103.65,103.65,103.40,283550,2418,182385,64.32
19-Aug-2016,103.65,106.20,106.70,102.60,103.15,103.35,104.56,500432,5364,257713,51.50
22-Aug-2016,103.35,104.40,104.40,101.00,102.00,102.20,102.28,212087,1980,142227,67.06
23-Aug-2016,102.20,102.55,103.65,101.65,103.30,103.20,102.77,149623,1478,96921,64.78
24-Aug-2016,103.20,103.70,103.70,100.10,100.25,100.50,101.73,191467,1579,151231,78.99
25-Aug-2016,100.50,100.50,102.60,98.10,100.00,99.45,99.86,306588,2788,161694,52.74
26-Aug-2016,99.45,100.15,101.05,98.00,98.30,98.20,99.29,299551,1583,228021,76.12
29-Aug-2016,98.20,99.00,99.00,96.50,96.70,96.95,97.65,117383,1442,89007,75.83
30-Aug-2016,96.95,96.00,101.50,95.45,99.65,99.65,99.54,352258,3119,201227,57.12
31-Aug-2016,99.65,99.85,100.65,99.15,100.45,100.30,99.99,137544,953,109916,79.91
01-Sep-2016,100.30,100.90,101.65,99.05,99.45,99.40,100.53,95106,1107,56737,59.66
02-Sep-2016,99.40,99.30,100.75,98.95,99.90,99.55,99.70,379024,2704,289812,76.46
06-Sep-2016,99.55,103.30,103.30,99.60,99.95,100.35,100.52,835462,5831,493338,59.05
07-Sep-2016,100.35,100.90,101.40,99.60,100.95,100.20,100.44,255621,3248,197769,77.37
08-Sep-2016,100.20,100.10,102.90,100.10,101.50,101.35,101.82,584119,4465,406766,69.64
09-Sep-2016,101.35,102.20,102.25,98.50,98.90,99.05,100.04,142272,1293,100936,70.95
12-Sep-2016,99.05,97.40,97.85,95.10,95.50,95.65,96.62,194691,1777,150694,77.40
14-Sep-2016,95.65,95.65,99.15,95.65,98.85,98.45,97.78,129127,1188,93122,72.12
15-Sep-2016,98.45,97.85,100.90,97.00,98.50,98.50,98.89,155048,1521,101012,65.15
16-Sep-2016,98.50,99.90,99.90,96.75,97.45,97.20,98.68,162168,1233,106815,65.87
19-Sep-2016,97.20,97.60,98.50,95.85,96.60,97.00,96.89,197580,1047,140398,71.06
20-Sep-2016,97.00,96.30,100.65,96.30,98.95,99.35,99.06,252795,1629,134163,53.07
21-Sep-2016,99.35,99.85,100.00,97.50,98.00,98.40,99.09,116617,701,90613,77.70
22-Sep-2016,98.40,99.10,99.70,97.55,98.60,98.85,98.87,186016,1589,135270,72.72
23-Sep-2016,98.85,99.90,106.70,99.70,103.40,103.20,103.47,4967285,21629,2751033,55.38
26-Sep-2016,103.20,103.65,107.00,103.00,105.30,105.20,105.72,953384,7167,425229,44.60
27-Sep-2016,105.20,105.95,106.70,101.75,103.00,103.05,104.02,282504,2236,153895,54.48
28-Sep-2016,103.05,103.45,105.30,102.25,104.00,104.10,104.16,343154,2026,230345,67.13
29-Sep-2016,104.10,104.60,110.00,96.80,100.00,99.35,105.25,1578456,8849,853375,54.06
30-Sep-2016,99.35,97.20,103.00,97.20,102.50,102.55,101.90,612207,2777,282767,46.19
03-Oct-2016,102.55,103.05,106.55,102.55,105.85,105.85,105.37,304249,2344,142941,46.98
04-Oct-2016,105.85,106.80,107.50,103.00,106.30,105.75,105.45,413592,2488,299679,72.46
05-Oct-2016,105.75,106.00,122.00,106.00,117.10,118.90,116.07,4169462,30688,1708339,40.97
06-Oct-2016,118.90,119.90,123.70,114.85,115.90,116.25,119.06,1855306,15672,935380,50.42
07-Oct-2016,116.25,115.00,125.00,113.35,122.85,122.75,121.01,1917100,15910,758037,39.54
10-Oct-2016,122.75,124.15,125.65,117.20,118.40,118.15,120.61,894643,8043,526973,58.90
13-Oct-2016,118.15,116.20,116.80,112.50,115.10,115.20,114.64,393855,4672,217154,55.14
14-Oct-2016,115.20,116.00,116.90,113.75,115.75,115.45,115.30,201746,1804,114282,56.65
17-Oct-2016,115.45,116.25,116.90,108.80,109.20,109.85,111.65,565967,4834,362829,64.11
18-Oct-2016,109.85,110.90,115.80,110.45,113.60,113.35,113.57,444838,4035,228136,51.29
19-Oct-2016,113.35,114.40,117.50,112.95,114.55,115.15,115.34,307768,2929,162744,52.88
20-Oct-2016,115.15,115.50,116.50,113.00,114.00,113.80,114.68,194950,2085,113973,58.46
21-Oct-2016,113.80,114.00,119.30,112.55,116.90,117.65,116.98,629909,4541,266214,42.26
24-Oct-2016,117.65,117.75,123.00,116.50,120.00,119.85,120.07,994584,8595,479953,48.26
25-Oct-2016,119.85,119.95,124.20,119.90,121.10,120.75,122.32,995436,7772,539370,54.18
26-Oct-2016,120.75,119.90,123.00,115.00,116.55,115.65,118.97,630534,5295,404391,64.13
27-Oct-2016,115.65,116.00,118.35,115.95,117.15,116.60,117.52,309706,2209,210036,67.82
28-Oct-2016,116.60,116.95,118.75,115.90,116.50,116.60,117.19,237178,1759,167129,70.47
30-Oct-2016,116.60,117.65,120.00,117.00,119.00,118.90,118.67,109617,745,78074,71.22
01-Nov-2016,118.90,117.05,119.95,116.20,117.50,116.75,117.75,179637,2271,120717,67.20
02-Nov-2016,116.75,115.00,118.80,114.25,118.80,117.40,116.83,402999,7362,276992,68.73
03-Nov-2016,117.40,117.80,120.80,113.00,113.50,115.20,117.25,422987,5671,196496,46.45
04-Nov-2016,115.20,114.00,115.00,96.00,102.20,101.30,101.31,2001355,18519,719700,35.96
07-Nov-2016,101.30,104.00,105.80,102.45,102.75,103.25,104.09,395230,3531,212648,53.80
08-Nov-2016,103.25,104.25,107.20,102.55,105.75,106.10,104.99,313894,3166,186611,59.45
09-Nov-2016,106.10,90.00,102.50,85.50,102.20,101.55,95.64,1052314,4332,641694,60.98
10-Nov-2016,101.55,105.75,108.90,104.00,105.40,105.00,105.17,1287224,6281,1124271,87.34
11-Nov-2016,105.00,103.00,104.80,97.60,101.00,99.35,100.11,991530,4559,877706,88.52
15-Nov-2016,99.35,99.90,100.00,90.45,91.35,91.60,94.32,795976,2868,502232,63.10
16-Nov-2016,91.60,93.05,97.40,91.50,96.00,95.35,94.91,409220,2401,298255,72.88
17-Nov-2016,95.35,93.50,97.50,89.10,97.00,96.35,94.14,515136,2514,320983,62.31
18-Nov-2016,96.35,96.50,97.70,93.10,97.30,96.70,94.94,255846,1834,182576,71.36
21-Nov-2016,96.70,97.30,98.00,90.75,96.75,95.65,94.49,323991,2005,219167,67.65
22-Nov-2016,95.65,96.05,96.75,90.25,91.60,90.95,91.80,204572,2434,130630,63.86
23-Nov-2016,90.95,93.65,95.75,92.05,95.25,95.10,94.17,307979,1247,249531,81.02
24-Nov-2016,95.10,95.10,95.10,87.70,88.70,90.40,90.99,152266,1109,106195,69.74
25-Nov-2016,90.40,89.35,98.00,89.25,97.00,97.45,94.41,300974,2200,187260,62.22
