DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,182.70,185.65,186.10,182.00,182.00,183.25,184.25,136537,1797,95824,70.18
03-Aug-2016,183.25,184.65,184.65,177.00,181.50,181.95,180.93,105130,1683,76006,72.30
04-Aug-2016,181.95,182.60,184.10,179.50,181.25,180.95,181.94,93565,1953,51015,54.52
05-Aug-2016,180.95,181.00,183.45,179.10,180.00,180.10,181.41,120120,1608,79855,66.48
08-Aug-2016,180.10,182.60,183.45,174.00,174.80,175.75,178.01,285074,2648,248040,87.01
09-Aug-2016,175.75,176.45,177.90,174.60,174.90,175.20,176.16,150026,2164,110496,73.65
10-Aug-2016,175.20,176.85,176.90,170.50,173.00,172.20,173.44,92668,1787,60730,65.54
11-Aug-2016,172.20,172.20,175.00,170.95,174.90,174.05,173.57,87133,1546,49013,56.25
12-Aug-2016,174.05,176.00,180.05,172.00,179.00,179.35,177.74,165700,6923,84447,50.96
16-Aug-2016,179.35,179.00,180.50,175.50,179.55,179.30,178.59,66540,1073,46284,69.56
17-Aug-2016,179.30,180.00,187.20,177.80,183.95,182.75,180.98,1071829,4260,900654,84.03
18-Aug-2016,182.75,184.80,187.45,183.20,184.50,184.90,185.39,482100,7362,261733,54.29
19-Aug-2016,184.90,184.00,185.40,183.00,184.20,184.15,184.13,91712,1405,53641,58.49
22-Aug-2016,184.15,186.50,187.45,180.50,181.70,181.20,182.06,176398,2840,119867,67.95
23-Aug-2016,181.20,181.00,184.40,180.65,183.75,183.55,182.99,109584,3088,75650,69.03
24-Aug-2016,183.55,183.85,185.55,181.35,184.50,184.50,184.19,131920,2205,93543,70.91
25-Aug-2016,184.50,184.50,186.45,177.10,183.55,183.70,184.16,145085,4335,78485,54.10
26-Aug-2016,183.70,185.75,185.80,179.10,179.90,180.00,181.12,111811,1888,88685,79.32
29-Aug-2016,180.00,179.05,184.00,179.05,181.55,180.70,181.53,69821,2427,33631,48.17
30-Aug-2016,180.70,181.55,182.95,177.00,179.00,178.75,179.20,96161,1814,51657,53.72
31-Aug-2016,178.75,178.00,180.55,176.70,177.25,177.40,177.92,104006,1389,73954,71.11
01-Sep-2016,177.40,177.05,182.40,176.00,178.10,177.35,178.47,137741,2456,63835,46.34
02-Sep-2016,177.35,178.15,183.35,177.40,180.05,180.65,181.26,111365,1600,71962,64.62
06-Sep-2016,180.65,181.95,184.00,172.00,180.15,181.05,179.52,131179,2893,39154,29.85
07-Sep-2016,181.05,181.00,187.45,179.75,184.80,184.30,184.52,246494,3597,127936,51.90
08-Sep-2016,184.30,186.95,196.70,185.30,192.20,192.55,191.82,2249364,22437,888996,39.52
09-Sep-2016,192.55,192.75,203.90,189.95,197.00,197.35,197.99,1380358,16240,524589,38.00
12-Sep-2016,197.35,192.80,194.85,187.55,190.65,191.45,191.97,351007,6095,197700,56.32
14-Sep-2016,191.45,196.40,197.00,190.55,194.80,194.30,194.12,657108,7891,267071,40.64
15-Sep-2016,194.30,195.75,196.00,191.60,192.05,192.60,193.50,168155,2430,83860,49.87
16-Sep-2016,192.60,196.00,198.00,186.50,196.60,194.80,193.87,500935,6576,302509,60.39
19-Sep-2016,194.80,195.00,196.90,191.05,191.30,191.65,193.45,197097,4348,109729,55.67
20-Sep-2016,191.65,190.60,193.40,188.80,189.20,189.40,190.36,213865,3399,161706,75.61
21-Sep-2016,189.40,189.95,195.05,189.65,193.60,193.30,192.98,296953,2769,184352,62.08
22-Sep-2016,193.30,195.00,196.95,192.05,192.35,192.75,194.48,172037,1598,116510,67.72
23-Sep-2016,192.75,192.80,194.80,190.00,190.10,190.45,192.12,137833,2417,79047,57.35
26-Sep-2016,190.45,190.05,192.80,187.40,188.50,188.25,190.17,136853,2470,77470,56.61
27-Sep-2016,188.25,189.75,191.40,188.15,190.70,190.45,190.13,76790,1841,46256,60.24
28-Sep-2016,190.45,189.50,191.80,189.50,190.70,190.10,190.49,102189,1648,76725,75.08
29-Sep-2016,190.10,191.85,197.00,187.30,187.50,188.35,192.57,565571,6486,348144,61.56
30-Sep-2016,188.35,190.30,193.80,185.45,192.20,191.90,191.07,145722,2357,93706,64.30
03-Oct-2016,191.90,192.90,194.80,190.60,192.40,192.45,192.33,146089,2502,106073,72.61
04-Oct-2016,192.45,197.95,207.45,195.70,203.55,204.40,203.70,1556516,54227,817875,52.55
05-Oct-2016,204.40,206.00,206.90,198.00,199.00,199.70,200.79,465157,12012,272591,58.60
06-Oct-2016,199.70,199.35,204.60,199.35,202.00,202.30,201.82,217694,4363,104854,48.17
07-Oct-2016,202.30,200.40,201.25,195.55,196.80,196.45,198.53,84839,1369,55278,65.16
10-Oct-2016,196.45,194.00,195.20,190.50,193.00,191.90,192.80,137054,2206,85320,62.25
13-Oct-2016,191.90,192.05,195.70,188.30,190.30,190.95,190.76,176337,4149,127853,72.50
14-Oct-2016,190.95,191.35,194.50,188.60,189.10,189.55,191.46,84005,2052,48545,57.79
17-Oct-2016,189.55,191.80,191.80,185.15,185.65,185.55,187.59,120472,2477,66145,54.90
18-Oct-2016,185.55,188.40,191.80,186.10,189.10,189.70,189.38,114907,3151,64075,55.76
19-Oct-2016,189.70,190.00,192.00,186.15,187.00,187.00,188.64,188509,3527,79011,41.91
20-Oct-2016,187.00,189.85,189.85,187.00,187.05,187.25,187.99,89145,1824,52587,58.99
21-Oct-2016,187.25,189.00,195.95,187.25,194.50,194.85,193.32,310138,9387,155526,50.15
24-Oct-2016,194.85,196.00,197.70,190.60,192.50,193.70,195.08,148864,3851,70699,47.49
25-Oct-2016,193.70,198.55,198.55,193.45,194.35,194.15,195.60,241987,4548,82754,34.20
26-Oct-2016,194.15,196.80,196.80,192.25,193.00,193.25,194.88,97710,1644,50019,51.19
27-Oct-2016,193.25,192.00,199.75,190.10,199.60,196.75,194.38,140836,2221,97559,69.27
28-Oct-2016,196.75,199.00,199.95,196.65,198.50,198.65,198.46,102754,2315,61459,59.81
30-Oct-2016,198.65,198.00,200.00,197.25,198.55,198.90,198.78,38481,574,25730,66.86
01-Nov-2016,198.90,199.90,200.00,193.25,199.90,199.10,197.67,143027,3689,79259,55.42
02-Nov-2016,199.10,195.40,196.90,192.00,195.00,195.00,194.73,88696,1997,45456,51.25
03-Nov-2016,195.00,193.20,198.70,193.00,195.00,194.90,195.86,191525,3440,133109,69.50
04-Nov-2016,194.90,194.70,199.30,191.50,197.95,197.80,196.02,301389,5301,212463,70.49
07-Nov-2016,197.80,199.95,199.95,195.55,195.55,197.50,198.09,119801,1677,84761,70.75
08-Nov-2016,197.50,198.80,198.80,193.50,195.00,194.90,195.27,77173,1298,57385,74.36
09-Nov-2016,194.90,189.00,195.95,180.05,187.00,187.35,189.44,319479,5595,234995,73.56
10-Nov-2016,187.35,191.50,195.80,190.20,193.50,193.00,193.44,45811,1241,26946,58.82
11-Nov-2016,193.00,190.05,193.10,187.20,189.25,189.75,190.02,34537,1091,23233,67.27
15-Nov-2016,189.75,189.25,189.95,180.15,186.50,188.55,186.10,182701,4259,138933,76.04
16-Nov-2016,188.55,190.00,190.15,180.55,183.80,185.20,184.60,90054,2613,57719,64.09
17-Nov-2016,185.20,185.95,186.05,178.05,178.65,178.80,180.52,96462,2892,79187,82.09
