DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,286.55,288.95,306.90,287.00,299.10,299.10,300.06,2972838,59020,1197245,40.27
03-Aug-2016,299.10,306.80,306.80,293.20,298.25,297.80,297.49,1827722,43375,1134941,62.10
04-Aug-2016,297.80,300.00,303.00,292.95,293.50,294.30,296.27,1267914,27489,771471,60.85
05-Aug-2016,294.30,295.00,299.90,290.50,291.00,296.65,296.86,2022650,47770,1242565,61.43
08-Aug-2016,296.65,297.00,305.65,296.00,299.10,300.20,300.80,3084367,29266,2074118,67.25
09-Aug-2016,300.20,301.45,303.45,291.40,294.45,294.45,293.92,1229655,47365,757318,61.59
10-Aug-2016,294.45,294.25,294.25,286.40,288.20,288.85,289.22,1038700,30506,508044,48.91
11-Aug-2016,288.85,288.35,297.00,286.10,296.25,295.70,293.91,897678,17451,233867,26.05
12-Aug-2016,295.70,295.35,301.50,295.35,296.25,297.70,298.66,1439411,21893,1025461,71.24
16-Aug-2016,297.70,297.60,302.85,293.55,296.50,295.90,296.52,1271365,32977,881335,69.32
17-Aug-2016,295.90,296.55,300.70,292.20,298.45,299.80,296.36,1271629,38741,755068,59.38
18-Aug-2016,299.80,300.90,301.95,296.70,301.00,300.55,299.49,758729,22877,449707,59.27
19-Aug-2016,300.55,303.70,304.50,299.80,300.05,300.85,301.98,889067,12567,489622,55.07
22-Aug-2016,300.85,300.50,301.40,292.50,293.35,293.85,295.51,577019,11780,304227,52.72
23-Aug-2016,293.85,293.10,295.50,288.10,289.75,289.85,290.95,697979,35694,448776,64.30
24-Aug-2016,289.85,290.75,293.20,288.50,290.20,291.30,290.73,910136,42676,543703,59.74
25-Aug-2016,291.30,291.00,291.00,284.60,285.00,285.45,286.43,1943784,29716,1362092,70.07
26-Aug-2016,285.45,289.00,289.50,283.00,284.50,284.25,283.92,1167074,41453,900806,77.18
29-Aug-2016,284.25,285.70,285.95,278.75,284.00,284.15,282.56,728973,21559,427854,58.69
30-Aug-2016,284.15,284.25,288.25,283.70,287.25,287.15,286.73,1349994,29025,909660,67.38
31-Aug-2016,287.15,287.20,294.65,287.20,292.10,291.50,291.86,2024240,38292,1365646,67.46
01-Sep-2016,291.50,291.90,297.90,291.60,294.90,294.40,295.85,1100114,19469,578490,52.58
