DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,46.75,46.75,47.25,45.55,46.00,46.05,46.35,955575,4529,386396,40.44
03-Aug-2016,46.05,45.60,48.00,45.20,45.85,46.30,46.50,1727632,6973,466818,27.02
04-Aug-2016,46.30,46.70,46.95,45.80,46.55,46.45,46.45,1174061,6296,275978,23.51
05-Aug-2016,46.45,47.80,48.90,47.55,48.15,48.35,48.16,3085337,12168,1111012,36.01
08-Aug-2016,48.35,49.40,50.30,48.50,48.80,48.80,49.41,2894487,11513,1154712,39.89
09-Aug-2016,48.80,48.90,48.90,47.20,47.65,47.55,47.74,947066,4458,408803,43.17
10-Aug-2016,47.55,47.75,47.75,46.20,46.45,46.45,46.62,1001184,4112,485308,48.47
11-Aug-2016,46.45,46.30,47.50,45.75,46.00,46.20,46.44,1047752,6430,357951,34.16
12-Aug-2016,46.20,46.45,46.80,45.60,45.75,45.85,46.08,1161119,5019,554957,47.80
16-Aug-2016,45.85,42.00,42.00,39.15,40.20,40.15,40.25,8222929,30831,4071224,49.51
17-Aug-2016,40.15,40.25,41.85,40.25,41.70,41.50,41.48,1715411,7576,848863,49.48
18-Aug-2016,41.50,41.90,42.20,41.10,41.55,41.35,41.52,1505187,7181,766417,50.92
19-Aug-2016,41.35,41.95,42.00,39.80,40.95,40.95,40.96,1967873,8745,898996,45.68
22-Aug-2016,40.95,41.45,41.50,40.50,40.85,40.80,40.82,1571547,6436,858984,54.66
23-Aug-2016,40.80,40.80,40.90,40.15,40.55,40.50,40.48,1143527,7295,566905,49.58
24-Aug-2016,40.50,40.55,41.50,40.40,41.05,41.10,41.07,1398857,8311,623513,44.57
25-Aug-2016,41.10,41.40,42.00,40.40,40.70,40.75,41.30,1740216,7370,817773,46.99
26-Aug-2016,40.75,41.10,41.20,40.35,40.80,40.85,40.75,1223003,4747,590011,48.24
29-Aug-2016,40.85,40.80,41.20,40.10,40.65,40.65,40.64,825309,6140,298163,36.13
30-Aug-2016,40.65,41.00,41.65,40.70,41.25,41.30,41.21,1770238,6649,559172,31.59
31-Aug-2016,41.30,41.05,41.60,40.50,40.70,40.80,41.06,988457,5534,410911,41.57
01-Sep-2016,40.80,40.80,41.35,40.10,40.30,40.35,40.66,1254702,4352,471802,37.60
02-Sep-2016,40.35,40.40,44.65,40.40,43.05,43.00,42.85,5165089,16199,1611894,31.21
06-Sep-2016,43.00,43.45,43.50,41.90,42.35,42.45,42.51,1498758,7997,579567,38.67
07-Sep-2016,42.45,42.20,42.50,41.55,41.75,41.70,41.96,1098793,4444,540941,49.23
08-Sep-2016,41.70,41.50,45.40,41.50,44.80,45.00,43.97,5694262,16776,2282540,40.08
09-Sep-2016,45.00,44.95,45.50,43.20,43.95,43.95,44.29,3397561,11785,929666,27.36
12-Sep-2016,43.95,42.80,45.35,42.70,43.40,43.55,44.13,3114926,11298,832361,26.72
14-Sep-2016,43.55,44.20,44.65,43.15,44.05,44.30,43.97,2183414,6541,480246,22.00
15-Sep-2016,44.30,44.25,44.35,43.50,43.75,43.70,43.89,1056316,4829,397135,37.60
16-Sep-2016,43.70,44.15,44.85,43.30,44.35,44.30,44.20,2325935,8563,1219283,52.42
19-Sep-2016,44.30,46.00,47.70,45.00,46.40,46.35,46.45,6547207,23609,2052360,31.35
20-Sep-2016,46.35,46.60,50.50,46.05,49.40,49.60,49.22,20346505,47880,4194410,20.61
21-Sep-2016,49.60,49.85,52.40,49.40,50.80,51.30,51.35,12587607,36727,3425413,27.21
22-Sep-2016,51.30,52.00,52.85,49.80,50.65,50.60,51.19,5214796,19985,1891145,36.26
23-Sep-2016,50.60,50.90,51.10,47.15,47.90,47.70,48.46,3516362,16848,1511543,42.99
26-Sep-2016,47.70,47.75,53.85,47.40,52.60,52.75,52.28,23040169,69588,4884123,21.20
27-Sep-2016,52.75,53.15,55.50,53.05,53.85,53.80,54.36,14545320,45773,3662731,25.18
28-Sep-2016,53.80,54.20,55.50,53.25,54.70,54.85,54.52,8480768,26275,1699626,20.04
29-Sep-2016,54.85,55.30,56.75,48.00,49.30,49.20,52.88,14313315,40948,3796180,26.52
30-Sep-2016,49.20,48.05,53.00,48.05,52.70,52.60,51.38,6003965,21560,1779951,29.65
03-Oct-2016,52.60,54.10,56.90,53.65,56.10,56.15,55.81,10087915,31527,3252737,32.24
04-Oct-2016,56.15,56.60,58.30,56.50,57.30,57.10,57.41,5859675,18112,1947999,33.24
