DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,2384.60,2389.00,2437.20,2365.00,2384.00,2389.60,2400.85,563637,35783,355754,63.12
03-Aug-2016,2389.60,2389.10,2411.00,2309.20,2309.25,2316.15,2354.18,540970,31166,309976,57.30
04-Aug-2016,2316.15,2323.00,2333.95,2178.15,2224.00,2201.15,2254.94,869047,46898,515698,59.34
05-Aug-2016,2201.15,2222.50,2265.00,2211.05,2251.25,2252.50,2238.11,462246,34180,205547,44.47
08-Aug-2016,2252.50,2267.00,2273.80,2221.00,2240.65,2238.05,2245.75,488124,38919,307249,62.94
09-Aug-2016,2238.05,2246.00,2254.35,2193.00,2202.95,2199.95,2210.29,459481,24627,300072,65.31
10-Aug-2016,2199.95,2208.80,2213.70,2118.00,2156.55,2158.80,2166.33,1043462,43302,553029,53.00
11-Aug-2016,2158.80,2150.00,2284.20,2141.10,2277.10,2252.10,2206.78,635694,32869,325483,51.20
12-Aug-2016,2252.10,2274.00,2324.15,2258.00,2266.00,2271.10,2286.10,523158,33386,243245,46.50
16-Aug-2016,2271.10,2281.70,2281.70,2202.30,2216.25,2224.20,2232.39,382731,30931,184256,48.14
17-Aug-2016,2224.20,2228.00,2251.55,2186.10,2192.00,2203.10,2220.81,245417,19230,106923,43.57
18-Aug-2016,2203.10,2163.00,2272.00,2163.00,2251.00,2249.20,2226.10,474765,25303,86693,18.26
19-Aug-2016,2249.20,2267.00,2282.00,2245.00,2262.00,2261.80,2265.46,239979,13833,49359,20.57
22-Aug-2016,2261.80,2266.00,2279.50,2212.15,2227.20,2229.40,2240.96,234506,15605,70467,30.05
23-Aug-2016,2229.40,2235.00,2309.45,2212.55,2296.35,2299.50,2277.24,374968,25062,96501,25.74
24-Aug-2016,2299.50,2291.00,2323.00,2281.05,2308.10,2308.55,2307.91,194098,11129,53787,27.71
25-Aug-2016,2308.55,2320.00,2320.00,2273.45,2295.00,2284.85,2286.94,681448,15101,433906,63.67
26-Aug-2016,2284.85,2294.00,2338.00,2287.00,2313.00,2311.80,2313.11,259820,16362,73470,28.28
29-Aug-2016,2311.80,2311.00,2314.40,2270.60,2295.00,2286.45,2287.32,189152,14646,86612,45.79
30-Aug-2016,2286.45,2296.90,2334.95,2291.00,2305.20,2310.40,2316.02,178108,13264,55559,31.19
31-Aug-2016,2310.40,2305.20,2361.35,2305.00,2313.85,2313.05,2329.90,337129,22758,138033,40.94
01-Sep-2016,2313.05,2313.00,2348.20,2300.05,2332.00,2320.10,2325.32,141619,7922,38083,26.89
02-Sep-2016,2320.10,2335.90,2345.00,2312.10,2338.50,2339.05,2330.14,105231,6442,25525,24.26
06-Sep-2016,2339.05,2342.00,2379.50,2326.60,2368.00,2372.35,2354.46,192104,12487,81718,42.54
07-Sep-2016,2372.35,2375.80,2387.65,2351.10,2358.85,2362.30,2368.22,169120,16147,77757,45.98
08-Sep-2016,2362.30,2360.00,2372.00,2340.05,2360.00,2358.75,2353.29,203275,11487,88551,43.56
09-Sep-2016,2358.75,2358.75,2371.00,2315.20,2316.65,2318.35,2334.75,175436,12961,54371,30.99
12-Sep-2016,2318.35,2150.00,2328.00,2150.00,2280.00,2281.50,2284.86,445484,35441,181135,40.66
14-Sep-2016,2281.50,2294.00,2328.00,2290.90,2324.70,2317.35,2311.11,195356,10163,93385,47.80
15-Sep-2016,2317.35,2322.00,2328.90,2288.35,2313.00,2305.35,2304.31,240856,16504,116840,48.51
16-Sep-2016,2305.35,2318.00,2367.50,2305.00,2337.00,2344.60,2343.13,382981,20854,133169,34.77
19-Sep-2016,2344.60,2346.00,2359.00,2314.25,2319.00,2319.70,2328.65,261088,14992,144639,55.40
20-Sep-2016,2319.70,2325.00,2336.00,2296.05,2304.00,2307.85,2310.50,179971,9671,99138,55.09
21-Sep-2016,2307.85,2316.00,2326.50,2305.50,2310.00,2314.80,2315.79,162038,10903,70193,43.32
22-Sep-2016,2314.80,2339.00,2345.00,2303.40,2304.00,2310.10,2315.52,183684,24657,88266,48.05
23-Sep-2016,2310.10,2316.10,2333.00,2286.00,2288.90,2292.05,2301.87,187317,12276,112509,60.06
26-Sep-2016,2292.05,2291.70,2317.00,2273.25,2288.00,2282.10,2293.67,247753,20831,156729,63.26
27-Sep-2016,2282.10,2293.80,2301.95,2275.30,2286.00,2285.35,2286.73,220824,16531,109901,49.77
28-Sep-2016,2285.35,2320.00,2323.00,2295.05,2310.90,2305.85,2310.28,166805,8727,47166,28.28
29-Sep-2016,2305.85,2359.00,2458.10,2250.05,2330.00,2305.60,2364.80,2010806,84332,713401,35.48
30-Sep-2016,2305.60,2340.00,2478.00,2340.00,2470.00,2466.45,2422.19,1343138,76782,369102,27.48
03-Oct-2016,2466.45,2415.00,2446.95,2386.30,2433.00,2425.55,2420.98,343453,20135,53180,15.48
04-Oct-2016,2425.55,2430.00,2561.00,2430.00,2541.10,2548.05,2514.27,832337,41098,216521,26.01
