DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,700.55,705.95,706.05,700.00,703.00,702.45,702.91,10406,497,7689,73.89
03-Aug-2016,702.45,705.30,705.30,698.00,700.05,700.75,701.54,11289,600,7518,66.60
04-Aug-2016,700.75,703.50,703.55,696.30,700.75,699.10,699.39,7844,498,5349,68.19
05-Aug-2016,699.10,701.85,706.80,696.80,702.50,701.40,702.27,8213,574,5176,63.02
08-Aug-2016,701.40,704.90,718.20,704.90,717.00,716.45,713.70,9615,523,7300,75.92
09-Aug-2016,716.45,719.00,721.70,706.60,708.00,709.35,712.16,8183,430,4910,60.00
10-Aug-2016,709.35,712.00,713.70,700.05,702.00,701.90,706.01,7750,338,6164,79.54
11-Aug-2016,701.90,707.35,707.35,699.10,701.00,700.80,701.41,6346,308,4444,70.03
12-Aug-2016,700.80,703.60,709.00,700.10,705.00,705.75,705.48,5610,326,4186,74.62
16-Aug-2016,705.75,705.00,711.25,702.90,703.10,704.35,706.91,7293,425,4970,68.15
17-Aug-2016,704.35,706.80,714.50,705.00,710.00,710.45,707.87,16112,325,13761,85.41
18-Aug-2016,710.45,707.60,725.50,707.60,720.35,721.30,720.55,22086,855,15539,70.36
19-Aug-2016,721.30,718.50,744.15,718.50,734.50,734.45,734.49,46786,1936,26695,57.06
22-Aug-2016,734.45,737.00,748.00,731.20,736.35,735.30,739.61,17434,1679,11709,67.16
23-Aug-2016,735.30,740.05,754.80,736.00,740.00,741.50,745.02,28127,2362,17168,61.04
24-Aug-2016,741.50,744.30,747.90,733.20,736.00,735.65,739.98,12603,1130,8072,64.05
25-Aug-2016,735.65,738.55,741.35,730.50,734.80,734.45,737.80,16102,801,11273,70.01
26-Aug-2016,734.45,737.15,737.20,725.10,730.00,728.50,731.68,3598,354,2383,66.23
29-Aug-2016,728.50,731.40,734.00,718.30,723.80,722.35,727.24,9862,822,7496,76.01
30-Aug-2016,722.35,716.40,727.90,713.00,719.80,719.85,721.37,7408,778,4260,57.51
31-Aug-2016,719.85,721.60,725.00,715.00,724.50,724.25,721.07,6322,557,4566,72.22
01-Sep-2016,724.25,725.50,725.50,713.30,714.90,715.15,717.28,10229,606,8271,80.86
02-Sep-2016,715.15,718.05,720.00,709.60,719.00,714.15,713.11,6452,557,3579,55.47
06-Sep-2016,714.15,726.30,745.60,726.30,730.00,731.15,735.45,17201,1501,9171,53.32
07-Sep-2016,731.15,734.95,740.00,731.55,737.80,735.25,736.83,18905,1067,14016,74.14
08-Sep-2016,735.25,738.70,739.55,728.00,733.00,731.95,731.88,7062,694,5058,71.62
09-Sep-2016,731.95,732.80,740.00,726.00,732.60,736.10,731.65,42864,890,39836,92.94
12-Sep-2016,736.10,734.75,735.00,725.00,728.80,726.60,732.18,20473,739,17901,87.44
14-Sep-2016,726.60,729.95,732.30,725.00,728.75,728.50,728.36,5127,578,3340,65.15
15-Sep-2016,728.50,729.95,733.30,726.00,726.00,727.65,728.73,6139,561,3854,62.78
16-Sep-2016,727.65,730.50,733.50,725.10,730.00,728.75,730.10,10138,937,7036,69.40
19-Sep-2016,728.75,731.60,731.60,720.15,723.30,723.15,725.31,8175,818,5463,66.83
20-Sep-2016,723.15,724.80,733.00,722.95,728.00,725.95,727.69,8114,731,5724,70.54
21-Sep-2016,725.95,728.00,733.00,723.95,726.10,726.15,727.11,6108,532,3989,65.31
22-Sep-2016,726.15,729.05,730.00,723.40,726.00,727.75,727.60,20686,636,17705,85.59
23-Sep-2016,727.75,728.80,728.80,718.30,718.95,719.25,721.54,7118,571,6028,84.69
26-Sep-2016,719.25,722.00,724.80,716.00,719.45,717.20,719.57,10355,330,8431,81.42
27-Sep-2016,717.20,718.80,718.80,710.00,713.00,712.00,713.69,14180,407,11468,80.87
28-Sep-2016,712.00,713.00,717.00,709.00,712.10,712.00,712.69,10471,400,7219,68.94
29-Sep-2016,712.00,714.80,724.95,693.00,696.80,695.45,706.11,20468,1051,13592,66.41
30-Sep-2016,695.45,686.00,707.75,686.00,700.00,701.10,700.28,8450,550,4462,52.80
03-Oct-2016,701.10,700.00,712.95,700.00,709.00,710.30,709.53,9147,546,7290,79.70
04-Oct-2016,710.30,714.00,715.00,706.00,709.80,708.25,710.71,7494,416,3750,50.04
05-Oct-2016,708.25,708.25,714.80,706.00,709.50,710.45,709.89,9726,400,6497,66.80
06-Oct-2016,710.45,710.45,731.00,710.00,714.30,712.80,721.10,20891,1200,9604,45.97
07-Oct-2016,712.80,716.80,720.00,712.15,716.00,717.55,715.93,6385,457,4098,64.18
10-Oct-2016,717.55,715.10,723.55,709.40,717.25,717.45,713.68,23679,748,16036,67.72
13-Oct-2016,717.45,713.50,716.65,700.00,709.45,707.50,709.74,23857,631,17628,73.89
14-Oct-2016,707.50,707.85,715.80,707.00,712.10,714.10,712.06,13800,628,7861,56.96
17-Oct-2016,714.10,716.80,722.80,712.10,715.50,715.05,716.73,10305,551,5501,53.38
18-Oct-2016,715.05,718.75,719.75,711.35,711.55,712.50,713.89,4381,473,2635,60.15
19-Oct-2016,712.50,712.00,721.00,712.00,717.00,716.15,716.09,6672,329,4840,72.54
20-Oct-2016,716.15,722.00,722.00,709.60,712.20,712.70,714.66,6012,367,4023,66.92
21-Oct-2016,712.70,723.25,769.00,723.25,754.00,756.10,747.37,234702,8193,106300,45.29
24-Oct-2016,756.10,765.00,874.90,765.00,843.00,844.25,842.60,646164,25043,158014,24.45
25-Oct-2016,844.25,846.70,846.70,811.90,817.00,820.30,824.46,116929,5853,35193,30.10
26-Oct-2016,820.30,822.70,841.25,813.60,818.00,818.60,828.20,72250,3888,21811,30.19
27-Oct-2016,818.60,824.90,824.90,801.00,812.00,813.60,810.76,51184,1801,19237,37.58
28-Oct-2016,813.60,816.40,851.80,813.00,835.00,831.05,838.09,81906,4018,27141,33.14
30-Oct-2016,831.05,836.80,851.00,836.80,843.00,847.15,845.26,28007,1234,17259,61.62
01-Nov-2016,847.15,846.80,855.00,830.05,836.20,834.90,842.63,24166,1430,12943,53.56
02-Nov-2016,834.90,828.00,828.00,812.00,821.00,817.65,819.88,35077,1364,18178,51.82
03-Nov-2016,817.65,819.85,830.00,807.00,811.25,810.40,817.88,15246,962,9497,62.29
04-Nov-2016,810.40,811.00,817.00,785.00,788.05,792.40,795.87,27791,1518,16157,58.14
07-Nov-2016,792.40,799.00,819.45,795.00,807.80,810.25,810.43,24445,1366,11285,46.16
08-Nov-2016,810.25,807.65,816.00,795.35,800.00,802.40,804.59,7605,736,3902,51.31
09-Nov-2016,802.40,770.00,796.95,740.15,780.00,779.30,770.15,46097,1984,25144,54.55
10-Nov-2016,779.30,788.00,844.90,787.35,807.05,807.75,821.94,78591,3490,31757,40.41
11-Nov-2016,807.75,799.00,814.00,790.05,800.00,799.35,802.96,18809,1250,10439,55.50
15-Nov-2016,799.35,882.00,906.05,841.00,852.50,855.45,869.12,224900,7483,130071,57.84
16-Nov-2016,855.45,869.00,873.15,844.80,854.00,853.50,855.39,40578,2070,23490,57.89
17-Nov-2016,853.50,850.00,873.00,845.00,869.70,864.85,860.32,48971,2033,30793,62.88
18-Nov-2016,864.85,867.95,948.00,867.05,899.00,904.65,913.38,229333,11714,84570,36.88
21-Nov-2016,904.65,910.00,917.05,875.05,876.00,879.35,891.74,40362,2680,24212,59.99
22-Nov-2016,879.35,892.00,897.50,859.80,872.30,872.60,872.99,28627,1913,16076,56.16
23-Nov-2016,872.60,887.00,905.00,872.65,885.00,885.00,888.84,27172,2195,13745,50.59
24-Nov-2016,885.00,890.00,920.00,873.25,895.10,896.55,904.46,42132,3243,17518,41.58
25-Nov-2016,896.55,900.25,950.00,897.25,935.70,935.15,927.02,70574,3193,33417,47.35
28-Nov-2016,935.15,944.00,1010.00,930.05,1004.00,1005.95,988.10,276885,11883,99946,36.10
29-Nov-2016,1005.95,1008.50,1019.90,976.60,987.40,992.40,1002.87,96047,5878,35702,37.17
30-Nov-2016,992.40,999.80,1014.85,989.05,999.00,1000.00,1001.33,47979,2858,19417,40.47
01-Dec-2016,1000.00,1004.20,1010.00,972.00,977.80,977.15,985.85,38698,1994,24959,64.50
02-Dec-2016,977.15,980.00,987.90,950.30,955.00,953.80,963.68,26300,1793,16288,61.93
05-Dec-2016,953.80,962.00,973.50,954.00,961.50,961.50,962.85,17012,1763,9290,54.61
06-Dec-2016,961.50,972.00,1013.85,970.05,992.60,992.60,996.94,48342,3744,22464,46.47
07-Dec-2016,992.60,993.00,1010.00,983.00,986.00,986.90,995.73,22698,2136,12185,53.68
08-Dec-2016,986.90,985.00,1004.35,978.00,985.00,982.30,990.57,25643,1740,13632,53.16
09-Dec-2016,982.30,982.30,996.40,982.30,984.00,987.75,990.61,13586,1194,6887,50.69
12-Dec-2016,987.75,991.00,991.00,975.10,982.50,979.70,982.96,11444,1066,6672,58.30
13-Dec-2016,979.70,979.65,990.00,975.00,981.00,980.70,983.18,8331,989,5253,63.05
14-Dec-2016,980.70,990.00,1040.00,974.15,1009.30,1006.85,1019.40,84750,6087,37663,44.44
15-Dec-2016,1006.85,1004.50,1043.00,999.95,1026.00,1023.15,1030.04,73774,7937,37112,50.30
16-Dec-2016,1023.15,1028.45,1060.00,1028.45,1040.00,1039.15,1046.49,84942,6519,40998,48.27
