DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,512.35,514.85,521.95,514.00,518.50,519.40,518.92,1016034,32309,605667,59.61
03-Aug-2016,519.40,519.00,523.95,509.10,510.55,511.35,516.09,461560,19703,290132,62.86
04-Aug-2016,511.35,513.50,518.50,509.95,518.05,517.00,515.55,369454,15280,224055,60.64
05-Aug-2016,517.00,517.95,522.00,514.05,520.10,519.55,519.41,417478,31108,269334,64.51
08-Aug-2016,519.55,522.00,532.40,521.00,530.05,530.30,527.29,657734,29478,327857,49.85
09-Aug-2016,530.30,530.25,547.30,527.55,539.75,540.30,539.21,1274819,33421,750948,58.91
10-Aug-2016,540.30,542.00,542.00,532.00,534.50,535.10,535.21,399445,11204,241439,60.44
11-Aug-2016,535.10,534.60,538.45,529.60,531.50,532.50,533.35,209485,8038,129902,62.01
12-Aug-2016,532.50,534.70,539.70,533.00,535.10,536.85,537.07,219502,8248,148254,67.54
16-Aug-2016,536.85,536.90,540.00,534.15,538.00,537.10,536.79,351340,8461,312904,89.06
17-Aug-2016,537.10,537.25,551.10,537.10,548.80,549.35,546.24,881986,25356,590624,66.97
18-Aug-2016,549.35,551.00,573.40,550.95,569.05,570.90,565.16,1206667,32266,737812,61.14
19-Aug-2016,570.90,573.40,582.00,563.55,575.75,577.35,576.63,749894,21094,434108,57.89
22-Aug-2016,577.35,580.70,594.80,575.00,591.40,591.55,586.58,1282012,35256,535522,41.77
23-Aug-2016,591.55,593.95,603.00,565.10,580.00,580.45,589.89,1419004,46758,647049,45.60
24-Aug-2016,580.45,580.00,598.00,579.95,596.10,595.90,591.13,416093,13805,195194,46.91
25-Aug-2016,595.90,598.00,598.00,585.00,585.75,586.75,591.57,273017,12173,138049,50.56
26-Aug-2016,586.75,590.00,598.00,589.95,595.00,596.30,594.55,292354,8092,145587,49.80
29-Aug-2016,596.30,598.00,615.00,596.30,614.30,613.90,608.98,640981,19095,313124,48.85
30-Aug-2016,613.90,616.60,650.00,616.00,642.55,641.85,633.83,940134,25573,439252,46.72
31-Aug-2016,641.85,645.00,661.40,640.00,653.90,652.25,651.50,872126,20788,413810,47.45
01-Sep-2016,652.25,654.50,658.00,631.55,633.50,636.15,646.14,849646,22057,382298,44.99
02-Sep-2016,636.15,635.40,649.95,612.00,636.00,635.30,629.76,1048848,42914,566729,54.03
06-Sep-2016,635.30,640.00,654.70,635.50,652.80,651.85,646.03,398256,11531,204834,51.43
07-Sep-2016,651.85,655.90,656.00,640.55,649.50,647.00,650.68,284368,7938,153811,54.09
08-Sep-2016,647.00,650.00,653.00,645.50,648.00,649.35,649.04,146259,3956,55119,37.69
09-Sep-2016,649.35,648.00,653.90,641.30,643.50,643.70,647.36,210462,5508,133421,63.39
12-Sep-2016,643.70,635.00,635.00,617.25,619.90,619.95,626.71,275224,10163,180521,65.59
14-Sep-2016,619.95,622.50,638.85,622.50,632.00,631.35,630.43,264287,7798,151584,57.36
