DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,424.65,429.85,429.85,408.30,410.00,409.30,414.97,34716,2021,22054,63.53
03-Aug-2016,409.30,414.50,414.50,406.80,409.00,410.70,411.20,32995,1870,23865,72.33
04-Aug-2016,410.70,416.50,417.90,410.70,412.00,412.35,413.38,16455,1090,13283,80.72
05-Aug-2016,412.35,415.60,419.95,414.95,419.50,418.85,418.33,29470,1866,25801,87.55
08-Aug-2016,418.85,425.00,425.00,411.80,415.05,414.80,417.24,11832,1251,6911,58.41
09-Aug-2016,414.80,418.40,420.00,406.00,411.00,408.70,412.44,18638,1058,12128,65.07
10-Aug-2016,408.70,413.75,417.00,411.00,414.50,413.20,413.87,24067,707,20019,83.18
11-Aug-2016,413.20,415.05,416.00,410.50,414.05,414.15,412.97,13377,657,9980,74.61
12-Aug-2016,414.15,417.75,422.90,412.40,413.35,415.95,419.38,24176,1700,16991,70.28
16-Aug-2016,415.95,415.00,419.00,413.50,413.55,414.75,414.79,8461,982,6544,77.34
17-Aug-2016,414.75,412.45,418.90,409.60,415.00,415.40,414.41,9983,497,7259,72.71
18-Aug-2016,415.40,415.40,429.00,415.40,428.00,424.90,419.34,70024,2387,62724,89.58
19-Aug-2016,424.90,433.00,477.95,431.30,460.00,457.50,458.55,586311,17497,230152,39.25
22-Aug-2016,457.50,457.00,464.85,450.35,460.00,459.75,459.18,102863,2927,73552,71.50
23-Aug-2016,459.75,462.30,485.20,454.00,475.70,475.15,473.80,241048,7616,125461,52.05
24-Aug-2016,475.15,471.00,503.80,471.00,501.00,499.35,495.29,257749,8964,124053,48.13
25-Aug-2016,499.35,498.20,505.00,491.70,499.00,498.35,500.48,78734,3182,40072,50.90
26-Aug-2016,498.35,500.85,514.00,480.00,480.15,482.65,497.96,113038,3315,57643,50.99
29-Aug-2016,482.65,484.00,489.90,481.00,486.00,486.25,485.14,45077,2965,30523,67.71
30-Aug-2016,486.25,490.80,492.50,480.05,489.50,487.05,488.56,101915,4601,69470,68.16
31-Aug-2016,487.05,490.40,494.30,483.15,487.00,488.10,489.42,24976,1340,18512,74.12
01-Sep-2016,488.10,494.00,494.00,472.40,476.85,475.40,481.12,10024,758,6361,63.46
02-Sep-2016,475.40,475.00,494.50,466.55,490.00,489.55,486.50,21837,989,15511,71.03
06-Sep-2016,489.55,485.05,495.70,475.05,481.95,478.65,482.57,17449,1861,9908,56.78
07-Sep-2016,478.65,475.05,489.45,474.20,474.20,474.90,477.46,12658,1304,7546,59.61
08-Sep-2016,474.90,474.00,479.80,470.10,474.50,476.95,473.80,16527,1530,10435,63.14
09-Sep-2016,476.95,469.50,477.65,458.00,461.75,461.25,465.00,35735,2024,26524,74.22
12-Sep-2016,461.25,456.20,469.90,445.05,446.10,447.30,455.09,38710,2256,21182,54.72
14-Sep-2016,447.30,454.80,462.00,448.00,462.00,460.00,455.94,7938,533,5993,75.50
15-Sep-2016,460.00,462.20,468.80,458.70,463.00,461.15,462.69,12790,540,8855,69.23
16-Sep-2016,461.15,457.60,466.00,452.05,453.10,453.15,459.03,12918,639,9091,70.37
19-Sep-2016,453.15,456.65,460.00,445.10,446.95,446.80,450.28,9536,438,7505,78.70
20-Sep-2016,446.80,454.00,472.00,446.00,470.20,467.50,461.29,61952,1732,34707,56.02
21-Sep-2016,467.50,473.85,477.00,463.80,469.80,467.75,470.28,28267,1233,17122,60.57
22-Sep-2016,467.75,465.50,478.90,464.00,477.00,476.90,474.44,60052,1543,34854,58.04
23-Sep-2016,476.90,481.00,481.00,468.50,470.90,470.05,474.54,46190,587,38639,83.65
26-Sep-2016,470.05,470.00,478.70,462.80,468.00,465.05,469.20,11757,650,9169,77.99
27-Sep-2016,465.05,457.05,474.00,457.05,465.00,465.40,467.20,22650,1626,14374,63.46
28-Sep-2016,465.40,462.20,468.80,460.10,460.15,462.80,465.04,43833,1281,41697,95.13
29-Sep-2016,462.80,469.00,472.75,440.00,443.00,446.45,450.45,81479,1909,69327,85.09
30-Sep-2016,446.45,446.45,452.90,437.70,447.00,446.70,446.54,70710,2329,58136,82.22
03-Oct-2016,446.70,454.00,467.85,450.15,463.80,463.95,462.75,31721,1606,19653,61.96
04-Oct-2016,463.95,468.85,468.85,453.15,462.50,464.50,461.21,15017,1875,7312,48.69
05-Oct-2016,464.50,467.00,467.00,459.00,462.50,461.45,461.42,17860,654,15302,85.68
06-Oct-2016,461.45,462.85,466.35,455.65,457.50,457.45,461.01,8263,526,5775,69.89
07-Oct-2016,457.45,460.60,465.95,456.25,457.10,458.00,459.91,4440,633,2361,53.18
10-Oct-2016,458.00,456.10,497.90,456.10,464.80,465.45,468.83,26003,1207,14433,55.51
13-Oct-2016,465.45,461.50,473.95,455.00,459.00,456.70,463.30,19854,1013,12153,61.21
14-Oct-2016,456.70,461.10,463.00,452.55,453.00,454.25,456.84,16392,1042,12996,79.28
17-Oct-2016,454.25,458.00,458.00,445.55,446.50,446.85,450.72,16586,1394,10895,65.69
18-Oct-2016,446.85,454.00,459.00,450.00,451.40,454.25,455.58,12343,897,10343,83.80
19-Oct-2016,454.25,455.90,459.95,443.30,445.05,445.55,450.90,282724,2054,273391,96.70
20-Oct-2016,445.55,447.00,456.70,440.30,442.95,443.15,449.07,29914,2209,21902,73.22
21-Oct-2016,443.15,445.05,453.35,440.10,442.00,444.10,444.91,22103,1035,14271,64.57
24-Oct-2016,444.10,471.50,487.00,460.10,462.00,463.05,464.90,388219,5700,314102,80.91
25-Oct-2016,463.05,466.00,466.90,453.15,459.00,458.20,456.38,302970,2842,288204,95.13
