DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,601.60,604.95,618.00,603.05,613.00,612.95,612.90,705444,33137,416546,59.05
03-Aug-2016,612.95,615.00,616.00,592.75,602.80,600.10,601.08,472832,23564,285810,60.45
04-Aug-2016,600.10,605.00,612.10,597.15,605.10,604.85,604.55,302559,12627,183773,60.74
05-Aug-2016,604.85,605.00,615.00,605.00,613.80,613.00,609.42,179741,10132,98862,55.00
08-Aug-2016,613.00,614.90,621.00,611.15,615.40,617.80,616.51,336690,10593,215695,64.06
09-Aug-2016,617.80,617.90,620.00,594.00,597.00,596.55,600.68,429766,20046,249471,58.05
10-Aug-2016,596.55,597.00,598.00,565.10,570.00,572.30,579.97,607829,25006,406194,66.83
11-Aug-2016,572.30,572.30,584.00,563.00,582.00,580.70,575.48,332114,11823,68942,20.76
12-Aug-2016,580.70,580.90,584.90,574.00,576.80,579.80,579.62,209141,8450,100052,47.84
16-Aug-2016,579.80,579.80,579.80,564.50,570.00,569.15,568.87,468689,25819,280569,59.86
17-Aug-2016,569.15,570.00,570.00,561.25,569.70,566.35,565.14,453471,19026,201177,44.36
18-Aug-2016,566.35,570.05,574.30,562.55,563.85,564.75,567.23,535152,32049,278423,52.03
19-Aug-2016,564.75,565.00,571.20,562.00,564.65,565.70,565.82,259260,8377,97877,37.75
22-Aug-2016,565.70,562.50,565.65,550.00,550.45,551.25,554.70,499181,15488,278478,55.79
23-Aug-2016,551.25,553.20,569.20,547.10,565.65,566.20,562.45,492386,13360,168827,34.29
24-Aug-2016,566.20,570.00,573.20,565.75,568.35,568.60,568.94,307427,10244,136263,44.32
25-Aug-2016,568.60,568.60,572.40,554.80,570.90,567.80,563.54,623291,16111,349916,56.14
26-Aug-2016,567.80,567.90,577.90,566.00,566.95,569.25,573.27,247382,7303,76944,31.10
29-Aug-2016,569.25,569.25,570.65,559.00,566.00,564.95,563.52,209798,8155,79643,37.96
30-Aug-2016,564.95,564.95,573.50,564.95,570.00,570.15,569.78,277452,10877,133013,47.94
31-Aug-2016,570.15,574.90,576.10,559.85,560.55,562.55,566.97,282080,11772,155634,55.17
01-Sep-2016,562.55,563.75,569.95,553.05,554.60,553.75,555.88,402581,20982,231643,57.54
02-Sep-2016,553.75,552.70,553.90,546.10,548.00,548.85,548.41,386267,11511,190824,49.40
06-Sep-2016,548.85,514.80,530.80,504.10,524.00,525.00,515.43,3068228,66148,999863,32.59
07-Sep-2016,525.00,525.00,529.10,515.50,519.20,518.90,521.13,801807,18875,345748,43.12
