DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,244.55,245.55,248.00,245.00,245.25,245.75,246.60,34507,1292,24264,70.32
03-Aug-2016,245.75,246.00,246.25,244.05,244.50,244.95,245.10,20470,802,14313,69.92
04-Aug-2016,244.95,244.40,248.65,244.05,247.10,245.95,246.45,131346,2287,90578,68.96
05-Aug-2016,245.95,245.00,247.00,242.05,245.50,245.40,245.61,82891,1460,48480,58.49
08-Aug-2016,245.40,245.50,247.90,245.40,247.65,246.55,245.90,58181,670,48078,82.64
09-Aug-2016,246.55,246.00,247.90,239.20,244.50,245.00,245.85,29920,897,18271,61.07
10-Aug-2016,245.00,246.00,246.00,241.10,242.50,242.40,242.65,15791,519,10825,68.55
11-Aug-2016,242.40,243.20,244.75,240.10,242.30,242.15,242.40,11348,509,6338,55.85
12-Aug-2016,242.15,242.20,244.95,241.80,243.00,242.80,243.17,25892,2232,17053,65.86
16-Aug-2016,242.80,240.00,244.90,240.00,244.50,243.35,242.02,24471,2948,14996,61.28
17-Aug-2016,243.35,243.60,243.60,241.00,243.00,242.95,242.34,15563,671,10135,65.12
18-Aug-2016,242.95,243.30,252.95,242.40,249.05,249.35,249.68,117457,2968,60081,51.15
19-Aug-2016,249.35,249.00,256.60,246.05,253.45,254.80,253.71,236266,5327,119722,50.67
22-Aug-2016,254.80,255.00,260.60,252.80,253.60,254.35,255.92,137829,5288,75447,54.74
23-Aug-2016,254.35,255.15,256.60,251.00,252.50,252.65,254.18,38842,2696,23638,60.86
24-Aug-2016,252.65,253.00,270.00,253.00,266.15,266.70,264.18,328136,9349,135010,41.14
25-Aug-2016,266.70,269.00,274.00,267.00,268.00,267.80,271.02,153482,3628,65344,42.57
26-Aug-2016,267.80,269.00,269.60,259.00,259.00,259.75,263.17,54440,1508,34312,63.03
29-Aug-2016,259.75,264.00,264.00,258.10,259.00,260.25,261.45,77577,3198,40437,52.12
30-Aug-2016,260.25,255.25,263.00,250.20,252.75,252.65,254.57,281954,7504,161929,57.43
31-Aug-2016,252.65,254.05,257.00,250.60,251.85,251.30,251.87,95589,4263,71493,74.79
01-Sep-2016,251.30,249.70,258.00,249.00,250.20,249.80,252.29,77459,2829,46606,60.17
02-Sep-2016,249.80,250.60,284.00,248.80,269.45,270.75,273.84,1554831,26852,246526,15.86
06-Sep-2016,270.75,271.00,273.70,262.25,265.40,264.45,267.79,201054,4433,91832,45.68
07-Sep-2016,264.45,266.40,267.40,258.75,260.40,260.50,261.73,150406,3219,84886,56.44
08-Sep-2016,260.50,262.00,268.45,258.35,259.10,259.45,261.95,183333,4228,83745,45.68
09-Sep-2016,259.45,260.40,260.95,253.15,253.90,254.70,255.76,74743,1996,42147,56.39
12-Sep-2016,254.70,250.60,250.60,246.25,246.55,247.25,248.18,76855,2988,45123,58.71
14-Sep-2016,247.25,249.00,258.15,248.10,250.50,249.95,252.60,122124,3314,37318,30.56
15-Sep-2016,249.95,251.05,252.65,246.30,246.70,246.80,249.03,45397,1264,27421,60.40
16-Sep-2016,246.80,250.00,250.00,246.00,246.70,247.00,247.84,34451,1076,20445,59.35
19-Sep-2016,247.00,248.80,257.55,244.25,251.00,250.95,251.96,227255,3920,86892,38.24
20-Sep-2016,250.95,250.00,250.95,247.05,247.25,247.65,248.52,37531,1115,23424,62.41
21-Sep-2016,247.65,248.90,249.80,247.00,247.05,247.15,248.00,30923,828,21533,69.63
22-Sep-2016,247.15,251.40,254.00,247.10,251.10,252.45,250.42,66565,1775,41352,62.12
23-Sep-2016,252.45,253.00,253.75,248.80,249.30,250.50,251.36,50260,1572,28023,55.76
26-Sep-2016,250.50,247.20,251.40,247.20,247.65,247.70,248.50,34896,1031,22348,64.04
27-Sep-2016,247.70,249.00,252.80,247.65,252.00,251.15,249.86,39229,1034,26907,68.59
28-Sep-2016,251.15,255.00,256.90,252.00,255.10,255.60,254.94,85340,1842,53100,62.22
29-Sep-2016,255.60,257.00,259.00,241.00,242.45,242.15,247.97,95528,2409,64600,67.62
30-Sep-2016,242.15,242.25,248.00,241.00,247.95,246.45,244.45,65758,1497,36164,55.00
03-Oct-2016,246.45,257.00,263.00,251.00,256.50,255.45,255.31,198661,3699,81390,40.97
04-Oct-2016,255.45,260.00,263.10,255.65,261.50,261.25,259.73,124105,2806,75687,60.99
05-Oct-2016,261.25,261.25,262.15,256.20,261.00,260.60,259.42,77685,2077,52102,67.07
06-Oct-2016,260.60,263.00,293.90,260.20,285.10,283.70,282.06,1460443,20251,262135,17.95
07-Oct-2016,283.70,285.40,287.90,274.20,275.80,275.70,280.17,322743,6350,99003,30.68
10-Oct-2016,275.70,276.60,281.70,266.00,272.30,272.05,275.03,168168,4505,49255,29.29
13-Oct-2016,272.05,268.00,273.70,262.70,263.35,264.20,266.92,87165,2207,51354,58.92
14-Oct-2016,264.20,266.95,269.00,262.50,263.00,263.25,264.37,70146,1626,45468,64.82
17-Oct-2016,263.25,265.10,266.80,259.95,260.10,260.50,262.22,64823,1511,44269,68.29
18-Oct-2016,260.50,262.70,267.80,261.50,262.10,262.90,264.24,56389,1702,27973,49.61
19-Oct-2016,262.90,265.00,284.00,262.60,278.50,281.45,277.61,382389,7662,174613,45.66
20-Oct-2016,281.45,283.90,287.05,277.35,281.00,282.45,283.30,196893,3982,79998,40.63
21-Oct-2016,282.45,284.60,301.00,275.50,297.45,295.95,294.14,559790,9822,164057,29.31
24-Oct-2016,295.95,295.40,310.50,291.95,303.80,305.20,303.22,623801,12147,201863,32.36
25-Oct-2016,305.20,314.00,318.00,310.10,311.00,311.95,313.71,424360,8061,173492,40.88
26-Oct-2016,311.95,308.30,330.00,306.30,322.00,322.95,321.10,662756,13428,231115,34.87
27-Oct-2016,322.95,323.40,329.80,315.00,320.15,319.30,322.76,314124,6377,124359,39.59
28-Oct-2016,319.30,322.00,337.40,321.90,327.50,327.20,329.56,695796,11556,246048,35.36
30-Oct-2016,327.20,329.95,333.40,325.30,328.00,327.85,329.15,185381,2524,129708,69.97
01-Nov-2016,327.85,329.40,366.70,326.75,362.80,360.10,350.34,1971869,26862,527960,26.77
02-Nov-2016,360.10,365.00,387.80,363.65,378.00,378.10,379.61,4008137,55488,741125,18.49
03-Nov-2016,378.10,379.00,381.90,356.00,357.00,357.25,370.88,867954,15494,279822,32.24
04-Nov-2016,357.25,359.40,359.40,330.50,337.00,334.55,337.96,767768,13587,217145,28.28
07-Nov-2016,334.55,342.00,353.75,325.00,327.00,327.55,336.90,647346,12000,279555,43.18
08-Nov-2016,327.55,330.90,348.60,328.55,344.80,345.20,340.46,616018,10987,190458,30.92
09-Nov-2016,345.20,305.10,338.00,287.65,335.00,334.85,321.91,603701,13738,193292,32.02
10-Nov-2016,334.85,343.00,360.00,342.00,350.30,347.30,351.33,592231,9789,319799,54.00
11-Nov-2016,347.30,343.70,345.30,328.50,333.90,332.05,337.67,276560,6784,105433,38.12
15-Nov-2016,332.05,324.50,324.50,305.00,308.90,309.95,315.22,288409,8188,164700,57.11
16-Nov-2016,309.95,317.75,335.90,312.00,331.00,330.25,328.81,422057,11653,135369,32.07
17-Nov-2016,330.25,330.00,335.85,316.50,325.00,323.05,325.41,180283,4302,59713,33.12
18-Nov-2016,323.05,325.00,325.05,311.25,313.00,313.45,315.53,156934,9391,78153,49.80
21-Nov-2016,313.45,315.90,317.15,294.60,303.90,304.10,306.75,266977,9023,142261,53.29
22-Nov-2016,304.10,309.60,313.85,295.05,302.50,301.40,302.53,273601,8048,131459,48.05
23-Nov-2016,301.40,308.80,340.85,305.00,339.00,337.40,326.02,886119,19075,237728,26.83
24-Nov-2016,337.40,338.80,358.20,337.90,344.10,342.05,349.13,1007174,17903,221580,22.00
25-Nov-2016,342.05,345.30,357.00,341.30,347.00,345.80,348.25,410428,7163,120568,29.38
28-Nov-2016,345.80,348.00,374.00,346.45,364.50,363.50,364.29,830900,15002,269133,32.39
29-Nov-2016,363.50,365.00,377.00,362.20,365.10,364.15,369.49,405118,10026,132207,32.63
30-Nov-2016,364.15,367.00,379.70,366.90,376.00,376.10,373.21,452659,8881,195953,43.29
01-Dec-2016,376.10,380.05,394.00,376.00,382.80,380.65,384.96,942073,15737,277481,29.45
02-Dec-2016,380.65,379.00,379.00,362.40,364.10,365.80,368.41,418339,7840,235308,56.25
05-Dec-2016,365.80,365.00,367.00,353.20,354.35,355.20,356.74,303047,9800,146236,48.26
06-Dec-2016,355.20,358.75,364.00,351.05,352.00,353.30,357.09,373643,10988,153197,41.00
07-Dec-2016,353.30,360.00,360.00,341.50,344.00,343.20,347.08,408143,9942,223630,54.79
08-Dec-2016,343.20,346.50,362.15,346.50,357.10,356.45,355.81,415637,10442,145645,35.04
09-Dec-2016,356.45,359.30,367.50,353.80,364.95,365.55,361.71,321579,7458,105329,32.75
12-Dec-2016,365.55,362.50,362.90,352.50,357.00,356.00,357.90,131046,3057,45769,34.93
13-Dec-2016,356.00,354.20,363.80,350.50,357.20,357.80,359.17,183475,6698,49343,26.89
14-Dec-2016,357.80,355.00,363.40,342.05,347.85,345.80,355.38,240640,6161,111915,46.51
15-Dec-2016,345.80,344.25,356.40,341.00,353.00,352.05,352.17,190966,4844,68963,36.11
16-Dec-2016,352.05,350.00,354.50,341.05,345.80,343.25,345.73,395172,7507,297401,75.26
19-Dec-2016,343.25,344.50,354.50,343.25,345.80,345.45,347.83,253970,10992,112239,44.19
20-Dec-2016,345.45,346.60,363.50,345.20,360.90,357.80,355.38,556799,11576,167412,30.07
21-Dec-2016,357.80,362.95,367.90,361.70,363.95,364.40,364.71,352140,7618,115778,32.88
22-Dec-2016,364.40,362.95,362.95,348.30,352.40,353.10,353.38,203202,6675,89256,43.92
23-Dec-2016,353.10,352.75,357.50,346.50,356.00,352.55,352.33,175894,4840,60254,34.26
26-Dec-2016,352.55,352.50,352.80,335.00,335.20,338.25,342.16,135994,4592,50029,36.79
27-Dec-2016,338.25,337.00,350.95,337.00,345.25,346.60,347.00,201330,6236,44710,22.21
28-Dec-2016,346.60,349.30,355.50,348.00,351.70,351.30,351.95,161868,5212,61809,38.18
29-Dec-2016,351.30,351.95,357.30,350.05,352.00,352.95,353.55,113582,4026,34898,30.72
30-Dec-2016,352.95,354.90,363.00,352.50,362.00,360.05,357.71,408754,7516,160917,39.37
02-Jan-2017,360.05,365.00,371.90,361.50,369.00,368.60,367.46,387085,8604,104662,27.04
