DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,33799.15,33751.00,34189.25,33750.95,33990.00,33922.45,33936.31,9366,4500,6085,64.97
03-Aug-2016,33922.45,34001.00,34935.00,33760.00,34701.00,34605.85,34521.33,10148,4248,4313,42.50
04-Aug-2016,34605.85,34935.00,35560.00,34550.05,35560.00,35315.40,35105.90,8309,3926,2817,33.90
05-Aug-2016,35315.40,35325.50,37490.00,35325.50,37077.00,37068.20,36836.00,28926,12037,11447,39.57
08-Aug-2016,37068.20,37340.00,37540.00,36921.45,37050.00,37092.45,37255.28,8740,3919,3331,38.11
09-Aug-2016,37092.45,37092.45,37250.00,36001.00,36801.00,36902.45,36789.79,8284,3778,2076,25.06
10-Aug-2016,36902.45,37000.00,37099.95,36001.05,36306.05,36716.85,36475.83,9823,3834,3736,38.03
11-Aug-2016,36716.85,36410.00,37300.00,36000.00,36000.00,36660.75,36855.77,14507,5671,5093,35.11
12-Aug-2016,36660.75,36210.00,36871.85,35999.70,36099.90,36129.25,36344.14,7954,3506,2177,27.37
16-Aug-2016,36129.25,36000.00,36490.50,36000.00,36150.00,36126.30,36243.37,4491,2246,1614,35.94
17-Aug-2016,36126.30,36015.00,36907.50,36015.00,36480.00,36525.05,36544.74,5045,2779,1547,30.66
18-Aug-2016,36525.05,36526.75,36827.95,36306.00,36582.20,36553.95,36616.30,6253,3204,3099,49.56
19-Aug-2016,36553.95,36553.00,36800.00,36012.00,36047.00,36110.10,36291.45,5577,3002,2087,37.42
22-Aug-2016,36110.10,36299.00,36299.90,35299.95,35360.05,35485.60,35712.92,6810,3120,3577,52.53
23-Aug-2016,35485.60,35485.60,35849.95,35323.30,35745.00,35744.25,35596.26,8437,3097,5211,61.76
24-Aug-2016,35744.25,35770.00,36490.00,35700.00,36350.00,36300.30,36060.20,10758,4364,5901,54.85
25-Aug-2016,36300.30,36303.00,36800.00,36200.00,36350.05,36458.85,36433.54,10211,4716,4672,45.75
26-Aug-2016,36458.85,36500.00,36863.35,36212.00,36265.05,36339.70,36407.74,8695,3839,4695,54.00
