DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,80.80,80.15,81.85,77.30,78.00,78.10,80.21,1645768,10056,744342,45.23
03-Aug-2016,78.10,78.00,78.30,75.75,76.05,76.15,76.94,805559,4577,323363,40.14
04-Aug-2016,76.15,76.60,81.70,76.40,80.40,80.65,80.02,2098018,17715,626179,29.85
05-Aug-2016,80.65,80.90,81.90,78.60,79.30,79.15,80.43,762575,4415,295273,38.72
08-Aug-2016,79.15,79.60,80.80,79.10,79.20,79.35,79.77,655644,5183,207050,31.58
09-Aug-2016,79.35,79.45,79.75,76.10,76.15,76.25,77.30,883296,4811,608205,68.86
10-Aug-2016,76.25,76.75,77.85,76.40,77.00,76.75,76.85,1889653,5519,1500270,79.39
11-Aug-2016,76.75,77.00,78.80,76.50,77.40,77.40,77.74,1154748,6802,804974,69.71
12-Aug-2016,77.40,77.60,77.60,74.25,74.65,74.80,75.78,759701,5948,447744,58.94
16-Aug-2016,74.80,75.00,76.70,74.60,76.25,76.35,75.81,684621,4603,382078,55.81
17-Aug-2016,76.35,76.15,77.90,75.85,77.50,77.00,77.00,639517,4940,343429,53.70
18-Aug-2016,77.00,77.00,81.80,76.90,81.50,81.10,80.66,2257330,13188,1512492,67.00
19-Aug-2016,81.10,81.30,82.65,79.80,79.80,80.00,80.97,1210587,9178,796014,65.75
22-Aug-2016,80.00,80.00,81.35,78.60,78.80,78.85,79.79,503761,3542,169219,33.59
23-Aug-2016,78.85,79.60,80.35,79.05,79.90,80.00,79.70,488359,6851,152066,31.14
24-Aug-2016,80.00,80.00,81.00,78.00,78.35,78.50,78.98,796885,4831,427445,53.64
25-Aug-2016,78.50,80.00,80.75,77.40,77.95,77.95,79.33,1429215,9124,539217,37.73
26-Aug-2016,77.95,78.50,78.75,76.15,76.50,76.50,77.13,475004,4180,233925,49.25
