DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,355.45,362.00,390.00,358.35,366.50,362.35,375.89,5032368,94778,1527609,30.36
03-Aug-2016,362.35,367.90,374.40,344.25,352.00,347.95,356.82,1820593,42516,535434,29.41
04-Aug-2016,347.95,355.05,366.70,345.50,363.70,360.15,357.49,1250266,23286,346197,27.69
05-Aug-2016,360.15,364.30,368.00,344.00,351.00,352.65,354.85,2831915,42336,502947,17.76
08-Aug-2016,352.65,346.10,406.80,342.00,398.75,399.80,384.04,5461511,85559,1503501,27.53
09-Aug-2016,399.80,402.00,402.50,376.50,382.35,379.75,384.08,2173829,39413,740274,34.05
10-Aug-2016,379.75,383.40,402.00,382.05,389.15,391.45,394.78,3288202,72201,1128427,34.32
11-Aug-2016,391.45,388.80,388.80,363.50,369.00,368.35,374.07,1156538,19754,448227,38.76
12-Aug-2016,368.35,370.00,377.95,358.60,369.00,369.05,370.16,961017,18927,251926,26.21
16-Aug-2016,369.05,370.00,372.00,360.25,365.50,365.50,366.91,810487,29175,358566,44.24
17-Aug-2016,365.50,365.55,367.35,357.10,358.30,358.35,360.90,502318,18259,192836,38.39
18-Aug-2016,358.35,361.70,363.00,350.10,359.50,359.35,356.53,886530,26682,332786,37.54
19-Aug-2016,359.35,361.50,361.50,347.00,348.00,349.90,352.70,813453,33906,439305,54.00
22-Aug-2016,349.90,352.20,353.00,338.25,340.70,342.20,343.23,851607,20386,491311,57.69
23-Aug-2016,342.20,343.55,344.80,333.15,333.80,334.35,338.78,748644,18295,532062,71.07
24-Aug-2016,334.35,334.50,341.25,333.00,336.70,336.60,338.87,787271,17615,444307,56.44
25-Aug-2016,336.60,338.00,338.60,323.50,326.00,325.80,327.65,990183,20109,543867,54.93
26-Aug-2016,325.80,328.95,342.50,326.00,334.55,335.55,335.52,2293655,54312,853132,37.20
29-Aug-2016,335.55,334.00,340.75,331.20,338.00,339.45,338.08,1152717,19750,608159,52.76
30-Aug-2016,339.45,341.75,356.40,340.90,354.00,354.20,348.80,1182006,24451,493596,41.76
31-Aug-2016,354.20,357.75,383.30,357.20,375.35,375.75,369.15,2225380,41885,821757,36.93
01-Sep-2016,375.75,376.80,376.80,359.25,363.30,363.40,365.67,777742,23297,294402,37.85
02-Sep-2016,363.40,361.00,366.15,358.35,360.00,360.05,362.05,560280,21506,285910,51.03
06-Sep-2016,360.05,362.60,367.25,356.30,357.00,358.20,360.27,700729,22754,356853,50.93
07-Sep-2016,358.20,360.00,370.90,359.35,367.10,368.20,364.86,1165248,23629,574002,49.26
08-Sep-2016,368.20,371.00,379.80,366.30,375.50,374.75,374.78,1111549,20291,462908,41.65
09-Sep-2016,374.75,377.00,377.20,363.40,363.65,366.40,370.88,644622,21676,325759,50.53
12-Sep-2016,366.40,358.00,358.50,346.60,347.50,349.00,352.98,425190,10273,229182,53.90
14-Sep-2016,349.00,349.00,349.00,330.20,337.00,335.80,336.90,1077557,22280,489522,45.43
15-Sep-2016,335.80,335.00,351.50,335.00,345.00,344.85,345.47,569726,12882,207711,36.46
16-Sep-2016,344.85,350.00,354.90,338.50,347.50,342.80,345.36,826818,19441,519738,62.86
19-Sep-2016,342.80,343.10,352.00,343.10,350.25,349.50,349.48,600986,12887,321962,53.57
20-Sep-2016,349.50,350.00,357.80,349.95,353.00,354.10,354.20,380026,9542,133089,35.02
21-Sep-2016,354.10,359.95,368.00,356.30,362.50,363.35,363.03,838152,30216,369256,44.06
22-Sep-2016,363.35,366.20,388.90,365.00,383.80,385.40,377.97,1224821,23848,462065,37.73
23-Sep-2016,385.40,386.00,387.00,369.00,371.00,375.00,378.69,1433927,35533,758101,52.87
26-Sep-2016,375.00,372.25,372.25,363.85,368.95,368.20,367.86,408277,12333,130257,31.90
27-Sep-2016,368.20,374.00,379.85,370.10,373.00,373.30,376.36,760818,14985,266734,35.06
28-Sep-2016,373.30,374.00,376.65,362.00,365.00,364.30,366.56,415555,9379,168299,40.50
29-Sep-2016,364.30,366.35,369.85,337.15,345.90,341.85,356.66,700802,11784,377844,53.92
30-Sep-2016,341.85,334.15,356.45,334.15,350.00,348.80,348.94,535178,19111,296796,55.46
03-Oct-2016,348.80,354.70,356.00,348.00,350.00,351.10,350.75,914692,15981,506531,55.38
04-Oct-2016,351.10,352.00,354.00,345.10,350.00,349.55,350.22,355676,9075,175735,49.41
05-Oct-2016,349.55,350.00,352.75,344.20,345.50,345.70,347.32,291600,6286,181798,62.34
06-Oct-2016,345.70,348.00,348.00,339.00,341.80,341.25,342.60,274981,10175,159887,58.14
07-Oct-2016,341.25,344.70,344.70,336.35,338.35,338.85,339.54,192175,5761,96585,50.26
10-Oct-2016,338.85,339.40,346.45,334.15,345.00,343.70,341.21,371824,12272,177861,47.83
13-Oct-2016,343.70,344.00,351.25,337.60,344.00,343.00,345.88,874215,11909,306871,35.10
14-Oct-2016,343.00,345.80,352.00,344.00,349.95,350.10,349.73,675983,10899,432017,63.91
17-Oct-2016,350.10,356.90,357.00,345.60,347.00,347.30,349.60,309914,5741,191918,61.93
