DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,611.30,616.00,616.00,600.00,607.00,602.70,606.09,157685,9486,74509,47.25
03-Aug-2016,602.70,605.30,613.40,602.00,611.80,608.10,608.13,183487,9539,65941,35.94
04-Aug-2016,608.10,642.65,650.00,623.70,631.10,630.20,637.08,906360,20427,247266,27.28
05-Aug-2016,630.20,634.55,635.00,622.75,628.00,628.55,628.46,148694,7156,62669,42.15
08-Aug-2016,628.55,633.00,640.00,624.10,637.95,637.70,632.52,171410,6869,92181,53.78
09-Aug-2016,637.70,640.95,644.75,620.05,622.70,626.85,630.90,271692,8651,130104,47.89
10-Aug-2016,626.85,641.00,648.00,626.10,635.00,633.65,635.08,502054,13211,165160,32.90
11-Aug-2016,633.65,635.60,642.90,630.70,640.50,639.40,637.93,269193,8590,117792,43.76
12-Aug-2016,639.40,638.80,646.50,630.30,630.30,632.85,639.51,193545,6769,74133,38.30
16-Aug-2016,632.85,634.95,654.00,632.30,641.00,640.50,642.30,389591,12766,97295,24.97
17-Aug-2016,640.50,646.40,648.00,640.80,646.50,645.65,644.75,131473,10128,60199,45.79
18-Aug-2016,645.65,646.10,650.00,642.00,643.55,642.80,644.14,81291,2115,41783,51.40
19-Aug-2016,642.80,643.90,647.90,639.10,640.40,642.25,643.18,79623,1812,42611,53.52
22-Aug-2016,642.25,644.95,658.50,638.10,655.00,654.70,650.99,254773,6511,121987,47.88
23-Aug-2016,654.70,658.00,660.00,646.00,656.45,658.15,653.09,191152,7958,105162,55.01
24-Aug-2016,658.15,657.95,663.05,651.50,654.00,654.60,657.83,146164,4193,67364,46.09
25-Aug-2016,654.60,668.90,702.65,662.90,679.70,682.90,688.76,1609563,32797,340409,21.15
26-Aug-2016,682.90,685.00,689.00,676.00,683.00,682.20,683.42,261980,6821,100542,38.38
29-Aug-2016,682.20,680.00,683.75,675.10,677.50,677.55,678.75,95123,4080,46603,48.99
30-Aug-2016,677.55,678.05,690.00,677.00,685.00,685.50,685.18,136873,4545,52818,38.59
31-Aug-2016,685.50,685.00,693.80,679.25,687.15,688.90,688.85,317721,10679,143915,45.30
01-Sep-2016,688.90,688.95,696.60,670.00,676.00,675.65,687.57,273626,9337,111711,40.83
02-Sep-2016,675.65,687.00,691.00,672.40,675.00,677.20,681.11,247694,7559,74996,30.28
06-Sep-2016,677.20,685.00,686.60,677.70,679.45,682.00,683.84,147455,8365,93789,63.61
07-Sep-2016,682.00,684.00,688.00,675.30,675.65,677.90,682.26,111157,4721,66350,59.69
08-Sep-2016,677.90,679.00,679.90,658.60,666.00,667.30,667.69,206875,11776,119637,57.83
09-Sep-2016,667.30,669.60,674.50,665.10,667.90,667.25,669.68,121442,3413,57229,47.12
12-Sep-2016,667.25,656.70,656.70,635.00,638.00,638.05,644.44,213751,8919,126886,59.36
14-Sep-2016,638.05,648.95,656.00,642.00,645.20,645.35,647.58,134600,5912,55923,41.55
15-Sep-2016,645.35,648.00,650.00,637.60,639.30,638.50,642.37,113896,4690,65478,57.49
16-Sep-2016,638.50,643.05,666.00,640.10,660.00,656.35,651.08,313274,11609,208615,66.59
19-Sep-2016,656.35,663.85,663.85,551.55,643.90,644.00,642.03,153906,5536,87511,56.86
20-Sep-2016,644.00,649.00,653.00,645.00,646.00,647.10,649.10,77647,2700,43019,55.40
21-Sep-2016,647.10,647.00,649.75,634.75,635.50,636.95,640.51,105477,3163,72304,68.55
22-Sep-2016,636.95,642.00,645.10,630.00,631.50,631.80,635.02,180232,5542,136885,75.95
23-Sep-2016,631.80,635.60,637.50,613.95,623.00,621.45,624.64,257998,9025,154585,59.92
26-Sep-2016,621.45,625.00,633.50,616.50,620.05,622.25,627.05,159382,5870,73409,46.06
27-Sep-2016,622.25,627.00,628.00,614.15,617.00,616.95,618.92,133191,6916,71263,53.50
28-Sep-2016,616.95,618.00,625.90,618.00,624.00,619.75,621.88,101027,4347,59279,58.68
29-Sep-2016,619.75,624.00,626.05,580.00,600.00,598.10,603.70,345998,14272,248030,71.69
30-Sep-2016,598.10,576.65,602.25,576.65,596.75,596.85,596.65,188871,10958,141552,74.95
03-Oct-2016,596.85,605.00,606.00,592.95,599.80,599.35,598.99,303143,10582,231834,76.48
04-Oct-2016,599.35,600.00,614.80,598.35,605.25,607.40,607.51,426465,24473,319983,75.03
05-Oct-2016,607.40,609.00,611.00,600.05,603.70,604.60,605.07,290913,9114,236665,81.35
06-Oct-2016,604.60,605.10,618.00,602.40,610.00,609.90,609.75,443169,6812,351161,79.24
07-Oct-2016,609.90,611.50,614.00,600.10,603.00,604.35,605.31,73454,2414,43816,59.65
10-Oct-2016,604.35,606.10,608.95,593.65,597.00,596.90,601.59,77802,3792,57068,73.35
13-Oct-2016,596.90,599.00,599.00,580.05,593.00,593.70,589.04,209977,13107,131446,62.60
14-Oct-2016,593.70,593.10,613.00,590.00,610.00,611.10,599.74,504739,20324,367432,72.80
17-Oct-2016,611.10,611.50,615.00,595.00,597.50,598.00,601.04,175774,4392,131666,74.91
18-Oct-2016,598.00,600.00,604.05,596.60,599.00,598.55,598.40,328004,9199,282297,86.07
19-Oct-2016,598.55,606.95,606.95,595.00,596.80,597.70,599.34,66345,2710,40129,60.49
20-Oct-2016,597.70,600.05,600.60,581.55,586.00,588.15,590.20,162938,6210,100381,61.61
21-Oct-2016,588.15,589.00,600.10,585.50,599.40,598.90,594.43,139628,6265,85552,61.27
24-Oct-2016,598.90,600.10,604.00,590.50,598.00,597.35,595.73,161135,9181,90293,56.04
