DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,48.75,48.90,48.90,47.05,47.25,47.30,47.50,718980,3518,525683,73.12
03-Aug-2016,47.30,47.30,47.80,46.55,47.20,47.25,47.18,465226,4577,282919,60.81
04-Aug-2016,47.25,47.40,48.95,47.05,48.50,48.70,48.41,762711,4487,511678,67.09
05-Aug-2016,48.70,48.90,50.10,48.10,49.15,49.30,49.43,1108566,4461,571399,51.54
08-Aug-2016,49.30,49.95,50.60,49.15,49.25,49.40,50.07,1075444,4415,522781,48.61
09-Aug-2016,49.40,49.60,49.65,48.80,48.95,49.15,49.26,480957,2928,285038,59.26
10-Aug-2016,49.15,49.60,49.60,47.40,47.50,47.60,48.26,582981,4584,269901,46.30
11-Aug-2016,47.60,47.70,48.15,46.95,47.50,47.25,47.56,473599,3095,305579,64.52
12-Aug-2016,47.25,47.45,48.15,47.30,47.40,47.55,47.73,415398,2499,193534,46.59
16-Aug-2016,47.55,47.90,48.10,47.15,47.75,47.65,47.63,423878,2961,223484,52.72
17-Aug-2016,47.65,47.65,48.05,47.40,47.65,47.55,47.74,541042,2834,303265,56.05
18-Aug-2016,47.55,47.95,48.00,47.40,47.55,47.55,47.75,393964,2064,285967,72.59
19-Aug-2016,47.55,48.00,48.90,47.30,47.55,47.65,47.95,1448423,5723,886223,61.19
22-Aug-2016,47.65,47.90,48.50,47.40,47.95,47.95,47.92,497830,2850,339872,68.27
23-Aug-2016,47.95,47.95,48.35,47.20,47.50,47.55,47.74,445583,2065,308688,69.28
24-Aug-2016,47.55,47.75,48.35,47.45,47.65,47.60,47.74,366490,1532,270621,73.84
25-Aug-2016,47.60,47.85,48.20,47.00,47.30,47.15,47.54,570623,2940,384526,67.39
26-Aug-2016,47.15,47.40,47.45,46.60,46.70,46.75,46.96,363150,2249,254910,70.19
29-Aug-2016,46.75,46.90,46.90,46.30,46.45,46.60,46.56,292591,6691,201497,68.87
30-Aug-2016,46.60,46.90,49.20,46.80,49.00,48.65,48.06,881424,3861,601429,68.23
31-Aug-2016,48.65,49.00,49.55,46.70,47.20,47.10,47.98,692335,3303,497911,71.92
01-Sep-2016,47.10,47.05,47.50,46.10,46.50,46.55,46.85,426611,3709,260838,61.14
02-Sep-2016,46.55,46.70,47.50,46.30,46.95,46.90,46.97,339198,2493,210135,61.95
06-Sep-2016,46.90,47.25,48.35,47.10,47.85,47.95,47.81,470752,3083,342354,72.72
07-Sep-2016,47.95,48.30,49.50,47.55,49.20,49.15,48.66,993950,3896,696103,70.03
08-Sep-2016,49.15,49.30,51.30,48.80,50.50,50.65,50.58,1603308,7568,1062148,66.25
09-Sep-2016,50.65,50.90,50.90,48.80,49.45,49.40,49.65,799098,5220,557658,69.79
12-Sep-2016,49.40,48.00,48.90,46.75,47.00,47.10,48.03,610208,4712,410912,67.34
14-Sep-2016,47.10,45.80,46.90,45.60,46.25,46.20,46.32,1013004,5022,671302,66.27
15-Sep-2016,46.20,46.10,47.00,45.90,46.10,46.05,46.32,832878,10115,598040,71.80
16-Sep-2016,46.05,46.30,47.40,43.75,44.90,44.50,44.94,2992423,12138,2188730,73.14
19-Sep-2016,44.50,44.95,45.90,44.85,45.90,45.70,45.49,559780,4754,359768,64.27
20-Sep-2016,45.70,46.00,46.35,45.50,45.70,45.90,45.99,342229,1726,217288,63.49
21-Sep-2016,45.90,46.15,46.75,45.90,46.75,46.40,46.32,318897,2171,215934,67.71
22-Sep-2016,46.40,46.70,46.95,45.40,45.60,45.70,45.99,712690,3483,500128,70.17
23-Sep-2016,45.70,46.25,46.40,45.55,46.05,46.00,46.09,476818,1910,287646,60.33
26-Sep-2016,46.00,46.00,46.40,45.60,46.20,45.95,46.02,331759,1318,218577,65.88
27-Sep-2016,45.95,45.50,46.10,45.40,45.85,45.70,45.94,987091,3052,820729,83.15
28-Sep-2016,45.70,45.90,46.85,45.65,46.30,46.45,46.13,530475,2841,331004,62.40
29-Sep-2016,46.45,46.65,46.90,42.65,44.60,45.50,45.16,1378285,6131,767677,55.70
30-Sep-2016,45.50,46.00,46.75,44.55,45.35,45.75,45.35,1176126,7760,682389,58.02
03-Oct-2016,45.75,46.00,46.90,45.55,46.45,46.30,46.26,759508,2549,485356,63.90
04-Oct-2016,46.30,46.55,49.00,46.50,47.25,47.25,47.59,1936847,6714,779723,40.26
05-Oct-2016,47.25,47.80,48.80,47.25,47.95,48.10,48.02,1127602,4743,676020,59.95
06-Oct-2016,48.10,48.20,49.50,47.40,48.00,47.95,48.41,1438185,6214,720281,50.08
07-Oct-2016,47.95,47.75,49.50,47.60,49.30,49.10,48.65,1109440,5412,704501,63.50
10-Oct-2016,49.10,52.00,52.70,51.05,52.20,52.40,52.02,4091913,14415,1767263,43.19
13-Oct-2016,52.40,52.70,53.40,50.00,50.85,50.65,51.48,2373864,9287,1276292,53.76
14-Oct-2016,50.65,50.65,52.00,50.65,51.70,51.70,51.58,993639,4693,668953,67.32
17-Oct-2016,51.70,51.20,52.45,50.25,50.80,50.80,51.16,978883,4836,579942,59.25
18-Oct-2016,50.80,50.80,52.40,50.10,51.50,51.15,51.61,1118853,4811,615163,54.98
19-Oct-2016,51.15,52.25,52.80,51.15,51.40,51.45,51.83,1339297,5722,596010,44.50
