DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,808.20,810.05,815.30,803.05,805.00,809.60,810.20,17494,1454,11764,67.25
03-Aug-2016,809.60,810.10,828.00,803.65,823.75,824.85,815.96,146630,2563,132087,90.08
04-Aug-2016,824.85,828.90,828.90,813.00,818.40,816.85,822.84,37080,3348,26447,71.32
05-Aug-2016,816.85,820.05,846.50,812.10,840.15,843.10,833.54,93553,5793,56164,60.03
08-Aug-2016,843.10,843.00,883.00,825.30,870.00,872.25,860.35,172317,8082,72843,42.27
09-Aug-2016,872.25,872.00,879.80,850.50,871.00,872.65,868.99,22764,2583,10071,44.24
10-Aug-2016,872.65,872.60,875.00,851.00,867.00,869.55,857.23,98978,1547,90681,91.62
11-Aug-2016,869.55,869.00,873.00,851.20,852.90,857.80,861.94,106802,2705,97738,91.51
12-Aug-2016,857.80,857.80,862.20,837.50,850.00,845.70,847.32,8447,579,4413,52.24
16-Aug-2016,845.70,854.95,861.90,837.00,855.00,852.45,848.48,20509,3969,13300,64.85
17-Aug-2016,852.45,852.00,852.05,836.50,838.00,839.20,843.06,21967,1321,14634,66.62
18-Aug-2016,839.20,839.20,846.45,833.85,836.10,836.05,838.53,11906,1665,7162,60.15
19-Aug-2016,836.05,837.05,837.05,830.10,834.00,833.40,834.14,10887,789,7032,64.59
22-Aug-2016,833.40,847.70,847.70,830.55,842.80,841.00,844.33,151192,5206,133915,88.57
23-Aug-2016,841.00,842.00,848.00,832.50,832.50,836.10,840.46,6908,644,3849,55.72
24-Aug-2016,836.10,844.20,850.00,832.75,850.00,849.35,846.00,13836,868,8780,63.46
25-Aug-2016,849.35,844.00,850.00,835.00,837.00,838.35,847.25,35604,1058,30215,84.86
26-Aug-2016,838.35,842.05,846.00,831.00,838.50,842.35,839.22,6606,571,3536,53.53
29-Aug-2016,842.35,844.00,849.90,832.00,832.40,837.85,840.48,8195,721,3707,45.23
30-Aug-2016,837.85,843.35,847.60,832.60,833.75,836.75,838.56,9984,678,5250,52.58
31-Aug-2016,836.75,836.75,849.75,818.55,822.70,823.50,837.85,104267,2152,89022,85.38
01-Sep-2016,823.50,827.00,845.00,819.00,838.00,836.25,826.75,710182,3413,680284,95.79
02-Sep-2016,836.25,839.45,849.00,829.30,830.15,832.40,841.02,23050,2001,11383,49.38
06-Sep-2016,832.40,832.55,843.00,832.35,838.50,839.25,839.18,20586,2826,16029,77.86
07-Sep-2016,839.25,846.50,848.00,835.00,839.00,838.70,839.23,40110,2149,25839,64.42
08-Sep-2016,838.70,839.00,846.05,835.00,836.00,840.95,840.66,131925,1933,125468,95.11
09-Sep-2016,840.95,841.00,841.00,826.00,838.00,831.40,834.76,15853,638,5946,37.51
12-Sep-2016,831.40,828.55,843.40,817.00,842.20,836.65,832.33,16507,820,9641,58.41
14-Sep-2016,836.65,836.10,849.90,828.75,848.00,846.35,845.93,51183,1319,41826,81.72
15-Sep-2016,846.35,840.05,850.00,835.10,850.00,847.20,846.09,43388,1207,33488,77.18
16-Sep-2016,847.20,839.05,878.95,839.00,865.00,861.90,854.51,103600,2736,72364,69.85
19-Sep-2016,861.90,856.60,872.00,851.50,863.95,862.35,864.74,111553,2830,91029,81.60
20-Sep-2016,862.35,870.00,870.00,854.10,864.00,862.50,862.44,53274,1351,47598,89.35
21-Sep-2016,862.50,853.25,868.00,851.55,860.05,858.50,861.33,25357,2539,14177,55.91
22-Sep-2016,858.50,860.50,864.20,842.50,852.60,852.95,851.25,8804,685,4961,56.35
23-Sep-2016,852.95,865.00,869.00,850.55,861.90,859.55,862.87,82032,3577,69654,84.91
26-Sep-2016,859.55,860.00,860.00,845.20,860.00,857.85,853.95,14934,625,11287,75.58
27-Sep-2016,857.85,862.65,868.00,853.00,860.50,858.05,863.59,78750,3633,62477,79.34
28-Sep-2016,858.05,860.60,862.45,845.05,845.05,850.25,853.79,4796,544,3008,62.72
29-Sep-2016,850.25,858.90,867.00,833.50,860.00,862.30,856.44,46347,1942,36459,78.67
30-Sep-2016,862.30,865.20,867.90,836.50,848.00,849.95,849.98,42869,2232,30553,71.27
03-Oct-2016,849.95,851.85,869.95,845.15,869.90,864.75,860.83,26087,2154,18822,72.15
04-Oct-2016,864.75,858.55,907.00,855.20,893.25,892.20,888.92,53521,5718,23250,43.44
05-Oct-2016,892.20,893.50,955.00,888.05,944.95,940.80,918.75,229152,8493,134983,58.91
06-Oct-2016,940.80,950.00,1012.80,940.80,995.50,983.85,973.30,357259,14021,232489,65.08
07-Oct-2016,983.85,990.00,1004.00,931.05,933.00,936.30,953.70,63596,5064,24137,37.95
10-Oct-2016,936.30,935.00,935.00,910.10,913.15,916.55,918.60,70993,7131,42503,59.87
13-Oct-2016,916.55,916.05,919.15,872.30,893.20,898.90,894.96,157145,14082,131796,83.87
14-Oct-2016,898.90,900.00,900.55,881.00,885.00,885.60,889.08,12002,1389,5518,45.98
17-Oct-2016,885.60,887.10,888.85,856.05,861.00,861.30,866.60,24645,2896,14274,57.92
18-Oct-2016,861.30,863.60,893.00,846.30,855.00,860.40,880.15,115314,5587,81524,70.70
19-Oct-2016,860.40,865.00,903.00,856.10,891.95,891.95,865.54,158740,3218,145304,91.54
20-Oct-2016,891.95,910.00,910.00,877.50,900.00,898.40,894.91,21449,1306,13111,61.13
21-Oct-2016,898.40,895.60,900.00,883.00,888.00,898.95,895.33,8610,756,5125,59.52
24-Oct-2016,898.95,909.15,909.15,875.50,876.05,879.95,889.56,8073,685,4472,55.39
25-Oct-2016,879.95,879.95,888.75,868.00,885.00,880.85,880.78,7731,752,3334,43.13
26-Oct-2016,880.85,871.00,895.00,871.00,882.00,880.10,881.95,401925,749,397957,99.01
27-Oct-2016,880.10,883.35,909.80,852.25,891.35,898.20,887.82,158544,8159,42875,27.04
28-Oct-2016,898.20,900.95,914.00,884.00,896.60,901.95,898.41,99412,5058,69960,70.37
30-Oct-2016,901.95,912.45,912.45,901.00,901.00,902.10,904.61,2834,215,2125,74.98
01-Nov-2016,902.10,913.90,1025.00,896.10,967.00,970.55,936.21,139227,6939,92647,66.54
02-Nov-2016,970.55,970.00,988.90,940.00,949.90,945.30,959.77,60419,3801,18535,30.68
03-Nov-2016,945.30,941.25,969.30,941.05,945.00,945.25,947.86,21280,2083,10315,48.47
04-Nov-2016,945.25,945.50,949.80,884.10,911.60,914.55,911.01,33478,3026,16162,48.28
