DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,2281.30,2299.90,2299.90,2185.00,2199.90,2191.00,2222.59,6357,985,3897,61.30
03-Aug-2016,2191.00,2215.95,2246.00,2172.70,2190.00,2190.95,2209.46,6550,971,3000,45.80
04-Aug-2016,2190.95,2192.10,2224.90,2175.25,2219.00,2216.35,2200.41,7585,701,5418,71.43
05-Aug-2016,2216.35,2228.00,2285.50,2203.10,2250.25,2255.00,2248.81,6003,808,3719,61.95
08-Aug-2016,2255.00,2305.00,2399.00,2136.60,2375.00,2369.45,2334.41,33049,4109,10441,31.59
09-Aug-2016,2369.45,2377.00,2440.00,2310.25,2330.00,2341.15,2372.17,16997,3322,8557,50.34
10-Aug-2016,2341.15,2375.45,2398.00,2331.00,2343.60,2343.40,2363.80,8060,2123,4215,52.30
11-Aug-2016,2343.40,2379.90,2379.90,2303.25,2305.00,2308.05,2333.36,7510,1573,4220,56.19
12-Aug-2016,2308.05,2329.80,2443.00,2323.00,2348.00,2349.70,2393.35,28612,4537,7297,25.50
16-Aug-2016,2349.70,2372.00,2372.00,2298.00,2330.00,2318.20,2324.89,4476,912,2325,51.94
17-Aug-2016,2318.20,2339.85,2365.00,2291.00,2309.00,2309.30,2329.51,3999,724,2185,54.64
18-Aug-2016,2309.30,2325.00,2349.90,2300.00,2325.00,2326.10,2326.45,3259,588,1951,59.86
19-Aug-2016,2326.10,2326.00,2425.95,2310.00,2375.00,2368.10,2385.78,16704,2102,6449,38.61
22-Aug-2016,2368.10,2368.00,2397.05,2305.25,2309.95,2314.40,2354.66,9094,1362,5665,62.29
23-Aug-2016,2314.40,2332.85,2355.00,2302.25,2318.00,2308.80,2326.65,6492,966,3790,58.38
24-Aug-2016,2308.80,2313.10,2344.80,2262.05,2270.50,2276.15,2301.74,5026,605,3356,66.77
25-Aug-2016,2276.15,2294.25,2370.00,2270.00,2323.00,2317.70,2323.06,10268,1454,6373,62.07
26-Aug-2016,2317.70,2334.80,2341.20,2259.95,2288.00,2279.70,2292.19,6838,689,5013,73.31
29-Aug-2016,2279.70,2300.00,2340.90,2275.00,2310.00,2306.90,2300.84,6523,1191,3947,60.51
30-Aug-2016,2306.90,2310.00,2364.50,2310.00,2350.00,2348.25,2338.33,27747,1116,25167,90.70
31-Aug-2016,2348.25,2348.00,2415.00,2330.00,2380.70,2378.05,2375.72,7802,1168,4338,55.60
01-Sep-2016,2378.05,2380.10,2409.75,2354.95,2384.00,2369.65,2381.83,3168,657,2198,69.38
02-Sep-2016,2369.65,2371.80,2399.95,2350.00,2354.00,2363.35,2369.99,2963,478,1743,58.83
06-Sep-2016,2363.35,2364.00,2395.00,2338.45,2338.45,2348.75,2354.93,4185,710,2819,67.36
07-Sep-2016,2348.75,2338.45,2380.00,2319.00,2319.00,2331.20,2347.83,3113,569,1795,57.66
08-Sep-2016,2331.20,2334.30,2471.00,2325.00,2375.00,2386.80,2402.62,10378,1658,4751,45.78
09-Sep-2016,2386.80,2389.00,2419.95,2350.25,2389.90,2377.55,2394.15,6479,537,5584,86.19
12-Sep-2016,2377.55,2325.00,2345.05,2300.00,2307.00,2313.60,2322.42,3983,677,2518,63.22
14-Sep-2016,2313.60,2314.95,2390.00,2292.00,2360.00,2377.05,2345.73,6136,792,3506,57.14
15-Sep-2016,2377.05,2378.35,2424.90,2337.20,2366.00,2346.30,2378.96,3096,644,1240,40.05
16-Sep-2016,2346.30,2369.70,2390.00,2330.00,2340.00,2340.65,2361.15,2088,456,1160,55.56
19-Sep-2016,2340.65,2330.05,2411.00,2330.05,2370.00,2371.95,2388.66,13248,1792,5834,44.04
20-Sep-2016,2371.95,2390.00,2415.00,2377.65,2404.00,2408.05,2399.97,4768,529,3710,77.81
21-Sep-2016,2408.05,2408.00,2430.40,2379.95,2395.00,2409.75,2411.54,7133,923,4955,69.47
22-Sep-2016,2409.75,2409.00,2414.95,2351.00,2355.00,2362.35,2378.11,4846,637,3779,77.98
23-Sep-2016,2362.35,2363.10,2399.35,2362.00,2368.00,2371.70,2384.78,2344,342,1270,54.18
26-Sep-2016,2371.70,2370.00,2388.00,2301.00,2326.00,2325.10,2338.25,4361,632,3846,88.19
27-Sep-2016,2325.10,2325.00,2349.90,2302.30,2335.00,2336.90,2333.18,6536,849,4440,67.93
28-Sep-2016,2336.90,2340.00,2348.40,2315.00,2315.05,2323.90,2332.87,2486,516,1752,70.47
29-Sep-2016,2323.90,2325.50,2345.00,2175.20,2200.00,2209.25,2234.79,12656,2191,9330,73.72
30-Sep-2016,2209.25,2209.00,2251.00,2180.00,2220.00,2223.30,2222.84,7571,1331,5272,69.63
03-Oct-2016,2223.30,2230.00,2324.00,2230.00,2300.00,2283.40,2283.07,4992,863,3604,72.20
04-Oct-2016,2283.40,2324.00,2350.00,2290.00,2340.00,2336.90,2326.88,5976,794,4007,67.05
05-Oct-2016,2336.90,2348.30,2365.00,2336.00,2350.10,2347.30,2347.83,3723,676,2358,63.34
