DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1618.70,1640.00,1640.00,1600.00,1600.10,1600.90,1610.24,385,46,334,86.75
03-Aug-2016,1600.90,1602.65,1615.00,1590.00,1595.00,1595.00,1598.67,672,76,572,85.12
04-Aug-2016,1595.00,1609.05,1640.00,1595.00,1611.00,1603.25,1606.01,371,71,260,70.08
05-Aug-2016,1603.25,1591.50,1624.85,1591.50,1592.50,1599.80,1603.53,1255,120,933,74.34
08-Aug-2016,1599.80,1617.90,1618.00,1581.00,1596.00,1591.90,1596.12,1934,247,1347,69.65
09-Aug-2016,1591.90,1618.95,1626.95,1590.10,1621.00,1620.50,1598.54,14544,348,13271,91.25
10-Aug-2016,1620.50,1600.10,1665.00,1600.10,1619.90,1620.80,1622.55,22796,469,21610,94.80
11-Aug-2016,1620.80,1639.10,1704.85,1625.15,1657.00,1656.85,1683.52,26269,1381,20088,76.47
12-Aug-2016,1656.85,1656.05,1670.00,1630.00,1631.70,1648.85,1658.54,3117,357,1326,42.54
16-Aug-2016,1648.85,1649.05,1650.00,1616.00,1624.50,1626.15,1633.54,1589,330,782,49.21
17-Aug-2016,1626.15,1633.05,1646.45,1611.00,1624.80,1622.00,1631.38,1099,190,628,57.14
18-Aug-2016,1622.00,1622.10,1651.00,1620.00,1640.00,1640.30,1640.04,3319,286,2477,74.63
19-Aug-2016,1640.30,1640.00,1649.00,1601.15,1633.30,1620.80,1626.88,2111,236,1256,59.50
22-Aug-2016,1620.80,1638.05,1649.00,1620.00,1635.50,1637.60,1635.54,2884,226,2104,72.95
23-Aug-2016,1637.60,1661.95,1661.95,1637.10,1644.00,1644.65,1646.13,1453,205,914,62.90
24-Aug-2016,1644.65,1643.95,1675.00,1630.10,1672.00,1671.60,1657.02,1534,278,1114,72.62
25-Aug-2016,1671.60,1668.05,1695.00,1630.10,1645.00,1640.75,1669.58,3434,516,1487,43.30
26-Aug-2016,1640.75,1664.05,1669.00,1645.00,1646.35,1652.45,1656.41,1262,306,632,50.08
29-Aug-2016,1652.45,1660.70,1685.00,1641.00,1680.00,1678.00,1669.75,1778,247,1535,86.33
30-Aug-2016,1678.00,1685.05,1828.00,1680.00,1769.50,1771.55,1779.69,56191,4786,25904,46.10
31-Aug-2016,1771.55,1787.40,1787.40,1725.00,1725.50,1728.70,1753.03,5120,610,3780,73.83
01-Sep-2016,1728.70,1725.55,1750.00,1715.15,1725.00,1728.05,1731.45,2412,319,1228,50.91
02-Sep-2016,1728.05,1728.10,1749.95,1703.00,1715.00,1721.00,1727.79,1784,223,1203,67.43
06-Sep-2016,1721.00,1745.00,1745.00,1690.00,1700.00,1699.10,1706.65,3648,328,2945,80.73
07-Sep-2016,1699.10,1719.95,1738.35,1700.00,1716.10,1722.45,1715.69,2827,359,2086,73.79
08-Sep-2016,1722.45,1749.00,1749.00,1685.00,1687.30,1692.35,1703.39,5216,561,3740,71.70
09-Sep-2016,1692.35,1700.05,1717.00,1685.00,1700.05,1690.90,1689.94,3453,365,2133,61.77
12-Sep-2016,1690.90,1690.90,1690.90,1645.00,1659.50,1654.40,1662.22,2965,413,2095,70.66
14-Sep-2016,1654.40,1640.05,1700.00,1640.05,1665.00,1664.70,1670.66,1562,162,1385,88.67
15-Sep-2016,1664.70,1696.45,1696.70,1636.10,1650.60,1657.05,1660.29,1591,304,1311,82.40
16-Sep-2016,1657.05,1689.90,1690.00,1650.05,1665.00,1659.35,1664.96,2010,227,1534,76.32
19-Sep-2016,1659.35,1667.00,1698.75,1640.00,1680.00,1690.50,1672.79,1805,285,1215,67.31
20-Sep-2016,1690.50,1692.00,1692.00,1655.00,1671.00,1671.25,1669.73,744,108,559,75.13
21-Sep-2016,1671.25,1689.90,1709.90,1670.00,1675.00,1671.75,1686.21,1365,154,1103,80.81
22-Sep-2016,1671.75,1676.25,1710.00,1666.25,1670.00,1681.65,1689.56,1901,308,1338,70.38
23-Sep-2016,1681.65,1681.00,1715.00,1681.00,1715.00,1701.50,1697.55,4179,255,3813,91.24
26-Sep-2016,1701.50,1720.00,1765.00,1701.05,1733.00,1736.70,1731.76,8523,835,6806,79.85
27-Sep-2016,1736.70,1740.50,1750.00,1711.10,1720.10,1720.15,1727.12,2732,285,2078,76.06
28-Sep-2016,1720.15,1725.05,1740.00,1723.10,1738.95,1738.55,1735.21,1751,86,1478,84.41
29-Sep-2016,1738.55,1750.00,1764.95,1652.00,1698.95,1669.90,1707.39,3439,377,2265,65.86
30-Sep-2016,1669.90,1737.95,1800.00,1675.10,1750.00,1752.80,1767.84,10026,1237,5871,58.56
03-Oct-2016,1752.80,1770.30,1895.00,1770.30,1829.50,1854.95,1848.33,34610,3300,14069,40.65
04-Oct-2016,1854.95,1858.00,1880.00,1820.00,1855.10,1865.30,1856.42,6806,1025,4124,60.59
05-Oct-2016,1865.30,1874.95,1890.00,1839.00,1846.10,1861.70,1868.77,3748,454,2925,78.04
06-Oct-2016,1861.70,1870.00,1895.00,1823.60,1835.25,1839.80,1862.97,2995,370,1613,53.86
07-Oct-2016,1839.80,1875.00,1900.00,1830.00,1881.00,1887.70,1879.44,4803,494,3036,63.21
10-Oct-2016,1887.70,1903.00,1905.05,1865.00,1878.95,1869.50,1880.43,8227,1482,6363,77.34
13-Oct-2016,1869.50,1878.00,1878.00,1811.40,1830.00,1834.60,1842.45,3381,598,2454,72.58
14-Oct-2016,1834.60,1865.95,1867.00,1838.00,1850.00,1848.75,1848.63,986,108,770,78.09
17-Oct-2016,1848.75,1875.45,1900.00,1833.50,1899.90,1885.70,1876.18,2405,280,1994,82.91
18-Oct-2016,1885.70,1877.75,1950.00,1877.75,1912.00,1916.15,1923.23,19363,1660,13830,71.42
19-Oct-2016,1916.15,1949.95,1980.00,1921.50,1937.00,1958.35,1955.17,11555,1593,8033,69.52
20-Oct-2016,1958.35,1958.00,1958.00,1913.15,1930.00,1921.75,1935.76,4007,584,2944,73.47
