DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,40.85,40.55,42.70,40.55,42.25,42.30,41.87,621135,3768,321536,51.77
03-Aug-2016,42.30,42.50,43.15,41.00,42.25,42.30,42.58,563825,2514,360589,63.95
04-Aug-2016,42.30,42.65,42.80,41.40,42.10,41.95,41.98,113710,598,70306,61.83
05-Aug-2016,41.95,41.95,43.00,41.95,42.75,42.75,42.66,200045,3793,148057,74.01
08-Aug-2016,42.75,42.75,42.80,41.90,42.00,42.10,42.26,124657,701,78809,63.22
09-Aug-2016,42.10,42.15,42.75,41.70,41.90,41.85,42.30,112630,690,68562,60.87
10-Aug-2016,41.85,41.50,42.10,41.00,41.25,41.10,41.39,115495,667,81317,70.41
11-Aug-2016,41.10,41.05,41.50,40.80,41.05,41.05,41.09,176529,596,127947,72.48
12-Aug-2016,41.05,40.95,42.10,40.95,41.90,41.90,41.57,136422,833,99330,72.81
16-Aug-2016,41.90,41.85,42.75,41.10,41.70,41.85,42.05,237522,1294,112327,47.29
17-Aug-2016,41.85,41.55,42.45,41.45,41.60,41.60,41.79,83490,504,43191,51.73
18-Aug-2016,41.60,41.60,42.50,41.60,41.80,41.85,41.92,116158,709,64889,55.86
19-Aug-2016,41.85,42.50,42.50,41.60,41.80,41.70,41.79,169955,499,134198,78.96
22-Aug-2016,41.70,41.40,42.05,41.40,41.55,41.55,41.65,64677,424,41625,64.36
23-Aug-2016,41.55,41.40,42.35,41.40,42.35,41.95,41.90,175562,2280,114570,65.26
24-Aug-2016,41.95,42.35,43.50,41.75,42.45,42.50,42.89,733378,3804,457333,62.36
25-Aug-2016,42.50,42.40,43.25,42.40,43.15,43.00,43.02,629386,1279,542710,86.23
26-Aug-2016,43.00,43.05,43.40,42.60,43.10,43.15,43.04,181493,693,157929,87.02
29-Aug-2016,43.15,43.50,44.80,43.10,44.80,44.60,44.30,598976,2502,430312,71.84
30-Aug-2016,44.60,44.95,46.25,44.60,46.00,45.90,45.57,849329,3017,504723,59.43
31-Aug-2016,45.90,45.95,46.75,45.50,46.40,46.00,46.45,564963,2400,390273,69.08
01-Sep-2016,46.00,46.40,48.00,43.65,44.35,44.25,46.17,938215,3937,311272,33.18
02-Sep-2016,44.25,44.15,45.00,43.55,44.60,44.65,44.27,308166,1088,221268,71.80
06-Sep-2016,44.65,44.65,45.20,43.70,43.75,43.90,44.27,232346,898,163225,70.25
07-Sep-2016,43.90,43.75,44.25,43.05,43.15,43.25,43.64,287240,4518,206779,71.99
08-Sep-2016,43.25,43.15,43.70,43.00,43.20,43.10,43.32,229319,1125,117748,51.35
09-Sep-2016,43.10,43.15,43.60,42.80,42.90,42.95,43.21,254241,932,157284,61.86
12-Sep-2016,42.95,42.50,43.00,42.05,42.20,42.25,42.51,233850,940,179432,76.73
14-Sep-2016,42.25,42.30,42.70,41.10,41.80,41.75,41.52,932841,2654,495791,53.15
15-Sep-2016,41.75,42.30,44.65,41.00,43.40,43.45,42.86,2826582,9079,711821,25.18
16-Sep-2016,43.45,43.10,45.25,43.10,44.00,43.90,44.41,1394194,3725,655908,47.05
19-Sep-2016,43.90,43.80,45.10,43.80,44.20,44.35,44.52,418823,1756,260810,62.27
20-Sep-2016,44.35,44.05,45.00,43.35,43.50,43.55,44.22,255285,1089,141053,55.25
21-Sep-2016,43.55,43.55,44.40,43.40,43.90,43.75,44.01,238117,834,160123,67.25
22-Sep-2016,43.75,44.05,45.55,43.15,44.95,45.15,44.92,597764,2680,282053,47.18
23-Sep-2016,45.15,45.15,45.75,44.05,44.20,44.30,45.07,386564,1974,179418,46.41
26-Sep-2016,44.30,44.00,44.80,43.20,43.30,43.35,44.08,216905,1027,132557,61.11
27-Sep-2016,43.35,43.55,44.10,43.10,43.40,43.25,43.58,189415,1166,118816,62.73
28-Sep-2016,43.25,43.55,49.25,43.45,48.50,48.65,47.67,3706451,13205,1481586,39.97
29-Sep-2016,48.65,49.00,49.25,43.25,44.30,43.90,45.80,1690820,7128,781695,46.23
30-Sep-2016,43.90,43.90,45.90,43.60,44.60,44.75,44.55,541484,2277,284035,52.45
03-Oct-2016,44.75,44.75,48.05,44.75,47.55,47.60,46.90,995003,3065,534691,53.74
04-Oct-2016,47.60,47.55,48.20,45.75,46.10,46.15,46.75,526950,2235,261605,49.65
05-Oct-2016,46.15,46.25,47.65,46.25,47.05,47.05,47.07,375005,1903,212376,56.63
06-Oct-2016,47.05,47.20,48.40,46.10,46.75,46.80,47.54,1066104,3626,512792,48.10
07-Oct-2016,46.80,47.40,47.40,45.80,46.50,46.15,46.43,232417,1234,111744,48.08
10-Oct-2016,46.15,47.40,48.15,46.50,47.55,47.70,47.52,856720,2879,478126,55.81
13-Oct-2016,47.70,47.90,47.90,44.80,45.15,45.35,45.98,515302,2584,316473,61.42
14-Oct-2016,45.35,46.15,47.00,44.00,45.20,44.65,45.53,858099,3165,429266,50.03
17-Oct-2016,44.65,43.80,44.65,43.05,43.30,43.20,43.66,528668,1969,318010,60.15
18-Oct-2016,43.20,43.05,43.90,43.05,43.80,43.70,43.59,306482,1143,161039,52.54
19-Oct-2016,43.70,43.90,44.25,43.40,43.80,43.85,43.80,249538,1115,161939,64.90
20-Oct-2016,43.85,44.25,44.50,43.50,44.20,44.20,44.05,441616,1022,330213,74.77
21-Oct-2016,44.20,44.20,44.40,41.40,42.50,42.45,42.56,1576137,2779,928435,58.91
24-Oct-2016,42.45,43.00,43.70,42.45,42.65,42.80,43.14,620556,2258,367317,59.19
25-Oct-2016,42.80,42.95,43.10,42.30,42.80,42.65,42.68,226140,1636,146373,64.73
26-Oct-2016,42.65,42.50,42.60,41.55,42.20,42.05,42.17,584609,3041,350129,59.89
27-Oct-2016,42.05,42.10,42.90,41.65,42.25,41.95,41.92,186678,919,126073,67.54
28-Oct-2016,41.95,42.20,42.65,41.75,41.95,41.95,42.03,181329,1171,119699,66.01
30-Oct-2016,41.95,42.55,42.55,41.75,42.15,42.15,42.15,98026,550,64830,66.14
01-Nov-2016,42.15,42.35,43.25,42.00,42.15,42.25,42.44,318722,1930,207759,65.19
02-Nov-2016,42.25,42.10,42.10,41.50,41.50,41.55,41.70,186338,790,119777,64.28
03-Nov-2016,41.55,41.40,42.10,41.25,41.40,41.30,41.60,183530,958,124645,67.92
04-Nov-2016,41.30,41.40,41.70,40.05,40.35,40.20,40.67,409198,1308,321634,78.60
07-Nov-2016,40.20,41.00,41.45,40.05,40.10,40.30,40.45,285162,1741,212123,74.39
08-Nov-2016,40.30,40.75,41.15,39.95,40.10,40.20,40.32,274856,1403,168875,61.44
09-Nov-2016,40.20,38.80,40.90,38.00,40.00,39.90,39.00,852444,3358,493739,57.92
10-Nov-2016,39.90,40.50,41.80,40.00,41.00,41.15,41.28,264093,1472,189519,71.76
11-Nov-2016,41.15,40.90,41.00,39.00,39.50,39.25,39.76,236835,1302,151808,64.10
15-Nov-2016,39.25,39.80,39.80,37.75,38.55,38.55,38.41,255988,1438,202355,79.05
16-Nov-2016,38.55,38.85,39.25,38.00,38.00,38.10,38.42,226173,869,182699,80.78
17-Nov-2016,38.10,38.75,39.40,37.90,37.90,38.20,38.37,161450,744,99232,61.46
18-Nov-2016,38.20,38.35,38.65,37.75,37.80,37.85,38.01,121462,628,82083,67.58
21-Nov-2016,37.85,37.60,38.40,36.50,36.60,36.55,37.10,268491,922,230438,85.83
22-Nov-2016,36.55,37.15,37.20,36.00,36.55,36.30,36.48,136564,552,95882,70.21
