DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,318.60,320.00,338.20,316.10,338.20,334.10,327.98,390149,14055,157986,40.49
03-Aug-2016,334.10,337.00,339.90,315.40,320.00,323.80,324.81,92706,2914,28833,31.10
04-Aug-2016,323.80,327.85,327.85,318.05,318.95,319.45,321.95,27813,984,11669,41.96
05-Aug-2016,319.45,321.80,324.90,317.00,318.00,318.90,320.04,26374,803,16202,61.43
08-Aug-2016,318.90,320.10,327.40,317.15,317.80,318.70,321.22,30094,957,15995,53.15
09-Aug-2016,318.70,316.90,324.40,316.90,320.50,320.40,320.24,27192,1121,12355,45.44
10-Aug-2016,320.40,319.40,321.10,315.00,315.70,318.85,318.27,14549,535,8686,59.70
11-Aug-2016,318.85,320.00,320.00,307.50,308.00,310.00,313.92,35050,1632,21053,60.07
12-Aug-2016,310.00,310.00,312.40,304.00,304.10,305.90,306.23,74629,4320,61203,82.01
16-Aug-2016,305.90,301.80,306.55,301.80,303.15,303.90,303.89,34188,3978,19985,58.46
17-Aug-2016,303.90,302.70,311.15,300.50,305.00,304.65,306.58,99768,8433,87401,87.60
18-Aug-2016,304.65,305.35,309.50,303.65,304.00,304.60,306.27,27875,5656,15667,56.20
19-Aug-2016,304.60,306.90,309.65,304.25,308.75,307.75,307.45,29799,1637,14670,49.23
22-Aug-2016,307.75,306.60,315.90,305.30,315.00,314.25,311.75,91545,3943,67011,73.20
23-Aug-2016,314.25,315.10,320.90,315.00,320.90,319.20,318.88,60299,1892,49024,81.30
24-Aug-2016,319.20,319.95,324.35,316.30,318.05,320.80,321.98,28808,1124,13743,47.71
25-Aug-2016,320.80,320.70,321.95,311.55,314.05,314.25,317.36,24265,1081,10441,43.03
26-Aug-2016,314.25,314.00,319.95,310.00,310.00,311.50,314.61,15956,885,7457,46.73
29-Aug-2016,311.50,305.40,324.95,305.40,316.35,315.75,315.12,21559,935,6935,32.17
30-Aug-2016,315.75,317.00,318.40,310.20,310.20,310.90,313.73,32760,1938,15902,48.54
31-Aug-2016,310.90,312.05,316.00,305.20,306.25,309.75,311.02,37567,1541,24163,64.32
01-Sep-2016,309.75,310.05,313.35,307.35,308.50,309.00,309.91,11560,591,5883,50.89
02-Sep-2016,309.00,310.00,319.00,307.05,310.55,311.70,314.06,39250,1552,14499,36.94
06-Sep-2016,311.70,311.75,314.85,309.00,311.00,311.85,311.87,14254,855,8185,57.42
07-Sep-2016,311.85,312.05,315.65,308.50,311.65,310.55,312.29,24714,1701,15392,62.28
08-Sep-2016,310.55,312.00,312.00,309.00,311.00,310.25,310.40,21150,2807,13466,63.67
09-Sep-2016,310.25,309.25,314.50,306.50,312.00,312.25,309.02,160301,1471,153282,95.62
12-Sep-2016,312.25,306.10,312.30,306.00,312.00,311.50,310.30,19917,719,14938,75.00
14-Sep-2016,311.50,307.60,329.35,307.60,324.00,324.65,320.85,45403,1455,26758,58.93
15-Sep-2016,324.65,329.70,329.70,316.00,320.00,320.15,319.57,24934,1167,12903,51.75
16-Sep-2016,320.15,319.05,324.85,315.95,320.00,320.30,319.81,28025,2116,16365,58.39
19-Sep-2016,320.30,316.00,325.15,316.00,320.00,320.05,321.72,20140,595,14017,69.60
20-Sep-2016,320.05,320.00,322.50,317.45,320.00,319.65,319.62,11468,805,6388,55.70
21-Sep-2016,319.65,320.05,323.50,318.20,320.05,319.55,319.70,10058,1143,5162,51.32
22-Sep-2016,319.55,327.50,327.50,309.00,310.00,310.40,313.61,32936,1269,26196,79.54
23-Sep-2016,310.40,312.90,318.40,309.70,313.00,313.35,313.62,17017,1080,9280,54.53
26-Sep-2016,313.35,320.85,328.90,316.75,325.00,325.30,324.20,107692,2553,49447,45.92
