DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,25.10,25.10,25.25,24.70,24.85,24.90,24.96,1065630,2406,414941,38.94
03-Aug-2016,24.90,24.85,24.90,24.40,24.55,24.45,24.56,1903732,3483,1068019,56.10
04-Aug-2016,24.45,24.55,24.80,23.90,24.65,24.50,24.26,10261029,7525,4351734,42.41
05-Aug-2016,24.50,24.60,25.05,24.60,25.00,24.95,24.88,2324159,2952,1221066,52.54
08-Aug-2016,24.95,25.00,25.30,24.85,24.95,24.95,25.05,1325276,2493,619093,46.71
09-Aug-2016,24.95,24.95,25.70,24.90,25.65,25.55,25.40,4072208,6980,2132923,52.38
10-Aug-2016,25.55,25.60,26.15,25.25,25.95,25.90,25.77,9514931,6315,5791213,60.86
11-Aug-2016,25.90,26.30,26.70,26.05,26.40,26.40,26.37,9840567,11752,2961900,30.10
12-Aug-2016,26.40,26.50,26.60,25.60,26.15,26.15,26.19,9438907,10919,5184003,54.92
16-Aug-2016,26.15,26.40,27.30,26.20,26.95,27.00,26.92,12774918,17513,7081824,55.44
17-Aug-2016,27.00,27.10,27.40,27.00,27.30,27.25,27.21,3703990,10803,1643556,44.37
18-Aug-2016,27.25,27.45,27.75,26.80,27.35,27.30,27.18,8184412,8059,3288988,40.19
19-Aug-2016,27.30,27.45,27.70,27.15,27.40,27.40,27.46,4681485,9161,1738558,37.14
22-Aug-2016,27.40,27.40,27.85,27.10,27.35,27.40,27.38,3591337,7628,1657792,46.16
23-Aug-2016,27.40,27.40,27.70,27.35,27.50,27.50,27.52,2367379,6270,1163487,49.15
24-Aug-2016,27.50,27.50,27.65,27.40,27.50,27.55,27.52,2875263,6598,1658993,57.70
25-Aug-2016,27.55,27.60,27.85,27.40,27.65,27.70,27.60,7300066,8877,4021818,55.09
26-Aug-2016,27.70,27.70,27.70,27.15,27.20,27.30,27.40,3478367,7255,1992789,57.29
29-Aug-2016,27.30,27.30,27.40,27.05,27.20,27.25,27.22,2390129,6235,1132511,47.38
30-Aug-2016,27.25,27.35,27.85,27.25,27.85,27.75,27.62,3676801,9065,2022659,55.01
31-Aug-2016,27.75,27.75,28.30,27.70,28.10,28.15,28.04,5030077,9004,2576042,51.21
01-Sep-2016,28.15,28.20,28.20,27.60,27.75,27.80,27.83,3501661,5593,2088801,59.65
02-Sep-2016,27.80,27.70,28.05,27.60,28.00,28.00,27.84,4149005,8427,2174919,52.42
06-Sep-2016,28.00,28.00,28.15,27.45,27.70,27.70,27.84,2965816,8334,1529975,51.59
07-Sep-2016,27.70,27.70,27.70,27.05,27.20,27.10,27.30,4034914,7833,2625308,65.06
08-Sep-2016,27.10,26.90,26.95,26.60,26.75,26.70,26.78,2039968,7237,1026487,50.32
09-Sep-2016,26.70,26.75,26.90,26.10,26.30,26.20,26.54,2565761,6414,1396838,54.44
12-Sep-2016,26.20,25.90,26.10,25.50,25.65,25.65,25.83,2437314,5653,1242736,50.99
14-Sep-2016,25.65,25.85,26.90,25.80,26.90,26.75,26.37,4407735,8043,1874710,42.53
15-Sep-2016,26.75,27.00,27.00,26.20,26.50,26.50,26.56,3790076,5192,1958660,51.68
16-Sep-2016,26.50,26.65,26.95,26.40,26.85,26.80,26.72,4355692,7594,2513225,57.70
19-Sep-2016,26.80,26.80,27.10,26.65,26.95,26.95,26.89,2047973,3642,1028607,50.23
20-Sep-2016,26.95,26.90,27.00,26.25,26.35,26.35,26.44,1777431,3790,884929,49.79
21-Sep-2016,26.35,26.45,26.60,26.35,26.55,26.50,26.47,2091037,4900,1321469,63.20
22-Sep-2016,26.50,26.60,26.95,26.55,26.70,26.85,26.74,3242497,4438,1849009,57.02
23-Sep-2016,26.85,26.80,26.80,25.90,25.95,26.00,26.23,3854722,5636,1859099,48.23
26-Sep-2016,26.00,26.00,26.15,25.30,25.50,25.40,25.74,2872121,5162,1361705,47.41
27-Sep-2016,25.40,25.45,25.75,25.20,25.65,25.55,25.44,2211410,3564,750156,33.92
28-Sep-2016,25.55,25.35,25.75,25.35,25.50,25.45,25.54,2127947,4525,1202703,56.52
29-Sep-2016,25.45,25.45,25.75,24.15,24.30,24.35,24.58,7766139,9499,4159996,53.57
30-Sep-2016,24.35,24.50,25.10,24.30,25.05,25.00,24.85,5709606,7967,2787325,48.82
03-Oct-2016,25.00,25.25,25.90,24.90,25.65,25.65,25.56,3162246,8155,1275098,40.32
04-Oct-2016,25.65,25.65,25.90,25.45,25.70,25.75,25.66,1662319,3659,790084,47.53
05-Oct-2016,25.75,25.55,26.00,25.55,25.85,25.85,25.80,2218203,3721,720331,32.47
06-Oct-2016,25.85,25.90,26.15,25.20,26.00,25.75,25.74,3108204,8256,1217651,39.18
07-Oct-2016,25.75,26.00,26.05,25.50,25.60,25.60,25.72,1546839,2631,367500,23.76
10-Oct-2016,25.60,25.65,25.70,25.35,25.50,25.40,25.50,1074288,2959,504588,46.97
13-Oct-2016,25.40,25.40,25.75,25.35,25.50,25.60,25.55,4577288,12748,2018285,44.09
14-Oct-2016,25.60,25.75,25.75,25.40,25.45,25.50,25.50,3590324,9979,1829585,50.96
17-Oct-2016,25.50,25.50,25.65,24.70,24.95,25.05,25.06,6855161,9753,2116667,30.88
18-Oct-2016,25.05,25.10,25.85,24.90,25.35,25.35,25.38,5054735,6805,1687515,33.38
19-Oct-2016,25.35,25.40,25.75,25.30,25.65,25.65,25.49,4443463,7322,2093188,47.11
20-Oct-2016,25.65,25.75,25.90,25.40,25.75,25.70,25.70,4542752,5997,1313075,28.90
21-Oct-2016,25.70,25.70,26.00,25.50,25.80,25.85,25.82,2962029,3702,787674,26.59
24-Oct-2016,25.85,25.85,26.10,25.75,25.85,25.85,25.94,5947126,6746,1578586,26.54
25-Oct-2016,25.85,25.85,26.05,25.65,25.95,25.90,25.84,6377232,6687,1145286,17.96
26-Oct-2016,25.90,25.80,26.05,25.65,25.65,25.75,25.87,2819329,5046,838320,29.73
27-Oct-2016,25.75,25.65,26.10,25.45,25.70,25.70,25.80,7539380,9654,2710831,35.96
28-Oct-2016,25.70,25.95,27.00,25.60,26.90,26.80,26.43,7821420,12139,3110167,39.76
30-Oct-2016,26.80,27.00,27.15,26.70,26.70,26.75,26.78,513597,1448,268083,52.20
01-Nov-2016,26.75,26.85,27.10,26.30,26.55,26.55,26.63,4179701,11894,1608321,38.48
02-Nov-2016,26.55,26.40,26.75,26.15,26.20,26.35,26.54,4430817,11884,1564239,35.30
03-Nov-2016,26.35,26.30,26.70,26.15,26.40,26.35,26.46,3940033,9205,1460545,37.07
04-Nov-2016,26.35,26.35,26.65,26.15,26.35,26.35,26.41,4833858,10104,1836159,37.99
07-Nov-2016,26.35,26.40,26.60,26.05,26.10,26.20,26.36,3877025,12656,1429450,36.87
08-Nov-2016,26.20,26.20,26.45,26.00,26.10,26.10,26.14,2158226,7441,884135,40.97
09-Nov-2016,26.10,25.50,25.55,24.00,25.30,25.30,24.97,7562326,14330,2124542,28.09
10-Nov-2016,25.30,25.50,26.55,25.50,26.50,26.45,26.19,6811867,14559,1577407,23.16
11-Nov-2016,26.45,26.00,26.50,25.15,25.25,25.35,25.92,5952363,10673,1234230,20.74
15-Nov-2016,25.35,25.40,25.40,24.50,24.55,24.60,24.74,3931379,7944,1445747,36.77
16-Nov-2016,24.60,24.85,25.05,24.15,24.30,24.35,24.53,4190797,10467,1262442,30.12
17-Nov-2016,24.35,24.60,25.40,24.40,25.25,25.20,24.88,3252110,8573,1489396,45.80
18-Nov-2016,25.20,25.30,26.60,25.15,26.40,26.25,25.94,14583991,21816,4948575,33.93
21-Nov-2016,26.25,26.75,26.80,25.50,25.60,25.60,26.02,4141007,10522,1206815,29.14
22-Nov-2016,25.60,25.50,25.60,24.90,25.50,25.40,25.27,5277714,14145,2420207,45.86
23-Nov-2016,25.40,25.70,26.25,25.40,26.15,26.05,25.83,8066986,12481,3226703,40.00
24-Nov-2016,26.05,25.95,26.55,25.80,26.45,26.35,26.27,6479869,8206,3457059,53.35
25-Nov-2016,26.35,26.40,27.40,26.40,27.05,27.10,27.07,8415135,10060,2903306,34.50
28-Nov-2016,27.10,27.05,28.00,27.00,27.95,27.90,27.52,10196049,11382,4968859,48.73
29-Nov-2016,27.90,28.00,28.35,27.45,27.50,27.55,27.97,6803916,11113,3190322,46.89
30-Nov-2016,27.55,27.70,28.15,27.50,28.05,28.05,27.86,6269663,7896,3415252,54.47
01-Dec-2016,28.05,27.85,28.15,27.20,27.30,27.25,27.59,5832804,9968,2831904,48.55
02-Dec-2016,27.25,27.15,28.40,27.00,27.60,27.50,27.73,9187337,26834,3874456,42.17
05-Dec-2016,27.50,27.50,28.00,27.15,27.20,27.25,27.40,6404734,8909,3167987,49.46
06-Dec-2016,27.25,27.60,27.75,27.15,27.25,27.25,27.43,4695958,6446,2567962,54.68
07-Dec-2016,27.25,27.40,27.70,27.00,27.20,27.25,27.38,5403901,11124,2023520,37.45
08-Dec-2016,27.25,27.65,27.80,27.30,27.50,27.40,27.47,4246620,5844,2607146,61.39
09-Dec-2016,27.40,27.90,27.90,27.40,27.45,27.45,27.63,6154463,7588,3016482,49.01
12-Dec-2016,27.45,27.25,27.50,27.20,27.35,27.30,27.34,3174175,7310,1500350,47.27
13-Dec-2016,27.30,27.40,27.45,26.90,26.95,27.00,27.14,3504062,5962,1936883,55.28
14-Dec-2016,27.00,26.90,27.05,26.60,26.70,26.70,26.83,2909797,3964,1098385,37.75
15-Dec-2016,26.70,26.55,27.10,26.40,27.00,26.85,26.89,2915863,5317,1352742,46.39
16-Dec-2016,26.85,26.85,27.30,26.65,27.25,27.05,26.92,2198097,3534,1339781,60.95
