DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1213.15,1215.00,1241.80,1165.00,1178.00,1176.20,1202.41,115278,7314,45490,39.46
03-Aug-2016,1176.20,1176.05,1197.10,1150.25,1160.00,1158.70,1169.81,67773,5282,22919,33.82
04-Aug-2016,1158.70,1174.65,1190.00,1151.65,1170.00,1166.25,1168.63,47755,3522,19096,39.99
05-Aug-2016,1166.25,1171.00,1194.05,1171.00,1179.05,1179.20,1184.46,68056,4461,32611,47.92
08-Aug-2016,1179.20,1190.05,1229.30,1180.40,1215.00,1208.20,1206.69,114072,6142,31424,27.55
09-Aug-2016,1208.20,1217.90,1217.90,1190.00,1194.00,1194.95,1198.05,47625,4175,20010,42.02
10-Aug-2016,1194.95,1203.80,1204.00,1172.00,1173.10,1175.05,1181.19,45591,4635,23561,51.68
11-Aug-2016,1175.05,1175.05,1184.70,1150.00,1170.00,1166.80,1160.98,58730,3943,33207,56.54
12-Aug-2016,1166.80,1171.70,1204.00,1170.00,1176.15,1178.60,1187.08,62492,4320,25311,40.50
16-Aug-2016,1178.60,1188.55,1188.55,1150.10,1173.00,1173.10,1171.08,29923,3208,17119,57.21
17-Aug-2016,1173.10,1179.00,1197.10,1170.10,1171.25,1176.50,1183.90,48424,3768,20565,42.47
18-Aug-2016,1176.50,1187.35,1191.10,1177.20,1180.00,1181.50,1184.48,33617,2211,15438,45.92
19-Aug-2016,1181.50,1188.00,1245.00,1180.40,1224.65,1222.80,1227.61,212227,9611,56387,26.57
22-Aug-2016,1222.80,1228.40,1239.90,1212.05,1233.50,1228.20,1226.80,47565,3128,22834,48.01
23-Aug-2016,1228.20,1220.00,1265.00,1220.00,1240.00,1240.05,1251.35,172984,8369,43244,25.00
24-Aug-2016,1240.05,1244.90,1256.00,1232.75,1243.20,1242.90,1244.58,51317,2901,19244,37.50
25-Aug-2016,1242.90,1251.00,1275.00,1236.25,1251.30,1252.20,1262.06,117939,6039,32979,27.96
26-Aug-2016,1252.20,1259.30,1259.90,1231.00,1248.00,1244.60,1241.91,54067,3960,22988,42.52
29-Aug-2016,1244.60,1247.00,1273.65,1240.00,1267.95,1263.75,1259.56,58714,3609,20319,34.61
30-Aug-2016,1263.75,1266.00,1279.00,1249.00,1250.10,1253.20,1265.22,51233,3153,15795,30.83
31-Aug-2016,1253.20,1259.80,1264.00,1244.00,1246.75,1245.45,1252.49,30295,2122,11579,38.22
01-Sep-2016,1245.45,1252.85,1267.00,1240.30,1248.00,1245.50,1254.47,47826,2889,16438,34.37
02-Sep-2016,1245.50,1250.00,1268.80,1243.25,1261.00,1260.45,1258.29,52699,2961,17601,33.40
06-Sep-2016,1260.45,1270.00,1289.65,1260.45,1278.55,1281.75,1280.43,78722,4120,25458,32.34
07-Sep-2016,1281.75,1288.85,1289.00,1265.00,1275.00,1270.90,1274.43,31862,1794,12504,39.24
08-Sep-2016,1270.90,1275.00,1379.00,1262.55,1361.00,1360.05,1345.18,427722,18435,100391,23.47
09-Sep-2016,1360.05,1376.90,1405.70,1340.00,1350.40,1353.35,1380.41,233806,10842,51994,22.24
12-Sep-2016,1353.35,1330.00,1344.70,1300.05,1303.00,1305.75,1319.39,64756,3718,20467,31.61
14-Sep-2016,1305.75,1309.00,1335.00,1309.00,1330.00,1328.30,1326.92,41190,2275,13517,32.82
15-Sep-2016,1328.30,1335.00,1349.00,1328.00,1335.00,1338.35,1340.68,43182,2329,15709,36.38
16-Sep-2016,1338.35,1348.95,1384.80,1318.00,1353.00,1344.10,1356.35,101648,5668,29870,29.39
19-Sep-2016,1344.10,1344.00,1372.10,1344.00,1347.85,1347.85,1356.04,44394,3063,13770,31.02
20-Sep-2016,1347.85,1354.95,1359.50,1327.05,1333.85,1331.70,1339.86,27652,1593,12633,45.69
21-Sep-2016,1331.70,1339.00,1374.40,1330.00,1357.00,1354.85,1353.53,56845,2587,17565,30.90
22-Sep-2016,1354.85,1379.00,1379.00,1345.00,1363.00,1356.00,1358.09,47235,2536,20304,42.99
23-Sep-2016,1356.00,1366.95,1367.45,1335.00,1338.00,1340.85,1351.10,28461,2178,12593,44.25
26-Sep-2016,1340.85,1348.90,1360.00,1320.80,1333.00,1330.80,1339.31,27827,2085,9752,35.05
27-Sep-2016,1330.80,1338.00,1359.95,1331.00,1339.75,1336.00,1346.53,41040,3027,13137,32.01
28-Sep-2016,1336.00,1336.00,1348.90,1321.00,1324.00,1325.40,1334.24,34977,2161,15858,45.34
29-Sep-2016,1325.40,1330.00,1344.80,1231.20,1274.00,1268.15,1296.54,61677,3213,34005,55.13
30-Sep-2016,1268.15,1274.00,1291.00,1268.00,1274.00,1277.10,1278.54,32876,1877,15746,47.90
03-Oct-2016,1277.10,1285.00,1326.00,1280.00,1315.00,1318.55,1312.39,45427,2908,17584,38.71
04-Oct-2016,1318.55,1321.80,1354.00,1315.00,1354.00,1348.35,1339.09,54546,3086,23952,43.91
05-Oct-2016,1348.35,1360.90,1368.90,1330.15,1348.20,1355.35,1351.76,40161,2745,11607,28.90
06-Oct-2016,1355.35,1359.80,1359.80,1315.00,1325.00,1323.45,1336.81,34248,2392,15713,45.88
07-Oct-2016,1323.45,1330.00,1335.65,1289.90,1306.25,1305.25,1309.73,46392,2459,27311,58.87
10-Oct-2016,1305.25,1310.00,1360.00,1310.00,1341.00,1343.75,1344.88,61936,2691,27809,44.90
13-Oct-2016,1343.75,1348.90,1355.00,1310.00,1338.00,1334.75,1336.04,50321,4142,22880,45.47
14-Oct-2016,1334.75,1338.00,1601.70,1331.00,1601.70,1566.85,1499.90,972621,40873,183791,18.90
17-Oct-2016,1566.85,1620.00,1744.80,1580.00,1698.00,1704.80,1686.19,1640508,70137,186561,11.37
18-Oct-2016,1704.80,1710.00,1711.75,1652.30,1670.00,1671.00,1674.22,346080,16551,45759,13.22
19-Oct-2016,1671.00,1669.90,1809.90,1655.70,1769.80,1772.60,1768.70,1171573,45237,110669,9.45
20-Oct-2016,1772.60,1769.80,1841.90,1765.00,1787.05,1789.55,1803.01,546729,21848,83136,15.21
21-Oct-2016,1789.55,1789.55,1804.90,1715.00,1755.05,1735.65,1743.20,238790,11601,37989,15.91
24-Oct-2016,1735.65,1764.95,1817.00,1741.00,1784.50,1783.10,1790.22,421318,17811,50201,11.92
25-Oct-2016,1783.10,1790.90,1810.00,1746.65,1760.40,1758.05,1774.47,216159,10272,37466,17.33
26-Oct-2016,1758.05,1755.00,1765.00,1700.05,1715.95,1718.40,1733.68,121852,6475,31707,26.02
27-Oct-2016,1718.40,1715.00,1715.00,1641.00,1654.00,1659.25,1663.68,147760,7500,34901,23.62
28-Oct-2016,1659.25,1667.00,1674.35,1624.15,1635.00,1634.85,1654.22,113487,7747,25875,22.80
30-Oct-2016,1634.85,1647.00,1667.50,1647.00,1661.90,1662.05,1660.30,43479,2452,13603,31.29
01-Nov-2016,1662.05,1677.00,1785.00,1655.15,1754.00,1748.45,1744.50,292738,14689,46370,15.84
02-Nov-2016,1748.45,1731.00,1731.00,1685.05,1707.55,1703.90,1704.88,133434,6738,19475,14.60
03-Nov-2016,1703.90,1713.90,1793.30,1700.10,1710.40,1716.70,1752.93,263317,12825,40205,15.27
04-Nov-2016,1716.70,1729.80,1742.80,1636.20,1650.00,1648.00,1679.14,166573,8433,41766,25.07
07-Nov-2016,1648.00,1590.00,1601.00,1502.00,1524.10,1530.20,1561.23,335803,16837,73405,21.86
08-Nov-2016,1530.20,1536.00,1592.30,1535.00,1544.00,1550.75,1566.28,255575,11642,37405,14.64
09-Nov-2016,1550.75,1322.00,1529.90,1252.00,1528.00,1513.00,1425.82,287388,16707,52121,18.14
10-Nov-2016,1513.00,1550.00,1595.00,1491.95,1500.40,1505.10,1543.22,131054,7089,34051,25.98
11-Nov-2016,1505.10,1494.90,1494.90,1410.35,1421.90,1421.95,1438.60,124583,6949,42723,34.29
15-Nov-2016,1421.95,1416.00,1416.95,1302.00,1312.00,1313.95,1341.51,110032,6354,34185,31.07
16-Nov-2016,1313.95,1351.00,1379.65,1267.20,1281.00,1294.35,1325.23,92339,5759,22016,23.84
17-Nov-2016,1294.35,1299.90,1339.00,1262.40,1325.00,1310.75,1308.80,123334,8007,20412,16.55
18-Nov-2016,1310.75,1320.00,1326.00,1280.00,1281.05,1284.45,1296.93,85706,5583,22684,26.47
21-Nov-2016,1284.45,1292.00,1299.95,1212.00,1218.00,1221.60,1252.28,86923,5206,22830,26.26
22-Nov-2016,1221.60,1246.00,1258.00,1210.00,1242.60,1243.10,1236.51,75963,4505,16379,21.56
23-Nov-2016,1243.10,1257.00,1292.00,1225.00,1284.80,1283.10,1268.23,129756,7101,23261,17.93
24-Nov-2016,1283.10,1279.90,1310.00,1246.95,1307.00,1298.40,1285.38,109058,5744,16783,15.39
25-Nov-2016,1298.40,1316.00,1372.25,1309.15,1346.00,1352.95,1345.93,259692,11145,35841,13.80
28-Nov-2016,1352.95,1349.90,1417.00,1344.00,1410.10,1404.55,1387.34,190743,8280,36820,19.30
29-Nov-2016,1404.55,1416.00,1434.50,1368.00,1382.80,1380.15,1412.98,131356,7266,31721,24.15
30-Nov-2016,1380.15,1393.40,1410.00,1381.95,1393.50,1399.95,1396.47,60850,3422,10688,17.56
01-Dec-2016,1399.95,1408.00,1418.70,1381.40,1400.00,1402.50,1395.51,67302,3582,17326,25.74
02-Dec-2016,1402.50,1390.00,1390.00,1350.00,1355.60,1357.95,1371.14,46888,2716,15736,33.56
05-Dec-2016,1357.95,1360.05,1363.45,1318.05,1320.00,1324.80,1333.97,52652,5261,21026,39.93
06-Dec-2016,1324.80,1324.00,1362.40,1324.00,1345.00,1343.55,1346.73,49984,2972,11640,23.29
07-Dec-2016,1343.55,1350.95,1374.90,1335.10,1345.00,1348.70,1356.51,70850,4113,14666,20.70
08-Dec-2016,1348.70,1359.90,1380.00,1352.90,1366.00,1362.75,1368.69,45992,2932,12955,28.17
09-Dec-2016,1362.75,1378.00,1388.00,1363.05,1376.00,1377.50,1377.96,47392,2770,14486,30.57
12-Dec-2016,1377.50,1380.90,1380.90,1341.15,1348.95,1347.15,1353.14,29605,1690,10671,36.04
13-Dec-2016,1347.15,1350.00,1357.45,1327.00,1334.00,1332.35,1338.65,21298,1517,8302,38.98
14-Dec-2016,1332.35,1332.10,1350.00,1311.20,1315.00,1322.65,1336.56,18950,1500,4959,26.17
15-Dec-2016,1322.65,1324.95,1344.95,1305.25,1324.50,1329.05,1327.83,44021,2779,11466,26.05
16-Dec-2016,1329.05,1337.95,1337.95,1312.05,1318.90,1319.95,1320.55,70591,2530,52764,74.75
19-Dec-2016,1319.95,1318.90,1329.60,1293.00,1296.50,1299.65,1305.05,28579,1879,9972,34.89
20-Dec-2016,1299.65,1306.70,1314.95,1284.25,1293.00,1294.90,1299.77,25684,1816,7615,29.65
21-Dec-2016,1294.90,1295.90,1295.90,1271.25,1274.00,1278.05,1281.61,24527,1314,9920,40.45
22-Dec-2016,1278.05,1277.90,1293.65,1266.05,1267.00,1277.50,1280.79,46380,2820,19804,42.70
23-Dec-2016,1277.50,1272.90,1313.70,1255.00,1260.00,1262.40,1287.36,82694,3911,24887,30.10
26-Dec-2016,1262.40,1251.00,1267.80,1225.00,1226.10,1232.35,1243.45,44854,2691,19665,43.84
27-Dec-2016,1232.35,1234.40,1269.90,1221.65,1251.00,1252.90,1250.46,38996,2917,9742,24.98
28-Dec-2016,1252.90,1258.95,1290.00,1240.00,1243.00,1246.60,1271.41,103311,4924,25523,24.71
29-Dec-2016,1246.60,1248.75,1269.00,1241.15,1262.00,1261.95,1260.80,47920,2263,15053,31.41
30-Dec-2016,1261.95,1275.00,1282.90,1255.00,1263.00,1263.25,1271.75,41243,2065,16425,39.82
02-Jan-2017,1263.25,1270.00,1421.00,1255.10,1412.00,1407.95,1376.22,467157,19298,122608,26.25
03-Jan-2017,1407.95,1424.00,1474.90,1411.30,1444.00,1441.10,1449.31,371888,18266,47054,12.65
04-Jan-2017,1441.10,1454.00,1465.00,1407.40,1425.00,1420.15,1436.93,127368,6629,28400,22.30
05-Jan-2017,1420.15,1438.20,1452.00,1424.55,1430.10,1429.15,1434.76,68293,4332,14126,20.68
06-Jan-2017,1429.15,1439.95,1445.40,1391.40,1401.00,1400.55,1413.59,84540,6720,32364,38.28
09-Jan-2017,1400.55,1409.90,1519.00,1387.00,1513.30,1506.80,1488.29,546979,24216,78104,14.28
