DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,76.05,76.10,76.50,74.75,75.00,74.95,75.30,104794,1504,66913,63.85
03-Aug-2016,74.95,75.10,75.90,74.05,74.60,74.55,74.65,74965,714,33594,44.81
04-Aug-2016,74.55,75.55,76.00,74.20,75.00,74.80,74.78,67795,472,39361,58.06
05-Aug-2016,74.80,75.00,75.60,74.55,75.35,75.20,75.24,48502,1167,32716,67.45
08-Aug-2016,75.20,75.60,76.45,75.45,75.75,75.80,75.89,52552,792,36587,69.62
09-Aug-2016,75.80,76.00,76.65,75.00,76.00,75.70,75.80,64656,634,41267,63.83
10-Aug-2016,75.70,75.15,76.15,74.55,74.85,74.80,74.99,56190,445,36530,65.01
11-Aug-2016,74.80,74.35,75.45,74.00,74.60,74.45,74.56,38254,402,25261,66.03
12-Aug-2016,74.45,74.70,75.50,74.20,74.90,74.65,74.82,38889,509,25759,66.24
16-Aug-2016,74.65,75.00,75.20,74.10,74.70,74.70,74.57,48275,323,37189,77.04
17-Aug-2016,74.70,74.95,75.10,73.75,74.10,74.05,74.26,85835,633,65541,76.36
18-Aug-2016,74.05,74.75,75.80,74.30,75.35,75.25,74.99,63999,732,45475,71.06
19-Aug-2016,75.25,75.40,79.10,74.95,78.25,78.15,77.32,236758,1463,159963,67.56
22-Aug-2016,78.15,78.90,80.50,75.70,78.70,78.70,78.11,148167,1453,97460,65.78
23-Aug-2016,78.70,78.05,80.00,77.60,78.00,78.30,78.52,86013,2127,50646,58.88
24-Aug-2016,78.30,78.20,79.90,77.50,78.25,78.25,78.70,131470,1658,53313,40.55
25-Aug-2016,78.25,78.50,79.10,77.65,78.20,78.40,78.64,78221,1098,50243,64.23
26-Aug-2016,78.40,78.05,78.85,75.65,75.85,76.15,76.97,97612,1314,72407,74.18
29-Aug-2016,76.15,76.15,79.20,75.70,77.80,77.85,77.69,87774,1123,45023,51.29
30-Aug-2016,77.85,78.80,79.20,77.40,78.10,78.20,78.27,78125,818,50078,64.10
31-Aug-2016,78.20,77.60,78.90,77.60,77.80,77.75,78.14,79305,705,50106,63.18
01-Sep-2016,77.75,77.80,78.45,76.15,76.30,76.55,77.37,75528,733,52133,69.02
02-Sep-2016,76.55,76.60,77.35,76.25,77.00,76.85,76.81,39116,582,25641,65.55
06-Sep-2016,76.85,77.50,78.90,76.90,77.00,77.05,77.40,163826,1282,128061,78.17
07-Sep-2016,77.05,76.75,76.75,75.70,75.95,75.85,76.07,180464,1534,131868,73.07
08-Sep-2016,75.85,75.95,77.50,75.45,76.65,76.45,76.58,114788,1549,61361,53.46
09-Sep-2016,76.45,76.70,77.00,75.80,76.20,76.10,76.26,55589,515,27384,49.26
12-Sep-2016,76.10,75.75,76.50,74.50,74.70,74.80,75.17,67933,680,37826,55.68
14-Sep-2016,74.80,74.70,74.70,72.80,73.20,73.00,73.38,170293,1393,121394,71.29
15-Sep-2016,73.00,74.00,75.85,73.75,74.40,74.50,74.74,142793,1485,92156,64.54
16-Sep-2016,74.50,75.00,75.95,73.10,73.65,73.50,74.53,201243,1453,151083,75.07
19-Sep-2016,73.50,73.40,74.30,72.60,72.95,72.85,73.09,132812,1097,100173,75.42
20-Sep-2016,72.85,73.35,73.50,72.60,72.80,72.80,72.89,61199,415,43811,71.59
21-Sep-2016,72.80,72.95,73.65,71.85,73.00,72.85,72.73,140944,2445,83942,59.56
