DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,102.30,102.80,103.35,100.40,100.70,100.85,102.24,2787273,14670,1305801,46.85
03-Aug-2016,100.85,100.70,101.65,99.50,100.65,100.00,100.73,1179455,6624,400775,33.98
04-Aug-2016,100.00,100.25,102.80,99.95,102.30,102.10,101.47,1867909,9961,427788,22.90
05-Aug-2016,102.10,103.20,103.85,101.60,102.05,102.50,102.79,1924159,13883,860265,44.71
08-Aug-2016,102.50,102.95,103.75,100.40,101.55,101.75,102.59,2011753,8369,678019,33.70
09-Aug-2016,101.75,101.30,102.15,100.30,101.55,101.30,101.30,1204365,5056,439416,36.49
10-Aug-2016,101.30,101.10,101.70,99.35,100.15,100.00,100.13,1892412,5184,886370,46.84
11-Aug-2016,100.00,100.90,100.90,98.75,99.95,100.05,99.68,1364096,4362,620080,45.46
12-Aug-2016,100.05,99.95,102.50,99.60,101.30,101.25,101.53,1703785,5922,674560,39.59
16-Aug-2016,101.25,101.00,101.30,99.40,99.90,100.00,100.03,1524678,6005,733046,48.08
17-Aug-2016,100.00,100.00,104.20,99.80,104.10,103.60,102.47,3501507,15086,1637490,46.77
18-Aug-2016,103.60,104.10,108.20,104.10,106.60,106.70,106.88,7618386,30228,3381319,44.38
19-Aug-2016,106.70,107.55,109.20,106.90,109.15,108.95,108.10,4541604,15512,1634915,36.00
22-Aug-2016,108.95,109.00,111.00,108.10,109.20,109.20,109.62,3186778,11802,964428,30.26
23-Aug-2016,109.20,109.05,109.90,107.10,109.05,109.00,108.90,1667057,7570,648280,38.89
24-Aug-2016,109.00,109.05,109.60,108.20,108.45,108.55,108.72,961016,5239,360854,37.55
25-Aug-2016,108.55,107.55,108.45,107.00,107.45,107.45,107.66,1597936,6470,751854,47.05
26-Aug-2016,107.45,107.40,107.75,105.25,105.45,105.60,106.06,1529705,8044,422598,27.63
29-Aug-2016,105.60,105.15,108.45,104.65,108.25,108.05,106.94,1913176,7987,469812,24.56
30-Aug-2016,108.05,108.95,110.20,107.60,108.20,108.15,108.91,2561122,12581,690883,26.98
31-Aug-2016,108.15,107.55,109.70,107.35,108.00,108.00,108.51,1179416,5536,416598,35.32
01-Sep-2016,108.00,108.00,108.95,105.90,106.35,106.45,107.45,1100901,6063,330511,30.02
02-Sep-2016,106.45,107.20,108.20,105.95,107.55,107.60,107.11,1538777,7269,585238,38.03
06-Sep-2016,107.60,108.00,108.30,106.70,107.15,107.00,107.39,947727,4348,347663,36.68
07-Sep-2016,107.00,107.40,115.15,106.70,115.00,114.45,111.40,6329519,27920,2042498,32.27
08-Sep-2016,114.45,115.80,116.70,111.70,112.00,112.15,114.23,4309590,21899,1281169,29.73
09-Sep-2016,112.15,112.45,113.50,110.50,110.50,110.80,111.58,2050290,11180,765023,37.31
12-Sep-2016,110.80,109.60,109.60,103.95,104.70,104.55,106.34,2368075,14996,842329,35.57
14-Sep-2016,104.55,104.55,105.75,103.25,103.80,103.95,104.05,2782400,15230,1276129,45.86
15-Sep-2016,103.95,104.75,105.35,101.55,103.05,102.80,103.23,2955213,13888,853221,28.87
16-Sep-2016,102.80,103.15,105.10,100.15,102.35,101.05,102.47,8757639,25863,5577225,63.68
19-Sep-2016,101.05,101.50,103.85,101.10,103.05,103.30,102.34,3178245,10653,889785,28.00
20-Sep-2016,103.30,103.30,104.40,102.15,102.80,102.95,103.24,1741516,8407,547269,31.42
21-Sep-2016,102.95,102.85,103.80,102.10,102.40,102.50,103.10,1087874,7315,335184,30.81
22-Sep-2016,102.50,103.50,104.00,102.50,103.00,103.15,103.13,1491420,4965,660593,44.29
23-Sep-2016,103.15,103.30,106.75,102.90,105.25,105.30,105.27,3539433,17256,1647768,46.55
26-Sep-2016,105.30,106.00,106.70,104.80,106.10,105.65,105.83,2695111,9844,1294751,48.04
27-Sep-2016,105.65,105.75,107.80,105.75,106.20,106.30,106.93,1936918,12800,655085,33.82
28-Sep-2016,106.30,107.50,110.40,106.50,110.00,109.80,108.84,3562289,19124,1659268,46.58
29-Sep-2016,109.80,110.00,110.70,101.80,102.50,102.35,104.67,5682027,20176,2666534,46.93
30-Sep-2016,102.35,102.00,106.45,101.35,106.00,105.80,104.69,4016309,18655,2166198,53.94
03-Oct-2016,105.80,106.80,109.20,106.50,108.30,108.35,108.34,1679423,7140,562600,33.50
04-Oct-2016,108.35,109.25,111.50,107.40,110.85,110.85,109.65,3471468,15134,1335041,38.46
05-Oct-2016,110.85,112.25,112.75,111.00,111.40,111.75,111.76,3519003,19505,2011153,57.15
06-Oct-2016,111.75,113.50,116.80,113.20,116.60,115.55,115.12,9049333,41758,4062684,44.89
07-Oct-2016,115.55,117.00,118.45,115.55,117.60,117.80,116.89,5415085,26029,2299598,42.47
10-Oct-2016,117.80,118.95,119.75,118.20,118.80,118.60,118.96,4511220,19030,2440569,54.10
13-Oct-2016,118.60,119.50,119.50,114.20,117.10,117.20,117.40,4508278,24004,2304583,51.12
14-Oct-2016,117.20,116.50,118.30,115.40,117.80,117.40,116.67,2063443,8620,853789,41.38
17-Oct-2016,117.40,118.15,118.25,114.50,116.35,115.40,116.30,2034549,10075,878113,43.16
18-Oct-2016,115.40,115.90,117.45,115.70,116.30,116.70,116.58,2189851,18659,1080717,49.35
19-Oct-2016,116.70,117.80,122.90,116.20,121.80,122.05,120.47,6543295,31847,2458380,37.57
20-Oct-2016,122.05,123.20,126.45,122.10,125.75,125.45,124.26,5704403,31821,2588595,45.38
21-Oct-2016,125.45,124.90,125.00,121.80,123.35,123.70,123.51,2996340,14445,896480,29.92
24-Oct-2016,123.70,123.50,124.10,121.40,122.30,122.40,122.90,2991716,11637,1727387,57.74
25-Oct-2016,122.40,122.00,124.15,121.00,122.70,122.85,122.47,2667254,17212,1048882,39.32
26-Oct-2016,122.85,121.05,123.80,119.30,120.00,120.35,122.33,2044064,9558,844959,41.34
27-Oct-2016,120.35,119.40,125.00,119.40,123.30,123.10,122.93,5293275,20614,2805487,53.00
28-Oct-2016,123.10,123.60,133.60,123.35,131.30,131.10,130.26,10913824,49052,3057539,28.02
30-Oct-2016,131.10,132.20,133.90,130.15,132.50,132.95,132.53,1623518,8833,679662,41.86
01-Nov-2016,132.95,132.50,139.90,132.35,138.60,138.35,137.27,9699011,44315,2812724,29.00
02-Nov-2016,138.35,137.70,142.50,135.65,138.00,138.25,139.63,8743760,42597,1621403,18.54
03-Nov-2016,138.25,136.00,139.65,132.10,132.90,133.55,135.92,5936916,30209,1285849,21.66
04-Nov-2016,133.55,133.10,135.00,126.10,126.50,126.80,128.52,5638115,33186,1357911,24.08
