DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,159.40,159.90,160.80,158.50,159.00,159.35,159.71,2300727,25973,1335924,58.07
03-Aug-2016,159.35,158.90,159.35,156.70,157.50,157.50,157.62,2822822,23896,1679596,59.50
04-Aug-2016,157.50,157.35,159.50,157.35,159.30,159.05,158.65,2505885,35898,1520730,60.69
05-Aug-2016,159.05,160.00,163.00,159.05,162.00,161.45,160.56,2618388,18647,1556259,59.44
08-Aug-2016,161.45,162.05,162.05,158.90,159.50,159.85,159.94,2117821,22685,1195817,56.46
09-Aug-2016,159.85,159.55,162.25,159.15,159.85,159.85,160.50,2979133,23933,1746505,58.62
10-Aug-2016,159.85,160.60,161.60,156.75,158.60,157.90,159.92,3266508,60842,1706533,52.24
11-Aug-2016,157.90,159.00,160.00,157.20,159.90,159.55,158.59,1789236,14918,903660,50.51
12-Aug-2016,159.55,159.50,161.30,159.25,160.05,160.55,160.26,2328171,21615,1324500,56.89
16-Aug-2016,160.55,160.25,162.20,159.70,161.05,161.35,161.14,4280599,33130,3147189,73.52
17-Aug-2016,161.35,160.55,162.00,160.10,161.25,161.55,161.11,1378161,19371,881827,63.99
18-Aug-2016,161.55,161.75,168.75,161.60,168.50,166.80,164.53,7346473,34282,5657947,77.02
19-Aug-2016,166.80,167.65,170.00,165.85,166.85,166.75,168.06,4329651,41210,2585431,59.71
22-Aug-2016,166.75,167.90,168.80,162.30,163.20,163.65,164.32,7453081,48964,3707561,49.75
23-Aug-2016,163.65,163.20,163.60,157.75,159.50,159.00,161.25,6543437,43146,4533885,69.29
24-Aug-2016,159.00,158.75,163.55,158.10,160.80,161.30,161.65,5657930,32065,3347388,59.16
25-Aug-2016,161.30,160.70,161.50,158.10,159.05,158.65,159.56,7029156,38519,4753969,67.63
26-Aug-2016,158.65,158.90,159.80,157.25,157.90,157.90,158.43,3297802,30399,2221317,67.36
29-Aug-2016,157.90,158.00,160.00,156.80,160.00,159.55,158.62,1372318,10187,659748,48.08
30-Aug-2016,159.55,160.00,162.30,158.85,162.05,161.75,160.49,2427763,27914,1297900,53.46
31-Aug-2016,161.75,160.30,162.25,158.55,159.15,159.25,159.79,9249400,61112,7293803,78.86
01-Sep-2016,159.25,159.70,160.65,158.00,158.30,158.75,159.69,2819201,27518,1551194,55.02
02-Sep-2016,158.75,159.20,160.80,157.75,160.15,160.00,159.68,3916684,37330,2482708,63.39
06-Sep-2016,160.00,160.50,164.00,160.50,162.70,163.55,162.78,4394957,33244,2952643,67.18
07-Sep-2016,163.55,163.20,163.60,160.55,161.20,161.25,161.70,2543139,21780,1358129,53.40
08-Sep-2016,161.25,159.10,162.00,159.05,159.85,159.75,160.70,2438354,17713,1005146,41.22
09-Sep-2016,159.75,160.00,160.90,158.40,158.80,158.80,159.70,2126028,21060,820245,38.58
12-Sep-2016,158.80,156.80,158.20,152.25,153.00,152.85,154.99,3140374,32583,1309541,41.70
14-Sep-2016,152.85,152.00,156.60,152.00,155.75,155.70,155.66,3210698,53214,2044440,63.68
15-Sep-2016,155.70,156.40,157.00,152.35,153.60,153.40,153.79,2688932,18927,1725025,64.15
16-Sep-2016,153.40,154.55,156.95,152.40,154.35,153.05,153.74,6552680,41859,4506674,68.78
19-Sep-2016,153.05,153.70,156.00,152.85,154.35,155.15,154.71,1850670,18181,902261,48.75
