DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,289.95,291.05,294.35,282.15,283.95,283.90,288.41,63614,2010,43411,68.24
03-Aug-2016,283.90,288.00,292.60,282.50,289.10,288.95,287.54,78321,3757,51719,66.03
04-Aug-2016,288.95,291.10,311.40,288.95,300.50,300.65,300.60,889754,8178,749193,84.20
05-Aug-2016,300.65,304.70,312.80,301.25,308.50,308.90,304.20,1086102,10347,906377,83.45
08-Aug-2016,308.90,309.00,313.30,304.00,305.25,306.50,309.32,281341,2881,233961,83.16
09-Aug-2016,306.50,305.10,310.00,294.10,296.00,295.15,297.50,174644,5248,131830,75.48
10-Aug-2016,295.15,296.40,298.60,291.45,295.00,296.15,294.48,109781,4781,84631,77.09
11-Aug-2016,296.15,296.55,304.00,294.05,300.15,301.00,298.25,35042,1975,20173,57.57
12-Aug-2016,301.00,299.40,302.00,295.10,297.90,296.45,298.74,256555,2121,238358,92.91
16-Aug-2016,296.45,298.25,298.25,292.20,296.40,295.35,294.54,211123,5061,189604,89.81
17-Aug-2016,295.35,300.45,303.80,290.30,290.55,292.10,294.86,239788,1849,221651,92.44
18-Aug-2016,292.10,295.20,309.80,292.15,306.00,305.15,304.17,143349,5374,73206,51.07
19-Aug-2016,305.15,309.00,309.00,295.50,297.85,297.20,302.83,170775,4244,67916,39.77
22-Aug-2016,297.20,316.00,322.95,310.30,314.85,314.60,315.13,928708,16038,392863,42.30
23-Aug-2016,314.60,313.95,315.95,310.00,312.45,313.75,313.16,98400,2414,48443,49.23
24-Aug-2016,313.75,312.00,314.00,304.85,306.00,305.80,306.47,294519,2613,259678,88.17
25-Aug-2016,305.80,306.90,311.10,303.00,303.25,306.85,307.26,137206,4981,113348,82.61
26-Aug-2016,306.85,308.95,308.95,303.10,306.70,305.15,304.91,43436,2262,23848,54.90
29-Aug-2016,305.15,305.80,311.00,302.45,307.40,306.85,307.90,87874,3806,38916,44.29
30-Aug-2016,306.85,307.50,311.00,303.60,305.00,305.15,306.17,72343,4871,54228,74.96
31-Aug-2016,305.15,306.60,310.00,300.20,300.85,301.80,305.19,78225,3246,49615,63.43
01-Sep-2016,301.80,305.70,305.70,297.05,303.75,301.75,300.93,55192,2094,35413,64.16
02-Sep-2016,301.75,304.95,319.35,300.70,305.00,304.80,311.79,379669,7715,135341,35.65
06-Sep-2016,304.80,309.00,318.45,302.55,303.50,303.85,306.22,128835,4345,72327,56.14
07-Sep-2016,303.85,309.45,309.45,295.10,296.35,297.50,299.75,338409,4907,282344,83.43
08-Sep-2016,297.50,298.00,301.80,295.90,296.75,296.60,297.67,132292,4500,81885,61.90
09-Sep-2016,296.60,299.30,304.50,297.85,301.50,302.10,301.62,156760,6805,67890,43.31
12-Sep-2016,302.10,296.60,302.65,293.20,298.70,295.05,297.67,69234,3616,40097,57.92
14-Sep-2016,295.05,300.00,302.40,295.65,299.10,299.35,299.89,641345,8431,593807,92.59
15-Sep-2016,299.35,300.00,300.00,295.20,295.55,297.25,297.08,81811,1938,57390,70.15
16-Sep-2016,297.25,299.40,307.50,297.10,298.90,301.35,300.39,1348224,8697,1168024,86.63
19-Sep-2016,301.35,304.85,304.95,296.05,296.20,297.60,300.93,286484,1992,253978,88.65
20-Sep-2016,297.60,298.80,298.85,286.20,287.50,288.15,290.47,290955,10437,187949,64.60
21-Sep-2016,288.15,291.95,298.30,289.00,295.45,297.05,295.43,97117,8328,54087,55.69
22-Sep-2016,297.05,297.90,300.50,290.10,291.45,292.60,295.04,183103,11719,115417,63.03
23-Sep-2016,292.60,295.20,300.25,293.40,295.15,296.10,296.85,114805,5833,59334,51.68
26-Sep-2016,296.10,296.00,296.00,286.20,288.65,287.50,289.08,125044,8834,84460,67.54
27-Sep-2016,287.50,289.95,292.80,289.10,291.05,290.75,291.34,57794,6070,32511,56.25
28-Sep-2016,290.75,292.95,293.90,289.50,290.15,290.50,291.07,84304,4290,48220,57.20
29-Sep-2016,290.50,291.90,293.95,283.00,290.95,290.30,288.85,230154,6612,172328,74.88
30-Sep-2016,290.30,291.20,294.00,288.05,292.00,292.15,291.89,204295,7275,164165,80.36
03-Oct-2016,292.15,293.65,294.15,290.15,292.15,292.80,291.53,177724,8435,139254,78.35
04-Oct-2016,292.80,292.80,306.00,292.80,305.30,305.15,300.72,1238765,8285,1086946,87.74
05-Oct-2016,305.15,308.25,315.00,306.05,312.25,312.65,307.35,1838068,6745,1693571,92.14
06-Oct-2016,312.65,313.00,339.00,308.95,323.00,323.50,322.13,668781,12224,406684,60.81
07-Oct-2016,323.50,323.00,336.60,320.00,326.00,330.80,327.57,207428,5808,101866,49.11
10-Oct-2016,330.80,330.00,331.95,320.70,322.95,321.65,322.95,117706,7046,69319,58.89
13-Oct-2016,321.65,321.60,332.30,312.85,326.50,329.40,322.12,252637,12460,180411,71.41
14-Oct-2016,329.40,331.95,331.95,320.55,324.00,326.05,325.81,240367,4484,204134,84.93
17-Oct-2016,326.05,329.45,348.90,325.10,337.95,337.65,337.59,310934,11455,123801,39.82
18-Oct-2016,337.65,337.60,342.70,330.65,335.00,335.20,339.90,258149,11840,211875,82.07
19-Oct-2016,335.20,340.15,340.15,329.00,332.05,334.60,335.37,149071,11028,98019,65.75
20-Oct-2016,334.60,337.00,338.55,331.00,331.50,333.65,333.89,58034,4007,41084,70.79
21-Oct-2016,333.65,336.70,338.00,325.00,326.00,331.95,334.48,151685,7567,85152,56.14
24-Oct-2016,331.95,334.50,348.00,330.25,338.00,341.60,338.69,814341,11462,429115,52.69
25-Oct-2016,341.60,343.90,343.90,334.50,342.00,339.30,338.45,153911,5349,95527,62.07
26-Oct-2016,339.30,336.00,356.60,336.00,346.00,346.65,345.98,1720254,15510,1497182,87.03
27-Oct-2016,346.65,345.95,346.00,338.00,344.75,342.85,340.28,565992,5685,517617,91.45
28-Oct-2016,342.85,345.00,356.50,340.25,356.50,352.65,348.95,1399832,4386,1300895,92.93
30-Oct-2016,352.65,356.00,362.90,352.00,360.30,360.25,358.95,90095,1535,52360,58.12
01-Nov-2016,360.25,363.90,364.95,353.20,357.95,356.85,358.67,160983,7813,94428,58.66
02-Nov-2016,356.85,359.70,372.90,347.95,362.00,359.00,358.00,306865,11811,147704,48.13
03-Nov-2016,359.00,361.65,377.90,356.00,361.80,362.25,361.85,716301,9053,543270,75.84
04-Nov-2016,362.25,363.00,365.00,335.00,345.55,343.45,346.55,675588,12390,536670,79.44
07-Nov-2016,343.45,347.00,351.55,340.20,341.25,342.65,344.38,146540,10402,99505,67.90
08-Nov-2016,342.65,342.00,352.00,336.60,337.45,338.70,343.71,125227,7198,71165,56.83
09-Nov-2016,338.70,290.00,319.35,275.50,306.00,301.30,294.33,1847413,16088,1600186,86.62
10-Nov-2016,301.30,311.95,315.00,305.00,309.40,308.50,309.88,221335,7302,143446,64.81
11-Nov-2016,308.50,304.10,304.10,287.10,293.90,292.10,292.19,379140,14249,218260,57.57
15-Nov-2016,292.10,289.00,292.10,248.30,272.70,267.90,272.12,546621,13396,409411,74.90
16-Nov-2016,267.90,269.00,293.70,269.00,288.50,288.25,281.51,383472,9362,221751,57.83
17-Nov-2016,288.25,281.10,285.00,266.95,279.80,274.35,271.66,411285,16244,264793,64.38
18-Nov-2016,274.35,280.00,280.00,269.15,274.00,275.60,271.83,205626,2383,181765,88.40
21-Nov-2016,275.60,273.00,275.15,255.55,261.00,261.65,260.89,645679,6242,535068,82.87
22-Nov-2016,261.65,265.00,280.00,255.05,273.00,274.45,263.82,298568,4469,227740,76.28
23-Nov-2016,274.45,274.45,278.40,268.10,276.45,274.35,273.51,294233,5434,232575,79.04
24-Nov-2016,274.35,272.00,282.60,258.20,264.35,263.90,272.22,516866,4146,429906,83.18
25-Nov-2016,263.90,269.60,277.00,265.55,275.95,274.60,271.25,311827,2876,270758,86.83
28-Nov-2016,274.60,275.10,288.00,271.55,287.15,285.70,280.72,185518,7630,110260,59.43
