DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,3578.35,3605.00,3637.15,3563.50,3591.55,3568.35,3586.39,28526,3713,19699,69.06
03-Aug-2016,3568.35,3615.15,3615.15,3557.40,3585.00,3582.05,3584.62,17267,1884,8336,48.28
04-Aug-2016,3582.05,3614.95,3614.95,3545.10,3564.00,3554.20,3579.70,39282,2753,31796,80.94
05-Aug-2016,3554.20,3584.95,3715.00,3565.10,3700.00,3671.20,3669.79,128453,11565,88187,68.65
08-Aug-2016,3671.20,3719.95,3724.00,3658.20,3683.10,3685.15,3693.35,53418,7672,39624,74.18
09-Aug-2016,3685.15,3685.00,3719.10,3677.80,3690.00,3695.85,3697.51,50656,5261,36076,71.22
10-Aug-2016,3695.85,3715.00,3784.55,3685.15,3700.05,3712.85,3742.39,42362,4294,23291,54.98
11-Aug-2016,3712.85,3712.85,3739.65,3682.70,3691.75,3698.10,3701.24,44283,3931,30871,69.71
12-Aug-2016,3698.10,3698.00,3745.00,3697.70,3708.00,3715.20,3727.31,34945,3664,21100,60.38
16-Aug-2016,3715.20,3765.00,3765.05,3616.90,3671.00,3675.60,3686.87,53542,5400,31999,59.76
17-Aug-2016,3675.60,3685.00,3725.00,3600.00,3698.85,3693.95,3695.21,53045,3786,42229,79.61
18-Aug-2016,3693.95,3697.75,3985.10,3655.00,3682.80,3679.05,3760.64,252021,22395,100892,40.03
19-Aug-2016,3679.05,3700.00,3710.00,3625.40,3673.90,3660.20,3666.94,27775,2695,8611,31.00
22-Aug-2016,3660.20,3664.00,3684.80,3616.00,3618.05,3634.10,3637.20,19035,2824,9756,51.25
23-Aug-2016,3634.10,3645.10,3681.00,3618.00,3657.00,3652.35,3651.66,25643,3110,17470,68.13
24-Aug-2016,3652.35,3687.00,3687.00,3617.25,3650.10,3646.80,3643.32,32783,5524,22274,67.94
25-Aug-2016,3646.80,3684.75,3684.75,3609.35,3630.00,3625.15,3644.97,35323,4669,22429,63.50
26-Aug-2016,3625.15,3633.00,3659.90,3606.00,3606.40,3612.70,3630.48,28820,1882,20626,71.57
29-Aug-2016,3612.70,3640.00,3646.95,3556.75,3565.00,3566.55,3578.96,34352,2894,20450,59.53
30-Aug-2016,3566.55,3475.00,3515.00,3461.20,3475.00,3477.15,3484.79,43353,2936,27827,64.19
31-Aug-2016,3477.15,3648.50,3648.50,3440.00,3442.00,3456.60,3487.71,35417,5540,23327,65.86
01-Sep-2016,3456.60,3456.60,3484.95,3423.00,3455.00,3447.00,3444.50,16915,1535,10226,60.46
02-Sep-2016,3447.00,3451.90,3474.00,3440.00,3444.00,3453.15,3456.59,17955,1610,13297,74.06
06-Sep-2016,3453.15,3458.10,3473.10,3433.00,3438.00,3436.85,3446.05,18481,1508,12962,70.14
07-Sep-2016,3436.85,3459.95,3459.95,3396.05,3413.95,3410.50,3420.59,19600,2277,12798,65.30
08-Sep-2016,3410.50,3401.20,3401.20,3322.00,3352.90,3352.00,3356.69,36835,5057,17539,47.62
09-Sep-2016,3352.00,3352.05,3391.35,3321.35,3330.15,3331.05,3355.78,16525,2463,9221,55.80
12-Sep-2016,3331.05,3300.00,3389.75,3290.00,3380.00,3376.70,3362.99,36525,4578,24295,66.52
14-Sep-2016,3376.70,3375.00,3390.30,3325.00,3375.00,3367.30,3359.55,33334,7427,23261,69.78
15-Sep-2016,3367.30,3367.25,3375.95,3334.00,3370.00,3357.50,3358.65,11739,2351,7307,62.25
16-Sep-2016,3357.50,3369.00,3380.00,3346.80,3380.00,3371.30,3368.42,28699,4041,19948,69.51
19-Sep-2016,3371.30,3385.00,3385.00,3350.00,3352.50,3368.60,3363.22,6707,1077,3397,50.65
20-Sep-2016,3368.60,3368.00,3385.00,3352.40,3370.00,3376.05,3372.53,15727,2563,10190,64.79
21-Sep-2016,3376.05,3376.00,3392.85,3352.40,3367.00,3365.15,3367.88,15095,3668,10529,69.75
22-Sep-2016,3365.15,3365.15,3380.00,3360.15,3361.30,3368.70,3370.98,24653,6833,18280,74.15
23-Sep-2016,3368.70,3377.95,3380.00,3360.00,3365.35,3365.10,3368.16,26240,1162,22013,83.89
26-Sep-2016,3365.10,3365.00,3374.75,3303.30,3311.00,3312.10,3346.33,21899,3517,13830,63.15
27-Sep-2016,3312.10,3343.00,3345.00,3270.00,3300.00,3292.45,3297.69,27752,3931,15260,54.99
28-Sep-2016,3292.45,3300.00,3339.90,3290.00,3304.00,3303.80,3311.79,38770,5966,26305,67.85
29-Sep-2016,3303.80,3334.00,3334.00,3179.25,3190.10,3190.10,3225.34,35773,4282,18744,52.40
30-Sep-2016,3190.10,3219.85,3260.25,3192.05,3235.00,3222.80,3221.38,34935,6255,21402,61.26
03-Oct-2016,3222.80,3228.00,3314.50,3228.00,3274.00,3268.15,3281.75,35581,5087,19529,54.89
04-Oct-2016,3268.15,3268.00,3336.80,3242.00,3332.85,3329.05,3313.70,24124,4073,16055,66.55
05-Oct-2016,3329.05,3330.15,3353.95,3285.45,3310.00,3304.45,3307.47,15242,2100,9284,60.91
06-Oct-2016,3304.45,3310.00,3329.95,3275.00,3293.00,3287.95,3305.45,9571,1615,4573,47.78
07-Oct-2016,3287.95,3288.00,3304.35,3250.40,3260.35,3265.50,3273.46,10200,1931,7121,69.81
10-Oct-2016,3265.50,3265.55,3330.00,3265.55,3295.00,3303.65,3305.19,6072,1098,2822,46.48
13-Oct-2016,3303.65,3280.00,3305.00,3243.15,3246.00,3264.70,3262.55,22667,6190,16332,72.05
14-Oct-2016,3264.70,3270.00,3313.40,3225.05,3226.00,3232.60,3249.69,7306,1315,3844,52.61
