DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,162.60,162.60,163.15,162.20,162.40,162.40,162.60,680809,7789,177766,26.11
03-Aug-2016,162.40,162.40,163.70,159.30,160.00,159.90,162.16,1217638,8580,332568,27.31
04-Aug-2016,159.90,160.50,161.40,160.45,160.90,160.80,160.76,867698,6255,163619,18.86
05-Aug-2016,160.80,161.00,162.25,161.00,161.65,161.35,161.50,631013,4713,83038,13.16
08-Aug-2016,161.35,161.80,163.00,161.75,162.50,162.45,162.44,668963,5880,187700,28.06
09-Aug-2016,162.45,162.50,165.15,162.50,164.60,164.95,163.81,975279,7675,244257,25.04
10-Aug-2016,164.95,165.00,165.00,160.00,162.85,163.80,163.76,736755,6300,136747,18.56
11-Aug-2016,163.80,163.80,164.00,161.90,161.95,162.10,163.37,757303,5088,166371,21.97
12-Aug-2016,162.10,162.20,163.55,162.00,162.60,162.85,162.71,682521,5382,118214,17.32
16-Aug-2016,162.85,163.00,163.75,161.05,162.15,161.80,162.95,1125534,7365,294995,26.21
17-Aug-2016,161.80,161.90,163.15,161.45,161.80,161.55,162.32,1145233,6278,258290,22.55
18-Aug-2016,161.55,161.80,163.40,161.70,162.80,162.75,162.73,732763,6011,133100,18.16
19-Aug-2016,162.75,162.90,163.80,162.50,162.55,162.70,163.07,831934,7382,173725,20.88
22-Aug-2016,162.70,162.75,163.00,159.85,160.00,160.15,161.51,719694,5584,162626,22.60
23-Aug-2016,160.15,160.10,160.75,159.50,159.50,159.55,160.20,712325,5731,222560,31.24
24-Aug-2016,159.55,159.60,162.90,159.60,161.50,161.80,161.99,1248449,6319,291022,23.31
25-Aug-2016,161.80,162.00,162.40,161.10,161.65,161.40,161.85,559092,3655,68330,12.22
26-Aug-2016,161.40,161.60,161.85,160.60,160.60,160.80,161.07,672573,5448,114572,17.03
29-Aug-2016,160.80,160.70,164.00,158.45,163.55,163.60,161.75,1375385,6950,321857,23.40
30-Aug-2016,163.60,163.85,165.80,163.70,164.45,164.65,164.64,826509,6178,168604,20.40
31-Aug-2016,164.65,164.85,165.70,162.00,163.00,163.40,164.06,1270812,6688,191960,15.11
01-Sep-2016,163.40,163.75,164.30,159.95,160.70,160.75,161.95,976878,5951,89097,9.12
02-Sep-2016,160.75,160.80,161.60,160.45,161.60,161.20,160.87,640329,5006,93768,14.64
06-Sep-2016,161.20,161.55,161.65,160.85,161.30,161.10,161.17,639082,5578,98450,15.40
07-Sep-2016,161.10,161.35,163.05,160.80,162.60,162.65,162.00,790623,6951,180061,22.77
08-Sep-2016,162.65,162.85,169.90,162.85,169.35,169.25,168.97,538656,4512,74127,13.76
09-Sep-2016,169.25,169.55,169.65,166.75,169.00,168.50,167.93,421191,3119,26061,6.19
12-Sep-2016,168.50,166.50,172.00,166.50,169.75,169.15,170.78,627613,5671,99680,15.88
14-Sep-2016,169.15,170.00,172.00,168.30,168.80,169.35,169.07,866053,7626,208260,24.05
15-Sep-2016,169.35,169.00,171.15,168.80,171.00,171.00,169.70,712795,4095,274550,38.52
16-Sep-2016,171.00,170.80,174.10,170.40,171.00,171.65,172.02,572306,3508,289159,50.53
19-Sep-2016,171.65,171.00,174.25,171.00,172.25,173.05,172.71,1508301,6647,254574,16.88
20-Sep-2016,173.05,173.15,173.15,171.40,171.55,171.90,172.48,975802,5874,157477,16.14
21-Sep-2016,171.90,172.25,172.95,170.55,172.95,171.60,171.51,281847,2873,92464,32.81
22-Sep-2016,171.60,172.50,173.60,171.45,172.90,172.50,172.28,285930,4885,191770,67.07
23-Sep-2016,172.50,172.60,173.70,172.05,172.05,173.10,172.57,246643,3919,64815,26.28
26-Sep-2016,173.10,173.00,173.20,171.95,172.00,172.10,172.51,745093,7658,248244,33.32
27-Sep-2016,172.10,172.25,174.05,172.00,172.75,172.25,172.79,344962,3580,157475,45.65
28-Sep-2016,172.25,172.30,173.45,172.10,172.65,172.75,172.62,759131,5035,204825,26.98
29-Sep-2016,172.75,173.00,173.30,170.00,170.45,170.35,171.67,706463,6849,166906,23.63
30-Sep-2016,170.35,170.60,171.65,170.20,171.40,171.10,170.80,874051,5959,283906,32.48
03-Oct-2016,171.10,171.35,172.75,171.05,172.00,171.25,171.59,154490,2364,63482,41.09
04-Oct-2016,171.25,171.55,171.85,170.95,171.00,171.15,171.45,94967,1361,2154,2.27
05-Oct-2016,171.15,171.40,175.60,171.20,175.10,175.15,173.23,483264,5232,104823,21.69
06-Oct-2016,175.15,175.05,176.75,171.00,171.25,171.35,172.79,245418,828,94095,38.34
07-Oct-2016,171.35,171.95,174.00,171.60,173.00,173.10,173.12,1206582,7966,172002,14.26
10-Oct-2016,173.10,173.25,173.50,172.25,173.00,172.55,172.77,308685,4512,23821,7.72
13-Oct-2016,172.55,172.70,172.90,168.25,168.90,168.85,170.21,469142,4929,100786,21.48
14-Oct-2016,168.85,169.00,169.50,167.50,168.20,168.45,168.63,418815,4296,107102,25.57
17-Oct-2016,168.45,168.80,170.00,167.40,167.90,167.75,168.31,585329,5613,125305,21.41
18-Oct-2016,167.75,168.00,170.65,167.90,170.35,170.45,168.92,391264,4369,86899,22.21
19-Oct-2016,170.45,170.40,170.70,169.40,169.75,170.45,169.73,408099,3768,76299,18.70
20-Oct-2016,170.45,170.60,171.00,170.05,170.10,170.25,170.47,429429,4412,68177,15.88
21-Oct-2016,170.25,170.55,170.55,169.05,170.00,170.40,169.98,442093,4369,78811,17.83
24-Oct-2016,170.40,170.65,170.65,169.30,170.10,170.20,169.84,379447,3823,67637,17.83
25-Oct-2016,170.20,170.45,170.45,169.30,169.50,169.70,169.66,377248,4177,68334,18.11
26-Oct-2016,169.70,169.80,169.80,168.90,168.95,169.00,169.18,406339,4403,54882,13.51
27-Oct-2016,169.00,169.15,169.20,168.15,168.85,169.10,168.56,575899,4291,182397,31.67
28-Oct-2016,169.10,169.00,169.80,167.15,169.80,169.10,168.34,316626,4511,144334,45.59
30-Oct-2016,169.10,169.45,169.75,169.05,169.50,169.55,169.50,36294,235,4751,13.09
01-Nov-2016,169.55,170.00,170.00,168.10,168.60,168.30,168.29,561884,5255,134311,23.90
02-Nov-2016,168.30,168.35,168.50,166.50,167.00,167.05,167.54,355935,4212,65679,18.45
03-Nov-2016,167.05,167.35,167.40,162.90,165.60,165.90,165.69,564479,7391,228770,40.53
04-Nov-2016,165.90,165.75,166.70,164.90,165.20,165.10,166.07,1153836,7653,284611,24.67
07-Nov-2016,165.10,165.60,166.20,165.35,165.60,165.85,165.75,400173,5118,78607,19.64
08-Nov-2016,165.85,166.00,166.45,165.50,165.80,166.25,165.69,387224,4739,57104,14.75
09-Nov-2016,166.25,164.95,164.95,159.80,162.05,161.25,161.67,713201,3673,358277,50.24
10-Nov-2016,161.25,163.10,168.00,162.75,163.70,163.70,164.56,355236,4087,117198,32.99
11-Nov-2016,163.70,163.50,163.70,157.90,160.50,160.85,159.97,328095,4682,219659,66.95
15-Nov-2016,160.85,161.00,161.00,157.70,157.95,158.20,159.44,156467,1567,110245,70.46
16-Nov-2016,158.20,158.20,158.80,157.00,158.05,158.00,157.89,398701,4638,53169,13.34
17-Nov-2016,158.00,158.10,158.50,156.20,156.95,157.10,157.60,410320,4112,98950,24.12
18-Nov-2016,157.10,157.20,158.00,155.45,157.50,157.20,156.84,213916,3147,83355,38.97
21-Nov-2016,157.20,157.55,157.75,155.55,156.20,156.20,156.58,126733,1736,67943,53.61
22-Nov-2016,156.20,156.60,156.70,154.75,155.40,155.40,155.48,286400,2614,205287,71.68
23-Nov-2016,155.40,155.75,158.00,155.60,158.00,156.80,156.76,106440,1585,52243,49.08
24-Nov-2016,156.80,157.20,159.30,156.50,157.50,157.20,158.20,172773,1596,118898,68.82
25-Nov-2016,157.20,157.60,160.50,156.95,160.40,160.00,158.88,310429,1738,104159,33.55
28-Nov-2016,160.00,160.50,160.85,158.75,159.50,159.40,160.08,53753,1258,22643,42.12
29-Nov-2016,159.40,159.75,160.60,159.35,159.50,159.65,159.81,167524,3889,42977,25.65
30-Nov-2016,159.65,159.70,160.40,159.55,159.85,159.75,159.94,172468,3282,21916,12.71
01-Dec-2016,159.75,160.45,160.45,159.50,159.50,159.60,159.83,195771,3858,60384,30.84
02-Dec-2016,159.60,159.75,159.75,157.50,158.50,158.30,158.50,100867,1954,37690,37.37
05-Dec-2016,158.30,158.70,158.75,157.10,157.30,157.35,157.90,401015,3273,252220,62.90
06-Dec-2016,157.35,157.75,160.00,157.00,159.85,159.70,157.87,212454,2855,60318,28.39
07-Dec-2016,159.70,159.80,160.15,159.30,159.70,159.55,159.63,209698,2807,67764,32.32
08-Dec-2016,159.55,159.60,160.50,159.40,159.50,159.50,159.79,211297,2451,37937,17.95
09-Dec-2016,159.50,159.85,160.00,158.00,159.80,159.75,158.89,90214,713,69023,76.51
12-Dec-2016,159.75,159.35,159.65,157.55,159.05,157.95,158.04,173103,2411,38755,22.39
13-Dec-2016,157.95,159.05,165.80,158.55,159.05,161.45,161.07,1082138,10893,107097,9.90
14-Dec-2016,161.45,161.80,161.80,158.00,159.55,159.40,159.86,407316,3965,112033,27.51
15-Dec-2016,159.40,159.20,159.80,157.85,159.05,158.60,158.65,270334,2398,42809,15.84
16-Dec-2016,158.60,158.85,159.85,158.30,159.85,159.15,159.17,374957,3126,207355,55.30
19-Dec-2016,159.15,159.15,159.55,158.00,158.85,158.60,159.09,312561,3570,63294,20.25
20-Dec-2016,158.60,158.70,160.45,155.80,159.00,158.90,159.29,257451,4215,29379,11.41
21-Dec-2016,158.90,159.20,162.10,158.95,160.45,160.45,160.85,231476,1897,87672,37.88
22-Dec-2016,160.45,160.35,160.95,158.55,158.55,159.00,160.00,286541,3198,67961,23.72
23-Dec-2016,159.00,159.60,159.60,158.00,158.80,158.50,158.69,240944,2685,82890,34.40
26-Dec-2016,158.50,158.65,159.10,157.35,157.35,157.60,158.22,200921,2457,15493,7.71
27-Dec-2016,157.60,157.80,157.95,157.00,157.00,157.50,157.28,298186,3331,80195,26.89
28-Dec-2016,157.50,157.70,157.95,156.85,156.85,157.00,157.45,188376,2420,35567,18.88
29-Dec-2016,157.00,157.10,157.85,156.20,157.50,157.70,157.36,180320,2401,47790,26.50
30-Dec-2016,157.70,158.00,158.80,157.20,158.50,158.40,158.03,247569,3149,70698,28.56
02-Jan-2017,158.40,160.00,161.50,155.30,159.50,159.25,159.96,370153,4251,70734,19.11
03-Jan-2017,159.25,159.55,160.50,159.50,159.60,159.65,159.80,366982,3907,99200,27.03
04-Jan-2017,159.65,159.60,160.95,157.10,160.95,160.35,158.60,394058,3492,139093,35.30
05-Jan-2017,160.35,160.95,161.80,160.30,161.00,160.60,161.05,346025,4104,74237,21.45
06-Jan-2017,160.60,160.60,161.40,159.50,159.70,159.75,160.36,294222,2853,125247,42.57
09-Jan-2017,159.75,159.75,160.55,159.00,159.40,159.30,159.55,314860,4222,91611,29.10
10-Jan-2017,159.30,159.75,159.80,158.50,158.65,158.85,158.99,276493,3894,54889,19.85
11-Jan-2017,158.85,159.35,160.55,159.05,159.50,160.05,159.78,433404,4717,115383,26.62
12-Jan-2017,160.05,160.25,161.05,159.75,160.10,160.30,160.41,427728,4184,124651,29.14
13-Jan-2017,160.30,160.50,160.60,159.40,159.50,159.55,159.74,303843,3989,91602,30.15
16-Jan-2017,159.55,159.75,162.70,159.50,161.40,161.55,161.17,418949,4182,86901,20.74
17-Jan-2017,161.55,161.55,162.40,160.75,160.95,161.05,161.27,331473,4159,65757,19.84
18-Jan-2017,161.05,161.45,162.70,161.20,161.20,161.30,161.67,542515,5544,125288,23.09
19-Jan-2017,161.30,161.10,163.60,160.50,161.85,162.15,161.60,469810,5434,55240,11.76
20-Jan-2017,162.15,162.00,162.50,160.50,160.75,160.65,161.11,389284,4970,52682,13.53
23-Jan-2017,160.65,160.75,162.75,159.95,162.65,162.20,160.92,435736,5421,67402,15.47
24-Jan-2017,162.20,162.25,164.30,161.85,163.00,163.45,162.55,409278,5611,96124,23.49
25-Jan-2017,163.45,163.45,166.35,162.80,166.05,166.15,164.77,368874,4103,80997,21.96
27-Jan-2017,166.15,166.20,166.95,165.20,165.65,165.70,165.84,280487,4325,36263,12.93
30-Jan-2017,165.70,165.80,166.50,165.35,165.50,165.70,165.94,379025,2689,123206,32.51
31-Jan-2017,165.70,165.70,167.05,164.65,164.70,164.80,165.61,262267,3315,75458,28.77
01-Feb-2017,164.80,165.35,168.50,165.05,167.50,167.05,166.60,429643,4558,49322,11.48
02-Feb-2017,167.05,167.90,170.35,166.75,170.10,170.00,168.14,591117,5030,126522,21.40
03-Feb-2017,170.00,169.70,170.60,169.00,169.65,169.60,169.77,513170,5716,68657,13.38
06-Feb-2017,169.60,169.80,171.45,169.80,170.00,170.20,170.57,479991,4781,79258,16.51
07-Feb-2017,170.20,170.15,170.15,168.40,168.85,168.70,169.31,460241,4620,76354,16.59
08-Feb-2017,168.70,168.50,169.00,167.95,168.70,168.35,168.25,421220,4507,61260,14.54
09-Feb-2017,168.35,173.00,173.00,166.85,168.80,168.75,168.62,544733,5346,43089,7.91
10-Feb-2017,168.75,169.00,169.45,168.10,168.10,168.20,168.37,385969,4084,44606,11.56
13-Feb-2017,168.20,168.00,168.90,167.40,167.55,167.60,167.70,360529,3116,41023,11.38
14-Feb-2017,167.60,167.80,169.10,167.80,168.30,168.55,168.38,512531,5380,91355,17.82
15-Feb-2017,168.55,168.55,168.55,167.30,167.90,167.70,167.84,430481,4758,62670,14.56
16-Feb-2017,167.70,167.55,168.65,166.90,167.50,167.50,167.52,505391,6033,128534,25.43
17-Feb-2017,167.50,167.65,168.00,167.25,167.30,167.30,167.56,301633,3830,36723,12.17
20-Feb-2017,167.30,167.50,168.30,167.05,167.65,168.00,167.74,384725,4274,37733,9.81
21-Feb-2017,168.00,168.10,168.75,167.40,167.40,167.70,167.72,468977,4902,33140,7.07
22-Feb-2017,167.70,167.50,168.70,167.20,167.25,167.60,167.61,618956,6791,47964,7.75
23-Feb-2017,167.60,167.55,168.50,167.10,167.50,167.90,167.57,564610,4931,175485,31.08
27-Feb-2017,167.90,167.90,168.10,163.65,167.00,166.55,167.31,422738,4153,56893,13.46
