DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,167.60,167.50,169.80,165.00,165.10,165.55,166.53,214079,414,205537,96.01
03-Aug-2016,165.55,167.10,168.30,164.00,165.50,166.00,165.40,45168,453,26913,59.58
04-Aug-2016,166.00,163.70,165.00,156.50,163.95,162.90,160.10,281954,3133,239475,84.93
05-Aug-2016,162.90,164.90,169.70,162.20,168.00,167.65,165.73,48241,594,29579,61.32
08-Aug-2016,167.65,167.65,169.80,161.05,161.95,161.95,163.22,91937,955,67608,73.54
09-Aug-2016,161.95,162.00,166.75,160.60,166.75,164.70,162.83,69229,1108,59442,85.86
10-Aug-2016,164.70,167.50,167.75,160.30,161.00,160.90,163.19,262890,661,182340,69.36
11-Aug-2016,160.90,160.65,166.55,157.00,165.00,164.95,162.28,137282,811,118212,86.11
12-Aug-2016,164.95,164.75,165.00,161.40,162.00,162.05,163.33,143187,716,134051,93.62
16-Aug-2016,162.05,162.10,165.55,159.05,163.20,164.00,163.35,1296490,1113,1204038,92.87
17-Aug-2016,164.00,163.25,167.50,162.20,167.00,165.55,165.92,369773,630,356489,96.41
18-Aug-2016,165.55,167.45,172.00,165.20,166.90,167.00,169.45,157719,1445,135693,86.03
19-Aug-2016,167.00,166.55,170.45,166.55,168.00,168.35,168.51,681352,398,671577,98.57
22-Aug-2016,168.35,167.95,173.90,167.95,169.05,170.45,170.54,81215,1390,62348,76.77
23-Aug-2016,170.45,169.75,174.00,169.45,172.60,172.55,172.52,124811,887,99005,79.32
24-Aug-2016,172.55,174.05,174.05,171.55,172.70,173.00,173.02,651657,2976,619457,95.06
25-Aug-2016,173.00,174.35,188.50,172.55,185.00,184.75,182.97,469178,5212,254260,54.19
26-Aug-2016,184.75,186.40,189.95,181.50,182.25,184.75,186.33,233191,3264,145797,62.52
29-Aug-2016,184.75,184.75,185.75,177.75,184.75,181.90,180.38,77593,1376,58512,75.41
30-Aug-2016,181.90,184.00,189.95,180.00,189.95,187.70,186.52,306320,3808,231923,75.71
31-Aug-2016,187.70,188.70,208.00,188.70,190.00,192.35,196.88,491553,5738,288017,58.59
01-Sep-2016,192.35,189.90,198.00,188.50,195.60,195.85,193.27,175243,4824,108544,61.94
02-Sep-2016,195.85,197.00,206.80,194.50,205.00,204.50,200.75,380022,7974,294380,77.46
06-Sep-2016,204.50,205.00,208.00,198.00,199.95,199.95,201.06,187964,4020,139269,74.09
07-Sep-2016,199.95,201.85,202.45,191.00,195.00,193.85,195.30,472768,3754,429465,90.84
08-Sep-2016,193.85,195.80,201.85,192.50,200.20,199.85,198.38,344652,5570,294157,85.35
09-Sep-2016,199.85,195.85,201.80,194.00,194.80,197.80,197.27,405836,8003,364236,89.75
12-Sep-2016,197.80,193.70,196.30,189.95,194.50,194.50,192.59,1036515,2210,1000220,96.50
14-Sep-2016,194.50,193.00,209.70,190.30,207.65,206.70,200.98,287373,6694,193811,67.44
15-Sep-2016,206.70,208.00,209.80,199.25,207.00,207.55,205.32,289460,4261,161741,55.88
16-Sep-2016,207.55,209.70,209.70,199.20,204.45,204.90,203.10,143804,2264,72402,50.35
19-Sep-2016,204.90,204.15,204.15,199.50,201.20,201.10,200.59,72208,1260,49034,67.91
20-Sep-2016,201.10,203.00,203.30,194.95,195.50,196.05,199.31,66565,1111,52265,78.52
21-Sep-2016,196.05,197.00,198.10,195.10,195.70,195.40,196.80,35942,492,29483,82.03
22-Sep-2016,195.40,198.00,204.00,193.10,202.00,201.30,197.31,482255,2340,442183,91.69
23-Sep-2016,201.30,204.25,208.00,200.00,201.00,201.15,203.61,154238,2679,107243,69.53
26-Sep-2016,201.15,198.00,207.55,198.00,199.95,200.00,203.23,150914,3472,109400,72.49
27-Sep-2016,200.00,199.10,206.80,199.10,206.00,205.70,203.72,298753,7899,229983,76.98
28-Sep-2016,205.70,207.70,212.00,204.35,210.60,210.65,207.25,274251,1732,231041,84.24
29-Sep-2016,210.65,215.00,218.50,201.35,209.95,207.95,210.14,320618,3951,206067,64.27
30-Sep-2016,207.95,206.45,216.00,206.35,215.15,215.00,211.99,123627,1448,94298,76.28
03-Oct-2016,215.00,215.30,224.10,215.30,221.40,221.40,220.39,164106,2006,126508,77.09
04-Oct-2016,221.40,223.90,231.40,220.25,228.00,225.70,225.12,213938,2369,162922,76.15
05-Oct-2016,225.70,226.30,228.50,217.45,223.90,223.65,222.85,147561,1421,116419,78.90
06-Oct-2016,223.65,230.20,232.00,220.00,221.00,222.05,228.10,235665,2581,180924,76.77
