DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,14933.15,14985.00,15229.95,14656.05,14660.00,14742.40,14973.66,15038,4292,5879,39.09
03-Aug-2016,14742.40,14830.00,14830.00,13800.05,13965.50,13962.35,14239.98,12734,5538,4958,38.94
04-Aug-2016,13962.35,14120.00,14138.00,13273.50,13600.00,13510.30,13478.39,14039,4583,4640,33.05
05-Aug-2016,13510.30,13516.00,14250.00,13516.00,14010.05,13899.40,13903.77,8351,3440,1957,23.43
08-Aug-2016,13899.40,14099.95,14344.00,13940.00,14170.00,14216.85,14183.11,5861,2583,1638,27.95
09-Aug-2016,14216.85,14338.95,14338.95,13901.15,14100.00,14106.95,14086.51,5742,2455,1165,20.29
10-Aug-2016,14106.95,14250.00,14250.00,13888.00,13999.85,14004.30,13988.39,4109,1602,1297,31.56
11-Aug-2016,14004.30,13907.10,15199.80,13499.25,14156.00,14218.65,14353.89,69007,17793,11862,17.19
12-Aug-2016,14218.65,14238.00,14514.70,13955.55,14001.10,14083.65,14264.63,9227,2720,2508,27.18
16-Aug-2016,14083.65,14097.85,14249.95,13892.00,14021.35,14061.65,14054.27,6954,2760,1903,27.37
17-Aug-2016,14061.65,14061.00,14396.25,13901.00,14271.05,14332.20,14250.87,6771,2936,1938,28.62
18-Aug-2016,14332.20,14333.00,14460.45,14105.00,14115.10,14177.20,14284.86,6235,2671,2248,36.05
19-Aug-2016,14177.20,14177.00,14488.00,14146.45,14260.00,14329.85,14331.85,10921,4096,6262,57.34
22-Aug-2016,14329.85,14329.05,14460.00,14230.00,14266.50,14285.00,14311.41,5104,1844,2582,50.59
23-Aug-2016,14285.00,14299.00,14359.95,14169.90,14315.00,14293.20,14302.62,8989,1791,6806,75.71
24-Aug-2016,14293.20,14300.00,14388.80,14150.50,14260.00,14233.95,14288.26,7289,2478,4013,55.06
25-Aug-2016,14233.95,14347.70,14347.70,14155.45,14250.00,14261.45,14246.47,4812,2110,2530,52.58
26-Aug-2016,14261.45,14261.00,14880.00,14161.55,14835.10,14763.70,14584.54,10264,3201,4784,46.61
29-Aug-2016,14763.70,14771.10,14902.00,14527.65,14572.60,14652.70,14687.32,6542,2383,2256,34.48
30-Aug-2016,14652.70,14607.00,14880.00,14607.00,14850.00,14849.55,14750.05,6184,1788,3000,48.51
31-Aug-2016,14849.55,14844.95,15048.00,14737.60,14893.40,14854.45,14878.69,6428,2033,2939,45.72
01-Sep-2016,14854.45,14919.95,15199.70,14726.05,15110.10,15117.70,15026.95,8813,3348,4426,50.22
02-Sep-2016,15117.70,15195.00,15326.00,14937.65,15272.80,15235.35,15200.62,7798,2219,3569,45.77
06-Sep-2016,15235.35,15200.00,15380.00,15110.05,15241.50,15305.25,15264.35,5646,2299,2314,40.98
07-Sep-2016,15305.25,15225.00,15350.00,15000.00,15032.10,15121.20,15159.77,7340,4081,2488,33.90
08-Sep-2016,15121.20,14900.10,15198.00,14706.30,14875.00,14839.75,14838.80,9609,3921,4192,43.63
09-Sep-2016,14839.75,14870.00,14930.00,14653.00,14879.00,14773.30,14789.46,5682,2650,1373,24.16
12-Sep-2016,14773.30,14800.00,14888.00,14280.00,14555.60,14437.80,14496.68,5792,2182,1759,30.37
14-Sep-2016,14437.80,14475.40,14900.00,14450.00,14890.00,14831.90,14669.22,6075,2764,1495,24.61
15-Sep-2016,14831.90,14898.80,14994.95,14440.50,14600.10,14657.65,14684.38,7343,2885,2438,33.20
16-Sep-2016,14657.65,14600.10,15242.75,14600.10,14770.00,14875.35,14968.11,17940,7423,5418,30.20
19-Sep-2016,14875.35,14890.00,15250.00,14779.40,15200.00,15195.25,15028.43,9110,4798,1903,20.89
20-Sep-2016,15195.25,15250.00,15288.80,14923.70,15098.00,15105.50,15094.87,10011,4136,2001,19.99
21-Sep-2016,15105.50,15240.00,15322.00,15060.00,15100.00,15181.20,15207.75,11162,4044,5704,51.10
22-Sep-2016,15181.20,15280.00,15410.00,14950.00,15035.50,15098.45,15199.26,13513,6134,3523,26.07
23-Sep-2016,15098.45,15098.00,15189.95,14881.00,15000.00,14987.35,14987.74,10530,3904,5697,54.10
26-Sep-2016,14987.35,15100.00,15150.00,14400.50,14893.00,14885.30,14901.60,7759,3589,2670,34.41
27-Sep-2016,14885.30,14900.00,15038.00,14750.00,14949.85,14914.30,14884.49,7232,3641,1685,23.30
28-Sep-2016,14914.30,15035.00,15450.00,14800.00,15410.00,15338.10,15174.47,9124,4063,2841,31.14
29-Sep-2016,15338.10,15338.10,15513.95,14080.50,15000.00,15014.60,15042.52,23448,9476,7135,30.43
30-Sep-2016,15014.60,15014.00,15536.00,14751.05,15090.00,15117.65,15170.85,24191,8345,7301,30.18
03-Oct-2016,15117.65,15155.00,15525.20,15110.00,15500.00,15497.95,15438.56,16636,5986,7178,43.15
04-Oct-2016,15497.95,15342.95,15674.00,15256.30,15660.10,15571.10,15462.88,9477,4744,3082,32.52
05-Oct-2016,15571.10,15571.00,16002.00,15509.20,15971.00,15977.05,15841.81,11594,4540,3152,27.19
06-Oct-2016,15977.05,15900.00,16136.80,15622.65,15828.00,15816.65,15891.67,13902,6634,2967,21.34
07-Oct-2016,15816.65,15815.00,15895.00,15316.20,15400.00,15382.45,15516.95,11937,4696,4115,34.47
10-Oct-2016,15382.45,15400.05,15813.35,15400.00,15600.50,15702.05,15638.82,10879,5508,1631,14.99
13-Oct-2016,15702.05,15660.00,15850.00,15433.00,15700.05,15689.35,15626.27,14682,8235,5161,35.15
14-Oct-2016,15689.35,15700.05,15949.90,15530.00,15564.00,15599.75,15751.86,18193,9090,6225,34.22
17-Oct-2016,15599.75,15694.20,15880.00,15551.70,15820.00,15786.30,15703.48,12485,5500,5141,41.18
18-Oct-2016,15786.30,15720.00,16500.00,15712.05,16460.65,16449.50,16201.57,20040,7397,2890,14.42
19-Oct-2016,16449.50,16445.10,16641.75,15980.35,16092.00,16103.55,16269.17,14910,6046,5168,34.66
20-Oct-2016,16103.55,16188.55,16419.00,15950.00,16139.90,16133.65,16160.43,11456,6188,4345,37.93
21-Oct-2016,16133.65,16080.05,16600.00,16005.00,16475.05,16520.80,16370.77,12616,5288,4379,34.71
24-Oct-2016,16520.80,16537.45,17399.00,16405.05,16820.00,16847.05,16961.19,26948,9576,9992,37.08
25-Oct-2016,16847.05,16864.00,16952.20,16606.00,16793.75,16719.20,16761.66,9009,4039,2535,28.14
26-Oct-2016,16719.20,16719.00,16949.00,16565.70,16797.00,16788.75,16778.46,11288,5315,6000,53.15
27-Oct-2016,16788.75,16788.00,16874.15,16291.00,16381.00,16378.40,16527.00,10581,5101,4366,41.26
28-Oct-2016,16378.40,16428.40,16576.70,16153.95,16360.20,16452.85,16375.11,8991,3476,2837,31.55
30-Oct-2016,16452.85,16617.35,16640.00,16258.35,16460.00,16436.05,16457.39,624,356,190,30.45
01-Nov-2016,16436.05,16500.00,16659.75,16260.00,16301.40,16354.70,16430.23,6428,2985,2568,39.95
02-Nov-2016,16354.70,16015.05,16391.60,16015.05,16130.10,16106.95,16188.93,4941,2137,1726,34.93
03-Nov-2016,16106.95,16138.00,16298.95,15624.05,15749.90,15684.45,15880.87,9051,2741,3878,42.85
04-Nov-2016,15684.45,15800.00,15929.90,15505.50,15745.00,15778.90,15716.45,6484,3501,1992,30.72
07-Nov-2016,15778.90,15778.00,16020.10,15710.35,15806.05,15912.25,15865.19,5565,2326,1376,24.73
08-Nov-2016,15912.25,15912.25,16270.80,15800.00,15941.05,15983.15,16041.07,7982,3092,3101,38.85
09-Nov-2016,15983.15,15500.00,16246.00,14900.00,16182.05,16121.35,15702.90,15611,6489,6832,43.76
10-Nov-2016,16121.35,16203.30,16395.00,14830.00,14910.25,14976.70,15455.78,27268,10595,12306,45.13
11-Nov-2016,14976.70,14940.00,14940.00,13500.00,14095.00,14177.90,14078.10,22460,9376,7966,35.47
