DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,309.70,312.35,318.95,302.50,307.35,305.25,310.16,115775,3213,50212,43.37
03-Aug-2016,305.25,305.90,321.70,299.05,317.90,316.55,309.25,221775,4540,72687,32.78
04-Aug-2016,316.55,319.60,324.45,312.25,314.30,315.45,317.61,75983,1998,18137,23.87
05-Aug-2016,315.45,316.25,330.00,315.70,326.60,326.90,324.94,155519,4892,61146,39.32
08-Aug-2016,326.90,327.00,330.40,322.10,325.05,325.15,325.72,68644,2743,30658,44.66
09-Aug-2016,325.15,325.00,338.90,322.20,338.00,337.05,333.50,177392,4717,69503,39.18
10-Aug-2016,337.05,338.50,345.65,328.25,331.00,330.90,337.63,110728,2860,38640,34.90
11-Aug-2016,330.90,334.00,337.00,323.10,325.00,325.65,328.85,169706,4425,39970,23.55
12-Aug-2016,325.65,326.00,330.00,322.10,322.10,324.80,326.29,51501,2195,16471,31.98
16-Aug-2016,324.80,326.40,330.00,318.00,318.00,319.65,323.83,90481,4999,35750,39.51
17-Aug-2016,319.65,320.00,330.00,311.60,320.00,318.15,321.28,259167,9088,98056,37.84
18-Aug-2016,318.15,319.65,324.00,316.30,319.00,318.05,320.73,153706,5000,105150,68.41
19-Aug-2016,318.05,318.65,321.50,315.80,317.95,317.80,318.97,70998,3105,24770,34.89
22-Aug-2016,317.80,318.00,323.00,315.00,317.10,316.25,318.89,77257,2178,33646,43.55
23-Aug-2016,316.25,317.70,320.35,314.60,317.00,316.70,318.09,63005,2325,27452,43.57
24-Aug-2016,316.70,317.70,318.60,315.00,315.20,316.15,316.64,23295,1683,12632,54.23
25-Aug-2016,316.15,318.10,318.10,311.95,313.40,313.20,315.33,36733,983,17879,48.67
26-Aug-2016,313.20,316.80,316.95,310.00,310.00,310.40,313.14,36889,856,23181,62.84
29-Aug-2016,310.40,311.50,312.00,306.10,306.10,307.80,308.31,74288,1179,60246,81.10
30-Aug-2016,307.80,309.00,332.00,306.05,325.20,323.85,323.62,212729,5548,65585,30.83
31-Aug-2016,323.85,325.80,332.00,322.10,326.00,326.30,327.94,110728,2910,42762,38.62
01-Sep-2016,326.30,327.80,347.50,324.30,340.10,339.05,340.05,353619,7724,94587,26.75
02-Sep-2016,339.05,342.50,348.90,334.05,338.50,338.60,341.99,162528,4941,37379,23.00
06-Sep-2016,338.60,340.80,342.00,331.60,332.00,333.10,336.03,65275,2145,25068,38.40
07-Sep-2016,333.10,336.80,338.90,330.25,334.00,334.30,334.50,85811,3460,49533,57.72
08-Sep-2016,334.30,335.95,344.95,330.65,339.35,340.80,340.22,149785,4914,71440,47.70
09-Sep-2016,340.80,342.00,348.00,333.90,334.95,335.20,340.71,99172,2494,47103,47.50
12-Sep-2016,335.20,331.90,342.00,326.30,333.00,331.85,334.65,62331,2057,28155,45.17
14-Sep-2016,331.85,334.90,339.00,331.20,336.00,335.50,335.96,86926,6045,37775,43.46
15-Sep-2016,335.50,335.05,339.90,330.15,332.85,333.05,335.79,156779,5278,104836,66.87
16-Sep-2016,333.05,335.00,344.30,331.00,335.00,334.75,336.46,220963,4863,140468,63.57
19-Sep-2016,334.75,335.00,337.50,329.00,329.55,330.50,332.84,33825,1808,19157,56.64
20-Sep-2016,330.50,331.00,332.55,321.20,322.00,323.05,325.37,49247,2010,25106,50.98
21-Sep-2016,323.05,326.85,354.80,319.40,321.00,321.90,335.64,963807,20581,268648,27.87
22-Sep-2016,321.90,326.00,331.90,312.50,312.95,313.10,314.02,2528048,5184,1568941,62.06
23-Sep-2016,313.10,315.85,317.30,302.00,304.50,303.90,311.45,889191,9898,443638,49.89
26-Sep-2016,303.90,303.00,307.70,290.55,295.00,295.00,298.86,215090,4614,109596,50.95
27-Sep-2016,295.00,298.50,306.50,296.05,303.55,303.65,302.12,265391,6889,88062,33.18
28-Sep-2016,303.65,303.00,309.70,301.20,304.00,303.60,306.83,220581,5538,102999,46.69
29-Sep-2016,303.60,305.05,312.00,274.95,293.90,290.30,297.64,383324,6107,169621,44.25
30-Sep-2016,290.30,288.00,296.90,285.00,293.50,293.80,292.55,112971,2274,49379,43.71
03-Oct-2016,293.80,297.00,303.50,295.00,301.00,301.10,300.72,79861,1635,39346,49.27
04-Oct-2016,301.10,309.90,311.00,301.20,309.00,308.60,307.49,199651,4200,91851,46.01
05-Oct-2016,308.60,308.60,310.95,305.65,307.00,306.80,307.63,58238,1439,26932,46.24
06-Oct-2016,306.80,308.50,312.80,303.00,307.40,305.30,309.20,110776,2623,64662,58.37
07-Oct-2016,305.30,306.85,310.80,304.10,306.15,305.75,307.93,76848,1581,23692,30.83
10-Oct-2016,305.75,306.45,308.50,304.00,304.00,304.35,305.90,28242,752,15367,54.41
13-Oct-2016,304.35,304.50,304.50,292.80,294.00,294.80,301.34,390016,1641,362467,92.94
14-Oct-2016,294.80,295.50,307.00,295.10,307.00,306.25,300.85,438019,3079,377002,86.07
17-Oct-2016,306.25,306.50,310.00,301.50,306.00,306.55,306.66,189007,6072,77124,40.80
18-Oct-2016,306.55,306.95,319.80,306.95,318.00,318.60,314.88,284630,7046,142541,50.08
19-Oct-2016,318.60,320.50,328.70,315.40,321.50,323.00,323.57,281809,7042,133223,47.27
20-Oct-2016,323.00,325.95,328.00,317.50,320.00,319.65,321.60,61855,2034,40204,65.00
21-Oct-2016,319.65,320.00,327.00,318.25,319.00,319.60,322.99,103805,2744,49747,47.92
24-Oct-2016,319.60,324.70,327.20,320.00,323.50,324.10,324.00,147310,3128,107597,73.04
25-Oct-2016,324.10,321.25,324.00,313.00,313.50,313.85,315.69,97330,2217,62422,64.13
26-Oct-2016,313.85,316.80,316.80,309.50,310.00,310.85,313.17,56916,2112,42432,74.55
27-Oct-2016,310.85,312.20,317.50,307.00,312.00,310.40,311.98,57118,1538,34585,60.55
28-Oct-2016,310.40,311.90,318.80,307.95,312.90,311.25,313.08,47643,1702,19695,41.34
30-Oct-2016,311.25,317.90,320.00,315.10,317.00,317.50,317.86,20123,629,10964,54.48
01-Nov-2016,317.50,320.80,320.80,315.10,317.00,317.30,319.33,66210,2797,49843,75.28
02-Nov-2016,317.30,315.00,315.90,308.05,311.00,309.80,311.88,24812,610,16587,66.85
03-Nov-2016,309.80,312.95,313.00,306.00,307.00,306.75,309.40,19610,878,11555,58.92
04-Nov-2016,306.75,307.45,309.30,294.00,298.10,298.55,298.88,39538,1747,18733,47.38
07-Nov-2016,298.55,308.95,308.95,299.00,306.50,303.60,303.82,37687,2310,23308,61.85
