DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1618.35,1637.85,1647.10,1580.10,1588.70,1592.35,1617.47,140288,13121,80205,57.17
03-Aug-2016,1592.35,1610.00,1610.00,1575.10,1580.35,1582.85,1587.60,56564,7176,35998,63.64
04-Aug-2016,1582.85,1591.80,1598.20,1563.25,1572.20,1579.90,1580.49,74530,13048,46891,62.92
05-Aug-2016,1579.90,1589.00,1589.00,1566.10,1577.80,1576.00,1574.38,64667,8196,37345,57.75
08-Aug-2016,1576.00,1577.05,1610.00,1550.90,1605.00,1591.25,1575.19,95999,11605,51756,53.91
09-Aug-2016,1591.25,1599.90,1644.00,1590.00,1625.00,1633.30,1620.98,101381,9928,54897,54.15
10-Aug-2016,1633.30,1635.00,1635.00,1597.70,1611.00,1604.50,1611.06,108141,9629,72555,67.09
11-Aug-2016,1604.50,1602.25,1662.70,1575.00,1606.00,1601.60,1617.07,285563,22252,116818,40.91
12-Aug-2016,1601.60,1610.25,1700.00,1610.25,1699.95,1678.15,1659.09,162125,14892,85441,52.70
16-Aug-2016,1678.15,1710.05,1811.00,1680.00,1807.00,1771.45,1750.46,318836,29818,135479,42.49
17-Aug-2016,1771.45,1815.00,1862.20,1785.00,1854.80,1844.50,1820.74,397372,23933,95594,24.06
18-Aug-2016,1844.50,1848.00,1966.00,1815.00,1940.00,1949.70,1910.34,373433,24355,91332,24.46
19-Aug-2016,1949.70,1952.60,2050.00,1952.60,2046.00,2041.10,2018.90,378977,21866,116936,30.86
22-Aug-2016,2041.10,2049.90,2097.00,2049.90,2052.00,2065.25,2074.20,301183,17815,91333,30.32
23-Aug-2016,2065.25,2067.55,2080.00,1978.10,1994.00,1995.45,2009.26,203782,14817,70765,34.73
24-Aug-2016,1995.45,2008.00,2028.60,1989.90,2003.00,2004.80,2004.53,107208,7665,43254,40.35
25-Aug-2016,2004.80,1995.10,2008.00,1927.00,1935.20,1954.10,1969.45,137991,10183,79374,57.52
26-Aug-2016,1954.10,1958.95,1958.95,1833.00,1833.00,1847.10,1872.54,173371,21512,79870,46.07
29-Aug-2016,1847.10,1841.65,1889.80,1781.20,1880.00,1872.65,1842.55,267665,21119,53921,20.14
30-Aug-2016,1872.65,1911.00,1925.10,1882.45,1885.75,1890.75,1906.25,152066,11052,50635,33.30
31-Aug-2016,1890.75,1892.10,1913.80,1816.20,1833.30,1838.55,1855.29,184819,17775,95930,51.90
01-Sep-2016,1838.55,1842.00,1855.00,1802.45,1825.00,1827.30,1831.98,92428,8656,24426,26.43
02-Sep-2016,1827.30,1847.50,1850.00,1799.65,1815.00,1809.75,1815.72,104662,14139,38731,37.01
06-Sep-2016,1809.75,1815.00,1875.00,1815.00,1871.00,1866.40,1852.52,244253,20633,112674,46.13
07-Sep-2016,1866.40,1878.70,1884.90,1848.00,1868.00,1870.80,1860.94,235700,12027,173995,73.82
08-Sep-2016,1870.80,1871.00,1927.65,1871.00,1903.50,1903.65,1904.11,186811,15151,91262,48.85
09-Sep-2016,1903.65,1903.50,1931.00,1815.00,1871.00,1870.35,1888.11,132995,11604,53930,40.55
12-Sep-2016,1870.35,1845.10,1882.30,1839.80,1865.80,1865.15,1862.37,222198,9630,167827,75.53
14-Sep-2016,1865.15,1869.95,1884.40,1855.00,1882.00,1872.40,1870.68,188231,8967,140233,74.50
15-Sep-2016,1872.40,1890.05,1954.00,1876.90,1928.00,1922.20,1928.02,193097,13432,65657,34.00
16-Sep-2016,1922.20,1929.60,1963.00,1862.30,1874.15,1911.00,1928.22,355972,25202,226515,63.63
19-Sep-2016,1911.00,1895.40,1939.65,1881.95,1898.70,1895.65,1914.05,103018,9620,49685,48.23
20-Sep-2016,1895.65,1910.00,1931.05,1865.00,1882.00,1878.40,1891.52,68073,7077,39074,57.40
21-Sep-2016,1878.40,1909.00,1918.40,1859.05,1880.10,1878.20,1881.98,133397,11599,67171,50.35
22-Sep-2016,1878.20,1904.90,1904.90,1871.00,1904.00,1893.40,1888.20,71907,5476,41076,57.12
23-Sep-2016,1893.40,1907.55,1920.00,1880.00,1895.15,1901.60,1901.33,126064,12612,73803,58.54
26-Sep-2016,1901.60,1895.15,1904.75,1866.00,1886.00,1886.25,1884.11,180207,4970,150952,83.77
27-Sep-2016,1886.25,1895.25,1903.90,1886.00,1890.00,1891.85,1890.26,295203,11850,262976,89.08
28-Sep-2016,1891.85,1900.35,1934.50,1864.00,1869.50,1871.25,1900.83,305559,10379,209335,68.51
29-Sep-2016,1871.25,1890.00,1894.00,1757.35,1828.00,1837.05,1824.10,169073,9740,98591,58.31
30-Sep-2016,1837.05,1837.00,1855.00,1803.25,1840.00,1838.50,1834.66,124781,15701,90665,72.66
03-Oct-2016,1838.50,1859.90,1933.00,1850.00,1906.00,1911.95,1902.65,154745,11610,103589,66.94
04-Oct-2016,1911.95,1900.00,1914.20,1873.20,1893.00,1894.55,1888.63,103859,8512,51938,50.01
05-Oct-2016,1894.55,1896.25,1902.00,1865.40,1876.00,1881.05,1882.79,70669,5327,39554,55.97
06-Oct-2016,1881.05,1887.85,1887.85,1840.00,1845.00,1846.80,1860.31,78075,6791,46083,59.02
07-Oct-2016,1846.80,1866.40,1872.25,1826.00,1855.00,1858.50,1852.41,93917,7254,60497,64.42
10-Oct-2016,1858.50,1878.00,1880.00,1837.00,1840.00,1848.80,1862.24,43759,3171,22465,51.34
13-Oct-2016,1848.80,1849.00,1855.25,1783.85,1794.85,1792.65,1808.34,146858,18405,95659,65.14
