DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,679.30,679.00,693.65,670.05,675.00,674.85,679.08,64381,4727,53231,82.68
03-Aug-2016,674.85,679.85,688.50,671.50,680.00,677.15,679.74,60834,4223,48813,80.24
04-Aug-2016,677.15,679.95,679.95,665.00,665.30,668.85,670.04,20448,3291,15113,73.91
05-Aug-2016,668.85,679.70,679.70,666.00,671.50,675.40,673.13,25543,2739,15121,59.20
08-Aug-2016,675.40,671.00,684.80,666.00,669.95,670.45,673.73,42142,2589,33748,80.08
09-Aug-2016,670.45,671.00,681.35,671.00,672.00,674.05,676.02,34834,3509,24483,70.28
10-Aug-2016,674.05,674.05,676.85,666.30,668.00,667.95,670.01,65517,4532,54074,82.53
11-Aug-2016,667.95,667.95,683.00,667.95,675.00,674.75,675.45,99263,5690,59114,59.55
12-Aug-2016,674.75,670.25,692.00,670.25,682.00,681.40,685.30,66876,6378,41731,62.40
16-Aug-2016,681.40,685.00,692.50,672.90,677.10,678.90,684.38,59063,3523,44096,74.66
17-Aug-2016,678.90,677.10,682.40,673.10,678.85,675.70,676.46,51558,1908,42145,81.74
18-Aug-2016,675.70,675.00,680.90,662.00,663.00,664.10,668.62,29623,3289,23140,78.11
19-Aug-2016,664.10,665.15,669.85,645.10,645.55,646.90,653.25,86917,4781,72159,83.02
22-Aug-2016,646.90,645.00,655.00,637.20,643.40,644.45,645.91,45323,3618,28574,63.05
23-Aug-2016,644.45,648.00,654.95,641.00,641.50,647.90,649.68,39072,3240,27754,71.03
24-Aug-2016,647.90,651.00,651.00,639.10,641.00,641.95,643.92,39903,2657,32832,82.28
25-Aug-2016,641.95,642.00,645.00,633.55,639.00,640.35,639.51,51973,3212,43644,83.97
26-Aug-2016,640.35,644.00,644.00,625.50,632.55,630.95,631.48,88079,5718,74439,84.51
29-Aug-2016,630.95,635.50,635.50,600.90,610.00,608.05,613.52,113656,10477,87477,76.97
30-Aug-2016,608.05,617.10,625.15,607.00,618.50,619.25,617.33,75906,4401,49690,65.46
31-Aug-2016,619.25,623.40,626.95,615.55,622.95,622.45,622.44,60410,5389,45232,74.88
01-Sep-2016,622.45,627.50,636.00,618.00,634.95,625.25,623.41,42083,3486,32613,77.50
02-Sep-2016,625.25,620.00,628.85,613.30,618.00,618.50,618.28,111238,5535,97946,88.05
06-Sep-2016,618.50,623.35,627.85,612.00,621.45,621.30,617.96,117108,24332,98648,84.24
07-Sep-2016,621.30,626.95,626.95,610.00,613.30,613.40,615.07,92801,8695,69807,75.22
08-Sep-2016,613.40,610.40,617.40,602.00,606.35,605.70,609.30,112208,6631,88801,79.14
09-Sep-2016,605.70,619.70,638.00,610.50,619.95,616.30,621.48,148168,9597,86625,58.46
12-Sep-2016,616.30,618.80,622.80,610.00,616.95,617.10,617.26,94739,6396,65385,69.02
14-Sep-2016,617.10,620.00,622.95,617.00,617.35,619.95,620.78,118913,6948,94016,79.06
15-Sep-2016,619.95,621.45,621.45,615.05,618.00,619.00,618.86,49779,4838,37019,74.37
16-Sep-2016,619.00,623.00,623.20,607.80,609.00,612.60,614.62,275659,9268,240556,87.27
19-Sep-2016,612.60,619.90,620.00,607.30,613.00,613.45,613.86,49492,3780,38146,77.08
20-Sep-2016,613.45,614.00,620.00,603.55,605.90,605.90,608.29,98294,3113,82704,84.14
21-Sep-2016,605.90,613.35,613.35,598.10,599.00,601.15,601.86,74356,4716,59798,80.42
22-Sep-2016,601.15,602.00,603.95,600.00,602.00,601.45,601.84,389974,4772,355606,91.19
23-Sep-2016,601.45,602.00,604.95,591.80,595.00,595.45,597.00,130763,6578,94566,72.32
26-Sep-2016,595.45,596.90,606.00,596.90,604.70,602.20,600.67,51011,3076,34901,68.42
27-Sep-2016,602.20,602.05,609.10,602.00,604.70,604.50,604.91,130105,4731,111500,85.70
28-Sep-2016,604.50,604.50,625.70,603.95,625.00,624.30,618.62,89427,6176,60365,67.50
29-Sep-2016,624.30,628.00,633.00,607.00,621.00,618.95,624.07,177957,4579,137464,77.25
