DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,223.25,225.00,227.00,216.35,219.90,219.35,221.69,2372659,35265,917438,38.67
03-Aug-2016,219.35,219.25,220.60,214.65,215.55,215.80,217.40,1849600,19960,594369,32.14
04-Aug-2016,215.80,217.80,217.80,213.95,217.05,216.40,215.97,1994160,22365,897441,45.00
05-Aug-2016,216.40,217.40,220.80,217.25,219.75,219.75,219.14,2256241,23601,1055905,46.80
08-Aug-2016,219.75,220.00,225.60,220.00,223.50,223.55,222.98,5552260,34513,3581976,64.51
09-Aug-2016,223.55,225.50,228.65,221.95,224.55,224.20,226.20,3266114,31158,1186217,36.32
10-Aug-2016,224.20,225.00,227.85,216.40,218.05,217.45,221.38,4123464,44513,1133552,27.49
11-Aug-2016,217.45,217.50,219.80,212.25,218.00,217.90,216.84,3601808,45084,968826,26.90
12-Aug-2016,217.90,218.90,223.60,217.50,221.80,222.05,220.57,2729505,32496,856821,31.39
16-Aug-2016,222.05,222.60,228.90,222.35,227.30,228.10,225.17,3068870,38775,1586035,51.68
17-Aug-2016,228.10,227.90,234.00,227.60,232.90,233.35,231.69,2411854,35785,1004667,41.66
18-Aug-2016,233.35,233.90,239.90,233.90,239.40,239.20,237.67,1982157,35741,876420,44.22
19-Aug-2016,239.20,239.90,240.90,235.40,236.85,237.05,238.12,2080818,28214,959908,46.13
22-Aug-2016,237.05,237.90,240.75,234.50,237.75,237.45,237.28,2111544,29122,577505,27.35
23-Aug-2016,237.45,237.65,240.20,236.50,238.50,239.15,238.58,2444523,28565,1207772,49.41
24-Aug-2016,239.15,238.40,242.55,237.50,241.30,241.70,240.36,3206624,25122,1933392,60.29
25-Aug-2016,241.70,244.55,246.45,236.30,236.90,238.55,242.89,6471249,28492,4510642,69.70
26-Aug-2016,238.55,119.35,120.05,115.30,116.00,115.75,117.00,3688741,25586,1550709,42.04
29-Aug-2016,115.75,116.00,116.80,112.20,114.65,114.35,113.64,4425508,17476,2166211,48.95
30-Aug-2016,114.35,114.90,115.50,113.70,115.15,114.75,114.63,2058575,15189,983659,47.78
31-Aug-2016,114.75,114.80,124.50,114.70,124.00,123.70,121.41,11032897,73605,5298744,48.03
01-Sep-2016,123.70,124.25,124.90,120.60,121.40,121.40,122.74,7060695,39690,2060110,29.18
02-Sep-2016,121.40,121.60,123.35,119.40,122.90,122.90,122.09,4076650,26037,1809131,44.38
06-Sep-2016,122.90,123.40,123.90,121.70,122.60,122.85,122.73,3811474,27086,1484771,38.96
07-Sep-2016,122.85,122.70,125.35,122.30,124.05,123.95,123.86,3609256,27961,1951196,54.06
08-Sep-2016,123.95,123.95,127.10,123.70,126.25,126.70,126.04,3278600,23347,1799369,54.88
09-Sep-2016,126.70,126.95,127.65,124.00,124.95,124.85,125.74,2894612,32540,1286797,44.45
12-Sep-2016,124.85,122.85,122.85,118.00,118.40,118.35,120.25,4414025,31967,2718466,61.59
14-Sep-2016,118.35,119.40,121.00,118.60,119.90,120.00,119.97,5529485,30782,3180887,57.53
15-Sep-2016,120.00,119.25,120.65,117.70,118.75,118.95,118.96,1319345,12132,453923,34.41
16-Sep-2016,118.95,119.40,121.40,117.90,118.40,118.35,119.20,4847500,21068,3404392,70.23
19-Sep-2016,118.35,119.00,120.30,118.10,120.00,119.90,119.47,2670728,15391,1214750,45.48
20-Sep-2016,119.90,119.40,121.95,119.40,120.90,120.85,120.96,2699462,19077,1142884,42.34
21-Sep-2016,120.85,121.50,122.95,120.30,120.80,120.60,121.53,4032165,24727,1858336,46.09
22-Sep-2016,120.60,121.70,123.50,121.70,123.00,122.75,122.80,2976040,14492,1734114,58.27
23-Sep-2016,122.75,123.30,124.20,122.10,122.45,122.65,123.17,3296934,17865,1985811,60.23
26-Sep-2016,122.65,122.00,123.60,121.00,121.75,121.75,122.41,2494508,12724,1573496,63.08
27-Sep-2016,121.75,121.80,122.40,118.30,120.45,119.85,120.16,3773152,37704,2063408,54.69
28-Sep-2016,119.85,120.00,120.75,118.35,119.40,119.05,119.58,4581589,22131,2969079,64.80
29-Sep-2016,119.05,119.90,120.70,112.30,114.65,114.00,115.77,5128509,31462,2762153,53.86
30-Sep-2016,114.00,114.40,120.65,113.95,120.10,120.30,118.93,4601244,46291,2501567,54.37
03-Oct-2016,120.30,120.50,123.15,120.50,122.00,122.35,122.17,2567455,12783,1274137,49.63
04-Oct-2016,122.35,123.20,126.30,122.10,126.20,125.70,124.84,6135694,44340,3192549,52.03
05-Oct-2016,125.70,126.50,127.60,124.90,126.50,126.45,126.45,4722711,25479,2271721,48.10
06-Oct-2016,126.45,127.10,127.40,123.05,124.00,123.75,125.19,5112008,19771,3147298,61.57
07-Oct-2016,123.75,124.00,125.30,121.85,122.80,123.05,123.42,2668875,18089,1297289,48.61
10-Oct-2016,123.05,123.90,124.55,121.50,121.85,121.95,122.78,2172677,13999,1017727,46.84
13-Oct-2016,121.95,122.65,125.35,120.20,123.25,123.45,123.17,4708792,34330,2668167,56.66
14-Oct-2016,123.45,124.00,124.45,121.40,122.50,122.30,122.64,1307994,10451,366558,28.02
17-Oct-2016,122.30,122.70,125.40,121.80,122.60,122.95,123.34,3493217,18821,1659047,47.49
18-Oct-2016,122.95,123.50,124.45,121.45,124.15,123.60,123.54,3539897,10045,2549418,72.02
19-Oct-2016,123.60,123.95,125.10,122.30,122.60,122.85,123.71,3519362,11837,1465760,41.65
20-Oct-2016,122.85,123.90,125.00,123.10,123.85,123.95,124.10,1275051,10402,371847,29.16
21-Oct-2016,123.95,124.90,127.90,123.40,127.60,127.65,126.21,4559437,21369,1743796,38.25
24-Oct-2016,127.65,128.90,130.40,126.50,127.40,127.30,128.52,4192135,24515,1230328,29.35
25-Oct-2016,127.30,128.20,128.35,125.75,126.20,126.40,126.83,1942847,22984,882229,45.41
26-Oct-2016,126.40,126.35,128.20,124.00,124.10,124.65,126.40,2227331,22416,888081,39.87
27-Oct-2016,124.65,124.60,125.20,121.30,125.20,124.30,124.03,5758201,17939,3507441,60.91
28-Oct-2016,124.30,124.35,125.70,123.00,124.60,124.10,124.06,2491793,19549,1349406,54.15
30-Oct-2016,124.10,125.65,125.65,124.20,124.75,124.50,124.62,206889,1300,104985,50.74
01-Nov-2016,124.50,124.60,124.95,121.60,122.00,122.20,123.11,2661206,24563,1655405,62.21
02-Nov-2016,122.20,120.90,120.90,118.00,118.35,118.20,119.04,1575225,15911,639150,40.58
03-Nov-2016,118.20,117.85,119.40,115.20,115.25,115.60,117.11,2282480,21875,987230,43.25
04-Nov-2016,115.60,115.60,115.75,110.55,114.25,113.85,113.45,2989498,30128,1296408,43.37
07-Nov-2016,113.85,116.00,117.25,114.80,115.10,115.20,116.03,2103401,26436,1165261,55.40
08-Nov-2016,115.20,115.40,116.40,113.80,114.70,114.60,114.61,1710886,15119,706055,41.27
09-Nov-2016,114.60,110.00,117.65,103.15,115.90,116.40,110.45,4852876,33412,1144684,23.59
10-Nov-2016,116.40,118.40,123.40,118.40,121.35,121.45,121.09,3826357,29411,1576880,41.21
11-Nov-2016,121.45,119.90,122.85,117.50,118.75,118.25,120.06,4429038,36289,2177411,49.16
15-Nov-2016,118.25,119.60,120.90,115.20,116.20,116.10,118.33,4897189,42386,2558491,52.24
