DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1960.50,1965.00,1986.70,1954.95,1980.00,1972.50,1972.61,6070,969,3338,54.99
03-Aug-2016,1972.50,1981.00,2000.00,1951.05,1995.00,1975.95,1968.64,5787,920,3672,63.45
04-Aug-2016,1975.95,1985.00,1995.00,1944.00,1944.15,1949.60,1956.68,10417,878,7056,67.74
05-Aug-2016,1949.60,1977.00,1977.00,1930.25,1933.75,1938.40,1943.56,20776,1498,14557,70.07
08-Aug-2016,1938.40,1935.00,1938.45,1875.70,1897.90,1892.65,1900.22,31572,3151,18334,58.07
09-Aug-2016,1892.65,1892.65,1918.20,1886.00,1909.90,1906.55,1901.44,6866,872,4549,66.25
10-Aug-2016,1906.55,1930.80,1932.65,1875.70,1918.00,1899.00,1903.19,11031,1237,5531,50.14
11-Aug-2016,1899.00,1904.15,1915.00,1885.10,1905.00,1899.30,1899.42,22837,1195,20185,88.39
12-Aug-2016,1899.30,1899.00,1912.00,1895.00,1900.00,1900.70,1901.08,21503,573,19142,89.02
16-Aug-2016,1900.70,1910.00,1935.00,1904.00,1915.00,1914.35,1917.91,15747,1330,10291,65.35
17-Aug-2016,1914.35,1914.00,1920.90,1900.10,1918.00,1911.60,1908.67,5515,721,2500,45.33
18-Aug-2016,1911.60,1912.05,1920.00,1901.05,1915.00,1916.60,1910.55,7285,1420,4414,60.59
19-Aug-2016,1916.60,1916.60,1925.00,1903.00,1919.50,1908.25,1908.39,5702,740,3279,57.51
22-Aug-2016,1908.25,1910.00,1919.95,1890.00,1910.00,1907.70,1905.47,5770,728,3756,65.10
23-Aug-2016,1907.70,1947.00,2014.00,1926.05,1940.20,1944.30,1970.91,38033,3822,10480,27.56
24-Aug-2016,1944.30,1965.00,1965.00,1935.75,1958.00,1947.80,1948.70,7185,1022,3413,47.50
