DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,6518.65,6518.65,6590.00,6480.00,6515.00,6502.40,6563.23,20567,588,20089,97.68
03-Aug-2016,6502.40,6502.00,6574.95,6380.10,6380.10,6400.75,6445.58,1085,446,684,63.04
04-Aug-2016,6400.75,6407.15,6473.00,6307.50,6307.50,6350.85,6370.32,1182,424,541,45.77
05-Aug-2016,6350.85,6413.85,6520.05,6295.55,6351.00,6367.35,6404.08,4319,1213,2584,59.83
08-Aug-2016,6367.35,6429.95,6818.60,6429.95,6710.00,6679.50,6683.95,15137,3901,8508,56.21
09-Aug-2016,6679.50,6702.50,6947.70,6702.50,6874.90,6866.25,6850.62,11104,1969,7513,67.66
10-Aug-2016,6866.25,6800.00,6947.70,6775.00,6822.00,6799.00,6825.55,12881,874,11827,91.82
11-Aug-2016,6799.00,6815.00,6875.00,6764.95,6786.50,6862.55,6830.67,10022,1206,8378,83.60
12-Aug-2016,6862.55,6881.90,6950.00,6810.00,6874.95,6835.10,6869.21,2105,378,1578,74.96
16-Aug-2016,6835.10,6835.00,6898.95,6729.00,6765.35,6767.50,6808.84,1070,455,641,59.91
17-Aug-2016,6767.50,6768.05,6809.95,6705.00,6767.00,6774.75,6782.85,1314,475,1095,83.33
18-Aug-2016,6774.75,6740.00,7121.00,6740.00,6980.00,7027.85,7017.10,8584,1933,4658,54.26
19-Aug-2016,7027.85,7027.00,7095.35,6918.00,6980.00,6976.35,6990.95,1251,498,819,65.47
22-Aug-2016,6976.35,6980.00,7024.00,6821.05,6849.95,6855.05,6892.71,1893,609,1291,68.20
23-Aug-2016,6855.05,6861.15,6861.15,6710.50,6728.50,6728.50,6758.72,2536,847,1836,72.40
24-Aug-2016,6728.50,6735.00,6850.00,6728.00,6807.35,6827.55,6810.65,1876,279,1563,83.32
25-Aug-2016,6827.55,6835.05,6854.70,6710.00,6723.00,6730.20,6826.55,8351,679,7859,94.11
26-Aug-2016,6730.20,6850.00,6949.95,6721.10,6755.00,6759.65,6803.24,1763,563,763,43.28
29-Aug-2016,6759.65,6761.05,6800.00,6575.00,6750.00,6709.15,6641.52,8007,2023,5770,72.06
30-Aug-2016,6709.15,6655.00,6710.00,6390.95,6570.00,6606.50,6526.73,16472,3788,9362,56.84
31-Aug-2016,6606.50,6560.65,6700.00,6560.65,6699.85,6671.05,6669.26,39306,3338,34546,87.89
01-Sep-2016,6671.05,6730.00,6788.00,6485.00,6550.00,6507.10,6588.13,8242,922,7227,87.69
02-Sep-2016,6507.10,6507.10,6630.00,6507.10,6536.00,6594.00,6573.62,10932,279,10029,91.74
06-Sep-2016,6594.00,6597.20,6790.00,6530.50,6590.00,6600.45,6640.88,20318,991,19096,93.99
07-Sep-2016,6600.45,6654.00,6700.00,6530.50,6550.00,6600.90,6588.70,4385,1580,2990,68.19
08-Sep-2016,6600.90,6630.00,6659.95,6575.00,6600.05,6597.45,6601.66,28636,449,27858,97.28
09-Sep-2016,6597.45,6634.20,6634.20,6550.00,6580.05,6580.95,6574.97,21174,339,20720,97.86
12-Sep-2016,6580.95,6630.00,6719.00,6505.10,6687.95,6663.65,6689.78,7595,1274,6224,81.95
14-Sep-2016,6663.65,6702.05,6760.00,6630.30,6727.00,6737.85,6715.22,3989,830,3000,75.21
15-Sep-2016,6737.85,6685.10,6737.05,6674.00,6705.00,6700.85,6700.57,1929,262,1792,92.90
16-Sep-2016,6700.85,6700.00,6781.40,6660.10,6680.00,6680.05,6685.99,5700,288,5374,94.28
19-Sep-2016,6680.05,6649.70,6780.00,6640.05,6749.00,6715.80,6745.73,13676,1361,12356,90.35
20-Sep-2016,6715.80,6652.50,6750.00,6652.50,6700.00,6700.35,6711.40,4345,439,3365,77.45
21-Sep-2016,6700.35,6747.90,6850.00,6730.00,6800.00,6801.10,6796.08,19570,1122,17222,88.00
22-Sep-2016,6801.10,6829.90,6921.00,6803.70,6900.00,6883.35,6868.32,2960,426,2384,80.54
23-Sep-2016,6883.35,6883.35,7020.00,6832.90,6900.00,6899.30,6956.18,13126,1398,11706,89.18
26-Sep-2016,6899.30,6975.00,6975.00,6870.00,6870.00,6886.65,6916.18,2479,271,1382,55.75
27-Sep-2016,6886.65,6923.30,7119.90,6890.00,6900.00,6903.25,7033.13,13016,2139,9272,71.24
28-Sep-2016,6903.25,6911.00,7017.00,6806.60,6851.00,6850.85,6922.93,2249,436,1058,47.04
29-Sep-2016,6850.85,6900.00,6969.80,6610.05,6770.00,6712.00,6736.25,5643,972,3393,60.13
30-Sep-2016,6712.00,6712.00,6845.50,6709.85,6800.60,6805.20,6781.09,2506,690,1793,71.55
03-Oct-2016,6805.20,6939.95,6939.95,6767.30,6895.00,6865.45,6831.71,4864,763,3539,72.76
04-Oct-2016,6865.45,6944.95,6944.95,6820.00,6912.50,6904.65,6910.72,2722,480,2206,81.04
05-Oct-2016,6904.65,6925.00,7135.00,6925.00,7080.00,7072.95,7081.20,16614,2043,12015,72.32
06-Oct-2016,7072.95,7156.00,7252.00,6900.00,6910.00,6929.25,7084.69,12641,2453,4849,38.36
07-Oct-2016,6929.25,6950.80,7050.00,6950.00,7011.00,6991.30,6978.67,4073,867,3324,81.61
10-Oct-2016,6991.30,7000.00,7050.05,6999.95,7050.00,7026.75,7025.64,2816,390,2469,87.68
13-Oct-2016,7026.75,7026.05,7026.05,6866.50,6970.00,6958.65,6936.97,2725,593,2103,77.17
14-Oct-2016,6958.65,7026.00,7026.00,6821.30,6960.00,6952.75,6939.23,3689,943,2996,81.21
17-Oct-2016,6952.75,7024.00,7024.00,6941.00,6990.00,6991.50,6989.82,4385,371,3728,85.02
18-Oct-2016,6991.50,6991.00,7010.00,6961.55,6980.00,6985.55,6988.32,1411,197,1108,78.53
19-Oct-2016,6985.55,6985.00,7010.00,6950.00,7000.00,6992.95,6993.17,1181,145,1031,87.30
