DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,733.40,739.00,748.00,733.75,740.15,739.70,741.30,717901,28977,358807,49.98
03-Aug-2016,739.70,740.30,745.85,714.00,720.00,718.50,726.46,685193,17456,446368,65.14
04-Aug-2016,718.50,723.50,729.00,709.20,715.00,713.70,717.71,683179,14913,377563,55.27
05-Aug-2016,713.70,717.00,730.20,717.00,726.15,726.50,724.29,647696,12959,327751,50.60
08-Aug-2016,726.50,734.00,738.20,725.00,728.50,729.65,731.73,383012,9235,211009,55.09
09-Aug-2016,729.65,730.00,738.00,721.00,722.25,723.35,728.78,556929,21197,276547,49.66
10-Aug-2016,723.35,725.00,729.25,703.05,707.75,707.20,712.19,654005,20486,305735,46.75
11-Aug-2016,707.20,707.70,715.00,699.15,712.50,710.00,709.26,563970,17781,243464,43.17
12-Aug-2016,710.00,704.05,713.00,701.25,711.00,710.45,709.28,457921,11849,231395,50.53
16-Aug-2016,710.45,713.80,721.25,708.00,710.00,710.65,714.93,544973,34939,359645,65.99
17-Aug-2016,710.65,710.05,715.40,703.00,707.10,707.70,709.71,481428,25682,315614,65.56
18-Aug-2016,707.70,709.55,714.45,708.00,708.15,708.95,709.89,504427,7089,426988,84.65
19-Aug-2016,708.95,710.00,713.90,698.70,699.70,699.85,706.10,476124,20987,269817,56.67
22-Aug-2016,699.85,702.00,708.80,694.30,706.45,705.90,703.82,423867,19713,182139,42.97
23-Aug-2016,705.90,709.80,709.80,701.25,704.00,703.15,705.37,293965,16234,123111,41.88
24-Aug-2016,703.15,703.90,704.05,695.00,695.00,696.30,697.67,452255,15593,306714,67.82
25-Aug-2016,696.30,697.95,700.60,684.00,688.90,686.75,689.99,471543,14299,287070,60.88
26-Aug-2016,686.75,686.20,691.50,681.10,685.00,685.55,685.51,768908,32839,593087,77.13
29-Aug-2016,685.55,685.50,689.85,678.70,681.00,681.80,683.30,360275,19728,193064,53.59
30-Aug-2016,681.80,684.00,699.50,683.50,698.20,697.80,692.04,758297,22385,509955,67.25
31-Aug-2016,697.80,700.00,707.50,695.30,698.00,698.55,701.38,505876,15929,238620,47.17
01-Sep-2016,698.55,699.00,707.00,692.45,698.25,695.95,700.35,351362,11423,134619,38.31
02-Sep-2016,695.95,698.00,701.30,692.55,698.00,696.90,696.74,190007,7188,84783,44.62
06-Sep-2016,696.90,702.90,721.50,701.10,719.00,718.55,715.57,1246593,31043,651128,52.23
07-Sep-2016,718.55,722.95,725.45,710.00,713.65,715.20,718.62,593932,21745,261087,43.96
08-Sep-2016,715.20,715.55,723.60,711.10,715.30,716.50,717.51,356765,12214,152215,42.67
09-Sep-2016,716.50,717.00,721.25,707.80,711.05,711.05,714.23,341076,12627,154112,45.18
12-Sep-2016,711.05,703.95,710.35,686.10,700.55,702.75,699.86,426183,11720,256408,60.16
14-Sep-2016,702.75,702.05,714.10,699.45,705.50,708.90,707.23,306137,13370,154806,50.57
15-Sep-2016,708.90,709.00,717.10,706.20,715.00,715.05,712.06,410920,18472,258242,62.84
16-Sep-2016,715.05,720.00,724.50,710.25,713.00,714.85,718.12,382162,14545,209208,54.74
19-Sep-2016,714.85,714.85,719.35,703.00,706.50,707.40,709.12,249337,10581,133023,53.35
20-Sep-2016,707.40,709.95,715.85,706.50,710.05,711.40,712.49,315153,13668,155914,49.47
21-Sep-2016,711.40,713.90,714.85,703.00,705.85,707.00,707.53,311700,16028,187000,59.99
22-Sep-2016,707.00,711.60,713.65,704.25,705.35,706.15,708.18,315016,11828,186337,59.15
23-Sep-2016,706.15,707.00,709.75,701.75,704.00,703.70,704.53,486981,18195,359693,73.86
26-Sep-2016,703.70,704.10,707.70,692.55,693.95,694.65,701.89,383544,9859,273249,71.24
27-Sep-2016,694.65,694.65,700.00,685.60,699.60,696.05,691.78,409984,14467,223154,54.43
28-Sep-2016,696.05,696.50,699.85,687.50,688.75,689.35,691.10,1031867,16967,849936,82.37
29-Sep-2016,689.35,693.45,697.10,648.20,668.10,666.20,673.10,1442657,30374,832969,57.74
30-Sep-2016,666.20,662.00,686.00,660.10,682.00,681.60,675.06,851741,27232,577100,67.76
03-Oct-2016,681.60,685.00,726.70,685.00,725.50,724.25,711.34,2058235,29636,796585,38.70
04-Oct-2016,724.25,726.00,743.50,726.00,740.10,739.40,735.09,1887783,27890,853048,45.19
05-Oct-2016,739.40,741.00,749.00,728.70,732.00,733.70,739.01,588342,21848,280403,47.66
06-Oct-2016,733.70,731.50,739.90,721.70,731.00,729.65,731.33,246455,8701,92768,37.64
07-Oct-2016,729.65,732.80,736.80,714.00,720.00,718.70,724.23,232567,12529,123514,53.11
10-Oct-2016,718.70,722.30,733.00,720.65,729.00,729.85,726.61,174998,7832,90525,51.73
13-Oct-2016,729.85,731.85,731.85,718.10,725.00,725.80,724.40,636722,13737,454694,71.41
14-Oct-2016,725.80,725.55,732.70,713.20,728.20,727.60,726.38,459989,21172,246530,53.59
17-Oct-2016,727.60,734.80,734.80,715.30,718.00,718.25,718.53,365500,18529,228057,62.40
18-Oct-2016,718.25,720.00,724.00,712.25,723.45,720.90,720.05,597421,8121,453104,75.84
19-Oct-2016,720.90,725.00,727.00,715.70,717.15,717.80,718.83,1119429,12332,920483,82.23
20-Oct-2016,717.80,720.00,721.50,711.60,714.95,714.15,716.77,645552,7608,522659,80.96
21-Oct-2016,714.15,715.50,718.95,709.55,713.10,714.40,713.72,224856,14860,131337,58.41
24-Oct-2016,714.40,714.00,721.70,711.00,712.85,713.35,715.46,153150,5923,56285,36.75
25-Oct-2016,713.35,712.85,717.50,710.00,711.95,713.20,712.68,195273,10784,125395,64.22
26-Oct-2016,713.20,716.00,716.00,703.00,707.90,708.60,707.06,285257,10871,188688,66.15
27-Oct-2016,708.60,703.10,716.00,698.00,715.50,709.00,706.01,233411,14872,109062,46.73
28-Oct-2016,709.00,710.10,722.75,710.10,717.45,718.80,719.94,586708,14179,423250,72.14
30-Oct-2016,718.80,724.15,735.00,722.05,726.00,725.40,725.39,62358,2243,36442,58.44
01-Nov-2016,725.40,725.40,726.95,705.65,712.00,711.40,714.44,534613,20475,424729,79.45
02-Nov-2016,711.40,710.00,714.15,702.55,703.55,704.05,706.41,190406,5998,85693,45.01
03-Nov-2016,704.05,704.95,707.40,685.10,688.00,687.95,694.00,377468,10511,179286,47.50
04-Nov-2016,687.95,687.55,703.35,677.55,694.00,694.20,693.15,708243,20487,491088,69.34
07-Nov-2016,694.20,701.00,704.90,690.35,692.50,693.85,697.83,142684,7504,58902,41.28
08-Nov-2016,693.85,696.80,699.80,688.00,691.90,691.40,693.06,148922,5546,75538,50.72
09-Nov-2016,691.40,670.00,692.00,639.00,678.00,678.05,666.83,578951,18503,256204,44.25
10-Nov-2016,678.05,699.00,699.00,663.20,665.05,665.60,677.84,590087,28248,304825,51.66
11-Nov-2016,665.60,662.50,669.80,635.60,667.00,659.50,647.33,885344,24986,532748,60.17
15-Nov-2016,659.50,650.00,650.00,583.65,618.00,617.10,611.80,1347449,44704,743637,55.19
16-Nov-2016,617.10,617.45,629.00,603.10,623.00,623.95,621.52,695663,27684,363572,52.26
17-Nov-2016,623.95,628.95,636.30,612.00,615.70,616.15,618.16,308373,13356,146899,47.64
18-Nov-2016,616.15,610.25,625.75,610.25,615.05,614.90,617.56,743321,22489,511658,68.83
21-Nov-2016,614.90,615.00,616.45,594.80,605.80,604.25,602.16,390703,15214,200999,51.45
