DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,786.60,782.50,802.95,782.50,795.00,792.95,793.85,122633,4418,78810,64.26
03-Aug-2016,792.95,798.00,798.00,773.65,777.00,780.45,780.99,66599,2115,53511,80.35
04-Aug-2016,780.45,780.45,794.75,771.55,773.00,776.25,785.07,36222,2925,22905,63.24
05-Aug-2016,776.25,777.95,792.50,777.95,785.00,785.60,786.52,63958,2232,39185,61.27
08-Aug-2016,785.60,786.50,792.00,765.50,767.40,769.45,775.40,58596,3631,28757,49.08
09-Aug-2016,769.45,770.00,808.75,770.00,786.10,783.05,787.81,65337,2601,35485,54.31
10-Aug-2016,783.05,783.15,804.70,780.00,793.60,790.35,793.86,84899,4822,47118,55.50
11-Aug-2016,790.35,793.65,803.00,782.65,800.00,800.60,797.49,50679,2311,39891,78.71
12-Aug-2016,800.60,801.95,807.30,791.55,796.00,800.10,802.20,58111,2260,39445,67.88
16-Aug-2016,800.10,803.70,807.00,790.00,797.00,795.05,800.41,37920,3067,28649,75.55
17-Aug-2016,795.05,804.00,804.80,791.00,791.50,794.40,796.22,22068,1525,12851,58.23
18-Aug-2016,794.40,803.00,808.00,790.00,790.00,793.55,802.11,76591,2073,49707,64.90
19-Aug-2016,793.55,801.95,801.95,788.95,789.00,790.15,792.39,26887,1415,14481,53.86
22-Aug-2016,790.15,790.00,797.00,772.65,780.00,783.25,784.39,43560,2106,31854,73.13
23-Aug-2016,783.25,782.00,798.65,782.00,783.30,786.10,789.16,22590,1256,14478,64.09
24-Aug-2016,786.10,786.10,805.90,779.35,800.15,801.50,799.23,72627,3730,32477,44.72
25-Aug-2016,801.50,801.30,828.70,796.50,811.50,814.30,816.34,110094,5731,42565,38.66
26-Aug-2016,814.30,825.40,825.40,804.00,810.00,811.30,810.86,29659,1701,16129,54.38
29-Aug-2016,811.30,819.40,820.70,798.00,802.50,803.75,804.89,34963,3750,19886,56.88
