DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,122.25,122.50,124.70,120.45,122.80,122.70,122.51,18591611,65150,2987696,16.07
03-Aug-2016,122.70,122.60,124.40,120.75,121.30,121.60,122.74,12484041,44327,1229927,9.85
04-Aug-2016,121.60,123.00,123.80,120.60,123.00,122.45,122.18,13542657,51357,1475353,10.89
05-Aug-2016,122.45,123.90,125.20,122.05,123.15,123.50,123.73,10784130,48819,1453513,13.48
08-Aug-2016,123.50,124.25,124.45,121.45,122.70,122.90,122.94,7678168,29240,1321474,17.21
09-Aug-2016,122.90,123.00,125.85,122.05,123.65,123.80,123.85,15356570,58967,2391969,15.58
10-Aug-2016,123.80,123.85,124.05,119.25,119.35,119.70,121.04,12995177,42358,2099827,16.16
11-Aug-2016,119.70,119.00,119.00,114.60,115.95,116.25,116.27,12331905,48294,1744207,14.14
12-Aug-2016,116.25,115.55,123.95,115.35,122.60,122.90,120.80,21812608,78475,4774284,21.89
16-Aug-2016,122.90,123.80,123.80,121.10,122.25,122.60,122.42,10314844,36221,1479261,14.34
17-Aug-2016,122.60,122.45,126.75,122.35,124.80,125.00,124.96,13020777,53369,1696622,13.03
18-Aug-2016,125.00,126.05,128.10,125.70,126.45,126.60,127.04,10505709,39238,2092725,19.92
19-Aug-2016,126.60,127.65,128.90,126.60,128.15,128.25,127.94,11746246,47568,3091114,26.32
22-Aug-2016,128.25,128.00,129.40,126.35,127.35,127.45,127.69,7084937,30111,829437,11.71
23-Aug-2016,127.45,127.40,127.85,125.05,126.90,126.85,126.63,7811577,32550,757299,9.69
24-Aug-2016,126.85,128.00,128.00,125.65,126.15,126.35,126.49,7590313,46743,1545710,20.36
25-Aug-2016,126.35,126.45,127.40,125.10,125.10,125.75,126.18,4990619,18606,961483,19.27
26-Aug-2016,125.75,125.75,126.00,122.30,122.80,122.85,123.72,7612957,27089,1103226,14.49
29-Aug-2016,122.85,122.80,123.80,121.70,123.40,123.15,122.77,5588874,22459,893864,15.99
30-Aug-2016,123.15,123.90,127.60,123.50,127.00,127.05,125.59,8091845,32948,1659038,20.50
31-Aug-2016,127.05,127.40,129.90,126.70,127.15,127.55,128.49,12256198,42055,2710921,22.12
01-Sep-2016,127.55,127.25,128.10,125.00,126.10,125.75,126.75,6989295,20714,1315102,18.82
02-Sep-2016,125.75,126.05,126.80,124.30,126.15,126.15,125.77,6841019,22446,1293959,18.91
06-Sep-2016,126.15,127.35,133.20,127.30,133.00,132.70,131.21,16168091,77182,4617607,28.56
07-Sep-2016,132.70,134.00,142.40,134.00,139.80,139.20,139.01,32963976,119677,5520606,16.75
08-Sep-2016,139.20,140.00,143.70,139.70,142.85,142.60,142.03,15259938,58732,2295895,15.05
09-Sep-2016,142.60,142.65,145.80,140.25,145.20,144.85,143.52,21172922,84845,2495948,11.79
12-Sep-2016,144.85,139.70,142.65,135.75,137.00,137.20,139.24,16293600,58375,2659997,16.33
14-Sep-2016,137.20,138.10,142.40,137.80,141.95,141.90,140.51,11923165,61567,1865005,15.64
15-Sep-2016,141.90,142.55,143.20,137.25,138.75,138.75,139.38,11864416,43133,1819451,15.34
16-Sep-2016,138.75,140.95,143.40,137.25,138.10,137.85,140.35,14310678,57164,1498351,10.47
19-Sep-2016,137.85,138.70,140.25,137.70,138.65,138.40,138.63,6831658,26865,722369,10.57
